6645 ÉIÉÄÉçÉì,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","2210","2230","2180","2210","618000","2210","1"
"1989-02-20","2250","2250","2180","2190","322000","2190","2"
"1989-02-21","2200","2210","2180","2210","381000","2210","3"
"1989-02-22","2230","2320","2200","2300","244000","2300","4"
"1989-02-23","2290","2340","2280","2300","513000","2300","5"
"1989-02-27","2300","2320","2280","2280","194000","2280","7"
"1989-02-28","2270","2290","2250","2260","241000","2260","8"
"1989-03-01","2280","2310","2270","2310","280000","2310","9"
"1989-03-02","2320","2350","2280","2300","577000","2300","10"
"1989-03-03","2330","2330","2280","2300","268000","2300","11"
"1989-03-06","2280","2300","2270","2300","56000","2300","12"
"1989-03-07","2280","2300","2270","2280","146000","2280","13"
"1989-03-08","2270","2270","2260","2270","142000","2270","14"
"1989-03-09","2250","2260","2210","2240","180000","2240","15"
"1989-03-10","2220","2220","2180","2190","203000","2190","16"
"1989-03-13","2230","2230","2180","2180","156000","2180","17"
"1989-03-14","2240","2250","2210","2220","544000","2220","18"
"1989-03-15","2300","2350","2280","2320","1183000","2320","19"
"1989-03-16","2360","2370","2320","2320","1294000","2320","20"
"1989-03-17","2340","2340","2310","2320","197000","2320","21"
"1989-03-20","2280","2290","2260","2290","170000","2290","22"
"1989-03-22","2280","2280","2220","2270","415000","2270","24"
"1989-03-23","2250","2260","2240","2250","607000","2250","25"
"1989-03-24","2250","2270","2230","2250","661000","2250","26"
"1989-03-27","2230","2300","2230","2300","610000","2300","27"
"1989-03-28","2310","2400","2310","2360","1986000","2360","28"
"1989-03-29","2400","2420","2370","2390","2290000","2390","29"
"1989-03-30","2390","2400","2330","2370","694000","2370","30"
"1989-03-31","2350","2370","2280","2280","674000","2280","31"
"1989-04-03","2320","2350","2300","2340","431000","2340","32"
"1989-04-04","2370","2380","2360","2370","680000","2370","33"
"1989-04-05","2420","2530","2400","2470","6062000","2470","34"
"1989-04-06","2520","2570","2490","2530","5007000","2530","35"
"1989-04-07","2550","2620","2530","2560","4191000","2560","36"
"1989-04-10","2560","2570","2500","2500","801000","2500","37"
"1989-04-11","2520","2590","2520","2570","1670000","2570","38"
"1989-04-12","2600","2730","2600","2700","5591000","2700","39"
"1989-04-13","2730","2770","2660","2690","3666000","2690","40"
"1989-04-14","2690","2800","2660","2780","4399000","2780","41"
"1989-04-17","2820","2860","2770","2780","2932000","2780","42"
"1989-04-18","2790","2800","2710","2740","1109000","2740","43"
"1989-04-19","2790","2790","2710","2750","988000","2750","44"
"1989-04-20","2750","2750","2690","2710","718000","2710","45"
"1989-04-21","2650","2700","2650","2680","402000","2680","46"
"1989-04-24","2680","2690","2600","2610","376000","2610","47"
"1989-04-25","2640","2670","2630","2630","659000","2630","48"
"1989-04-26","2610","2680","2580","2680","557000","2680","49"
"1989-04-27","2640","2680","2620","2620","625000","2620","50"
"1989-04-28","2670","2670","2630","2650","445000","2650","51"
"1989-05-01","2630","2640","2610","2620","661000","2620","52"
"1989-05-02","2620","2650","2600","2650","889000","2650","53"
"1989-05-08","2670","2670","2630","2660","588000","2660","57"
"1989-05-09","2680","2800","2660","2770","1785000","2770","58"
"1989-05-10","2770","2790","2700","2700","1448000","2700","59"
"1989-05-11","2740","2740","2700","2710","346000","2710","60"
"1989-05-12","2710","2730","2690","2690","284000","2690","61"
"1989-05-15","2710","2740","2680","2700","114000","2700","62"
"1989-05-16","2680","2780","2680","2750","698000","2750","63"
"1989-05-17","2760","2780","2710","2710","727000","2710","64"
"1989-05-18","2760","2760","2680","2680","632000","2680","65"
"1989-05-19","2680","2810","2680","2790","1502000","2790","66"
"1989-05-22","2800","2840","2780","2810","1788000","2810","67"
