6702 ïxémí ,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1450","1470","1440","1440","6376000","1440","1"
"1989-02-20","1460","1470","1440","1440","2746000","1440","2"
"1989-02-21","1450","1460","1440","1440","2884000","1440","3"
"1989-02-22","1450","1470","1450","1470","3928000","1470","4"
"1989-02-23","1490","1520","1480","1490","4881000","1490","5"
"1989-02-27","1490","1520","1470","1480","3527000","1480","7"
"1989-02-28","1490","1490","1460","1480","2046000","1480","8"
"1989-03-01","1480","1500","1470","1490","2426000","1490","9"
"1989-03-02","1510","1530","1480","1500","2903000","1500","10"
"1989-03-03","1510","1520","1460","1460","1525000","1460","11"
"1989-03-06","1460","1480","1450","1450","1192000","1450","12"
"1989-03-07","1460","1470","1450","1450","787000","1450","13"
"1989-03-08","1460","1470","1450","1450","1567000","1450","14"
"1989-03-09","1450","1460","1440","1440","1512000","1440","15"
"1989-03-10","1440","1450","1420","1450","1176000","1450","16"
"1989-03-13","1440","1450","1430","1430","754000","1430","17"
"1989-03-14","1430","1450","1420","1440","1758000","1440","18"
"1989-03-15","1450","1460","1430","1460","4980000","1460","19"
"1989-03-16","1480","1480","1450","1460","1794000","1460","20"
"1989-03-17","1470","1480","1440","1460","2272000","1460","21"
"1989-03-20","1440","1450","1420","1440","2033000","1440","22"
"1989-03-22","1430","1440","1390","1420","7367000","1420","24"
"1989-03-23","1400","1420","1400","1410","3179000","1410","25"
"1989-03-24","1410","1430","1410","1420","2114000","1420","26"
"1989-03-27","1430","1440","1410","1410","2022000","1410","27"
"1989-03-28","1420","1470","1410","1450","1865000","1450","28"
"1989-03-29","1470","1480","1420","1440","1733000","1440","29"
"1989-03-30","1440","1450","1400","1410","3879000","1410","30"
"1989-03-31","1410","1420","1400","1410","3450000","1410","31"
"1989-04-03","1420","1450","1420","1440","3333000","1440","32"
"1989-04-04","1460","1480","1450","1450","3048000","1450","33"
"1989-04-05","1470","1470","1440","1460","3423000","1460","34"
"1989-04-06","1460","1470","1430","1430","2003000","1430","35"
"1989-04-07","1450","1460","1420","1450","3662000","1450","36"
"1989-04-10","1460","1470","1430","1430","2054000","1430","37"
"1989-04-11","1440","1480","1440","1450","3419000","1450","38"
"1989-04-12","1480","1490","1450","1460","4220000","1460","39"
"1989-04-13","1480","1490","1450","1460","2423000","1460","40"
"1989-04-14","1480","1480","1450","1470","2014000","1470","41"
"1989-04-17","1480","1490","1450","1460","1707000","1460","42"
"1989-04-18","1470","1470","1440","1450","1742000","1450","43"
"1989-04-19","1430","1450","1410","1420","2478000","1420","44"
"1989-04-20","1430","1440","1410","1410","1938000","1410","45"
"1989-04-21","1410","1420","1410","1420","1788000","1420","46"
"1989-04-24","1440","1440","1400","1400","1584000","1400","47"
"1989-04-25","1420","1430","1400","1400","2163000","1400","48"
"1989-04-26","1410","1420","1400","1400","2963000","1400","49"
"1989-04-27","1410","1420","1400","1410","1703000","1410","50"
