6724 セイコーエプソン,,,,,
"date","open","hight","low","close","power","End","date_position"
"2003-06-25","3400","3540","3390","3410","8254200","3410","3729"
"2003-06-26","3380","3420","3340","3380","3526100","3380","3730"
"2003-06-27","3440","3580","3420","3580","3516800","3580","3731"
"2003-06-30","3600","3610","3530","3570","2043900","3570","3732"
"2003-07-01","3610","3710","3590","3660","4315100","3660","3733"
"2003-07-02","3690","3720","3620","3670","2285699","3670","3734"
"2003-07-03","3750","3760","3580","3580","2241100","3580","3735"
"2003-07-04","3620","3710","3600","3690","1846200","3690","3736"
"2003-07-07","3680","3690","3630","3670","1065599","3670","3737"
"2003-07-08","3680","3820","3620","3770","5257899","3770","3738"
"2003-07-09","3820","3870","3730","3780","3355800","3780","3739"
"2003-07-10","3740","3750","3680","3680","865500","3680","3740"
"2003-07-11","3690","3720","3650","3660","1226800","3660","3741"
"2003-07-14","3670","3680","3550","3640","1385700","3640","3742"
"2003-07-15","3690","3710","3640","3690","1750500","3690","3743"
"2003-07-16","3700","3800","3670","3790","2353100","3790","3744"
"2003-07-17","3740","3790","3710","3750","2366500","3750","3745"
"2003-07-18","3710","3750","3680","3720","1974200","3720","3746"
"2003-07-22","3770","3800","3740","3790","3171900","3790","3748"
"2003-07-23","3770","3780","3700","3730","2069400","3730","3749"
"2003-07-24","3770","3800","3630","3630","9907200","3630","3750"
"2003-07-25","3630","3720","3620","3640","3337900","3640","3751"
"2003-07-28","3690","3690","3600","3630","927500","3630","3752"
"2003-07-29","3610","3620","3520","3550","1170500","3550","3753"
"2003-07-30","3460","3510","3440","3470","1170400","3470","3754"
"2003-07-31","3450","3530","3400","3400","816500","3400","3755"
"2003-08-01","3450","3530","3450","3500","1103099","3500","3756"
"2003-08-04","3500","3540","3460","3510","322600","3510","3757"
"2003-08-05","3500","3510","3470","3500","416899","3500","3758"
"2003-08-06","3460","3510","3450","3470","510800","3470","3759"
"2003-08-07","3350","3350","3050","3070","4528200","3070","3760"
"2003-08-08","3170","3210","3150","3190","2315100","3190","3761"
"2003-08-11","3220","3270","3140","3190","1335300","3190","3762"
"2003-08-12","3230","3240","3160","3230","465500","3230","3763"
"2003-08-13","3250","3280","3220","3270","535500","3270","3764"
"2003-08-14","3410","3440","3350","3420","1657000","3420","3765"
"2003-08-15","3430","3440","3330","3330","428399","3330","3766"
"2003-08-18","3340","3340","3270","3300","405899","3300","3767"
"2003-08-19","3350","3370","3310","3360","407800","3360","3768"
"2003-08-20","3380","3380","3290","3320","371500","3320","3769"
"2003-08-21","3300","3310","3220","3220","564299","3220","3770"
"2003-08-22","3200","3240","3180","3180","569900","3180","3771"
"2003-08-25","3190","3190","3090","3090","639799","3090","3772"
"2003-08-26","3080","3270","3020","3230","1883500","3230","3773"
"2003-08-27","3250","3290","3210","3250","932000","3250","3774"
"2003-08-28","3280","3280","3170","3170","1353800","3170","3775"
"2003-08-29","3290","3310","3150","3150","2338600","3150","3776"
"2003-09-01","3200","3260","3190","3260","798299","3260","3777"
"2003-09-02","3250","3280","3230","3270","539100","3270","3778"
"2003-09-03","3280","3290","3240","3270","584000","3270","3779"
"2003-09-04","3290","3290","3220","3230","627799","3230","3780"
"2003-09-05","3250","3300","3210","3230","782799","3230","3781"
"2003-09-08","3220","3230","3170","3180","314500","3180","3782"
