6758 É\ÉjÅ[,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","6860","6900","6850","6850","1017000","6850","1"
"1989-02-20","6950","6950","6800","6840","660000","6840","2"
"1989-02-21","6830","6870","6830","6840","776000","6840","3"
"1989-02-22","6940","6990","6880","6930","742000","6930","4"
"1989-02-23","7030","7050","6900","6940","1322000","6940","5"
"1989-02-27","6990","7050","6950","6990","1285000","6990","7"
"1989-02-28","6960","6990","6860","6880","830000","6880","8"
"1989-03-01","7000","7000","6900","6980","759000","6980","9"
"1989-03-02","7050","7130","7010","7030","899000","7030","10"
"1989-03-03","7100","7110","6950","6950","741000","6950","11"
"1989-03-06","6960","6970","6890","6950","749000","6950","12"
"1989-03-07","7050","7050","6930","7050","687000","7050","13"
"1989-03-08","7050","7050","6940","6980","628000","6980","14"
"1989-03-09","6950","6960","6860","6890","757000","6890","15"
"1989-03-10","6890","6900","6830","6880","541000","6880","16"
"1989-03-13","6890","6900","6800","6830","382000","6830","17"
"1989-03-14","6820","6900","6820","6840","478000","6840","18"
"1989-03-15","6870","6950","6840","6910","758000","6910","19"
"1989-03-16","7010","7010","6910","6910","902000","6910","20"
"1989-03-17","6910","6930","6800","6800","1085000","6800","21"
"1989-03-20","6710","6750","6630","6640","681000","6640","22"
"1989-03-22","6670","6700","6610","6640","658000","6640","24"
"1989-03-23","6640","6720","6630","6690","559000","6690","25"
"1989-03-24","6690","6720","6660","6690","1094000","6690","26"
"1989-03-27","6690","6710","6630","6630","1011000","6630","27"
"1989-03-28","6690","7000","6650","6950","953000","6950","28"
"1989-03-29","7000","7030","6830","6850","680000","6850","29"
"1989-03-30","6920","6920","6770","6770","436000","6770","30"
"1989-03-31","6800","6800","6700","6710","982000","6710","31"
"1989-04-03","6810","6830","6740","6750","807000","6750","32"
"1989-04-04","6850","6850","6750","6760","511000","6760","33"
"1989-04-05","6790","6800","6700","6750","597000","6750","34"
"1989-04-06","6750","6760","6670","6690","460000","6690","35"
"1989-04-07","6790","6790","6620","6650","876000","6650","36"
"1989-04-10","6650","6690","6630","6690","490000","6690","37"
"1989-04-11","6700","6750","6690","6730","736000","6730","38"
"1989-04-12","6790","6900","6740","6760","847000","6760","39"
"1989-04-13","6850","6860","6730","6750","586000","6750","40"
"1989-04-14","6800","6800","6740","6800","421000","6800","41"
"1989-04-17","6900","6930","6800","6810","648000","6810","42"
"1989-04-18","6770","6810","6730","6770","497000","6770","43"
"1989-04-19","6780","6820","6710","6740","422000","6740","44"
"1989-04-20","6740","6740","6660","6700","391000","6700","45"
"1989-04-21","6670","6700","6630","6700","350000","6700","46"
"1989-04-24","6680","6680","6610","6640","288000","6640","47"
"1989-04-25","6690","6710","6640","6670","428000","6670","48"
"1989-04-26","6630","6670","6590","6600","612000","6600","49"
"1989-04-27","6600","6610","6550","6580","547000","6580","50"
"1989-04-28","6680","6680","6570","6600","718000","6600","51"
"1989-05-01","6680","6680","6610","6650","508000","6650","52"
"1989-05-02","6650","6730","6620","6700","1085000","6700","53"
"1989-05-08","6730","7050","6700","7000","2308000","7000","57"
"1989-05-09","6980","7200","6960","7110","4171000","7110","58"
"1989-05-10","7190","7190","7000","7020","1234000","7020","59"
"1989-05-11","7070","7070","6970","6990","449000","6990","60"
"1989-05-12","7000","7070","6930","6980","1047000","6980","61"
"1989-05-15","7010","7030","6910","6950","455000","6950","62"
"1989-05-16","7040","7250","7010","7190","4077000","7190","63"
"1989-05-17","7210","7270","7150","7240","2862000","7240","64"
"1989-05-18","7280","7350","7200","7200","2933000","7200","65"
"1989-05-19","7210","7400","7190","7370","2969000","7370","66"
"1989-05-22","7470","7600","7380","7600","5842000","7600","67"
"1989-05-23","7600","7650","7520","7600","7084000","7600","68"
"1989-05-24","7600","7600","7450","7450","2344000","7450","69"
"1989-05-25","7460","7550","7370","7550","1995000","7550","70"
"1989-05-26","7550","7580","7450","7500","1550000","7500","71"
"1989-05-29","7500","7560","7400","7400","1208000","7400","72"
"1989-05-30","7410","7510","7380","7400","1084000","7400","73"
"1989-05-31","7430","7700","7390","7700","3590000","7700","74"
"1989-06-01","7700","7900","7650","7750","10249000","7750","75"
"1989-06-02","7770","7940","7740","7850","5006000","7850","76"
"1989-06-05","7800","8000","7790","7810","4833000","7810","77"
"1989-06-06","7760","7900","7740","7800","3110000","7800","78"
"1989-06-07","7820","7880","7680","7700","1814000","7700","79"
"1989-06-08","7660","7770","7650","7650","1096000","7650","80"
"1989-06-09","7700","7810","7660","7670","1192000","7670","81"
"1989-06-12","7720","7940","7620","7940","2565000","7940","82"
"1989-06-13","7950","8020","7790","7850","4486000","7850","83"
"1989-06-14","7890","7890","7720","7720","1638000","7720","84"
"1989-06-15","7800","7840","7680","7710","2132000","7710","85"
"1989-06-16","7720","7740","7570","7610","1150000","7610","86"
"1989-06-19","7700","7800","7590","7730","1446000","7730","87"
"1989-06-20","7770","7880","7710","7770","1362000","7770","88"
"1989-06-21","7850","7860","7750","7790","869000","7790","89"
"1989-06-22","7690","7850","7680","7750","1069000","7750","90"
"1989-06-23","7650","7830","7650","7800","1109000","7800","91"
"1989-06-26","7730","7750","7660","7680","875000","7680","92"
"1989-06-27","7650","7690","7580","7600","1053000","7600","93"
"1989-06-28","7530","7570","7490","7540","1007000","7540","94"
"1989-06-29","7490","7780","7460","7650","1474000","7650","95"
"1989-06-30","7550","7740","7550","7650","962000","7650","96"
"1989-07-03","7550","7720","7550","7660","576000","7660","97"
"1989-07-04","7700","7890","7670","7880","2548000","7880","98"
"1989-07-05","7900","8020","7870","7870","3323000","7870","99"
"1989-07-06","7800","7990","7800","7930","1313000","7930","100"
"1989-07-07","7980","8090","7920","8000","4024000","8000","101"
"1989-07-10","8000","8080","7960","8000","1105000","8000","102"
"1989-07-11","7900","7950","7850","7850","1465000","7850","103"
"1989-07-12","7870","7900","7800","7840","872000","7840","104"
"1989-07-13","7800","7820","7780","7800","778000","7800","105"
"1989-07-14","7790","7840","7770","7800","585000","7800","106"
