6762 TDK,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","4130","4160","4100","4150","126000","4150","1"
"1989-02-20","4100","4100","4010","4020","345000","4020","2"
"1989-02-21","4000","4050","4000","4050","228000","4050","3"
"1989-02-22","4060","4160","4060","4080","395000","4080","4"
"1989-02-23","4100","4180","4100","4140","278000","4140","5"
"1989-02-27","4140","4150","4120","4130","264000","4130","7"
"1989-02-28","4140","4150","4010","4060","138000","4060","8"
"1989-03-01","4100","4130","4060","4130","302000","4130","9"
"1989-03-02","4180","4230","4150","4190","306000","4190","10"
"1989-03-03","4200","4280","4100","4100","124000","4100","11"
"1989-03-06","4080","4100","4060","4060","62000","4060","12"
"1989-03-07","4060","4060","4000","4050","187000","4050","13"
"1989-03-08","4050","4080","4000","4000","161000","4000","14"
"1989-03-09","4020","4040","3990","3990","225000","3990","15"
"1989-03-10","3980","4100","3980","4100","50000","4100","16"
"1989-03-13","4100","4140","4030","4140","143000","4140","17"
"1989-03-14","4090","4120","4090","4090","96000","4090","18"
"1989-03-15","4130","4150","4090","4150","80000","4150","19"
"1989-03-16","4190","4270","4090","4090","178000","4090","20"
"1989-03-17","4120","4120","4080","4080","157000","4080","21"
"1989-03-20","4080","4080","4010","4010","91000","4010","22"
"1989-03-22","4020","4030","3960","3990","93000","3990","24"
"1989-03-23","3970","4010","3960","4000","307000","4000","25"
"1989-03-24","4000","4020","3940","3950","256000","3950","26"
"1989-03-27","4000","4000","3940","3940","189000","3940","27"
"1989-03-28","3920","4170","3920","4160","168000","4160","28"
"1989-03-29","4190","4190","4060","4100","131000","4100","29"
"1989-03-30","4100","4100","4000","4050","169000","4050","30"
"1989-03-31","4050","4050","4000","4040","251000","4040","31"
"1989-04-03","4000","4100","4000","4100","307000","4100","32"
"1989-04-04","4110","4200","4080","4080","157000","4080","33"
"1989-04-05","4050","4100","4040","4050","79000","4050","34"
"1989-04-06","4000","4050","3990","4050","225000","4050","35"
"1989-04-07","4100","4100","4010","4050","248000","4050","36"
"1989-04-10","4090","4090","4010","4090","120000","4090","37"
"1989-04-11","4140","4190","4080","4190","162000","4190","38"
"1989-04-12","4190","4250","4190","4240","364000","4240","39"
"1989-04-13","4290","4290","4170","4230","241000","4230","40"
"1989-04-14","4220","4220","4140","4210","79000","4210","41"
"1989-04-17","4200","4250","4150","4150","117000","4150","42"
"1989-04-18","4150","4150","4100","4140","121000","4140","43"
"1989-04-19","4180","4280","4140","4240","921000","4240","44"
"1989-04-20","4290","4350","4270","4350","1000000","4350","45"
"1989-04-21","4330","4490","4250","4410","866000","4410","46"
"1989-04-24","4450","4450","4330","4350","222000","4350","47"
"1989-04-25","4350","4350","4280","4290","111000","4290","48"
"1989-04-26","4340","4340","4220","4220","116000","4220","49"
"1989-04-27","4220","4270","4210","4270","90000","4270","50"
"1989-04-28","4320","4320","4250","4300","83000","4300","51"
"1989-05-01","4280","4290","4230","4240","42000","4240","52"
"1989-05-02","4250","4360","4240","4300","303000","4300","53"
"1989-05-08","4280","4450","4250","4420","308000","4420","57"
"1989-05-09","4400","4560","4400","4540","1095000","4540","58"
"1989-05-10","4590","4590","4500","4530","565000","4530","59"
"1989-05-11","4480","4520","4450","4450","238000","4450","60"
"1989-05-12","4480","4480","4400","4400","62000","4400","61"
"1989-05-15","4450","4450","4360","4360","113000","4360","62"
"1989-05-16","4360","4690","4360","4660","937000","4660","63"
"1989-05-17","4660","4810","4600","4800","2132000","4800","64"
"1989-05-18","4900","4900","4770","4830","1275000","4830","65"
"1989-05-19","4780","4970","4770","4880","1551000","4880","66"
"1989-05-22","4910","5100","4880","5080","1596000","5080","67"
"1989-05-23","5060","5200","4990","5170","2146000","5170","68"
"1989-05-24","5100","5150","5060","5100","887000","5100","69"
"1989-05-25","5080","5210","5000","5200","1216000","5200","70"
"1989-05-26","5100","5170","5080","5100","484000","5100","71"
"1989-05-29","5090","5160","5090","5110","580000","5110","72"
"1989-05-30","5100","5150","5080","5100","298000","5100","73"
"1989-05-31","5100","5350","5090","5260","1155000","5260","74"
"1989-06-01","5330","5530","5270","5400","2030000","5400","75"
"1989-06-02","5390","5520","5350","5380","1331000","5380","76"
"1989-06-05","5400","5480","5290","5290","934000","5290","77"
"1989-06-06","5190","5290","5160","5160","623000","5160","78"
"1989-06-07","5260","5260","5100","5100","366000","5100","79"
"1989-06-08","5150","5260","5120","5130","262000","5130","80"
"1989-06-09","5140","5250","5120","5200","266000","5200","81"
"1989-06-12","5230","5500","5210","5500","896000","5500","82"
"1989-06-13","5650","5750","5560","5600","4364000","5600","83"
"1989-06-14","5650","5780","5560","5740","2174000","5740","84"
"1989-06-15","5750","5870","5670","5670","2988000","5670","85"
"1989-06-16","5750","5750","5570","5750","1219000","5750","86"
"1989-06-19","5650","5820","5640","5760","1695000","5760","87"
"1989-06-20","5830","5840","5730","5740","1772000","5740","88"
"1989-06-21","5720","5800","5700","5730","587000","5730","89"
"1989-06-22","5680","5720","5630","5650","732000","5650","90"
"1989-06-23","5550","5620","5550","5600","540000","5600","91"
"1989-06-26","5590","5590","5450","5470","551000","5470","92"
"1989-06-27","5530","5530","5430","5510","462000","5510","93"
"1989-06-28","5450","5580","5430","5570","553000","5570","94"
"1989-06-29","5590","5870","5590","5800","1426000","5800","95"
"1989-06-30","5700","5950","5700","5820","1567000","5820","96"
"1989-07-03","5760","5990","5740","5830","1701000","5830","97"
"1989-07-04","5930","6100","5910","6100","3429000","6100","98"
"1989-07-05","6190","6220","6010","6010","2099000","6010","99"
"1989-07-06","5910","6140","5900","6090","2204000","6090","100"
"1989-07-07","6070","6210","6010","6140","2001000","6140","101"
