6841 ‰¡‰Í“d‹@,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1360","1380","1350","1370","589000","1370","1"
"1989-02-20","1380","1410","1370","1400","443000","1400","2"
"1989-02-21","1380","1410","1380","1400","229000","1400","3"
"1989-02-22","1400","1450","1400","1450","325000","1450","4"
"1989-02-23","1450","1490","1440","1490","1030000","1490","5"
"1989-02-27","1460","1480","1450","1450","576000","1450","7"
"1989-02-28","1450","1460","1440","1450","476000","1450","8"
"1989-03-01","1460","1480","1450","1470","553000","1470","9"
"1989-03-02","1490","1520","1470","1470","1362000","1470","10"
"1989-03-03","1500","1500","1470","1470","353000","1470","11"
"1989-03-06","1470","1470","1450","1460","92000","1460","12"
"1989-03-07","1450","1450","1430","1430","115000","1430","13"
"1989-03-08","1430","1450","1430","1450","499000","1450","14"
"1989-03-09","1440","1450","1430","1450","330000","1450","15"
"1989-03-10","1440","1460","1400","1420","347000","1420","16"
"1989-03-13","1420","1450","1410","1450","149000","1450","17"
"1989-03-14","1430","1500","1430","1480","612000","1480","18"
"1989-03-15","1500","1530","1480","1520","911000","1520","19"
"1989-03-16","1550","1570","1520","1520","1285000","1520","20"
"1989-03-17","1540","1560","1500","1500","1044000","1500","21"
"1989-03-20","1510","1510","1480","1480","372000","1480","22"
"1989-03-22","1480","1510","1470","1490","433000","1490","24"
"1989-03-23","1500","1540","1490","1540","2770000","1540","25"
"1989-03-24","1550","1620","1550","1600","3928000","1600","26"
"1989-03-27","1610","1620","1550","1550","897000","1550","27"
"1989-03-28","1630","1690","1610","1690","3425000","1690","28"
"1989-03-29","1680","1680","1650","1650","1688000","1650","29"
"1989-03-30","1660","1710","1660","1680","2784000","1680","30"
"1989-03-31","1680","1690","1650","1690","951000","1690","31"
"1989-04-03","1680","1710","1670","1690","1880000","1690","32"
"1989-04-04","1680","1760","1680","1720","3136000","1720","33"
"1989-04-05","1720","1720","1670","1690","908000","1690","34"
"1989-04-06","1670","1670","1610","1670","574000","1670","35"
"1989-04-07","1640","1670","1640","1650","530000","1650","36"
"1989-04-10","1650","1670","1630","1640","439000","1640","37"
"1989-04-11","1650","1720","1640","1700","1658000","1700","38"
"1989-04-12","1750","1770","1730","1770","3749000","1770","39"
"1989-04-13","1800","1810","1750","1750","6392000","1750","40"
"1989-04-14","1780","1820","1770","1800","2796000","1800","41"
"1989-04-17","1830","1900","1820","1880","5712000","1880","42"
"1989-04-18","1860","1900","1830","1870","2077000","1870","43"
