6857 アドバンテスト,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","4280","4280","4230","4230","72000","4230","1"
"1989-02-20","4250","4250","4200","4200","45000","4200","2"
"1989-02-21","4210","4210","4200","4200","36000","4200","3"
"1989-02-22","4200","4240","4200","4200","46000","4200","4"
"1989-02-23","4250","4250","4200","4210","107000","4210","5"
"1989-02-27","4200","4200","4140","4150","167000","4150","7"
"1989-02-28","4170","4180","4050","4050","97000","4050","8"
"1989-03-01","4100","4110","4080","4100","62000","4100","9"
"1989-03-02","4250","4280","4250","4280","78000","4280","10"
"1989-03-03","4380","4390","4320","4320","118000","4320","11"
"1989-03-06","4350","4350","4330","4330","49000","4330","12"
"1989-03-07","4300","4300","4290","4300","26000","4300","13"
"1989-03-08","4300","4300","4220","4220","83000","4220","14"
"1989-03-09","4200","4200","4180","4180","67000","4180","15"
"1989-03-10","4180","4200","4150","4200","42000","4200","16"
"1989-03-13","4200","4200","4080","4080","79000","4080","17"
"1989-03-14","4150","4170","4100","4150","75000","4150","18"
"1989-03-15","4200","4280","4180","4200","57000","4200","19"
"1989-03-16","4250","4290","4180","4180","66000","4180","20"
"1989-03-17","4200","4200","4120","4120","40000","4120","21"
"1989-03-20","4210","4210","4090","4100","50000","4100","22"
"1989-03-22","4100","4120","4080","4110","45000","4110","24"
"1989-03-23","4160","4180","4150","4150","417000","4150","25"
"1989-03-24","4180","4210","4170","4200","91000","4200","26"
"1989-03-27","4210","4240","4150","4150","152000","4150","27"
"1989-03-28","4050","4140","4050","4120","46000","4120","28"
"1989-03-29","4180","4190","4180","4190","21000","4190","29"
"1989-03-30","4200","4220","4190","4220","36000","4220","30"
"1989-03-31","4190","4190","4100","4190","72000","4190","31"
"1989-04-03","4100","4150","4050","4100","55000","4100","32"
"1989-04-04","4100","4100","4060","4100","50000","4100","33"
"1989-04-05","4100","4100","4060","4060","31000","4060","34"
"1989-04-06","4100","4100","4070","4100","29000","4100","35"
"1989-04-07","4190","4190","4120","4190","45000","4190","36"
"1989-04-10","4240","4250","4150","4200","64000","4200","37"
"1989-04-11","4190","4350","4190","4350","104000","4350","38"
"1989-04-12","4390","4540","4340","4420","181000","4420","39"
"1989-04-13","4570","4660","4450","4550","253000","4550","40"
"1989-04-14","4590","4650","4550","4550","222000","4550","41"
"1989-04-17","4580","4580","4490","4570","19000","4570","42"
"1989-04-18","4560","4560","4460","4460","20000","4460","43"
"1989-04-19","4510","4540","4420","4500","102000","4500","44"
"1989-04-20","4500","4500","4420","4460","77000","4460","45"
"1989-04-21","4410","4460","4410","4460","42000","4460","46"
"1989-04-24","4410","4410","4380","4410","22000","4410","47"
"1989-04-25","4410","4420","4380","4380","83000","4380","48"
"1989-04-26","4360","4360","4260","4260","22000","4260","49"
"1989-04-27","4260","4280","4260","4270","38000","4270","50"
"1989-04-28","4300","4350","4280","4350","122000","4350","51"
"1989-05-01","4330","4330","4320","4320","67000","4320","52"
"1989-05-02","4370","4400","4340","4340","47000","4340","53"
"1989-05-08","4320","4380","4320","4380","43000","4380","57"
"1989-05-09","4400","4500","4380","4450","84000","4450","58"
"1989-05-10","4460","4480","4460","4480","140000","4480","59"
"1989-05-11","4450","4470","4430","4470","95000","4470","60"
"1989-05-12","4450","4470","4430","4470","94000","4470","61"
"1989-05-15","4450","4470","4420","4450","24000","4450","62"
"1989-05-16","4450","4660","4450","4600","235000","4600","63"
"1989-05-17","4600","4800","4600","4750","764000","4750","64"
"1989-05-18","4700","4770","4690","4700","276000","4700","65"
"1989-05-19","4650","4850","4650","4750","382000","4750","66"
"1989-05-22","4820","4840","4730","4800","294000","4800","67"
"1989-05-23","4810","4850","4760","4800","289000","4800","68"
"1989-05-24","4850","4850","4780","4800","178000","4800","69"
"1989-05-25","4790","4820","4760","4820","122000","4820","70"
"1989-05-26","4800","4820","4800","4820","68000","4820","71"
"1989-05-29","4790","4830","4790","4820","144000","4820","72"
"1989-05-30","4760","4790","4740","4750","34000","4750","73"
"1989-05-31","4730","4870","4710","4820","204000","4820","74"
"1989-06-01","4900","5150","4900","5000","588000","5000","75"
"1989-06-02","5060","5150","5000","5010","440000","5010","76"
"1989-06-05","5100","5100","5050","5050","148000","5050","77"
"1989-06-06","5050","5050","4950","5050","146000","5050","78"
"1989-06-07","5020","5020","4900","4900","31000","4900","79"
"1989-06-08","4830","4850","4790","4790","100000","4790","80"
"1989-06-09","4790","4840","4790","4790","105000","4790","81"
"1989-06-12","4790","4850","4790","4850","54000","4850","82"
"1989-06-13","4850","4940","4790","4790","123000","4790","83"
"1989-06-14","4800","4810","4750","4750","89000","4750","84"
"1989-06-15","4700","4780","4700","4750","61000","4750","85"
"1989-06-16","4730","4730","4630","4670","31000","4670","86"
"1989-06-19","4720","4840","4700","4750","190000","4750","87"
"1989-06-20","4850","4850","4750","4800","121000","4800","88"
"1989-06-21","4860","5140","4860","5100","604000","5100","89"
"1989-06-22","5020","5080","4950","5000","318000","5000","90"
"1989-06-23","5000","5000","4900","4990","145000","4990","91"
"1989-06-26","4950","4990","4940","4970","118000","4970","92"
"1989-06-27","4930","4930","4860","4860","119000","4860","93"
"1989-06-28","4870","4890","4820","4880","87000","4880","94"
"1989-06-29","4920","5260","4920","5200","737000","5200","95"
"1989-06-30","5200","5420","5150","5300","1107000","5300","96"
"1989-07-03","5200","5440","5200","5400","694000","5400","97"
"1989-07-04","5400","5600","5400","5450","640000","5450","98"
"1989-07-05","5460","5510","5160","5300","245000","5300","99"
"1989-07-06","5250","5320","5240","5300","109000","5300","100"
"1989-07-07","5300","5400","5260","5350","169000","5350","101"
"1989-07-10","5370","5370","5260","5290","136000","5290","102"
"1989-07-11","5270","5270","5160","5160","189000","5160","103"
"1989-07-12","5100","5150","5090","5130","74000","5130","104"
"1989-07-13","5110","5110","5020","5020","91000","5020","105"
"1989-07-14","5020","5120","5020","5030","213000","5030","106"
"1989-07-17","5000","5020","4990","4990","143000","4990","107"
"1989-07-18","4970","5020","4970","5020","92000","5020","108"
"1989-07-19","5020","5140","5020","5090","65000","5090","109"
"1989-07-20","5140","5320","5130","5250","262000","5250","110"
"1989-07-21","5240","5270","5200","5220","218000","5220","111"
"1989-07-24","5220","5280","5180","5190","99000","5190","112"
"1989-07-25","5170","5170","5050","5100","129000","5100","113"
"1989-07-26","5090","5090","5000","5040","122000","5040","114"
"1989-07-27","5000","5030","4970","5000","110000","5000","115"
"1989-07-28","4960","5030","4960","5000","200000","5000","116"
"1989-07-31","5050","5050","5000","5000","80000","5000","117"
"1989-08-01","5030","5030","4980","5000","101000","5000","118"
"1989-08-02","5000","5000","4950","4950","133000","4950","119"
"1989-08-03","4960","5050","4940","5030","185000","5030","120"
"1989-08-04","5030","5070","4980","5050","170000","5050","121"
"1989-08-07","5070","5070","5000","5000","49000","5000","122"
"1989-08-08","5060","5240","5060","5190","216000","5190","123"
"1989-08-09","5290","5430","5200","5210","260000","5210","124"
"1989-08-10","5260","5350","5210","5210","204000","5210","125"
"1989-08-11","5310","5380","5280","5350","212000","5350","126"
"1989-08-14","5280","5350","5260","5320","88000","5320","127"
"1989-08-15","5260","5300","5230","5230","54000","5230","128"
"1989-08-16","5230","5270","5150","5170","86000","5170","129"
"1989-08-17","5160","5200","5100","5140","73000","5140","130"
"1989-08-18","5160","5180","5110","5160","62000","5160","131"
"1989-08-21","5260","5260","5250","5250","28000","5250","132"
"1989-08-22","5180","5200","5080","5200","57000","5200","133"
"1989-08-23","5100","5200","5100","5200","73000","5200","134"
"1989-08-24","5180","5190","5020","5050","136000","5050","135"
"1989-08-25","5140","5150","5100","5100","85000","5100","136"
"1989-08-28","5160","5250","5060","5100","40000","5100","137"
"1989-08-29","5100","5130","5050","5070","99000","5070","138"
"1989-08-30","4970","5000","4900","4900","169000","4900","139"
"1989-08-31","4800","5050","4730","4900","193000","4900","140"
"1989-09-01","5000","5050","4950","4950","162000","4950","141"
"1989-09-04","4950","4950","4910","4950","31000","4950","142"
"1989-09-05","4960","4980","4850","4860","94000","4860","143"
"1989-09-06","4910","4990","4900","4900","90000","4900","144"
"1989-09-07","4930","4930","4840","4840","71000","4840","145"
"1989-09-08","4860","4900","4780","4800","86000","4800","146"
"1989-09-11","4780","4800","4670","4710","68000","4710","147"
"1989-09-12","4700","4750","4670","4680","87000","4680","148"
"1989-09-13","4700","4700","4650","4650","208000","4650","149"
"1989-09-14","4670","4760","4620","4620","151000","4620","150"
"1989-09-18","4810","4810","4740","4740","26000","4740","152"
"1989-09-19","4690","4720","4690","4720","74000","4720","153"
"1989-09-20","4770","4820","4720","4820","88000","4820","154"
"1989-09-21","4850","4950","4830","4880","121000","4880","155"
"1989-09-22","4870","5010","4860","4950","116000","4950","156"
"1989-09-25","4900","4940","4850","4890","212000","4890","157"
"1989-09-26","4900","5000","4890","5000","205000","5000","158"
"1989-09-27","5100","5150","5100","5100","192000","5100","159"
"1989-09-28","5100","5100","5050","5100","90000","5100","160"
"1989-09-29","4910","5020","4910","4990","138000","4990","161"
"1989-10-02","5010","5010","4860","4870","150000","4870","162"
"1989-10-03","4870","4940","4870","4920","125000","4920","163"
"1989-10-04","4970","5100","4920","4920","126000","4920","164"
"1989-10-05","4950","5020","4950","4950","128000","4950","165"
"1989-10-06","4970","5130","4970","5060","108000","5060","166"
"1989-10-09","5160","5380","5160","5320","416000","5320","167"
"1989-10-11","5420","5450","5100","5110","422000","5110","169"
"1989-10-12","5290","5290","5060","5070","190000","5070","170"
"1989-10-13","5190","5230","5130","5230","100000","5230","171"
"1989-10-16","4930","5060","4930","4960","103000","4960","172"
"1989-10-17","5100","5100","5010","5050","102000","5050","173"
"1989-10-18","5000","5160","4970","5130","108000","5130","174"
"1989-10-19","5030","5100","5030","5030","116000","5030","175"
"1989-10-20","5130","5130","5000","5000","67000","5000","176"
"1989-10-23","5100","5100","5000","5030","63000","5030","177"
"1989-10-24","5000","5050","4980","4980","161000","4980","178"
"1989-10-25","5030","5030","4960","4970","136000","4970","179"
"1989-10-26","4960","4990","4890","4900","140000","4900","180"
"1989-10-27","4970","4970","4900","4900","175000","4900","181"
"1989-10-30","4940","4940","4900","4900","60000","4900","182"
"1989-10-31","4980","4980","4900","4980","45000","4980","183"
"1989-11-01","5040","5040","4950","4970","119000","4970","184"
"1989-11-02","5000","5040","4930","4930","99000","4930","185"
"1989-11-06","4900","4900","4840","4840","102000","4840","187"
"1989-11-07","4840","4840","4800","4820","74000","4820","188"
"1989-11-08","4770","4840","4760","4760","89000","4760","189"
"1989-11-09","4770","4780","4750","4750","57000","4750","190"
"1989-11-10","4750","4750","4730","4740","55000","4740","191"
"1989-11-13","4740","4740","4700","4720","56000","4720","192"
"1989-11-14","4740","4790","4730","4740","78000","4740","193"
"1989-11-15","4760","4780","4750","4750","45000","4750","194"
"1989-11-16","4770","4780","4760","4760","53000","4760","195"
"1989-11-17","4750","4760","4700","4700","81000","4700","196"
"1989-11-20","4710","4730","4670","4710","58000","4710","197"
"1989-11-21","4720","4790","4720","4790","81000","4790","198"
"1989-11-22","4800","4800","4670","4750","200000","4750","199"
"1989-11-24","4800","4820","4760","4820","160000","4820","200"
"1989-11-27","4810","4820","4780","4780","108000","4780","201"
"1989-11-28","4680","4690","4610","4620","125000","4620","202"
"1989-11-29","4580","4640","4560","4570","127000","4570","203"
"1989-11-30","4550","4570","4510","4510","109000","4510","204"
"1989-12-01","4560","4570","4450","4450","178000","4450","205"
"1989-12-04","4500","4800","4500","4740","85000","4740","206"
"1989-12-05","4720","4730","4660","4710","75000","4710","207"
"1989-12-06","4650","4720","4630","4690","102000","4690","208"
"1989-12-07","4640","4750","4640","4750","71000","4750","209"
"1989-12-08","4700","4700","4660","4690","99000","4690","210"
"1989-12-11","4690","4700","4690","4700","81000","4700","211"
"1989-12-12","4700","4700","4660","4660","94000","4660","212"
"1989-12-13","4710","4870","4710","4800","92000","4800","213"
"1989-12-14","4810","4900","4780","4890","171000","4890","214"
"1989-12-15","4870","4890","4830","4850","98000","4850","215"
"1989-12-18","4800","4860","4800","4860","98000","4860","216"
"1989-12-19","4850","4860","4800","4800","108000","4800","217"
"1989-12-20","4810","4900","4800","4800","85000","4800","218"
"1989-12-21","4800","4890","4800","4890","42000","4890","219"
"1989-12-22","4910","4910","4850","4850","74000","4850","220"
"1989-12-25","4860","4950","4860","4910","58000","4910","221"
"1989-12-26","4960","5020","4960","5000","171000","5000","222"
"1989-12-27","5010","5100","5010","5100","261000","5100","223"
"1989-12-28","5100","5100","5000","5060","67000","5060","224"
"1989-12-29","5060","5090","5000","5000","85000","5000","225"
"1990-01-04","5000","5000","4950","4960","40000","4960","228"
"1990-01-05","4940","5050","4920","4920","128000","4920","229"
"1990-01-08","5020","5030","4970","5030","80000","5030","230"
"1990-01-09","5050","5350","5030","5350","611000","5350","231"
"1990-01-10","5430","5650","5400","5630","1597000","5630","232"
"1990-01-11","5730","5800","5550","5610","857000","5610","233"
"1990-01-12","5610","5700","5560","5620","688000","5620","234"
"1990-01-16","5500","5550","5420","5450","419000","5450","236"
"1990-01-17","5550","5990","5500","5800","770000","5800","237"
"1990-01-18","6000","6090","5780","5800","695000","5800","238"
"1990-01-19","5700","5900","5670","5790","206000","5790","239"
"1990-01-22","5740","5800","5600","5670","117000","5670","240"
"1990-01-23","5600","5870","5600","5790","587000","5790","241"
"1990-01-24","5990","5990","5800","5810","654000","5810","242"
