6902 ÉfÉìÉ\Å[,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1940","1940","1920","1940","377000","1940","1"
"1989-02-20","1960","1960","1920","1950","360000","1950","2"
"1989-02-21","1950","1950","1930","1950","463000","1950","3"
"1989-02-22","1950","1960","1920","1960","490000","1960","4"
"1989-02-23","1990","1990","1940","1950","288000","1950","5"
"1989-02-27","1950","1970","1930","1960","240000","1960","7"
"1989-02-28","1950","1950","1940","1950","271000","1950","8"
"1989-03-01","1950","1960","1940","1950","3289000","1950","9"
"1989-03-02","1980","1980","1950","1950","239000","1950","10"
"1989-03-03","1970","1970","1930","1970","313000","1970","11"
"1989-03-06","1950","1970","1940","1960","150000","1960","12"
"1989-03-07","1950","1950","1930","1930","145000","1930","13"
"1989-03-08","1930","1930","1880","1890","271000","1890","14"
"1989-03-09","1910","1920","1880","1890","450000","1890","15"
"1989-03-10","1900","1920","1880","1900","239000","1900","16"
"1989-03-13","1930","1930","1890","1910","182000","1910","17"
"1989-03-14","1900","1900","1880","1890","359000","1890","18"
"1989-03-15","1910","2000","1890","2000","806000","2000","19"
"1989-03-16","1990","1990","1950","1960","248000","1960","20"
"1989-03-17","1960","1970","1940","1970","319000","1970","21"
"1989-03-20","1990","1990","1960","1980","159000","1980","22"
"1989-03-22","1970","1970","1910","1970","249000","1970","24"
"1989-03-23","1960","1970","1930","1950","272000","1950","25"
"1989-03-24","1980","2060","1970","2040","1749000","2040","26"
"1989-03-27","2050","2050","2020","2040","753000","2040","27"
"1989-03-28","2060","2170","2040","2140","2176000","2140","28"
"1989-03-29","2170","2170","2100","2120","989000","2120","29"
"1989-03-30","2120","2130","2070","2080","415000","2080","30"
"1989-03-31","2090","2090","2020","2040","412000","2040","31"
"1989-04-03","2080","2130","2050","2100","1114000","2100","32"
"1989-04-04","2140","2140","2110","2130","1172000","2130","33"
"1989-04-05","2140","2220","2100","2160","1637000","2160","34"
"1989-04-06","2170","2180","2120","2170","952000","2170","35"
"1989-04-07","2200","2370","2150","2310","7045000","2310","36"
"1989-04-10","2320","2330","2280","2310","1627000","2310","37"
"1989-04-11","2290","2390","2280","2340","2613000","2340","38"
"1989-04-12","2350","2370","2300","2330","1514000","2330","39"
"1989-04-13","2300","2320","2250","2270","1026000","2270","40"
"1989-04-14","2300","2360","2250","2350","1152000","2350","41"
"1989-04-17","2340","2360","2290","2360","965000","2360","42"
"1989-04-18","2320","2350","2290","2290","491000","2290","43"
"1989-04-19","2250","2300","2240","2270","433000","2270","44"
"1989-04-20","2260","2320","2260","2270","640000","2270","45"
"1989-04-21","2230","2310","2230","2270","1136000","2270","46"
"1989-04-24","2270","2270","2220","2230","220000","2230","47"
"1989-04-25","2230","2250","2220","2230","545000","2230","48"
"1989-04-26","2240","2250","2210","2240","476000","2240","49"
"1989-04-27","2280","2280","2240","2240","612000","2240","50"
"1989-04-28","2280","2280","2240","2250","478000","2250","51"
"1989-05-01","2250","2270","2230","2240","266000","2240","52"
"1989-05-02","2260","2260","2220","2240","388000","2240","53"
"1989-05-08","2240","2250","2230","2240","566000","2240","57"
"1989-05-09","2280","2360","2270","2340","2493000","2340","58"
"1989-05-10","2340","2340","2280","2300","1018000","2300","59"
"1989-05-11","2300","2300","2260","2300","600000","2300","60"
"1989-05-12","2300","2300","2270","2270","541000","2270","61"
"1989-05-15","2230","2260","2230","2260","353000","2260","62"
"1989-05-16","2260","2300","2250","2300","580000","2300","63"
"1989-05-17","2320","2330","2300","2330","1126000","2330","64"
"1989-05-18","2290","2340","2290","2290","437000","2290","65"
"1989-05-19","2290","2360","2290","2330","830000","2330","66"
"1989-05-22","2340","2370","2310","2370","718000","2370","67"
"1989-05-23","2330","2360","2300","2330","621000","2330","68"
"1989-05-24","2330","2330","2280","2280","370000","2280","69"
"1989-05-25","2320","2330","2280","2330","459000","2330","70"
"1989-05-26","2370","2370","2320","2350","856000","2350","71"
"1989-05-29","2380","2380","2320","2320","603000","2320","72"
"1989-05-30","2320","2320","2280","2280","326000","2280","73"
"1989-05-31","2280","2320","2260","2320","505000","2320","74"
"1989-06-01","2330","2390","2320","2320","1326000","2320","75"
"1989-06-02","2320","2380","2310","2350","1280000","2350","76"
"1989-06-05","2370","2370","2310","2320","905000","2320","77"
"1989-06-06","2300","2320","2240","2310","491000","2310","78"
"1989-06-07","2300","2330","2290","2320","321000","2320","79"
"1989-06-08","2300","2370","2300","2360","1671000","2360","80"
"1989-06-09","2370","2440","2360","2390","4762000","2390","81"
"1989-06-12","2370","2420","2370","2410","1112000","2410","82"
"1989-06-13","2420","2430","2360","2370","1775000","2370","83"
"1989-06-14","2370","2420","2350","2370","733000","2370","84"
"1989-06-15","2410","2510","2380","2450","5917000","2450","85"
"1989-06-16","2490","2490","2420","2490","1889000","2490","86"
"1989-06-19","2530","2600","2520","2580","5709000","2580","87"
"1989-06-20","2610","2610","2560","2560","2241000","2560","88"
"1989-06-21","2580","2580","2520","2550","1169000","2550","89"
"1989-06-22","2530","2540","2500","2500","816000","2500","90"
"1989-06-23","2530","2540","2500","2510","702000","2510","91"
"1989-06-26","2520","2520","2470","2500","996000","2500","92"
"1989-06-27","2510","2510","2480","2490","504000","2490","93"
"1989-06-28","2470","2470","2410","2450","675000","2450","94"
"1989-06-29","2450","2480","2420","2440","652000","2440","95"
"1989-06-30","2450","2470","2420","2470","358000","2470","96"
"1989-07-03","2420","2460","2420","2460","347000","2460","97"
"1989-07-04","2450","2570","2450","2500","1625000","2500","98"
"1989-07-05","2500","2540","2470","2500","1120000","2500","99"
"1989-07-06","2500","2500","2460","2460","499000","2460","100"
"1989-07-07","2470","2500","2470","2500","731000","2500","101"
"1989-07-10","2470","2500","2470","2500","248000","2500","102"
"1989-07-11","2470","2480","2460","2470","359000","2470","103"
"1989-07-12","2480","2480","2440","2440","379000","2440","104"
"1989-07-13","2410","2430","2410","2410","432000","2410","105"
"1989-07-14","2440","2440","2410","2420","304000","2420","106"
"1989-07-17","2460","2460","2420","2430","333000","2430","107"
"1989-07-18","2430","2430","2390","2390","358000","2390","108"
"1989-07-19","2390","2400","2380","2390","545000","2390","109"
"1989-07-20","2410","2450","2410","2440","874000","2440","110"
"1989-07-21","2440","2490","2420","2490","918000","2490","111"
"1989-07-24","2490","2500","2420","2460","393000","2460","112"
"1989-07-25","2460","2470","2440","2450","498000","2450","113"
"1989-07-26","2450","2450","2400","2430","811000","2430","114"
"1989-07-27","2420","2420","2400","2400","506000","2400","115"
"1989-07-28","2430","2440","2380","2430","793000","2430","116"
"1989-07-31","2420","2440","2400","2440","457000","2440","117"
"1989-08-01","2400","2430","2400","2420","341000","2420","118"
"1989-08-02","2380","2420","2380","2400","716000","2400","119"
"1989-08-03","2400","2400","2380","2390","541000","2390","120"
"1989-08-04","2380","2420","2380","2410","524000","2410","121"
"1989-08-07","2400","2420","2390","2410","908000","2410","122"
"1989-08-08","2410","2500","2400","2500","2065000","2500","123"
"1989-08-09","2490","2510","2450","2450","1346000","2450","124"
"1989-08-10","2450","2520","2430","2470","992000","2470","125"
"1989-08-11","2510","2510","2480","2500","974000","2500","126"
"1989-08-14","2500","2510","2470","2480","410000","2480","127"
"1989-08-15","2490","2510","2480","2510","666000","2510","128"
"1989-08-16","2520","2570","2510","2560","3174000","2560","129"
"1989-08-17","2560","2560","2520","2530","1028000","2530","130"
"1989-08-18","2530","2630","2530","2620","3302000","2620","131"
"1989-08-21","2620","2670","2600","2670","3939000","2670","132"
"1989-08-22","2630","2700","2630","2670","7618000","2670","133"
"1989-08-23","2660","2690","2610","2650","2807000","2650","134"
"1989-08-24","2630","2640","2570","2590","1088000","2590","135"
"1989-08-25","2600","2600","2560","2590","680000","2590","136"
"1989-08-28","2580","2580","2500","2560","333000","2560","137"
"1989-08-29","2550","2550","2530","2550","393000","2550","138"
"1989-08-30","2550","2560","2510","2510","507000","2510","139"
"1989-08-31","2510","2510","2450","2480","507000","2480","140"
"1989-09-01","2520","2520","2400","2430","982000","2430","141"
"1989-09-04","2450","2490","2430","2470","410000","2470","142"
"1989-09-05","2510","2510","2450","2480","338000","2480","143"
"1989-09-06","2490","2490","2450","2450","278000","2450","144"
"1989-09-07","2460","2470","2400","2400","298000","2400","145"
"1989-09-08","2410","2440","2400","2410","515000","2410","146"
"1989-09-11","2410","2450","2410","2420","156000","2420","147"
"1989-09-12","2430","2470","2430","2470","268000","2470","148"
"1989-09-13","2470","2490","2450","2470","380000","2470","149"
"1989-09-14","2480","2550","2460","2540","357000","2540","150"
"1989-09-18","2500","2530","2490","2490","337000","2490","152"
"1989-09-19","2520","2540","2480","2500","558000","2500","153"
"1989-09-20","2540","2590","2470","2470","1072000","2470","154"
"1989-09-21","2510","2570","2510","2570","1012000","2570","155"
"1989-09-22","2560","2570","2470","2530","750000","2530","156"
"1989-09-25","2550","2550","2510","2520","591000","2520","157"
"1989-09-26","2520","2550","2480","2530","928000","2530","158"
"1989-09-27","2570","2570","2530","2550","477000","2550","159"
"1989-09-28","2540","2550","2510","2550","648000","2550","160"
"1989-09-29","2550","2550","2510","2510","331000","2510","161"
"1989-10-02","2510","2550","2510","2550","292000","2550","162"
"1989-10-03","2540","2550","2510","2540","370000","2540","163"
"1989-10-04","2540","2570","2510","2520","687000","2520","164"
"1989-10-05","2520","2520","2470","2470","424000","2470","165"
"1989-10-06","2480","2500","2410","2440","534000","2440","166"
"1989-10-09","2450","2570","2450","2570","589000","2570","167"
"1989-10-11","2590","2720","2580","2650","5267000","2650","169"
"1989-10-12","2680","2690","2580","2580","4374000","2580","170"
"1989-10-13","2590","2630","2590","2600","1473000","2600","171"
"1989-10-16","2530","2560","2480","2480","784000","2480","172"
"1989-10-17","2550","2550","2500","2500","695000","2500","173"
"1989-10-18","2500","2520","2460","2480","372000","2480","174"
"1989-10-19","2490","2530","2480","2530","206000","2530","175"
"1989-10-20","2530","2530","2500","2510","382000","2510","176"
"1989-10-23","2520","2560","2510","2530","446000","2530","177"
"1989-10-24","2560","2560","2480","2500","321000","2500","178"
"1989-10-25","2500","2500","2450","2460","555000","2460","179"
"1989-10-26","2460","2480","2420","2430","454000","2430","180"
"1989-10-27","2400","2460","2400","2460","654000","2460","181"
"1989-10-30","2460","2460","2400","2440","383000","2440","182"
"1989-10-31","2440","2450","2400","2430","602000","2430","183"
"1989-11-01","2510","2510","2410","2420","260000","2420","184"
"1989-11-02","2430","2460","2410","2460","265000","2460","185"
"1989-11-06","2480","2480","2420","2460","231000","2460","187"
"1989-11-07","2420","2430","2400","2420","246000","2420","188"
"1989-11-08","2420","2420","2400","2400","433000","2400","189"
"1989-11-09","2390","2450","2380","2450","198000","2450","190"
"1989-11-10","2450","2450","2380","2400","369000","2400","191"
"1989-11-13","2400","2400","2380","2400","215000","2400","192"
"1989-11-14","2400","2400","2380","2400","349000","2400","193"
"1989-11-15","2400","2400","2390","2390","429000","2390","194"
"1989-11-16","2390","2400","2360","2360","584000","2360","195"
"1989-11-17","2390","2390","2320","2350","464000","2350","196"
"1989-11-20","2350","2390","2350","2360","182000","2360","197"
"1989-11-21","2390","2420","2370","2390","262000","2390","198"
"1989-11-22","2400","2440","2400","2400","432000","2400","199"
"1989-11-24","2400","2420","2380","2420","500000","2420","200"
"1989-11-27","2380","2420","2380","2420","315000","2420","201"
"1989-11-28","2380","2400","2350","2370","426000","2370","202"
"1989-11-29","2400","2400","2350","2370","451000","2370","203"
"1989-11-30","2360","2400","2360","2400","419000","2400","204"
"1989-12-01","2420","2430","2370","2370","543000","2370","205"
"1989-12-04","2370","2450","2370","2390","1018000","2390","206"
"1989-12-05","2450","2450","2420","2420","427000","2420","207"
"1989-12-06","2400","2500","2400","2490","795000","2490","208"
"1989-12-07","2490","2520","2450","2460","1229000","2460","209"
"1989-12-08","2460","2460","2390","2390","798000","2390","210"
"1989-12-11","2400","2430","2390","2390","909000","2390","211"
"1989-12-12","2400","2480","2400","2440","430000","2440","212"
"1989-12-13","2470","2470","2430","2450","1036000","2450","213"
"1989-12-14","2470","2480","2440","2460","513000","2460","214"
"1989-12-15","2450","2470","2430","2470","404000","2470","215"
"1989-12-18","2450","2470","2430","2460","1092000","2460","216"
"1989-12-19","2460","2460","2410","2440","593000","2440","217"
"1989-12-20","2430","2430","2370","2400","1872000","2400","218"
"1989-12-21","2380","2440","2370","2410","916000","2410","219"
"1989-12-22","2450","2450","2410","2430","637000","2430","220"
"1989-12-25","2440","2480","2410","2480","570000","2480","221"
"1989-12-26","2490","2490","2450","2460","559000","2460","222"
"1989-12-27","2500","2500","2460","2480","673000","2480","223"
"1989-12-28","2470","2490","2460","2470","332000","2470","224"
"1989-12-29","2500","2500","2470","2490","188000","2490","225"
