6954 ファナック,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","5600","5630","5550","5550","219000","5550","1"
"1989-02-20","5650","5650","5500","5550","360000","5550","2"
"1989-02-21","5590","5600","5550","5560","220000","5560","3"
"1989-02-22","5660","5660","5610","5650","336000","5650","4"
"1989-02-23","5650","5690","5620","5660","401000","5660","5"
"1989-02-27","5650","5660","5570","5570","438000","5570","7"
"1989-02-28","5550","5580","5550","5550","240000","5550","8"
"1989-03-01","5560","5570","5490","5500","538000","5500","9"
"1989-03-02","5550","5650","5550","5550","335000","5550","10"
"1989-03-03","5700","5740","5650","5670","337000","5670","11"
"1989-03-06","5730","5740","5600","5650","205000","5650","12"
"1989-03-07","5620","5660","5600","5600","155000","5600","13"
"1989-03-08","5600","5620","5550","5550","174000","5550","14"
"1989-03-09","5550","5560","5490","5500","240000","5500","15"
"1989-03-10","5490","5520","5490","5500","223000","5500","16"
"1989-03-13","5510","5590","5500","5520","164000","5520","17"
"1989-03-14","5550","5650","5530","5630","376000","5630","18"
"1989-03-15","5620","5650","5570","5590","281000","5590","19"
"1989-03-16","5620","5690","5530","5530","351000","5530","20"
"1989-03-17","5540","5580","5490","5490","375000","5490","21"
"1989-03-20","5460","5520","5310","5460","329000","5460","22"
"1989-03-22","5310","5400","5270","5270","390000","5270","24"
"1989-03-23","5280","5450","5260","5310","458000","5310","25"
"1989-03-24","5310","5440","5310","5370","352000","5370","26"
"1989-03-27","5370","5370","5300","5360","341000","5360","27"
"1989-03-28","5370","5650","5350","5570","449000","5570","28"
"1989-03-29","5670","5670","5540","5590","226000","5590","29"
"1989-03-30","5670","5770","5590","5590","307000","5590","30"
"1989-03-31","5590","5750","5500","5750","409000","5750","31"
"1989-04-03","5750","5750","5650","5650","305000","5650","32"
"1989-04-04","5660","5750","5600","5600","212000","5600","33"
"1989-04-05","5530","5590","5490","5500","260000","5500","34"
"1989-04-06","5500","5500","5400","5480","249000","5480","35"
"1989-04-07","5430","5510","5420","5490","488000","5490","36"
"1989-04-10","5480","5550","5470","5490","196000","5490","37"
"1989-04-11","5500","5630","5490","5550","384000","5550","38"
"1989-04-12","5590","5690","5590","5590","464000","5590","39"
"1989-04-13","5690","5890","5680","5760","1034000","5760","40"
"1989-04-14","5760","5840","5720","5830","774000","5830","41"
"1989-04-17","5900","5990","5850","5890","627000","5890","42"
"1989-04-18","5910","5940","5830","5850","432000","5850","43"
"1989-04-19","5850","5850","5730","5770","154000","5770","44"
"1989-04-20","5800","5830","5700","5700","128000","5700","45"
"1989-04-21","5650","5710","5620","5690","141000","5690","46"
"1989-04-24","5690","5730","5590","5640","181000","5640","47"
"1989-04-25","5640","5770","5640","5700","144000","5700","48"
"1989-04-26","5610","5680","5590","5600","320000","5600","49"
"1989-04-27","5620","5680","5600","5650","271000","5650","50"
"1989-04-28","5750","5850","5680","5800","631000","5800","51"
"1989-05-01","5850","5980","5830","5870","1100000","5870","52"
"1989-05-02","5950","5950","5870","5920","504000","5920","53"
"1989-05-08","5920","6190","5900","6100","2415000","6100","57"
"1989-05-09","6120","6280","6100","6180","2995000","6180","58"
"1989-05-10","6220","6250","6050","6080","1208000","6080","59"
"1989-05-11","6090","6150","6040","6070","436000","6070","60"
"1989-05-12","6170","6170","6010","6020","519000","6020","61"
"1989-05-15","6030","6070","5950","5970","254000","5970","62"
"1989-05-16","6020","6280","6020","6250","1593000","6250","63"
"1989-05-17","6240","6270","6150","6220","1492000","6220","64"
"1989-05-18","6280","6330","6130","6190","1490000","6190","65"
"1989-05-19","6190","6400","6190","6330","2252000","6330","66"
"1989-05-22","6390","6480","6350","6440","2051000","6440","67"
"1989-05-23","6430","6470","6280","6400","2040000","6400","68"
"1989-05-24","6390","6390","6210","6380","501000","6380","69"
"1989-05-25","6280","6370","6220","6320","627000","6320","70"
"1989-05-26","6370","6370","6190","6230","407000","6230","71"
"1989-05-29","6330","6380","6210","6210","489000","6210","72"
"1989-05-30","6230","6310","6200","6250","568000","6250","73"
"1989-05-31","6270","6500","6260","6470","1422000","6470","74"
"1989-06-01","6500","6600","6420","6550","3122000","6550","75"
"1989-06-02","6530","6630","6410","6420","1333000","6420","76"
"1989-06-05","6480","6590","6380","6380","1056000","6380","77"
"1989-06-06","6350","6370","6270","6280","497000","6280","78"
"1989-06-07","6290","6330","6130","6150","308000","6150","79"
"1989-06-08","6150","6300","6150","6240","480000","6240","80"
"1989-06-09","6260","6350","6260","6300","394000","6300","81"
"1989-06-12","6240","6460","6210","6460","382000","6460","82"
"1989-06-13","6470","6520","6220","6340","926000","6340","83"
"1989-06-14","6290","6350","6220","6340","184000","6340","84"
"1989-06-15","6270","6350","6240","6250","445000","6250","85"
"1989-06-16","6240","6280","6110","6150","370000","6150","86"
"1989-06-19","6250","6440","6180","6400","457000","6400","87"
"1989-06-20","6430","6480","6370","6450","1032000","6450","88"
"1989-06-21","6470","6480","6390","6430","474000","6430","89"
"1989-06-22","6250","6400","6250","6400","405000","6400","90"
"1989-06-23","6330","6400","6260","6350","405000","6350","91"
"1989-06-26","6360","6360","6220","6340","251000","6340","92"
"1989-06-27","6260","6310","6240","6250","165000","6250","93"
"1989-06-28","6280","6290","6170","6290","313000","6290","94"
"1989-06-29","6280","6430","6260","6380","712000","6380","95"
"1989-06-30","6320","6430","6260","6350","1075000","6350","96"
"1989-07-03","6350","6470","6260","6410","444000","6410","97"
"1989-07-04","6450","6800","6440","6750","5184000","6750","98"
"1989-07-05","6790","6850","6620","6680","2583000","6680","99"
"1989-07-06","6580","6710","6580","6670","1083000","6670","100"
