6988 ì˙ìåìdçH,,,,,
"date","open","hight","low","close","power","End"
"1989-02-17","1850","1870","1820","1830","115000","1830"
"1989-02-20","1840","1840","1780","1800","254000","1800"
"1989-02-21","1770","1790","1770","1790","131000","1790"
"1989-02-22","1780","1810","1780","1810","198000","1810"
"1989-02-23","1810","1810","1750","1800","261000","1800"
"1989-02-27","1820","1820","1770","1770","285000","1770"
"1989-02-28","1800","1800","1730","1770","396000","1770"
"1989-03-01","1770","1800","1750","1770","277000","1770"
"1989-03-02","1790","1810","1740","1750","269000","1750"
"1989-03-03","1800","1800","1760","1790","161000","1790"
"1989-03-06","1790","1790","1770","1770","126000","1770"
"1989-03-07","1770","1770","1760","1760","134000","1760"
"1989-03-08","1760","1760","1750","1760","99000","1760"
"1989-03-09","1750","1760","1720","1720","126000","1720"
"1989-03-10","1720","1720","1690","1710","152000","1710"
"1989-03-13","1710","1710","1700","1700","88000","1700"
"1989-03-14","1730","1730","1700","1730","130000","1730"
"1989-03-15","1740","1740","1710","1730","319000","1730"
"1989-03-16","1730","1830","1720","1830","354000","1830"
"1989-03-17","1830","1830","1740","1800","171000","1800"
"1989-03-20","1770","1800","1750","1800","277000","1800"
"1989-03-22","1800","1820","1740","1800","271000","1800"
"1989-03-23","1830","1830","1780","1830","349000","1830"
"1989-03-24","1800","1800","1750","1800","121000","1800"
"1989-03-27","1800","1800","1750","1750","155000","1750"
"1989-03-28","1770","1820","1760","1790","59000","1790"
"1989-03-29","1790","1860","1790","1850","329000","1850"
"1989-03-30","1860","1860","1800","1860","635000","1860"
"1989-03-31","1860","1890","1860","1890","626000","1890"
"1989-04-03","1890","1940","1880","1910","639000","1910"
"1989-04-04","1920","1920","1870","1880","280000","1880"
"1989-04-05","1880","1880","1840","1870","452000","1870"
"1989-04-06","1860","1860","1800","1820","277000","1820"
"1989-04-07","1850","1900","1810","1890","316000","1890"
"1989-04-10","1890","1910","1860","1900","226000","1900"
"1989-04-11","1910","1980","1900","1940","689000","1940"
"1989-04-12","1960","1970","1930","1970","467000","1970"
"1989-04-13","1980","2050","1970","1970","1746000","1970"
"1989-04-14","1950","1990","1950","1970","209000","1970"
"1989-04-17","2000","2030","1980","2000","351000","2000"
"1989-04-18","2000","2020","1990","1990","613000","1990"
"1989-04-19","1980","2290","1980","2290","4355000","2290"
"1989-04-20","2280","2290","2170","2170","3324000","2170"
"1989-04-21","2130","2260","2130","2150","2107000","2150"
"1989-04-24","2150","2160","2070","2140","329000","2140"
"1989-04-25","2130","2150","2040","2070","413000","2070"
"1989-04-26","2070","2150","2000","2150","621000","2150"
"1989-04-27","2140","2140","2100","2110","89000","2110"
"1989-04-28","2150","2150","2080","2110","203000","2110"
"1989-05-01","2080","2100","2060","2100","104000","2100"
"1989-05-02","2090","2100","2060","2080","212000","2080"
"1989-05-08","2040","2080","2040","2080","114000","2080"
"1989-05-09","2070","2120","2050","2090","590000","2090"
"1989-05-10","2060","2100","2060","2060","372000","2060"
"1989-05-11","2060","2080","2030","2030","184000","2030"
"1989-05-12","2030","2050","2000","2050","191000","2050"
"1989-05-15","2010","2030","2010","2010","83000","2010"
"1989-05-16","2020","2110","2020","2110","533000","2110"
"1989-05-17","2110","2120","2080","2100","585000","2100"
"1989-05-18","2060","2100","2030","2080","364000","2080"
"1989-05-19","2040","2130","2040","2110","397000","2110"
"1989-05-22","2100","2170","2090","2170","557000","2170"
"1989-05-23","2150","2150","2080","2100","751000","2100"
"1989-05-24","2100","2100","2060","2070","172000","2070"
"1989-05-25","2090","2090","2040","2090","398000","2090"
"1989-05-26","2100","2140","2060","2140","271000","2140"
"1989-05-29","2100","2110","2060","2070","190000","2070"
"1989-05-30","2080","2090","2070","2070","70000","2070"
"1989-05-31","2100","2120","2070","2120","225000","2120"
"1989-06-01","2080","2170","2080","2120","605000","2120"
"1989-06-02","2160","2160","2080","2090","358000","2090"
"1989-06-05","2130","2130","2050","2080","292000","2080"
"1989-06-06","2100","2100","2000","2000","190000","2000"
"1989-06-07","2050","2050","2000","2040","317000","2040"
"1989-06-08","2050","2050","2000","2000","255000","2000"
"1989-06-09","2060","2070","2040","2050","410000","2050"
"1989-06-12","2030","2040","2000","2040","354000","2040"
"1989-06-13","2020","2060","2000","2030","229000","2030"
"1989-06-14","2010","2030","1970","2030","106000","2030"
"1989-06-15","2030","2040","1970","2000","253000","2000"
"1989-06-16","2030","2040","1980","2020","140000","2020"
"1989-06-19","2020","2130","1980","2130","284000","2130"
"1989-06-20","2140","2150","2070","2100","356000","2100"
"1989-06-21","2120","2140","2100","2140","387000","2140"
"1989-06-22","2150","2150","2120","2150","730000","2150"
"1989-06-23","2110","2120","2080","2100","403000","2100"
"1989-06-26","2100","2120","2090","2110","237000","2110"
"1989-06-27","2120","2120","2080","2080","144000","2080"
"1989-06-28","2090","2090","2000","2040","342000","2040"
"1989-06-29","2110","2150","2040","2140","625000","2140"
"1989-06-30","2100","2150","2080","2140","354000","2140"
"1989-07-03","2140","2200","2120","2180","790000","2180"
"1989-07-04","2190","2270","2180","2250","2904000","2250"
"1989-07-05","2320","2330","2220","2280","2448000","2280"
"1989-07-06","2220","2270","2220","2260","583000","2260"
"1989-07-07","2260","2290","2240","2280","708000","2280"
"1989-07-10","2270","2270","2230","2270","228000","2270"
"1989-07-11","2250","2250","2220","2240","91000","2240"
"1989-07-12","2230","2230","2190","2230","202000","2230"
"1989-07-13","2210","2210","2170","2200","179000","2200"
"1989-07-14","2220","2220","2190","2220","135000","2220"
"1989-07-17","2180","2230","2180","2220","59000","2220"
"1989-07-18","2210","2210","2160","2210","69000","2210"
"1989-07-19","2210","2210","2170","2180","81000","2180"
"1989-07-20","2220","2220","2180","2200","144000","2200"
"1989-07-21","2210","2210","2160","2180","227000","2180"
"1989-07-24","2180","2230","2140","2140","140000","2140"
"1989-07-25","2140","2170","2120","2130","513000","2130"
"1989-07-26","2110","2140","2110","2110","198000","2110"
"1989-07-27","2130","2150","2090","2100","405000","2100"
"1989-07-28","2120","2180","2110","2160","275000","2160"
"1989-07-31","2200","2200","2170","2170","175000","2170"
"1989-08-01","2180","2190","2150","2180","288000","2180"
"1989-08-02","2140","2200","2140","2150","193000","2150"
"1989-08-03","2160","2160","2130","2130","100000","2130"
"1989-08-04","2160","2170","2100","2170","189000","2170"
"1989-08-07","2210","2210","2150","2200","134000","2200"
"1989-08-08","2200","2250","2170","2240","269000","2240"
"1989-08-09","2240","2250","2210","2220","398000","2220"
"1989-08-10","2250","2280","2220","2270","673000","2270"
