7011 éOïHèdçHã∆,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1170","1210","1170","1200","94517000","1200","1"
"1989-02-20","1210","1210","1190","1190","30942000","1190","2"
"1989-02-21","1190","1200","1160","1160","8794000","1160","3"
"1989-02-22","1170","1180","1160","1170","9562000","1170","4"
"1989-02-23","1180","1210","1170","1210","68740000","1210","5"
"1989-02-27","1190","1220","1180","1190","31482000","1190","7"
"1989-02-28","1190","1210","1160","1170","16766000","1170","8"
"1989-03-01","1180","1190","1140","1160","14218000","1160","9"
"1989-03-02","1150","1170","1140","1160","8510000","1160","10"
"1989-03-03","1160","1180","1150","1160","11841000","1160","11"
"1989-03-06","1140","1160","1140","1150","7649000","1150","12"
"1989-03-07","1130","1150","1130","1150","6598000","1150","13"
"1989-03-08","1150","1160","1130","1140","7640000","1140","14"
"1989-03-09","1130","1140","1090","1100","13624000","1100","15"
"1989-03-10","1100","1130","1100","1100","10060000","1100","16"
"1989-03-13","1100","1110","1080","1090","6312000","1090","17"
"1989-03-14","1090","1100","1080","1090","4434000","1090","18"
"1989-03-15","1100","1130","1090","1110","11668000","1110","19"
"1989-03-16","1130","1130","1110","1110","10199000","1110","20"
"1989-03-17","1130","1130","1100","1110","6808000","1110","21"
"1989-03-20","1100","1100","1070","1090","9484000","1090","22"
"1989-03-22","1070","1080","1040","1040","9181000","1040","24"
"1989-03-23","1050","1070","1040","1060","9789000","1060","25"
"1989-03-24","1060","1070","1050","1050","4342000","1050","26"
"1989-03-27","1060","1060","1040","1040","6711000","1040","27"
"1989-03-28","1060","1080","1040","1080","7778000","1080","28"
"1989-03-29","1090","1110","1080","1090","6637000","1090","29"
"1989-03-30","1130","1130","1100","1100","6847000","1100","30"
"1989-03-31","1130","1150","1100","1140","19303000","1140","31"
"1989-04-03","1130","1150","1120","1140","10307000","1140","32"
"1989-04-04","1140","1190","1140","1180","29980000","1180","33"
"1989-04-05","1190","1200","1150","1170","29705000","1170","34"
"1989-04-06","1150","1160","1130","1130","10012000","1130","35"
"1989-04-07","1130","1150","1120","1130","8685000","1130","36"
"1989-04-10","1130","1140","1120","1120","4406000","1120","37"
"1989-04-11","1120","1160","1110","1130","8688000","1130","38"
"1989-04-12","1150","1150","1130","1130","5530000","1130","39"
"1989-04-13","1130","1140","1100","1110","8268000","1110","40"
"1989-04-14","1100","1110","1090","1100","4023000","1100","41"
"1989-04-17","1100","1120","1090","1090","6629000","1090","42"
