7186 コンコルディアFG,,,,,
"date","open","hight","low","close","power","End","date_position"
"2016-04-04","515","537","514","516","12701000","516","7051"
"2016-04-05","506","511","487","493","7738200","493","7052"
"2016-04-06","490","490","473","478","11269900","478","7053"
"2016-04-07","471","478","465","470","4524399","470","7054"
"2016-04-08","462","491","459","489","6026500","489","7055"
"2016-04-11","473","480","469","477","3018600","477","7056"
"2016-04-12","479","507","476","503","4478200","503","7057"
"2016-04-13","499","516","483","515","6605300","515","7058"
"2016-04-14","511","527","508","527","7070200","527","7059"
"2016-04-15","517","526","504","504","5916800","504","7060"
"2016-04-18","495","514","493","499","5370100","499","7061"
"2016-04-19","510","523","508","510","4326100","510","7062"
"2016-04-20","523","535","519","521","7399000","521","7063"
"2016-04-21","538","538","524","531","3845900","531","7064"
"2016-04-22","524","560","522","556","5607600","556","7065"
"2016-04-25","560","564","549","554","3956000","554","7066"
"2016-04-26","550","560","535","545","4242100","545","7067"
"2016-04-27","547","555","537","548","3243800","548","7068"
"2016-04-28","558","569","497","512","4771899","512","7069"
"2016-05-02","486","491","478","485","3996900","485","7071"
"2016-05-06","495","496","485","495","5206100","495","7075"
"2016-05-09","498","506","494","495","2408400","495","7076"
"2016-05-10","493","494","478","487","8801600","487","7077"
"2016-05-11","491","494","475","480","6514800","480","7078"
"2016-05-12","479","491","474","484","5561600","484","7079"
"2016-05-13","495","495","467","470","6059100","470","7080"
"2016-05-16","475","492","469","477","5163399","477","7081"
"2016-05-17","489","490","479","487","4331600","487","7082"
"2016-05-18","489","502","488","496","4396899","496","7083"
"2016-05-19","503","508","489","489","2720199","489","7084"
"2016-05-20","488","498","486","494","1579200","494","7085"
"2016-05-23","494","502","486","501","2179800","501","7086"
"2016-05-24","499","499","487","487","3367000","487","7087"
"2016-05-25","495","500","489","494","1632099","494","7088"
"2016-05-26","502","507","495","497","1685500","497","7089"
"2016-05-27","496","507","494","507","1929500","507","7090"
"2016-05-30","511","513","502","510","1120400","510","7091"
"2016-05-31","514","518","507","516","2693300","516","7092"
"2016-06-01","508","517","503","509","2661100","509","7093"
"2016-06-02","504","504","485","486","3061400","486","7094"
"2016-06-03","487","491","481","485","1767300","485","7095"
"2016-06-06","472","475","467","470","3033000","470","7096"
"2016-06-07","471","471","465","467","3711800","467","7097"
"2016-06-08","467","470","464","470","2540199","470","7098"
"2016-06-09","465","469","463","465","3759900","465","7099"
"2016-06-10","471","471","456","459","7029700","459","7100"
"2016-06-13","449","451","443","446","4289700","446","7101"
"2016-06-14","444","445","435","439","3424500","439","7102"
"2016-06-15","437","449","433","444","3353500","444","7103"
"2016-06-16","442","443","426","428","3545300","428","7104"
"2016-06-17","436","440","432","434","3806699","434","7105"
"2016-06-20","441","449","435","437","3574900","437","7106"
"2016-06-21","429","441","422","438","3006699","438","7107"
"2016-06-22","437","439","430","435","3272800","435","7108"
"2016-06-23","435","446","433","443","1318700","443","7109"
"2016-06-24","445","447","401","402","3352600","402","7110"
"2016-06-27","410","423","390","400","4476700","400","7111"
"2016-06-28","388","401","372","396","3612600","396","7112"
"2016-06-29","401","404","394","399","2213400","399","7113"
"2016-06-30","401","406","398","398","3118199","398","7114"
"2016-07-01","402","407","395","403","2163199","403","7115"
"2016-07-04","403","411","397","410","2955199","410","7116"
"2016-07-05","405","407","397","405","2099699","405","7117"
"2016-07-06","397","404","380","385","4540100","385","7118"
"2016-07-07","380","389","379","381","2303600","381","7119"
"2016-07-08","384","385","376","379","3305400","379","7120"
"2016-07-11","395","407","391","404","3627000","404","7121"
"2016-07-12","418","423","411","418","3757900","418","7122"
"2016-07-13","426","436","421","429","4155700","429","7123"
"2016-07-14","429","432","419","425","2893800","425","7124"
"2016-07-15","429","448","429","439","2548500","439","7125"
"2016-07-19","447","447","428","435","1906500","435","7127"
"2016-07-20","432","436","422","428","1891099","428","7128"
"2016-07-21","436","441","422","429","2365199","429","7129"
"2016-07-22","417","425","415","420","1877900","420","7130"
"2016-07-25","431","433","421","424","3261800","424","7131"
"2016-07-26","421","422","413","417","4236399","417","7132"
"2016-07-27","424","426","413","422","3817500","422","7133"
"2016-07-28","416","419","410","413","1867599","413","7134"
"2016-07-29","412","445","399","444","5723600","444","7135"
"2016-08-01","438","468","430","465","5457600","465","7136"
"2016-08-02","449","464","444","445","4269399","445","7137"
"2016-08-03","431","436","421","423","3918800","423","7138"
"2016-08-04","427","440","423","436","5114600","436","7139"
"2016-08-05","438","459","437","447","5496200","447","7140"
"2016-08-08","479","479","467","473","4817300","473","7141"
"2016-08-09","476","489","475","483","5229100","483","7142"
"2016-08-10","479","485","471","482","4530700","482","7143"
"2016-08-12","487","491","467","479","4147200","479","7145"
"2016-08-15","479","487","476","486","3220199","486","7146"
"2016-08-16","490","500","483","484","3580500","484","7147"
"2016-08-17","483","503","480","500","3496699","500","7148"
"2016-08-18","505","517","498","504","5166100","504","7149"
"2016-08-19","501","509","500","502","3272600","502","7150"
"2016-08-22","504","513","498","511","3075500","511","7151"
"2016-08-23","511","513","490","492","3667400","492","7152"
"2016-08-24","492","500","492","496","2882800","496","7153"
"2016-08-25","496","499","487","493","3427199","493","7154"
"2016-08-26","487","497","482","490","2836500","490","7155"
"2016-08-29","498","500","490","492","4573000","492","7156"
"2016-08-30","492","517","492","510","4633500","510","7157"
"2016-08-31","520","533","518","533","5150800","533","7158"
"2016-09-01","534","541","529","539","4019900","539","7159"
"2016-09-02","540","545","532","542","3906000","542","7160"
"2016-09-05","551","553","531","532","3445900","532","7161"
"2016-09-06","533","541","530","534","3477000","534","7162"
"2016-09-07","524","527","511","523","4650000","523","7163"
"2016-09-08","522","522","508","516","4903399","516","7164"
"2016-09-09","509","518","507","512","5467800","512","7165"
"2016-09-12","508","512","494","500","4946399","500","7166"
"2016-09-13","493","494","480","485","5936399","485","7167"
"2016-09-14","475","484","470","478","7243800","478","7168"
"2016-09-15","470","474","464","472","5185800","472","7169"
"2016-09-16","473","496","468","494","7879200","494","7170"
"2016-09-20","486","496","483","485","6937200","485","7172"
"2016-09-21","484","514","467","509","10872700","509","7173"
"2016-09-23","499","504","484","496","7342300","496","7175"
"2016-09-26","500","501","483","484","5054600","484","7176"
"2016-09-27","474","475","447","469","8670500","469","7177"
"2016-09-28","464","464","441","452","5574000","452","7178"
"2016-09-29","448","466","448","456","6220000","456","7179"
"2016-09-30","440","447","435","437","4717399","437","7180"
"2016-10-03","445","449","437","441","3085800","441","7181"
"2016-10-04","444","457","442","448","4171399","448","7182"
"2016-10-05","449","453","443","446","4513600","446","7183"
"2016-10-06","451","459","450","451","4094600","451","7184"
"2016-10-07","451","457","449","454","3374100","454","7185"
"2016-10-11","456","463","447","450","4373600","450","7187"
"2016-10-12","445","445","437","442","5237399","442","7188"
"2016-10-13","446","450","434","435","4589899","435","7189"
"2016-10-14","436","443","435","442","3984400","442","7190"
"2016-10-17","442","452","442","445","3234199","445","7191"
"2016-10-18","443","447","441","446","4063900","446","7192"
"2016-10-19","449","450","442","448","4470300","448","7193"
"2016-10-20","452","462","448","461","3987300","461","7194"
"2016-10-21","466","473","463","469","5270000","469","7195"
"2016-10-24","469","476","462","466","3848500","466","7196"
"2016-10-25","470","479","470","474","5260100","474","7197"
"2016-10-26","472","475","465","474","3589600","474","7198"
"2016-10-27","473","475","468","474","3339100","474","7199"
"2016-10-28","481","487","478","485","9038000","485","7200"
"2016-10-31","480","487","478","487","4666600","487","7201"
"2016-11-01","487","489","482","487","3021199","487","7202"
"2016-11-02","482","486","469","470","5809800","470","7203"
"2016-11-04","465","468","458","465","4155000","465","7205"
"2016-11-07","476","481","470","477","4366800","477","7206"
"2016-11-08","483","490","478","483","4560800","483","7207"
"2016-11-09","488","499","444","450","8560299","450","7208"
"2016-11-10","498","509","485","496","8410100","496","7209"
"2016-11-11","514","523","496","499","7667300","499","7210"
"2016-11-14","514","514","497","503","6482600","503","7211"
"2016-11-15","503","512","490","495","5703399","495","7212"
"2016-11-16","510","527","508","524","7848600","524","7213"
"2016-11-17","514","520","501","520","6047800","520","7214"
"2016-11-18","530","545","518","520","5302700","520","7215"
"2016-11-21","526","529","517","527","4779200","527","7216"
"2016-11-22","527","533","522","531","5093800","531","7217"
"2016-11-24","535","535","516","527","7916899","527","7219"
"2016-11-25","528","529","493","504","10741000","504","7220"
"2016-11-28","501","518","498","517","6557899","517","7221"
"2016-11-29","509","518","503","515","5158899","515","7222"
"2016-11-30","518","525","516","525","14147700","525","7223"
"2016-12-01","533","546","527","536","6542200","536","7224"
"2016-12-02","534","553","533","549","6923000","549","7225"
"2016-12-05","537","546","537","541","3233600","541","7226"
"2016-12-06","546","551","541","550","5951600","550","7227"
"2016-12-07","555","565","554","564","5390000","564","7228"
"2016-12-08","572","578","564","577","5137300","577","7229"
"2016-12-09","597","601","586","599","10840400","599","7230"
"2016-12-12","595","598","566","574","12150799","574","7231"
