7201 “úŽYŽ©“®ŽÔ,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1360","1400","1350","1390","19643000","1390","1"
"1989-02-20","1410","1430","1380","1400","14726000","1400","2"
"1989-02-21","1400","1410","1380","1380","6092000","1380","3"
"1989-02-22","1400","1460","1390","1450","37715000","1450","4"
"1989-02-23","1450","1500","1440","1500","32921000","1500","5"
"1989-02-27","1480","1540","1480","1500","26091000","1500","7"
"1989-02-28","1500","1580","1490","1530","33466000","1530","8"
"1989-03-01","1580","1590","1530","1540","24958000","1540","9"
"1989-03-02","1540","1550","1500","1500","6918000","1500","10"
"1989-03-03","1520","1540","1460","1470","6349000","1470","11"
"1989-03-06","1470","1480","1440","1440","2733000","1440","12"
"1989-03-07","1450","1490","1450","1470","6330000","1470","13"
"1989-03-08","1480","1500","1460","1460","6314000","1460","14"
"1989-03-09","1460","1480","1420","1440","3898000","1440","15"
"1989-03-10","1450","1460","1430","1450","3501000","1450","16"
"1989-03-13","1450","1460","1410","1420","2888000","1420","17"
"1989-03-14","1440","1450","1420","1440","4280000","1440","18"
"1989-03-15","1450","1500","1450","1490","6543000","1490","19"
"1989-03-16","1510","1520","1480","1480","5478000","1480","20"
"1989-03-17","1490","1500","1470","1500","4058000","1500","21"
"1989-03-20","1450","1470","1440","1450","4417000","1450","22"
"1989-03-22","1470","1480","1450","1450","4296000","1450","24"
"1989-03-23","1450","1470","1450","1450","6283000","1450","25"
"1989-03-24","1470","1470","1450","1470","2943000","1470","26"
"1989-03-27","1450","1460","1450","1450","3583000","1450","27"
"1989-03-28","1480","1520","1470","1520","8163000","1520","28"
"1989-03-29","1520","1560","1510","1560","11257000","1560","29"
"1989-03-30","1560","1570","1520","1550","6636000","1550","30"
"1989-03-31","1550","1550","1520","1520","3176000","1520","31"
"1989-04-03","1530","1610","1520","1590","17018000","1590","32"
"1989-04-04","1600","1620","1570","1590","19295000","1590","33"
"1989-04-05","1580","1590","1560","1580","6081000","1580","34"
"1989-04-06","1550","1560","1500","1560","3231000","1560","35"
"1989-04-07","1540","1550","1530","1540","2106000","1540","36"
"1989-04-10","1540","1550","1510","1510","1341000","1510","37"
"1989-04-11","1510","1550","1510","1540","2346000","1540","38"
"1989-04-12","1550","1570","1510","1520","2196000","1520","39"
"1989-04-13","1550","1550","1510","1520","1446000","1520","40"
"1989-04-14","1520","1530","1510","1520","1223000","1520","41"
"1989-04-17","1530","1540","1520","1540","2121000","1540","42"
"1989-04-18","1520","1540","1510","1540","2329000","1540","43"
"1989-04-19","1520","1540","1510","1510","2328000","1510","44"
"1989-04-20","1510","1520","1490","1490","2348000","1490","45"
"1989-04-21","1470","1500","1450","1480","2586000","1480","46"
"1989-04-24","1490","1500","1480","1480","2020000","1480","47"
"1989-04-25","1500","1530","1480","1520","3795000","1520","48"
"1989-04-26","1510","1520","1480","1490","2214000","1490","49"
"1989-04-27","1500","1510","1480","1510","1971000","1510","50"
"1989-04-28","1510","1520","1490","1520","3445000","1520","51"
"1989-05-01","1520","1540","1510","1540","2382000","1540","52"
"1989-05-02","1530","1560","1520","1550","4530000","1550","53"
"1989-05-08","1540","1560","1530","1540","3031000","1540","57"
"1989-05-09","1540","1560","1530","1550","4084000","1550","58"
"1989-05-10","1560","1600","1560","1570","14465000","1570","59"
"1989-05-11","1570","1570","1550","1560","2138000","1560","60"
"1989-05-12","1530","1550","1520","1550","3221000","1550","61"
"1989-05-15","1560","1560","1540","1540","1550000","1540","62"
"1989-05-16","1550","1570","1540","1560","2674000","1560","63"
"1989-05-17","1560","1580","1550","1560","5075000","1560","64"
"1989-05-18","1560","1570","1540","1540","2505000","1540","65"
"1989-05-19","1540","1570","1540","1540","2209000","1540","66"
"1989-05-22","1570","1590","1560","1560","5631000","1560","67"
"1989-05-23","1590","1590","1540","1540","10428000","1540","68"
"1989-05-24","1560","1580","1550","1560","2659000","1560","69"
"1989-05-25","1580","1580","1560","1570","2275000","1570","70"
"1989-05-26","1570","1580","1560","1580","3259000","1580","71"
"1989-05-29","1580","1580","1570","1570","2436000","1570","72"
"1989-05-30","1570","1570","1560","1560","1724000","1560","73"
"1989-05-31","1560","1570","1550","1560","2141000","1560","74"
"1989-06-01","1590","1700","1590","1650","52278000","1650","75"
"1989-06-02","1680","1700","1630","1650","30273000","1650","76"
"1989-06-05","1640","1660","1590","1590","5236000","1590","77"
"1989-06-06","1590","1630","1560","1610","6632000","1610","78"
"1989-06-07","1630","1640","1600","1600","5378000","1600","79"
"1989-06-08","1620","1630","1600","1620","2808000","1620","80"
"1989-06-09","1630","1640","1590","1600","4192000","1600","81"
"1989-06-12","1600","1600","1570","1580","1696000","1580","82"
"1989-06-13","1600","1620","1560","1560","3244000","1560","83"
"1989-06-14","1580","1590","1550","1570","2547000","1570","84"
"1989-06-15","1570","1580","1550","1550","3750000","1550","85"
"1989-06-16","1560","1580","1530","1530","2141000","1530","86"
"1989-06-19","1540","1560","1530","1560","1296000","1560","87"
"1989-06-20","1580","1590","1560","1590","3707000","1590","88"
"1989-06-21","1590","1610","1570","1590","5052000","1590","89"
"1989-06-22","1600","1610","1580","1600","3464000","1600","90"
"1989-06-23","1610","1620","1590","1590","3042000","1590","91"
"1989-06-26","1600","1600","1560","1580","1100000","1580","92"
"1989-06-27","1580","1590","1560","1560","2435000","1560","93"
"1989-06-28","1560","1570","1520","1530","1859000","1530","94"
"1989-06-29","1540","1540","1520","1520","1440000","1520","95"
"1989-06-30","1520","1520","1480","1520","3338000","1520","96"
"1989-07-03","1500","1560","1500","1550","1258000","1550","97"
"1989-07-04","1580","1590","1550","1580","2767000","1580","98"
"1989-07-05","1580","1610","1560","1580","3022000","1580","99"
"1989-07-06","1580","1580","1560","1560","1368000","1560","100"
"1989-07-07","1560","1580","1560","1560","1606000","1560","101"
"1989-07-10","1580","1580","1560","1560","743000","1560","102"
"1989-07-11","1560","1570","1550","1560","2202000","1560","103"
"1989-07-12","1560","1560","1540","1540","1436000","1540","104"
"1989-07-13","1540","1550","1520","1520","1411000","1520","105"
"1989-07-14","1540","1560","1520","1560","1247000","1560","106"
"1989-07-17","1560","1560","1520","1530","1057000","1530","107"
"1989-07-18","1530","1540","1520","1530","1285000","1530","108"
"1989-07-19","1530","1540","1520","1530","1037000","1530","109"
"1989-07-20","1540","1550","1530","1540","1434000","1540","110"
"1989-07-21","1540","1550","1530","1540","2112000","1540","111"
"1989-07-24","1550","1550","1530","1530","1563000","1530","112"
"1989-07-25","1540","1540","1520","1540","2736000","1540","113"
"1989-07-26","1540","1570","1520","1520","3304000","1520","114"
"1989-07-27","1530","1550","1520","1520","2849000","1520","115"
"1989-07-28","1530","1550","1530","1530","1902000","1530","116"
"1989-07-31","1550","1550","1530","1540","1121000","1540","117"
"1989-08-01","1540","1550","1530","1530","1181000","1530","118"
"1989-08-02","1530","1560","1530","1530","2625000","1530","119"
"1989-08-03","1530","1560","1530","1530","3608000","1530","120"
"1989-08-04","1540","1550","1530","1540","2022000","1540","121"
"1989-08-07","1550","1550","1530","1530","1268000","1530","122"
"1989-08-08","1540","1550","1530","1540","1712000","1540","123"
"1989-08-09","1550","1560","1530","1540","2488000","1540","124"
"1989-08-10","1540","1560","1530","1540","1812000","1540","125"
