7203 ƒgƒˆƒ^Ž©“®ŽÔ,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","2540","2550","2510","2510","1416000","2510","1"
"1989-02-20","2500","2520","2480","2490","1187000","2490","2"
"1989-02-21","2490","2500","2470","2470","892000","2470","3"
"1989-02-22","2490","2520","2490","2510","976000","2510","4"
"1989-02-23","2530","2590","2510","2560","1938000","2560","5"
"1989-02-27","2560","2580","2530","2540","854000","2540","7"
"1989-02-28","2540","2570","2530","2550","976000","2550","8"
"1989-03-01","2550","2570","2530","2560","1445000","2560","9"
"1989-03-02","2540","2570","2540","2550","983000","2550","10"
"1989-03-03","2580","2580","2530","2550","8343000","2550","11"
"1989-03-06","2550","2570","2460","2500","669000","2500","12"
"1989-03-07","2500","2520","2460","2460","603000","2460","13"
"1989-03-08","2500","2500","2450","2450","677000","2450","14"
"1989-03-09","2460","2500","2440","2440","942000","2440","15"
"1989-03-10","2440","2480","2440","2480","941000","2480","16"
"1989-03-13","2480","2480","2460","2480","465000","2480","17"
"1989-03-14","2470","2530","2450","2530","1477000","2530","18"
"1989-03-15","2490","2560","2490","2560","2076000","2560","19"
"1989-03-16","2590","2610","2580","2580","2762000","2580","20"
"1989-03-17","2580","2590","2510","2510","2044000","2510","21"
"1989-03-20","2520","2520","2480","2480","588000","2480","22"
"1989-03-22","2520","2530","2470","2500","931000","2500","24"
"1989-03-23","2500","2540","2460","2490","3340000","2490","25"
"1989-03-24","2500","2510","2460","2500","994000","2500","26"
"1989-03-27","2490","2540","2480","2530","966000","2530","27"
"1989-03-28","2560","2600","2510","2600","879000","2600","28"
"1989-03-29","2600","2600","2570","2580","1371000","2580","29"
"1989-03-30","2580","2590","2510","2520","1318000","2520","30"
"1989-03-31","2550","2550","2500","2520","982000","2520","31"
"1989-04-03","2560","2570","2490","2530","1196000","2530","32"
"1989-04-04","2570","2580","2520","2540","1101000","2540","33"
"1989-04-05","2550","2560","2500","2540","1179000","2540","34"
"1989-04-06","2540","2550","2470","2520","998000","2520","35"
"1989-04-07","2520","2520","2450","2480","1182000","2480","36"
"1989-04-10","2510","2510","2450","2470","531000","2470","37"
"1989-04-11","2490","2500","2460","2490","1274000","2490","38"
"1989-04-12","2500","2550","2500","2530","1471000","2530","39"
"1989-04-13","2540","2540","2500","2520","536000","2520","40"
"1989-04-14","2550","2550","2500","2500","514000","2500","41"
"1989-04-17","2530","2530","2480","2480","650000","2480","42"
"1989-04-18","2520","2520","2470","2480","911000","2480","43"
"1989-04-19","2460","2490","2450","2470","655000","2470","44"
"1989-04-20","2500","2500","2450","2460","1104000","2460","45"
"1989-04-21","2440","2470","2410","2470","861000","2470","46"
"1989-04-24","2490","2490","2450","2480","530000","2480","47"
"1989-04-25","2500","2520","2480","2520","551000","2520","48"
"1989-04-26","2520","2530","2490","2520","1526000","2520","49"
"1989-04-27","2520","2520","2500","2500","780000","2500","50"
"1989-04-28","2540","2540","2510","2530","1311000","2530","51"
"1989-05-01","2540","2550","2510","2550","555000","2550","52"
"1989-05-02","2550","2620","2530","2600","1676000","2600","53"
"1989-05-08","2630","2650","2610","2650","2416000","2650","57"
"1989-05-09","2660","2690","2640","2690","5006000","2690","58"
"1989-05-10","2700","2700","2650","2650","2478000","2650","59"
"1989-05-11","2670","2670","2620","2640","997000","2640","60"
"1989-05-12","2630","2640","2600","2610","861000","2610","61"
"1989-05-15","2570","2620","2570","2620","873000","2620","62"
"1989-05-16","2660","2670","2610","2670","1384000","2670","63"
"1989-05-17","2670","2670","2630","2640","909000","2640","64"
"1989-05-18","2660","2670","2640","2640","1335000","2640","65"
"1989-05-19","2640","2670","2630","2670","2003000","2670","66"
"1989-05-22","2670","2740","2670","2740","3772000","2740","67"
"1989-05-23","2750","2750","2710","2740","3079000","2740","68"
"1989-05-24","2730","2740","2710","2730","1797000","2730","69"
"1989-05-25","2730","2730","2690","2720","1562000","2720","70"
"1989-05-26","2740","2740","2720","2720","831000","2720","71"
"1989-05-29","2720","2750","2690","2700","1809000","2700","72"
"1989-05-30","2690","2710","2690","2690","653000","2690","73"
"1989-05-31","2720","2730","2690","2730","1556000","2730","74"
"1989-06-01","2730","2800","2730","2770","4944000","2770","75"
"1989-06-02","2770","2770","2740","2740","2364000","2740","76"
"1989-06-05","2730","2750","2680","2680","822000","2680","77"
"1989-06-06","2680","2680","2660","2660","664000","2660","78"
"1989-06-07","2680","2690","2640","2650","893000","2650","79"
"1989-06-08","2650","2700","2650","2700","1089000","2700","80"
"1989-06-09","2700","2700","2670","2680","1011000","2680","81"
"1989-06-12","2670","2670","2650","2660","513000","2660","82"
"1989-06-13","2680","2740","2660","2660","2343000","2660","83"
"1989-06-14","2700","2710","2660","2710","1034000","2710","84"
"1989-06-15","2710","2730","2660","2660","1783000","2660","85"
"1989-06-16","2670","2680","2640","2670","817000","2670","86"
"1989-06-19","2660","2740","2650","2730","1309000","2730","87"
"1989-06-20","2740","2750","2700","2720","3051000","2720","88"
"1989-06-21","2730","2740","2700","2720","1768000","2720","89"
"1989-06-22","2720","2720","2700","2720","1055000","2720","90"
"1989-06-23","2710","2740","2700","2710","1463000","2710","91"
"1989-06-26","2710","2720","2680","2690","1422000","2690","92"
"1989-06-27","2600","2600","2550","2570","713000","2570","93"
"1989-06-28","2550","2550","2510","2550","631000","2550","94"
"1989-06-29","2530","2540","2520","2530","371000","2530","95"
"1989-06-30","2500","2530","2500","2530","659000","2530","96"
"1989-07-03","2500","2560","2500","2540","584000","2540","97"
"1989-07-04","2530","2620","2530","2570","2859000","2570","98"
"1989-07-05","2610","2650","2580","2600","4385000","2600","99"
"1989-07-06","2600","2610","2580","2600","887000","2600","100"
"1989-07-07","2600","2630","2580","2630","1218000","2630","101"
"1989-07-10","2630","2630","2600","2610","716000","2610","102"
"1989-07-11","2620","2620","2580","2600","877000","2600","103"
"1989-07-12","2580","2600","2580","2590","755000","2590","104"
"1989-07-13","2580","2590","2570","2570","640000","2570","105"
