7205 “ú–ìŽ©“®ŽÔ,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","990","1000","970","980","633000","980","1"
"1989-02-20","990","990","973","986","496000","986","2"
"1989-02-21","999","999","985","992","464000","992","3"
"1989-02-22","992","1030","985","1010","1747000","1010","4"
"1989-02-23","1030","1070","1010","1070","8061000","1070","5"
"1989-02-27","1070","1110","1050","1050","5868000","1050","7"
"1989-02-28","1070","1090","1050","1050","3875000","1050","8"
"1989-03-01","1080","1090","1010","1010","1571000","1010","9"
"1989-03-02","1050","1050","1020","1040","549000","1040","10"
"1989-03-03","1060","1090","1050","1070","1529000","1070","11"
"1989-03-06","1040","1050","1020","1030","495000","1030","12"
"1989-03-07","1030","1060","1020","1060","443000","1060","13"
"1989-03-08","1070","1070","1030","1030","656000","1030","14"
"1989-03-09","1040","1050","1020","1020","298000","1020","15"
"1989-03-10","1020","1040","1020","1020","269000","1020","16"
"1989-03-13","1030","1080","1030","1070","2846000","1070","17"
"1989-03-14","1070","1110","1030","1070","2654000","1070","18"
"1989-03-15","1090","1090","1050","1090","1387000","1090","19"
"1989-03-16","1090","1100","1070","1070","879000","1070","20"
"1989-03-17","1080","1080","1040","1040","470000","1040","21"
"1989-03-20","1040","1050","1030","1040","352000","1040","22"
"1989-03-22","1030","1040","995","1010","609000","1010","24"
"1989-03-23","1010","1060","1000","1000","670000","1000","25"
"1989-03-24","1020","1020","998","1020","366000","1020","26"
"1989-03-27","1040","1040","990","995","305000","995","27"
"1989-03-28","1020","1020","1000","1010","280000","1010","28"
"1989-03-29","1020","1060","1010","1040","243000","1040","29"
"1989-03-30","1040","1050","1020","1030","376000","1030","30"
"1989-03-31","1040","1050","1010","1040","305000","1040","31"
"1989-04-03","1020","1080","1000","1050","680000","1050","32"
"1989-04-04","1060","1070","1040","1060","765000","1060","33"
"1989-04-05","1070","1090","1050","1090","1010000","1090","34"
"1989-04-06","1080","1080","1050","1080","497000","1080","35"
"1989-04-07","1060","1060","1040","1040","385000","1040","36"
"1989-04-10","1060","1060","1030","1030","192000","1030","37"
"1989-04-11","1030","1060","1030","1050","472000","1050","38"
"1989-04-12","1060","1070","1040","1060","598000","1060","39"
"1989-04-13","1070","1130","1060","1100","3539000","1100","40"
"1989-04-14","1110","1140","1080","1100","4304000","1100","41"
"1989-04-17","1120","1120","1050","1080","1316000","1080","42"
"1989-04-18","1070","1150","1070","1140","3428000","1140","43"
"1989-04-19","1140","1150","1120","1150","2553000","1150","44"
"1989-04-20","1160","1170","1130","1130","2894000","1130","45"
"1989-04-21","1140","1140","1120","1140","1013000","1140","46"
"1989-04-24","1160","1160","1110","1110","1264000","1110","47"
"1989-04-25","1150","1200","1130","1190","5838000","1190","48"
"1989-04-26","1230","1240","1190","1190","7931000","1190","49"
"1989-04-27","1210","1250","1200","1230","5560000","1230","50"
"1989-04-28","1250","1250","1220","1250","4278000","1250","51"
"1989-05-01","1250","1250","1220","1230","1817000","1230","52"
"1989-05-02","1230","1250","1210","1240","1459000","1240","53"
"1989-05-08","1250","1250","1180","1180","1100000","1180","57"
"1989-05-09","1200","1230","1190","1190","1140000","1190","58"
"1989-05-10","1210","1270","1200","1240","2811000","1240","59"
"1989-05-11","1230","1240","1210","1210","960000","1210","60"
"1989-05-12","1220","1230","1210","1210","578000","1210","61"
"1989-05-15","1210","1220","1190","1190","403000","1190","62"
"1989-05-16","1190","1210","1160","1190","467000","1190","63"
"1989-05-17","1190","1210","1180","1200","555000","1200","64"
"1989-05-18","1180","1200","1170","1180","385000","1180","65"
"1989-05-19","1160","1180","1160","1160","555000","1160","66"
"1989-05-22","1160","1180","1150","1150","361000","1150","67"
"1989-05-23","1170","1180","1120","1150","530000","1150","68"
"1989-05-24","1130","1160","1130","1150","334000","1150","69"
"1989-05-25","1150","1150","1120","1150","335000","1150","70"
"1989-05-26","1170","1170","1140","1160","261000","1160","71"
"1989-05-29","1150","1150","1120","1140","420000","1140","72"
"1989-05-30","1120","1140","1110","1140","244000","1140","73"
"1989-05-31","1140","1150","1120","1140","424000","1140","74"
"1989-06-01","1140","1170","1120","1140","726000","1140","75"
"1989-06-02","1150","1150","1110","1120","424000","1120","76"
"1989-06-05","1130","1140","1100","1100","329000","1100","77"
"1989-06-06","1060","1100","1060","1070","451000","1070","78"
"1989-06-07","1070","1100","1060","1100","413000","1100","79"
"1989-06-08","1090","1090","1060","1070","400000","1070","80"
"1989-06-09","1090","1110","1070","1110","385000","1110","81"
"1989-06-12","1090","1110","1070","1080","202000","1080","82"
"1989-06-13","1070","1100","1060","1080","398000","1080","83"
"1989-06-14","1100","1100","1070","1100","279000","1100","84"
"1989-06-15","1110","1130","1070","1100","447000","1100","85"
"1989-06-16","1100","1100","1080","1090","221000","1090","86"
"1989-06-19","1110","1110","1080","1090","134000","1090","87"
"1989-06-20","1080","1110","1080","1090","265000","1090","88"
"1989-06-21","1100","1140","1090","1090","399000","1090","89"
"1989-06-22","1120","1120","1090","1100","292000","1100","90"
"1989-06-23","1130","1160","1120","1130","627000","1130","91"
"1989-06-26","1160","1160","1140","1150","545000","1150","92"
"1989-06-27","1170","1190","1160","1180","840000","1180","93"
"1989-06-28","1190","1200","1160","1190","1988000","1190","94"
"1989-06-29","1180","1190","1150","1150","644000","1150","95"
"1989-06-30","1140","1170","1130","1140","356000","1140","96"
"1989-07-03","1160","1180","1110","1180","297000","1180","97"
"1989-07-04","1160","1170","1140","1140","145000","1140","98"
"1989-07-05","1140","1160","1120","1120","382000","1120","99"
"1989-07-06","1150","1180","1120","1120","578000","1120","100"
"1989-07-07","1180","1180","1150","1170","739000","1170","101"
"1989-07-10","1170","1180","1140","1140","202000","1140","102"
"1989-07-11","1160","1170","1130","1160","169000","1160","103"
"1989-07-12","1160","1180","1150","1160","243000","1160","104"
"1989-07-13","1160","1170","1150","1160","258000","1160","105"
"1989-07-14","1160","1180","1130","1160","320000","1160","106"
"1989-07-17","1170","1180","1150","1170","423000","1170","107"
"1989-07-18","1170","1170","1130","1130","118000","1130","108"
"1989-07-19","1140","1170","1140","1170","250000","1170","109"
"1989-07-20","1150","1170","1150","1160","367000","1160","110"
"1989-07-21","1160","1190","1160","1180","883000","1180","111"
"1989-07-24","1190","1200","1180","1180","459000","1180","112"
"1989-07-25","1190","1190","1170","1180","809000","1180","113"
"1989-07-26","1190","1230","1190","1230","1383000","1230","114"
"1989-07-27","1250","1260","1210","1240","3047000","1240","115"
"1989-07-28","1240","1240","1200","1220","986000","1220","116"
"1989-07-31","1200","1220","1200","1220","456000","1220","117"
"1989-08-01","1230","1230","1200","1200","611000","1200","118"
"1989-08-02","1200","1220","1190","1190","541000","1190","119"
"1989-08-03","1210","1210","1180","1190","231000","1190","120"
"1989-08-04","1210","1210","1190","1200","497000","1200","121"
"1989-08-07","1200","1210","1190","1200","329000","1200","122"
"1989-08-08","1200","1210","1200","1210","502000","1210","123"
"1989-08-09","1210","1250","1210","1240","2871000","1240","124"
"1989-08-10","1230","1230","1200","1210","599000","1210","125"
"1989-08-11","1210","1230","1180","1180","375000","1180","126"
"1989-08-14","1190","1200","1190","1190","181000","1190","127"
"1989-08-15","1200","1260","1180","1250","2974000","1250","128"
"1989-08-16","1260","1270","1230","1230","3887000","1230","129"
"1989-08-17","1250","1250","1240","1240","402000","1240","130"
"1989-08-18","1230","1240","1220","1230","520000","1230","131"
"1989-08-21","1230","1250","1230","1250","233000","1250","132"
"1989-08-22","1240","1240","1210","1240","196000","1240","133"
"1989-08-23","1220","1240","1210","1210","296000","1210","134"
"1989-08-24","1230","1230","1200","1210","125000","1210","135"
"1989-08-25","1200","1230","1180","1200","436000","1200","136"
"1989-08-28","1240","1240","1200","1210","536000","1210","137"
"1989-08-29","1200","1220","1190","1220","414000","1220","138"
"1989-08-30","1190","1200","1170","1190","349000","1190","139"
"1989-08-31","1190","1200","1150","1180","285000","1180","140"
"1989-09-01","1180","1190","1150","1160","227000","1160","141"
"1989-09-04","1190","1200","1160","1190","209000","1190","142"
"1989-09-05","1200","1200","1170","1200","573000","1200","143"
"1989-09-06","1160","1180","1150","1180","289000","1180","144"
"1989-09-07","1160","1170","1150","1170","315000","1170","145"
"1989-09-08","1170","1170","1140","1140","272000","1140","146"
"1989-09-11","1140","1140","1130","1140","119000","1140","147"
"1989-09-12","1140","1180","1140","1170","335000","1170","148"
"1989-09-13","1150","1180","1150","1170","354000","1170","149"
"1989-09-14","1190","1200","1170","1200","504000","1200","150"
"1989-09-18","1220","1220","1170","1170","402000","1170","152"
"1989-09-19","1190","1210","1170","1190","248000","1190","153"
"1989-09-20","1190","1200","1170","1180","389000","1180","154"
"1989-09-21","1190","1200","1170","1170","318000","1170","155"
"1989-09-22","1160","1190","1160","1180","241000","1180","156"
"1989-09-25","1190","1210","1140","1210","395000","1210","157"
"1989-09-26","1170","1200","1160","1200","455000","1200","158"
"1989-09-27","1200","1200","1160","1160","225000","1160","159"
"1989-09-28","1180","1200","1170","1200","493000","1200","160"
"1989-09-29","1220","1230","1200","1200","952000","1200","161"
"1989-10-02","1220","1220","1180","1210","225000","1210","162"
"1989-10-03","1220","1230","1190","1190","533000","1190","163"
"1989-10-04","1210","1210","1190","1200","241000","1200","164"
"1989-10-05","1210","1220","1180","1220","291000","1220","165"
"1989-10-06","1200","1200","1160","1170","255000","1170","166"
"1989-10-09","1210","1220","1170","1170","210000","1170","167"
"1989-10-11","1200","1200","1180","1180","221000","1180","169"
"1989-10-12","1200","1200","1160","1180","251000","1180","170"
"1989-10-13","1180","1180","1150","1150","197000","1150","171"
"1989-10-16","1130","1150","1120","1120","257000","1120","172"
"1989-10-17","1160","1170","1130","1130","311000","1130","173"
"1989-10-18","1130","1150","1120","1130","381000","1130","174"
"1989-10-19","1170","1180","1150","1170","277000","1170","175"
"1989-10-20","1160","1170","1150","1150","311000","1150","176"
"1989-10-23","1180","1180","1130","1130","305000","1130","177"
"1989-10-24","1120","1140","1120","1130","396000","1130","178"
"1989-10-25","1130","1130","1110","1110","471000","1110","179"
"1989-10-26","1130","1130","1110","1110","664000","1110","180"
"1989-10-27","1130","1150","1120","1150","605000","1150","181"
"1989-10-30","1150","1150","1120","1130","241000","1130","182"
"1989-10-31","1150","1150","1120","1120","192000","1120","183"
"1989-11-01","1130","1130","1110","1120","322000","1120","184"
"1989-11-02","1140","1170","1140","1150","806000","1150","185"
"1989-11-06","1160","1160","1150","1150","294000","1150","187"
"1989-11-07","1150","1160","1140","1140","276000","1140","188"
"1989-11-08","1150","1150","1140","1140","290000","1140","189"
"1989-11-09","1150","1220","1140","1220","842000","1220","190"
"1989-11-10","1220","1270","1200","1240","3893000","1240","191"
"1989-11-13","1250","1250","1210","1240","798000","1240","192"
"1989-11-14","1240","1240","1190","1200","691000","1200","193"
"1989-11-15","1220","1220","1200","1200","322000","1200","194"
"1989-11-16","1200","1210","1200","1200","337000","1200","195"
"1989-11-17","1220","1220","1150","1150","382000","1150","196"
"1989-11-20","1230","1240","1200","1230","626000","1230","197"
"1989-11-21","1230","1280","1230","1260","4037000","1260","198"
"1989-11-22","1250","1260","1210","1210","1008000","1210","199"
"1989-11-24","1250","1250","1220","1230","358000","1230","200"
"1989-11-27","1240","1250","1230","1250","289000","1250","201"
"1989-11-28","1240","1240","1210","1230","378000","1230","202"
"1989-11-29","1230","1240","1210","1210","228000","1210","203"
"1989-11-30","1240","1240","1220","1230","170000","1230","204"
"1989-12-01","1230","1240","1180","1180","416000","1180","205"
"1989-12-04","1200","1220","1180","1200","331000","1200","206"
"1989-12-05","1220","1250","1200","1250","551000","1250","207"
"1989-12-06","1240","1290","1240","1280","4124000","1280","208"
"1989-12-07","1270","1290","1260","1280","1843000","1280","209"
"1989-12-08","1290","1290","1240","1240","640000","1240","210"
"1989-12-11","1260","1260","1240","1250","176000","1250","211"
"1989-12-12","1240","1260","1230","1250","454000","1250","212"
"1989-12-13","1260","1260","1230","1240","336000","1240","213"
"1989-12-14","1240","1250","1220","1240","472000","1240","214"
