7211 ŽO•HŽ©“®ŽÔ,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1210","1220","1180","1180","393000","1180","1"
"1989-02-20","1180","1200","1170","1190","154000","1190","2"
"1989-02-21","1200","1220","1190","1190","310000","1190","3"
"1989-02-22","1190","1240","1190","1210","458000","1210","4"
"1989-02-23","1230","1260","1220","1230","1458000","1230","5"
"1989-02-27","1230","1260","1210","1230","528000","1230","7"
"1989-02-28","1250","1290","1230","1250","1851000","1250","8"
"1989-03-01","1270","1280","1240","1250","1221000","1250","9"
"1989-03-02","1260","1280","1250","1280","930000","1280","10"
"1989-03-03","1280","1280","1250","1260","1441000","1260","11"
"1989-03-06","1270","1270","1240","1240","627000","1240","12"
"1989-03-07","1240","1270","1240","1260","391000","1260","13"
"1989-03-08","1270","1270","1250","1250","346000","1250","14"
"1989-03-09","1260","1270","1240","1240","298000","1240","15"
"1989-03-10","1250","1280","1240","1280","453000","1280","16"
"1989-03-13","1270","1270","1240","1250","499000","1250","17"
"1989-03-14","1270","1280","1260","1270","484000","1270","18"
"1989-03-15","1280","1290","1260","1280","1394000","1280","19"
"1989-03-16","1280","1290","1270","1270","1133000","1270","20"
"1989-03-17","1290","1290","1270","1290","1029000","1290","21"
"1989-03-20","1290","1290","1250","1270","586000","1270","22"
"1989-03-22","1280","1290","1250","1260","664000","1260","24"
"1989-03-23","1280","1290","1270","1290","1268000","1290","25"
"1989-03-24","1290","1290","1270","1290","2096000","1290","26"
"1989-03-27","1290","1300","1220","1290","2936000","1290","27"
"1989-03-28","1250","1270","1230","1260","200000","1260","28"
"1989-03-29","1260","1290","1250","1280","219000","1280","29"
"1989-03-30","1280","1280","1250","1250","52000","1250","30"
"1989-03-31","1230","1270","1180","1180","486000","1180","31"
"1989-04-03","1220","1240","1220","1220","108000","1220","32"
"1989-04-04","1250","1250","1220","1230","92000","1230","33"
"1989-04-05","1230","1250","1220","1230","118000","1230","34"
"1989-04-06","1220","1240","1220","1230","75000","1230","35"
"1989-04-07","1220","1240","1200","1210","199000","1210","36"
"1989-04-10","1210","1220","1210","1210","78000","1210","37"
"1989-04-11","1210","1240","1210","1210","124000","1210","38"
