7261 ƒ}ƒcƒ_,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","830","840","825","832","1339000","832","1"
"1989-02-20","841","849","835","842","1636000","842","2"
"1989-02-21","845","847","839","842","1836000","842","3"
"1989-02-22","845","847","840","845","1904000","845","4"
"1989-02-23","845","887","840","869","8913000","869","5"
"1989-02-27","865","884","850","879","2770000","879","7"
"1989-02-28","879","900","870","880","5784000","880","8"
"1989-03-01","890","894","860","860","3291000","860","9"
"1989-03-02","875","880","860","870","1268000","870","10"
"1989-03-03","870","880","860","866","1182000","866","11"
"1989-03-06","860","870","855","860","762000","860","12"
"1989-03-07","857","870","851","855","900000","855","13"
"1989-03-08","855","871","855","862","1475000","862","14"
"1989-03-09","860","871","854","856","828000","856","15"
"1989-03-10","856","862","851","860","775000","860","16"
"1989-03-13","852","860","851","852","491000","852","17"
"1989-03-14","859","859","855","858","500000","858","18"
"1989-03-15","850","870","846","870","1455000","870","19"
"1989-03-16","870","878","870","872","1111000","872","20"
"1989-03-17","862","872","860","861","990000","861","21"
"1989-03-20","848","869","846","850","684000","850","22"
"1989-03-22","850","860","835","849","1079000","849","24"
"1989-03-23","840","855","836","850","780000","850","25"
"1989-03-24","854","854","840","844","728000","844","26"
"1989-03-27","840","844","832","833","822000","833","27"
"1989-03-28","840","870","833","860","1060000","860","28"
"1989-03-29","875","908","875","904","7217000","904","29"
"1989-03-30","914","920","885","885","4290000","885","30"
"1989-03-31","905","915","896","913","3754000","913","31"
"1989-04-03","923","984","910","965","14691000","965","32"
"1989-04-04","972","975","957","958","6769000","958","33"
"1989-04-05","964","968","940","960","2786000","960","34"
"1989-04-06","940","945","924","936","2013000","936","35"
"1989-04-07","930","941","921","932","1006000","932","36"
"1989-04-10","929","940","918","939","1448000","939","37"
"1989-04-11","929","978","920","974","4265000","974","38"
"1989-04-12","980","993","940","975","8165000","975","39"
"1989-04-13","975","975","951","951","1545000","951","40"
"1989-04-14","941","955","940","952","865000","952","41"
"1989-04-17","950","951","935","950","1134000","950","42"
"1989-04-18","949","961","940","959","1781000","959","43"
"1989-04-19","959","980","945","974","2890000","974","44"
"1989-04-20","969","969","940","968","1018000","968","45"
"1989-04-21","948","958","943","957","1571000","957","46"
"1989-04-24","958","958","927","930","513000","930","47"
"1989-04-25","925","969","925","950","2444000","950","48"
"1989-04-26","950","959","941","949","1186000","949","49"
"1989-04-27","943","948","941","948","985000","948","50"
"1989-04-28","958","968","950","958","1746000","958","51"
"1989-05-01","964","969","955","967","1413000","967","52"
"1989-05-02","969","980","961","980","2747000","980","53"
"1989-05-08","980","986","960","980","2248000","980","57"
"1989-05-09","970","1010","965","1000","13910000","1000","58"
"1989-05-10","996","999","962","962","2395000","962","59"
"1989-05-11","976","988","975","978","1297000","978","60"
"1989-05-12","980","989","975","976","1340000","976","61"
"1989-05-15","986","986","970","970","438000","970","62"
"1989-05-16","964","990","964","976","1108000","976","63"
"1989-05-17","990","997","983","991","2367000","991","64"
"1989-05-18","981","990","981","982","1005000","982","65"
"1989-05-19","990","990","970","971","944000","971","66"
"1989-05-22","984","993","980","987","1568000","987","67"
"1989-05-23","986","986","973","978","1130000","978","68"
"1989-05-24","978","998","978","998","3368000","998","69"
"1989-05-25","994","995","985","995","1516000","995","70"
"1989-05-26","998","1020","995","1020","7466000","1020","71"
"1989-05-29","1020","1030","998","1010","3194000","1010","72"
"1989-05-30","1000","1010","995","1000","920000","1000","73"
"1989-05-31","1000","1010","996","1010","934000","1010","74"
"1989-06-01","1010","1090","1000","1030","11929000","1030","75"
"1989-06-02","1050","1050","1000","1030","2036000","1030","76"
"1989-06-05","1020","1020","1000","1020","948000","1020","77"
"1989-06-06","1000","1000","990","1000","869000","1000","78"
"1989-06-07","1000","1010","995","1000","553000","1000","79"
"1989-06-08","1010","1050","995","1050","1436000","1050","80"
"1989-06-09","1020","1030","1000","1020","775000","1020","81"
"1989-06-12","1010","1020","998","1020","495000","1020","82"
"1989-06-13","1020","1020","998","1010","1196000","1010","83"
"1989-06-14","990","1030","990","1020","1554000","1020","84"
"1989-06-15","1020","1020","991","998","839000","998","85"
"1989-06-16","1010","1010","965","988","490000","988","86"
"1989-06-19","968","980","965","977","334000","977","87"
"1989-06-20","981","1020","981","1020","931000","1020","88"
"1989-06-21","996","1010","989","990","1467000","990","89"
"1989-06-22","1000","1000","990","1000","351000","1000","90"
"1989-06-23","1000","1020","985","985","2790000","985","91"
"1989-06-26","995","995","975","989","635000","989","92"
"1989-06-27","989","989","977","985","469000","985","93"
"1989-06-28","988","990","955","961","651000","961","94"
"1989-06-29","974","974","960","960","1455000","960","95"
"1989-06-30","970","970","944","949","555000","949","96"
"1989-07-03","959","959","950","952","809000","952","97"
"1989-07-04","962","990","962","975","1106000","975","98"
"1989-07-05","985","990","980","981","1336000","981","99"
"1989-07-06","1000","1000","986","987","1744000","987","100"
"1989-07-07","1010","1010","986","1000","1672000","1000","101"
"1989-07-10","1000","1000","985","995","771000","995","102"
"1989-07-11","991","1010","981","989","1195000","989","103"
"1989-07-12","990","1010","990","993","1526000","993","104"
"1989-07-13","1000","1010","990","990","509000","990","105"
"1989-07-14","999","999","985","999","473000","999","106"
"1989-07-17","990","995","985","990","568000","990","107"
"1989-07-18","984","989","981","982","463000","982","108"
"1989-07-19","981","990","981","990","347000","990","109"
"1989-07-20","991","997","984","994","868000","994","110"
"1989-07-21","999","1000","994","994","850000","994","111"
"1989-07-24","1000","1000","994","995","802000","995","112"
"1989-07-25","997","1000","987","1000","1035000","1000","113"
"1989-07-26","1000","1000","990","1000","848000","1000","114"
"1989-07-27","999","999","991","993","688000","993","115"
"1989-07-28","1000","1000","990","998","654000","998","116"
"1989-07-31","998","1000","995","1000","707000","1000","117"
"1989-08-01","1000","1020","988","1020","2790000","1020","118"
"1989-08-02","1020","1030","995","1020","3630000","1020","119"
"1989-08-03","1020","1020","1000","1020","1070000","1020","120"
"1989-08-04","1010","1050","1000","1050","4632000","1050","121"
"1989-08-07","1060","1060","1030","1050","1661000","1050","122"
"1989-08-08","1050","1050","1030","1040","1323000","1040","123"
"1989-08-09","1050","1050","1030","1050","1848000","1050","124"
"1989-08-10","1050","1050","1020","1040","1434000","1040","125"
"1989-08-11","1040","1040","1030","1030","553000","1030","126"
"1989-08-14","1040","1040","1030","1040","465000","1040","127"
"1989-08-15","1040","1070","1040","1070","3088000","1070","128"
"1989-08-16","1090","1110","1070","1070","10771000","1070","129"
"1989-08-17","1090","1110","1070","1070","6700000","1070","130"
"1989-08-18","1090","1110","1080","1110","6886000","1110","131"
"1989-08-21","1110","1130","1100","1100","9015000","1100","132"
"1989-08-22","1100","1110","1080","1100","2160000","1100","133"
"1989-08-23","1100","1110","1070","1090","1442000","1090","134"
"1989-08-24","1090","1090","1050","1080","1309000","1080","135"
"1989-08-25","1070","1090","1060","1080","790000","1080","136"
"1989-08-28","1080","1090","1050","1060","1064000","1060","137"
"1989-08-29","1070","1070","1050","1060","1491000","1060","138"
"1989-08-30","1080","1090","1050","1060","976000","1060","139"
"1989-08-31","1070","1070","1040","1060","981000","1060","140"
"1989-09-01","1080","1080","1040","1060","2306000","1060","141"
"1989-09-04","1080","1080","1050","1060","949000","1060","142"
"1989-09-05","1080","1080","1060","1070","795000","1070","143"
"1989-09-06","1050","1050","1030","1050","1331000","1050","144"
