7267 ƒzƒ“ƒ_,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1980","1990","1970","1970","972000","1970","1"
"1989-02-20","1970","2010","1930","1930","2128000","1930","2"
"1989-02-21","1940","1980","1940","1950","849000","1950","3"
"1989-02-22","2000","2010","1950","1990","1365000","1990","4"
"1989-02-23","2010","2010","1980","1990","1758000","1990","5"
"1989-02-27","1980","2010","1960","1980","903000","1980","7"
"1989-02-28","1990","2040","1980","1990","1505000","1990","8"
"1989-03-01","2020","2020","1990","2010","1010000","2010","9"
"1989-03-02","2010","2040","1990","2000","861000","2000","10"
"1989-03-03","2000","2050","1990","2030","1465000","2030","11"
"1989-03-06","2000","2020","1970","2000","313000","2000","12"
"1989-03-07","1960","2000","1960","1970","383000","1970","13"
"1989-03-08","1970","1990","1920","1920","773000","1920","14"
"1989-03-09","1950","1950","1920","1920","648000","1920","15"
"1989-03-10","1930","1940","1910","1930","567000","1930","16"
"1989-03-13","1920","1950","1900","1950","767000","1950","17"
"1989-03-14","1950","1980","1910","1960","782000","1960","18"
"1989-03-15","1960","1960","1920","1960","924000","1960","19"
"1989-03-16","1990","2000","1960","1960","834000","1960","20"
"1989-03-17","1960","1980","1920","1920","798000","1920","21"
"1989-03-20","1920","1940","1910","1910","562000","1910","22"
"1989-03-22","1910","1920","1850","1850","989000","1850","24"
"1989-03-23","1870","1890","1860","1870","638000","1870","25"
"1989-03-24","1870","1880","1850","1850","747000","1850","26"
"1989-03-27","1850","1900","1840","1870","1168000","1870","27"
"1989-03-28","1920","1960","1880","1960","735000","1960","28"
"1989-03-29","1990","2080","1990","2000","1569000","2000","29"
"1989-03-30","2000","2010","2000","2010","1171000","2010","30"
"1989-03-31","2000","2010","1900","1900","1346000","1900","31"
"1989-04-03","1940","1990","1920","1940","1543000","1940","32"
"1989-04-04","1970","1990","1960","1970","972000","1970","33"
"1989-04-05","1980","1980","1930","1960","994000","1960","34"
"1989-04-06","1930","1940","1910","1910","1229000","1910","35"
"1989-04-07","1910","1930","1900","1910","1699000","1910","36"
"1989-04-10","1920","1920","1880","1880","1728000","1880","37"
"1989-04-11","1900","1970","1880","1950","1761000","1950","38"
"1989-04-12","1950","1960","1910","1930","968000","1930","39"
"1989-04-13","1920","1930","1890","1890","857000","1890","40"
"1989-04-14","1920","1930","1890","1890","842000","1890","41"
"1989-04-17","1920","1940","1900","1930","536000","1930","42"
"1989-04-18","1940","1940","1900","1900","683000","1900","43"
"1989-04-19","1890","1910","1880","1890","431000","1890","44"
"1989-04-20","1900","1900","1880","1890","870000","1890","45"
"1989-04-21","1860","1880","1850","1880","949000","1880","46"
"1989-04-24","1860","1890","1850","1860","766000","1860","47"
"1989-04-25","1890","1890","1870","1880","501000","1880","48"
"1989-04-26","1850","1860","1830","1840","1233000","1840","49"
"1989-04-27","1860","1860","1840","1850","1104000","1850","50"
"1989-04-28","1850","1870","1840","1850","1337000","1850","51"
"1989-05-01","1860","1880","1850","1870","728000","1870","52"
"1989-05-02","1870","1930","1870","1920","1369000","1920","53"
"1989-05-08","1930","1940","1920","1930","1130000","1930","57"
"1989-05-09","1930","1980","1930","1950","1369000","1950","58"
"1989-05-10","1970","1970","1940","1960","1410000","1960","59"
"1989-05-11","1960","1960","1930","1960","847000","1960","60"
"1989-05-12","1950","1960","1930","1960","611000","1960","61"
"1989-05-15","1960","1970","1950","1960","643000","1960","62"
"1989-05-16","1980","2000","1960","2000","1215000","2000","63"
"1989-05-17","1990","2000","1960","1960","917000","1960","64"
"1989-05-18","1970","1980","1930","1930","1459000","1930","65"
"1989-05-19","1930","1970","1930","1970","1446000","1970","66"
"1989-05-22","2000","2070","1980","2070","3147000","2070","67"
"1989-05-23","2070","2080","2030","2070","4628000","2070","68"
"1989-05-24","2060","2080","2020","2020","1707000","2020","69"
"1989-05-25","2050","2050","2000","2030","1167000","2030","70"
"1989-05-26","2060","2060","2020","2030","972000","2030","71"
"1989-05-29","2060","2060","2000","2020","788000","2020","72"
"1989-05-30","2000","2020","1990","2000","813000","2000","73"
"1989-05-31","2000","2020","1970","2010","1336000","2010","74"
"1989-06-01","2020","2110","2020","2070","3970000","2070","75"
"1989-06-02","2100","2110","2010","2030","2183000","2030","76"
"1989-06-05","2010","2030","1990","1990","1109000","1990","77"
"1989-06-06","1980","1990","1960","1960","828000","1960","78"
