7269 ÉXÉYÉL,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","770","772","765","768","621000","768","1"
"1989-02-20","771","795","771","795","1160000","795","2"
"1989-02-21","799","805","784","784","2118000","784","3"
"1989-02-22","794","800","785","788","975000","788","4"
"1989-02-23","790","805","783","800","3975000","800","5"
"1989-02-27","801","832","800","823","4553000","823","7"
"1989-02-28","823","852","820","835","8507000","835","8"
"1989-03-01","855","860","827","827","5739000","827","9"
"1989-03-02","830","834","819","830","1428000","830","10"
"1989-03-03","830","850","825","830","2480000","830","11"
"1989-03-06","840","844","820","830","1452000","830","12"
"1989-03-07","820","835","820","820","829000","820","13"
"1989-03-08","821","830","820","822","558000","822","14"
"1989-03-09","821","839","810","838","876000","838","15"
"1989-03-10","837","838","819","837","1393000","837","16"
"1989-03-13","835","835","805","812","573000","812","17"
"1989-03-14","819","834","808","834","715000","834","18"
"1989-03-15","820","830","812","830","851000","830","19"
"1989-03-16","828","830","810","810","1100000","810","20"
"1989-03-17","820","820","810","819","715000","819","21"
"1989-03-20","814","816","801","804","367000","804","22"
"1989-03-22","805","810","786","793","620000","793","24"
"1989-03-23","795","802","793","800","493000","800","25"
"1989-03-24","800","800","782","785","468000","785","26"
"1989-03-27","795","800","786","790","435000","790","27"
"1989-03-28","787","790","777","780","442000","780","28"
"1989-03-29","810","815","801","809","498000","809","29"
"1989-03-30","828","830","808","818","653000","818","30"
"1989-03-31","828","828","815","825","724000","825","31"
"1989-04-03","829","850","820","848","2390000","848","32"
"1989-04-04","858","858","845","845","2587000","845","33"
"1989-04-05","847","847","831","842","1122000","842","34"
"1989-04-06","839","840","826","830","938000","830","35"
"1989-04-07","830","838","830","838","838000","838","36"
"1989-04-10","842","847","831","843","783000","843","37"
"1989-04-11","838","860","835","859","2266000","859","38"
"1989-04-12","885","894","873","888","8760000","888","39"
"1989-04-13","886","887","858","858","2316000","858","40"
"1989-04-14","870","878","866","869","1745000","869","41"
"1989-04-17","880","882","870","880","1653000","880","42"
"1989-04-18","875","897","864","890","5419000","890","43"
"1989-04-19","894","895","880","881","2180000","881","44"
"1989-04-20","880","885","862","870","1265000","870","45"
"1989-04-21","860","870","858","865","1067000","865","46"
"1989-04-24","870","874","850","853","768000","853","47"
"1989-04-25","843","872","843","870","1464000","870","48"
"1989-04-26","873","886","873","885","3088000","885","49"
"1989-04-27","886","904","885","900","5500000","900","50"
"1989-04-28","904","920","900","911","7106000","911","51"
"1989-05-01","910","920","905","920","3734000","920","52"
"1989-05-02","925","935","919","926","5966000","926","53"
"1989-05-08","930","932","920","922","2416000","922","57"
"1989-05-09","920","925","906","915","2441000","915","58"
"1989-05-10","919","920","910","910","1711000","910","59"
"1989-05-11","915","917","910","910","896000","910","60"
"1989-05-12","920","920","905","906","1310000","906","61"
"1989-05-15","916","919","905","905","729000","905","62"
"1989-05-16","914","914","905","910","530000","910","63"
"1989-05-17","915","925","910","924","1855000","924","64"
"1989-05-18","923","930","916","916","1307000","916","65"
"1989-05-19","919","923","913","918","956000","918","66"
"1989-05-22","928","928","916","920","907000","920","67"
"1989-05-23","922","922","907","909","1161000","909","68"
"1989-05-24","912","912","905","908","718000","908","69"
"1989-05-25","911","918","910","918","846000","918","70"
"1989-05-26","920","928","918","920","1386000","920","71"
"1989-05-29","928","928","920","925","1006000","925","72"
"1989-05-30","915","923","915","920","868000","920","73"
"1989-05-31","921","925","917","922","992000","922","74"
"1989-06-01","925","942","922","933","3427000","933","75"
"1989-06-02","938","939","920","923","1437000","923","76"
"1989-06-05","933","939","923","923","1207000","923","77"
"1989-06-06","920","922","910","913","965000","913","78"
"1989-06-07","930","930","912","930","1151000","930","79"
"1989-06-08","930","930","915","916","651000","916","80"
"1989-06-09","930","935","921","933","1441000","933","81"
"1989-06-12","935","935","926","928","1134000","928","82"
"1989-06-13","932","933","911","915","841000","915","83"
"1989-06-14","913","925","913","925","459000","925","84"
"1989-06-15","929","929","901","901","841000","901","85"
"1989-06-16","915","919","904","904","815000","904","86"
"1989-06-19","905","910","904","905","361000","905","87"
"1989-06-20","908","918","905","918","691000","918","88"
"1989-06-21","920","922","915","920","705000","920","89"
"1989-06-22","916","918","909","909","361000","909","90"
"1989-06-23","919","925","915","925","1135000","925","91"
"1989-06-26","924","926","920","923","657000","923","92"
"1989-06-27","920","923","914","917","516000","917","93"
"1989-06-28","905","911","882","892","650000","892","94"
"1989-06-29","889","895","885","888","313000","888","95"
"1989-06-30","887","887","870","875","473000","875","96"
"1989-07-03","875","893","865","893","561000","893","97"
"1989-07-04","893","897","887","888","1009000","888","98"
"1989-07-05","890","908","890","908","516000","908","99"
"1989-07-06","905","908","900","900","445000","900","100"
"1989-07-07","900","902","890","896","630000","896","101"
"1989-07-10","900","902","893","894","386000","894","102"
"1989-07-11","904","904","896","904","410000","904","103"
"1989-07-12","907","907","900","903","390000","903","104"
"1989-07-13","905","906","900","900","466000","900","105"
"1989-07-14","901","905","896","896","342000","896","106"
"1989-07-17","896","896","887","891","364000","891","107"
"1989-07-18","885","899","880","882","271000","882","108"
"1989-07-19","890","899","883","898","236000","898","109"
"1989-07-20","898","900","885","885","723000","885","110"
"1989-07-21","902","902","891","900","771000","900","111"
"1989-07-24","910","912","900","910","824000","910","112"
"1989-07-25","918","918","910","910","1155000","910","113"
"1989-07-26","910","915","905","910","1021000","910","114"
"1989-07-27","910","914","903","904","718000","904","115"
"1989-07-28","914","914","904","904","462000","904","116"
"1989-07-31","907","910","905","905","436000","905","117"
"1989-08-01","905","910","905","909","813000","909","118"
"1989-08-02","907","913","905","909","721000","909","119"
"1989-08-03","911","914","903","910","631000","910","120"
"1989-08-04","910","912","900","906","405000","906","121"
"1989-08-07","915","915","900","900","327000","900","122"
"1989-08-08","906","912","901","905","572000","905","123"
"1989-08-09","915","917","908","915","568000","915","124"
"1989-08-10","920","920","908","911","734000","911","125"
"1989-08-11","920","920","910","910","313000","910","126"
"1989-08-14","910","915","908","915","264000","915","127"
"1989-08-15","920","920","910","910","527000","910","128"
"1989-08-16","920","955","920","952","5484000","952","129"
"1989-08-17","955","955","943","950","2051000","950","130"
"1989-08-18","950","981","946","970","8734000","970","131"
"1989-08-21","980","986","972","975","4445000","975","132"
"1989-08-22","975","979","969","975","2689000","975","133"
"1989-08-23","980","980","968","968","1665000","968","134"
"1989-08-24","970","970","955","957","743000","957","135"
"1989-08-25","959","960","952","960","577000","960","136"
"1989-08-28","969","970","956","968","655000","968","137"
"1989-08-29","958","967","950","950","893000","950","138"
"1989-08-30","952","955","940","940","564000","940","139"
"1989-08-31","950","954","935","945","1131000","945","140"
"1989-09-01","949","949","925","925","772000","925","141"
"1989-09-04","944","950","936","949","658000","949","142"
"1989-09-05","950","954","940","941","636000","941","143"
