7270 SUBARU(ïxémèdçHã∆),,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","937","950","930","931","6430000","931","1"
"1989-02-20","935","945","919","921","3382000","921","2"
"1989-02-21","926","946","925","934","3897000","934","3"
"1989-02-22","935","955","931","955","6537000","955","4"
"1989-02-23","970","988","961","980","29432000","980","5"
"1989-02-27","975","1010","970","995","23302000","995","7"
"1989-02-28","989","1030","985","989","20822000","989","8"
"1989-03-01","1010","1020","965","968","7610000","968","9"
"1989-03-02","973","979","960","972","2438000","972","10"
"1989-03-03","979","989","961","961","3159000","961","11"
"1989-03-06","963","978","955","961","1589000","961","12"
"1989-03-07","953","964","950","950","2278000","950","13"
"1989-03-08","960","970","941","941","1629000","941","14"
"1989-03-09","943","952","932","938","1650000","938","15"
"1989-03-10","935","948","930","944","1522000","944","16"
"1989-03-13","936","943","932","937","1449000","937","17"
"1989-03-14","935","943","935","943","1131000","943","18"
"1989-03-15","949","960","946","960","2213000","960","19"
"1989-03-16","980","986","963","975","2739000","975","20"
"1989-03-17","985","985","955","970","2337000","970","21"
"1989-03-20","950","970","940","970","1533000","970","22"
"1989-03-22","955","960","926","955","2746000","955","24"
"1989-03-23","935","944","930","930","1126000","930","25"
"1989-03-24","936","936","916","916","850000","916","26"
"1989-03-27","920","929","910","929","1391000","929","27"
"1989-03-28","930","945","915","940","1106000","940","28"
"1989-03-29","950","968","940","942","1113000","942","29"
"1989-03-30","945","960","931","950","2594000","950","30"
"1989-03-31","951","955","945","945","1329000","945","31"
"1989-04-03","936","994","935","970","4243000","970","32"
"1989-04-04","971","1020","971","1020","12816000","1020","33"
"1989-04-05","1000","1010","975","985","5350000","985","34"
"1989-04-06","985","985","955","978","2093000","978","35"
"1989-04-07","970","980","965","970","1607000","970","36"
"1989-04-10","980","994","965","975","1523000","975","37"
"1989-04-11","975","1020","972","1010","12172000","1010","38"
"1989-04-12","1020","1030","991","1000","8441000","1000","39"
"1989-04-13","995","1010","980","981","2934000","981","40"
"1989-04-14","981","993","971","973","971000","973","41"
"1989-04-17","973","995","968","968","1630000","968","42"
"1989-04-18","986","987","972","972","1736000","972","43"
"1989-04-19","982","990","961","965","3141000","965","44"
"1989-04-20","965","980","965","966","2502000","966","45"
"1989-04-21","960","979","955","968","1294000","968","46"
"1989-04-24","960","970","953","956","1030000","956","47"
"1989-04-25","956","974","951","958","1436000","958","48"
"1989-04-26","966","980","961","975","2084000","975","49"
"1989-04-27","975","1010","975","986","4788000","986","50"
"1989-04-28","995","999","976","990","2659000","990","51"
"1989-05-01","990","1000","990","994","4533000","994","52"
"1989-05-02","995","998","986","990","2081000","990","53"
"1989-05-08","988","998","981","981","1604000","981","57"
"1989-05-09","975","996","972","990","2078000","990","58"
"1989-05-10","994","994","975","975","2168000","975","59"
"1989-05-11","989","1010","983","992","6864000","992","60"
"1989-05-12","1000","1020","985","1020","8742000","1020","61"
"1989-05-15","1020","1030","1000","1000","5507000","1000","62"
"1989-05-16","1010","1030","1000","1010","7502000","1010","63"
"1989-05-17","1030","1050","1010","1040","22516000","1040","64"
"1989-05-18","1040","1050","1020","1040","8039000","1040","65"
"1989-05-19","1030","1040","1010","1010","3347000","1010","66"
"1989-05-22","1020","1030","1010","1010","1134000","1010","67"
"1989-05-23","1010","1020","996","1010","2549000","1010","68"
"1989-05-24","1000","1020","999","1010","2104000","1010","69"
"1989-05-25","1010","1040","1010","1030","6160000","1030","70"
"1989-05-26","1040","1070","1030","1050","16614000","1050","71"
"1989-05-29","1070","1080","1050","1050","14815000","1050","72"
"1989-05-30","1060","1070","1040","1040","5625000","1040","73"
"1989-05-31","1050","1060","1040","1060","3697000","1060","74"
"1989-06-01","1070","1110","1050","1050","35838000","1050","75"
"1989-06-02","1070","1110","1070","1090","22950000","1090","76"
"1989-06-05","1090","1130","1080","1080","28064000","1080","77"
"1989-06-06","1090","1110","1070","1090","11714000","1090","78"
"1989-06-07","1100","1110","1070","1090","6979000","1090","79"
"1989-06-08","1080","1090","1070","1090","2417000","1090","80"
"1989-06-09","1090","1090","1070","1070","2586000","1070","81"
"1989-06-12","1060","1060","1040","1050","2036000","1050","82"
"1989-06-13","1050","1060","1020","1020","2143000","1020","83"
"1989-06-14","1020","1020","997","1020","2392000","1020","84"
"1989-06-15","1020","1030","1010","1020","1121000","1020","85"
"1989-06-16","1030","1040","998","1020","2457000","1020","86"
"1989-06-19","1000","1040","1000","1010","789000","1010","87"
"1989-06-20","1020","1070","1010","1070","4049000","1070","88"
"1989-06-21","1070","1080","1040","1060","2686000","1060","89"
"1989-06-22","1060","1070","1030","1050","4613000","1050","90"
"1989-06-23","1070","1110","1060","1080","17395000","1080","91"
"1989-06-26","1080","1090","1060","1070","2368000","1070","92"
"1989-06-27","1070","1090","1060","1080","4442000","1080","93"
"1989-06-28","1080","1080","1030","1030","3732000","1030","94"
"1989-06-29","1040","1050","1030","1030","885000","1030","95"
"1989-06-30","1010","1050","1010","1050","1447000","1050","96"
"1989-07-03","1030","1050","1020","1040","1311000","1040","97"
"1989-07-04","1040","1050","1030","1040","1611000","1040","98"
"1989-07-05","1050","1070","1050","1050","2293000","1050","99"
"1989-07-06","1070","1070","1040","1040","1653000","1040","100"
"1989-07-07","1050","1060","1040","1060","1812000","1060","101"
"1989-07-10","1060","1070","1050","1050","1516000","1050","102"
"1989-07-11","1050","1060","1040","1060","1091000","1060","103"
"1989-07-12","1050","1060","1040","1040","827000","1040","104"
"1989-07-13","1060","1060","1030","1040","728000","1040","105"
"1989-07-14","1040","1050","1030","1040","775000","1040","106"
"1989-07-17","1040","1050","1030","1040","1618000","1040","107"
"1989-07-18","1040","1040","1020","1030","1481000","1030","108"
"1989-07-19","1020","1040","1020","1030","555000","1030","109"
"1989-07-20","1030","1040","1020","1030","2432000","1030","110"
"1989-07-21","1030","1040","1020","1030","1662000","1030","111"
"1989-07-24","1040","1050","1030","1040","1360000","1040","112"
"1989-07-25","1040","1050","1030","1040","1995000","1040","113"
"1989-07-26","1050","1090","1040","1070","8117000","1070","114"
"1989-07-27","1090","1110","1050","1060","12199000","1060","115"
"1989-07-28","1080","1080","1060","1080","2219000","1080","116"
"1989-07-31","1080","1080","1060","1060","1136000","1060","117"
"1989-08-01","1070","1080","1060","1070","1614000","1070","118"
"1989-08-02","1070","1080","1050","1050","1441000","1050","119"
"1989-08-03","1060","1060","1040","1040","688000","1040","120"
"1989-08-04","1050","1050","1030","1040","788000","1040","121"
"1989-08-07","1050","1050","1030","1030","482000","1030","122"
"1989-08-08","1040","1060","1030","1060","784000","1060","123"
"1989-08-09","1050","1060","1040","1040","460000","1040","124"
"1989-08-10","1040","1040","1010","1010","1480000","1010","125"
"1989-08-11","1020","1030","1010","1020","1631000","1020","126"
"1989-08-14","1010","1020","1000","1000","1434000","1000","127"
"1989-08-15","1010","1030","1000","1020","1878000","1020","128"
"1989-08-16","1020","1030","1010","1030","1697000","1030","129"
"1989-08-17","1030","1030","1010","1020","528000","1020","130"
"1989-08-18","1030","1040","1020","1020","1539000","1020","131"
"1989-08-21","1040","1050","1030","1030","1188000","1030","132"
"1989-08-22","1030","1040","1020","1030","830000","1030","133"
"1989-08-23","1040","1040","1020","1030","1015000","1030","134"
"1989-08-24","1030","1030","1010","1020","1131000","1020","135"
"1989-08-25","1020","1020","1000","1000","1209000","1000","136"
"1989-08-28","1000","1010","991","991","1328000","991","137"
"1989-08-29","995","998","986","986","1408000","986","138"
