7272 ƒ„ƒ}ƒn”­“®‹@,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1470","1490","1460","1460","518000","1460","1"
"1989-02-20","1460","1480","1450","1460","339000","1460","2"
"1989-02-21","1460","1460","1440","1440","324000","1440","3"
"1989-02-22","1440","1440","1400","1420","410000","1420","4"
"1989-02-23","1410","1440","1400","1420","368000","1420","5"
"1989-02-27","1410","1440","1410","1440","148000","1440","7"
"1989-02-28","1420","1460","1420","1430","421000","1430","8"
"1989-03-01","1420","1480","1420","1440","517000","1440","9"
"1989-03-02","1450","1460","1430","1430","505000","1430","10"
"1989-03-03","1440","1450","1430","1430","405000","1430","11"
"1989-03-06","1430","1440","1420","1440","142000","1440","12"
"1989-03-07","1420","1440","1420","1430","128000","1430","13"
"1989-03-08","1430","1440","1420","1440","252000","1440","14"
"1989-03-09","1430","1440","1420","1440","411000","1440","15"
"1989-03-10","1430","1430","1400","1400","367000","1400","16"
"1989-03-13","1400","1410","1390","1390","228000","1390","17"
"1989-03-14","1400","1420","1390","1390","200000","1390","18"
"1989-03-15","1400","1420","1360","1400","591000","1400","19"
"1989-03-16","1400","1410","1380","1390","324000","1390","20"
"1989-03-17","1390","1410","1380","1380","278000","1380","21"
"1989-03-20","1350","1370","1350","1370","166000","1370","22"
"1989-03-22","1360","1370","1330","1330","180000","1330","24"
"1989-03-23","1330","1360","1330","1340","286000","1340","25"
"1989-03-24","1340","1360","1290","1310","345000","1310","26"
"1989-03-27","1290","1320","1260","1320","468000","1320","27"
"1989-03-28","1360","1430","1310","1410","207000","1410","28"
"1989-03-29","1430","1430","1380","1410","123000","1410","29"
"1989-03-30","1410","1410","1380","1390","69000","1390","30"
"1989-03-31","1390","1390","1350","1350","152000","1350","31"
"1989-04-03","1370","1400","1370","1380","122000","1380","32"
"1989-04-04","1410","1420","1380","1410","215000","1410","33"
"1989-04-05","1430","1430","1400","1400","132000","1400","34"
"1989-04-06","1400","1400","1380","1380","155000","1380","35"
"1989-04-07","1390","1400","1370","1370","179000","1370","36"
"1989-04-10","1360","1390","1340","1350","345000","1350","37"
"1989-04-11","1350","1380","1340","1350","275000","1350","38"
"1989-04-12","1360","1390","1350","1370","170000","1370","39"
"1989-04-13","1390","1390","1350","1380","149000","1380","40"
"1989-04-14","1380","1430","1380","1430","296000","1430","41"
"1989-04-17","1450","1460","1420","1450","887000","1450","42"
"1989-04-18","1450","1520","1450","1500","2624000","1500","43"
"1989-04-19","1520","1530","1480","1490","1401000","1490","44"
"1989-04-20","1490","1490","1430","1450","355000","1450","45"
"1989-04-21","1460","1480","1430","1460","417000","1460","46"
"1989-04-24","1470","1480","1450","1450","86000","1450","47"
"1989-04-25","1450","1480","1450","1450","262000","1450","48"
"1989-04-26","1480","1500","1450","1490","755000","1490","49"
"1989-04-27","1500","1570","1500","1540","2179000","1540","50"
"1989-04-28","1540","1560","1510","1510","2084000","1510","51"
"1989-05-01","1530","1530","1510","1530","492000","1530","52"
"1989-05-02","1550","1560","1510","1510","1156000","1510","53"
"1989-05-08","1510","1550","1510","1510","359000","1510","57"
"1989-05-09","1540","1540","1480","1480","286000","1480","58"
"1989-05-10","1520","1520","1480","1480","150000","1480","59"
"1989-05-11","1490","1500","1460","1460","265000","1460","60"
"1989-05-12","1440","1460","1440","1460","108000","1460","61"
"1989-05-15","1440","1460","1440","1450","98000","1450","62"
"1989-05-16","1450","1460","1440","1460","193000","1460","63"
"1989-05-17","1450","1470","1450","1460","187000","1460","64"
"1989-05-18","1480","1480","1430","1430","197000","1430","65"
"1989-05-19","1440","1450","1420","1450","220000","1450","66"
"1989-05-22","1490","1490","1450","1470","98000","1470","67"
"1989-05-23","1490","1490","1450","1460","161000","1460","68"
"1989-05-24","1470","1470","1450","1460","140000","1460","69"
"1989-05-25","1480","1480","1420","1420","426000","1420","70"
"1989-05-26","1440","1450","1430","1430","186000","1430","71"
"1989-05-29","1450","1460","1440","1460","195000","1460","72"
"1989-05-30","1460","1480","1440","1440","112000","1440","73"
"1989-05-31","1440","1480","1440","1470","187000","1470","74"
"1989-06-01","1450","1490","1450","1480","269000","1480","75"
"1989-06-02","1480","1490","1450","1460","232000","1460","76"
"1989-06-05","1440","1440","1420","1420","61000","1420","77"
"1989-06-06","1450","1450","1420","1420","54000","1420","78"
"1989-06-07","1420","1440","1400","1420","154000","1420","79"
"1989-06-08","1400","1420","1400","1410","81000","1410","80"
"1989-06-09","1420","1440","1420","1420","49000","1420","81"
"1989-06-12","1410","1420","1400","1400","78000","1400","82"
"1989-06-13","1420","1420","1370","1380","108000","1380","83"
"1989-06-14","1400","1420","1380","1420","177000","1420","84"
"1989-06-15","1400","1400","1360","1360","163000","1360","85"
"1989-06-16","1390","1390","1330","1370","194000","1370","86"
"1989-06-19","1350","1400","1330","1330","87000","1330","87"
"1989-06-20","1330","1390","1330","1360","139000","1360","88"
"1989-06-21","1380","1400","1360","1370","198000","1370","89"
"1989-06-22","1380","1390","1350","1390","145000","1390","90"
"1989-06-23","1370","1410","1370","1390","68000","1390","91"
"1989-06-26","1400","1400","1380","1390","88000","1390","92"
"1989-06-27","1400","1400","1370","1370","140000","1370","93"
"1989-06-28","1370","1380","1350","1360","166000","1360","94"
"1989-06-29","1350","1370","1340","1350","124000","1350","95"
"1989-06-30","1330","1340","1300","1300","294000","1300","96"
"1989-07-03","1300","1360","1300","1350","158000","1350","97"
"1989-07-04","1330","1340","1320","1330","259000","1330","98"
"1989-07-05","1340","1370","1330","1360","279000","1360","99"
"1989-07-06","1380","1380","1360","1370","100000","1370","100"
"1989-07-07","1400","1420","1400","1420","198000","1420","101"
"1989-07-10","1420","1430","1380","1380","102000","1380","102"
"1989-07-11","1400","1400","1370","1400","250000","1400","103"
"1989-07-12","1380","1400","1380","1390","97000","1390","104"
"1989-07-13","1400","1400","1380","1390","138000","1390","105"
"1989-07-14","1390","1390","1370","1370","129000","1370","106"
"1989-07-17","1350","1370","1350","1360","22000","1360","107"
"1989-07-18","1360","1400","1360","1380","176000","1380","108"
"1989-07-19","1360","1390","1360","1370","76000","1370","109"
"1989-07-20","1360","1390","1360","1370","170000","1370","110"
"1989-07-21","1370","1400","1370","1390","247000","1390","111"
"1989-07-24","1370","1400","1370","1390","111000","1390","112"
"1989-07-25","1400","1480","1400","1460","881000","1460","113"
"1989-07-26","1440","1470","1440","1470","332000","1470","114"
"1989-07-27","1470","1490","1460","1460","641000","1460","115"
"1989-07-28","1480","1490","1450","1470","320000","1470","116"
"1989-07-31","1450","1470","1450","1450","163000","1450","117"
"1989-08-01","1450","1470","1450","1470","400000","1470","118"
"1989-08-02","1470","1520","1460","1520","1753000","1520","119"
"1989-08-03","1520","1520","1490","1520","1496000","1520","120"
"1989-08-04","1510","1510","1490","1490","334000","1490","121"
"1989-08-07","1490","1520","1490","1520","438000","1520","122"
"1989-08-08","1520","1540","1520","1540","936000","1540","123"
"1989-08-09","1540","1540","1520","1530","596000","1530","124"
"1989-08-10","1520","1540","1520","1530","461000","1530","125"
"1989-08-11","1530","1540","1520","1520","476000","1520","126"
"1989-08-14","1520","1530","1480","1480","174000","1480","127"
"1989-08-15","1490","1520","1490","1490","281000","1490","128"
"1989-08-16","1510","1520","1500","1510","185000","1510","129"
"1989-08-17","1500","1510","1500","1510","326000","1510","130"
"1989-08-18","1510","1540","1500","1520","584000","1520","131"
"1989-08-21","1510","1520","1500","1520","240000","1520","132"
"1989-08-22","1500","1520","1500","1520","195000","1520","133"
"1989-08-23","1510","1520","1500","1500","170000","1500","134"
"1989-08-24","1490","1500","1480","1490","244000","1490","135"
"1989-08-25","1480","1480","1450","1460","187000","1460","136"
"1989-08-28","1440","1460","1440","1440","85000","1440","137"
"1989-08-29","1440","1460","1420","1450","100000","1450","138"
"1989-08-30","1460","1460","1410","1430","111000","1430","139"
"1989-08-31","1440","1460","1420","1460","254000","1460","140"
"1989-09-01","1420","1440","1410","1420","210000","1420","141"
"1989-09-04","1420","1420","1400","1420","91000","1420","142"
"1989-09-05","1440","1440","1400","1430","135000","1430","143"
"1989-09-06","1430","1440","1410","1420","111000","1420","144"
"1989-09-07","1400","1420","1380","1380","209000","1380","145"
"1989-09-08","1360","1380","1350","1370","250000","1370","146"
"1989-09-11","1360","1370","1350","1360","77000","1360","147"
"1989-09-12","1360","1390","1360","1380","161000","1380","148"
"1989-09-13","1380","1440","1360","1420","345000","1420","149"
"1989-09-14","1430","1450","1370","1400","252000","1400","150"
"1989-09-18","1380","1410","1380","1400","93000","1400","152"
"1989-09-19","1380","1400","1370","1370","330000","1370","153"
"1989-09-20","1390","1410","1380","1390","141000","1390","154"
"1989-09-21","1390","1400","1380","1390","174000","1390","155"
"1989-09-22","1420","1440","1380","1400","334000","1400","156"
"1989-09-25","1410","1420","1380","1420","431000","1420","157"
"1989-09-26","1410","1450","1400","1450","425000","1450","158"
"1989-09-27","1440","1470","1430","1460","388000","1460","159"
"1989-09-28","1450","1460","1430","1450","212000","1450","160"
"1989-09-29","1440","1440","1420","1420","210000","1420","161"
"1989-10-02","1440","1440","1400","1400","140000","1400","162"
"1989-10-03","1410","1410","1400","1410","187000","1410","163"
"1989-10-04","1410","1410","1380","1380","133000","1380","164"
"1989-10-05","1400","1420","1380","1420","149000","1420","165"
"1989-10-06","1400","1400","1380","1390","306000","1390","166"
"1989-10-09","1400","1400","1380","1380","105000","1380","167"
"1989-10-11","1380","1400","1380","1380","107000","1380","169"
"1989-10-12","1380","1390","1360","1360","196000","1360","170"
"1989-10-13","1360","1370","1350","1360","142000","1360","171"
"1989-10-16","1330","1380","1320","1330","150000","1330","172"
"1989-10-17","1360","1390","1350","1360","231000","1360","173"
"1989-10-18","1380","1380","1330","1330","263000","1330","174"
"1989-10-19","1350","1350","1340","1350","85000","1350","175"
"1989-10-20","1350","1360","1330","1350","260000","1350","176"
"1989-10-23","1360","1390","1350","1390","247000","1390","177"
"1989-10-24","1390","1400","1380","1390","287000","1390","178"
"1989-10-25","1390","1400","1360","1400","342000","1400","179"
"1989-10-26","1380","1400","1360","1400","387000","1400","180"
"1989-10-27","1420","1420","1380","1380","425000","1380","181"
"1989-10-30","1380","1400","1370","1390","35000","1390","182"
"1989-10-31","1370","1400","1350","1400","77000","1400","183"
