7751 ƒLƒ„ƒmƒ“,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1450","1460","1420","1420","1925000","1420","1"
"1989-02-20","1420","1440","1400","1400","1442000","1400","2"
"1989-02-21","1400","1410","1360","1360","2742000","1360","3"
"1989-02-22","1380","1420","1380","1420","2669000","1420","4"
"1989-02-23","1420","1510","1400","1460","2973000","1460","5"
"1989-02-27","1440","1500","1430","1500","1735000","1500","7"
"1989-02-28","1470","1510","1470","1490","2797000","1490","8"
"1989-03-01","1510","1540","1490","1540","5446000","1540","9"
"1989-03-02","1570","1600","1560","1590","15638000","1590","10"
"1989-03-03","1600","1610","1550","1580","7969000","1580","11"
"1989-03-06","1570","1570","1520","1540","1911000","1540","12"
"1989-03-07","1520","1550","1520","1550","1880000","1550","13"
"1989-03-08","1540","1570","1530","1570","3608000","1570","14"
"1989-03-09","1540","1560","1520","1540","1890000","1540","15"
"1989-03-10","1520","1540","1520","1540","1007000","1540","16"
"1989-03-13","1530","1530","1470","1480","1981000","1480","17"
"1989-03-14","1500","1510","1480","1490","1417000","1490","18"
"1989-03-15","1510","1580","1490","1580","4252000","1580","19"
"1989-03-16","1580","1590","1540","1560","2846000","1560","20"
"1989-03-17","1530","1560","1520","1520","1673000","1520","21"
"1989-03-20","1490","1520","1490","1520","1350000","1520","22"
"1989-03-22","1550","1560","1520","1550","2168000","1550","24"
"1989-03-23","1550","1570","1530","1540","1913000","1540","25"
"1989-03-24","1560","1610","1550","1600","7863000","1600","26"
"1989-03-27","1600","1610","1580","1590","3596000","1590","27"
"1989-03-28","1610","1750","1600","1730","14151000","1730","28"
"1989-03-29","1730","1730","1690","1700","9617000","1700","29"
"1989-03-30","1710","1720","1660","1680","3530000","1680","30"
"1989-03-31","1660","1680","1620","1650","2729000","1650","31"
"1989-04-03","1620","1670","1620","1650","2258000","1650","32"
"1989-04-04","1670","1680","1630","1630","2925000","1630","33"
"1989-04-05","1650","1650","1630","1640","1714000","1640","34"
"1989-04-06","1650","1650","1620","1650","1947000","1650","35"
"1989-04-07","1630","1640","1620","1620","1197000","1620","36"
"1989-04-10","1640","1660","1600","1660","2427000","1660","37"
"1989-04-11","1660","1720","1640","1710","9403000","1710","38"
"1989-04-12","1740","1770","1710","1740","12432000","1740","39"
"1989-04-13","1740","1750","1690","1690","1977000","1690","40"
"1989-04-14","1700","1700","1660","1700","879000","1700","41"
"1989-04-17","1700","1710","1670","1670","777000","1670","42"
"1989-04-18","1670","1670","1650","1660","927000","1660","43"
"1989-04-19","1660","1660","1640","1660","1065000","1660","44"
"1989-04-20","1650","1650","1620","1630","922000","1630","45"
"1989-04-21","1600","1650","1590","1630","1425000","1630","46"
"1989-04-24","1640","1640","1590","1600","1369000","1600","47"
"1989-04-25","1610","1620","1590","1600","1727000","1600","48"
"1989-04-26","1600","1620","1570","1600","1428000","1600","49"
"1989-04-27","1600","1610","1570","1570","1282000","1570","50"
"1989-04-28","1620","1640","1600","1610","1892000","1610","51"
"1989-05-01","1610","1620","1590","1590","1382000","1590","52"
"1989-05-02","1610","1680","1590","1680","1982000","1680","53"
"1989-05-08","1620","1670","1620","1660","1646000","1660","57"
"1989-05-09","1660","1720","1650","1700","4557000","1700","58"
"1989-05-10","1700","1700","1630","1670","2205000","1670","59"
"1989-05-11","1660","1670","1620","1640","1040000","1640","60"
"1989-05-12","1630","1650","1620","1640","1289000","1640","61"
"1989-05-15","1660","1660","1640","1660","830000","1660","62"
"1989-05-16","1690","1700","1660","1700","2276000","1700","63"
"1989-05-17","1710","1710","1690","1710","3367000","1710","64"
"1989-05-18","1710","1730","1690","1700","2067000","1700","65"
"1989-05-19","1700","1750","1700","1750","9658000","1750","66"
"1989-05-22","1760","1790","1740","1770","7286000","1770","67"
"1989-05-23","1790","1800","1770","1800","12216000","1800","68"
"1989-05-24","1780","1800","1760","1790","3865000","1790","69"
"1989-05-25","1790","1830","1780","1810","7413000","1810","70"
"1989-05-26","1810","1820","1780","1780","3874000","1780","71"
"1989-05-29","1810","1810","1790","1790","3614000","1790","72"
"1989-05-30","1790","1790","1770","1770","1674000","1770","73"
"1989-05-31","1760","1820","1760","1810","3875000","1810","74"
"1989-06-01","1840","1940","1830","1890","20122000","1890","75"
"1989-06-02","1900","1940","1850","1890","10828000","1890","76"
"1989-06-05","1870","1920","1850","1860","4416000","1860","77"
"1989-06-06","1830","1860","1810","1830","4234000","1830","78"
"1989-06-07","1830","1840","1780","1800","2682000","1800","79"
"1989-06-08","1800","1820","1780","1780","1267000","1780","80"
"1989-06-09","1790","1810","1780","1790","2299000","1790","81"
"1989-06-12","1790","1830","1770","1830","3260000","1830","82"
"1989-06-13","1860","1900","1820","1830","8894000","1830","83"
"1989-06-14","1860","1890","1830","1890","6334000","1890","84"
"1989-06-15","1880","1960","1880","1900","13395000","1900","85"
"1989-06-16","1940","1950","1880","1930","10337000","1930","86"
"1989-06-19","1940","2000","1920","1990","14690000","1990","87"
"1989-06-20","2000","2010","1960","1960","11210000","1960","88"
"1989-06-21","1970","1990","1930","1950","4604000","1950","89"
"1989-06-22","1940","1980","1920","1960","7202000","1960","90"
"1989-06-23","1950","2010","1940","2000","12676000","2000","91"
"1989-06-26","1990","2000","1980","2000","8717000","2000","92"
"1989-06-27","1840","1870","1830","1850","15742000","1850","93"
"1989-06-28","1830","1840","1800","1830","8365000","1830","94"
"1989-06-29","1820","1830","1790","1820","2633000","1820","95"
"1989-06-30","1790","1810","1770","1790","4098000","1790","96"
"1989-07-03","1770","1830","1770","1820","3480000","1820","97"
"1989-07-04","1810","1850","1810","1830","7712000","1830","98"
"1989-07-05","1850","1870","1830","1830","7867000","1830","99"
"1989-07-06","1820","1830","1800","1830","2911000","1830","100"
"1989-07-07","1820","1850","1810","1850","4307000","1850","101"
"1989-07-10","1850","1850","1820","1830","3634000","1830","102"
"1989-07-11","1830","1840","1800","1810","2539000","1810","103"
"1989-07-12","1800","1810","1790","1800","1487000","1800","104"
"1989-07-13","1790","1800","1790","1800","813000","1800","105"
"1989-07-14","1790","1820","1790","1790","2556000","1790","106"
"1989-07-17","1800","1810","1790","1800","818000","1800","107"
"1989-07-18","1790","1800","1780","1790","908000","1790","108"
"1989-07-19","1780","1810","1780","1810","1945000","1810","109"
"1989-07-20","1820","1830","1800","1800","2239000","1800","110"
"1989-07-21","1800","1830","1800","1830","2663000","1830","111"
"1989-07-24","1830","1850","1810","1810","2218000","1810","112"
"1989-07-25","1810","1820","1790","1790","2607000","1790","113"
"1989-07-26","1790","1800","1770","1770","3224000","1770","114"
"1989-07-27","1780","1780","1750","1750","2806000","1750","115"
"1989-07-28","1750","1770","1740","1750","2775000","1750","116"
"1989-07-31","1770","1780","1760","1780","1707000","1780","117"
"1989-08-01","1760","1770","1750","1750","1603000","1750","118"
"1989-08-02","1740","1750","1710","1720","2473000","1720","119"
"1989-08-03","1730","1740","1720","1720","1623000","1720","120"
"1989-08-04","1740","1770","1730","1740","1060000","1740","121"
"1989-08-07","1750","1770","1750","1760","1012000","1760","122"
"1989-08-08","1770","1810","1760","1810","4769000","1810","123"
"1989-08-09","1810","1840","1810","1820","6049000","1820","124"
"1989-08-10","1830","1880","1810","1880","15049000","1880","125"
"1989-08-11","1890","1890","1850","1870","10870000","1870","126"
"1989-08-14","1870","1890","1860","1860","3063000","1860","127"
"1989-08-15","1860","1880","1850","1880","2294000","1880","128"
"1989-08-16","1880","1900","1860","1870","5917000","1870","129"
"1989-08-17","1870","1870","1840","1840","1321000","1840","130"
"1989-08-18","1840","1860","1840","1860","2604000","1860","131"
"1989-08-21","1860","1870","1850","1860","1770000","1860","132"
"1989-08-22","1840","1860","1840","1840","1352000","1840","133"
"1989-08-23","1840","1850","1820","1820","1614000","1820","134"
"1989-08-24","1810","1820","1780","1790","1818000","1790","135"
"1989-08-25","1800","1810","1780","1780","1106000","1780","136"
"1989-08-28","1780","1780","1740","1760","1640000","1760","137"
"1989-08-29","1760","1790","1740","1780","1606000","1780","138"
"1989-08-30","1770","1780","1750","1750","1174000","1750","139"
"1989-08-31","1740","1750","1720","1740","2340000","1740","140"
"1989-09-01","1740","1750","1710","1730","2204000","1730","141"
"1989-09-04","1730","1750","1730","1750","1337000","1750","142"
"1989-09-05","1760","1770","1750","1760","1183000","1760","143"
"1989-09-06","1760","1770","1720","1730","1525000","1730","144"
"1989-09-07","1730","1750","1720","1730","1502000","1730","145"
"1989-09-08","1730","1740","1710","1710","1523000","1710","146"
"1989-09-11","1720","1740","1690","1690","1509000","1690","147"
