7752 ÉäÉRÅ[,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1150","1160","1140","1140","1659000","1140","1"
"1989-02-20","1150","1150","1130","1130","1106000","1130","2"
"1989-02-21","1130","1150","1100","1120","1700000","1120","3"
"1989-02-22","1120","1140","1120","1130","1386000","1130","4"
"1989-02-23","1130","1160","1130","1140","2602000","1140","5"
"1989-02-27","1140","1150","1130","1130","1682000","1130","7"
"1989-02-28","1130","1140","1130","1140","1455000","1140","8"
"1989-03-01","1150","1170","1140","1170","1127000","1170","9"
"1989-03-02","1200","1200","1170","1180","1999000","1180","10"
"1989-03-03","1200","1200","1160","1160","995000","1160","11"
"1989-03-06","1160","1160","1150","1160","710000","1160","12"
"1989-03-07","1150","1160","1140","1140","683000","1140","13"
"1989-03-08","1140","1150","1140","1150","507000","1150","14"
"1989-03-09","1150","1150","1140","1140","536000","1140","15"
"1989-03-10","1130","1160","1130","1160","512000","1160","16"
"1989-03-13","1150","1150","1130","1140","496000","1140","17"
"1989-03-14","1150","1150","1130","1150","643000","1150","18"
"1989-03-15","1160","1190","1150","1190","1216000","1190","19"
"1989-03-16","1190","1210","1170","1170","1166000","1170","20"
"1989-03-17","1160","1170","1150","1160","822000","1160","21"
"1989-03-20","1150","1170","1130","1130","715000","1130","22"
"1989-03-22","1130","1150","1120","1150","725000","1150","24"
"1989-03-23","1150","1160","1140","1160","710000","1160","25"
"1989-03-24","1150","1170","1150","1160","1168000","1160","26"
"1989-03-27","1160","1170","1140","1140","749000","1140","27"
"1989-03-28","1150","1210","1150","1210","1419000","1210","28"
"1989-03-29","1200","1210","1180","1190","1684000","1190","29"
"1989-03-30","1180","1190","1170","1170","1176000","1170","30"
"1989-03-31","1160","1170","1150","1160","1036000","1160","31"
"1989-04-03","1170","1180","1160","1180","1401000","1180","32"
"1989-04-04","1180","1200","1170","1200","1632000","1200","33"
"1989-04-05","1190","1200","1170","1180","745000","1180","34"
"1989-04-06","1180","1190","1160","1190","897000","1190","35"
