7832 バンダイナムコHD,,,,,
"date","open","hight","low","close","power","End","date_position"
"2005-09-30","1900","1904","1841","1890","1233700","1890","4320"
"2005-10-03","1843","1850","1745","1745","856299","1745","4321"
"2005-10-04","1746","1798","1746","1786","1167700","1786","4322"
"2005-10-05","1786","1790","1717","1731","1583400","1731","4323"
"2005-10-06","1682","1723","1673","1698","1170200","1698","4324"
"2005-10-07","1700","1717","1688","1717","1792400","1717","4325"
"2005-10-11","1745","1745","1707","1719","1974200","1719","4327"
"2005-10-12","1715","1716","1677","1677","1829900","1677","4328"
"2005-10-13","1672","1700","1664","1699","990000","1699","4329"
"2005-10-14","1697","1697","1678","1691","952600","1691","4330"
"2005-10-17","1689","1691","1664","1666","739700","1666","4331"
"2005-10-18","1667","1672","1651","1651","1153099","1651","4332"
"2005-10-19","1643","1643","1586","1627","1135000","1627","4333"
"2005-10-20","1620","1628","1586","1602","1364900","1602","4334"
"2005-10-21","1572","1596","1570","1584","1254099","1584","4335"
"2005-10-24","1586","1640","1586","1635","1063000","1635","4336"
"2005-10-25","1653","1660","1627","1628","746799","1628","4337"
"2005-10-26","1658","1693","1639","1686","1276099","1686","4338"
"2005-10-27","1690","1725","1681","1705","1215200","1705","4339"
"2005-10-28","1682","1706","1656","1700","835200","1700","4340"
"2005-10-31","1725","1759","1715","1751","1202599","1751","4341"
"2005-11-01","1721","1748","1717","1727","362600","1727","4342"
"2005-11-02","1710","1718","1675","1696","855500","1696","4343"
"2005-11-04","1716","1719","1654","1662","1163599","1662","4345"
"2005-11-07","1650","1661","1613","1628","1283000","1628","4346"
"2005-11-08","1636","1669","1631","1660","1610300","1660","4347"
"2005-11-09","1674","1676","1644","1664","820200","1664","4348"
"2005-11-10","1666","1671","1639","1645","753000","1645","4349"
"2005-11-11","1658","1660","1632","1640","652500","1640","4350"
"2005-11-14","1618","1622","1593","1603","2029900","1603","4351"
"2005-11-15","1602","1604","1587","1601","590400","1601","4352"
"2005-11-16","1604","1618","1576","1580","1812900","1580","4353"
"2005-11-17","1585","1612","1573","1612","1571099","1612","4354"
"2005-11-18","1600","1612","1590","1610","2077900","1610","4355"
"2005-11-21","1640","1715","1635","1709","3659400","1709","4356"
"2005-11-22","1720","1729","1685","1713","2344500","1713","4357"
"2005-11-24","1758","1821","1748","1778","3473400","1778","4359"
"2005-11-25","1788","1793","1730","1783","2454100","1783","4360"
"2005-11-28","1789","1818","1789","1815","2821500","1815","4361"
"2005-11-29","1815","1818","1774","1791","1702800","1791","4362"
"2005-11-30","1820","1825","1806","1815","1401300","1815","4363"
"2005-12-01","1810","1819","1788","1793","1123300","1793","4364"
"2005-12-02","1823","1823","1728","1768","2624699","1768","4365"
"2005-12-05","1738","1763","1721","1759","2049100","1759","4366"
"2005-12-06","1761","1809","1761","1787","2397199","1787","4367"
"2005-12-07","1803","1803","1771","1775","694799","1775","4368"
"2005-12-08","1763","1763","1722","1739","992299","1739","4369"
"2005-12-09","1701","1726","1701","1705","2053300","1705","4370"
"2005-12-12","1707","1735","1706","1709","1464400","1709","4371"
"2005-12-13","1709","1724","1685","1699","1498900","1699","4372"
"2005-12-14","1692","1692","1658","1661","2327600","1661","4373"
"2005-12-15","1687","1735","1670","1703","1646200","1703","4374"
"2005-12-16","1690","1725","1690","1704","1526700","1704","4375"
"2005-12-19","1705","1731","1705","1706","1440000","1706","4376"
"2005-12-20","1711","1719","1691","1692","1392099","1692","4377"
"2005-12-21","1692","1703","1675","1680","1491900","1680","4378"
"2005-12-22","1690","1733","1682","1723","2317400","1723","4379"
"2005-12-26","1713","1732","1692","1702","824400","1702","4381"
"2005-12-27","1702","1710","1696","1698","549299","1698","4382"
"2005-12-28","1700","1719","1700","1718","469500","1718","4383"
"2005-12-29","1726","1729","1711","1723","649500","1723","4384"
"2005-12-30","1728","1728","1717","1724","456000","1724","4385"
"2006-01-04","1740","1748","1729","1747","744700","1747","4387"
"2006-01-05","1757","1757","1740","1751","1809300","1751","4388"
"2006-01-06","1750","1759","1749","1754","2059600","1754","4389"
"2006-01-10","1758","1764","1731","1757","1799300","1757","4391"
"2006-01-11","1754","1757","1738","1755","1256700","1755","4392"
"2006-01-12","1754","1755","1742","1752","1188200","1752","4393"
"2006-01-13","1752","1760","1747","1760","1406400","1760","4394"
"2006-01-16","1755","1762","1744","1761","1383700","1761","4395"
"2006-01-17","1750","1782","1738","1754","1707599","1754","4396"
"2006-01-18","1745","1748","1654","1701","1615300","1701","4397"
"2006-01-19","1641","1727","1641","1707","1639900","1707","4398"
"2006-01-20","1713","1746","1713","1742","1464599","1742","4399"
"2006-01-23","1708","1747","1702","1717","1114900","1717","4400"
"2006-01-24","1717","1738","1715","1723","994100","1723","4401"
"2006-01-25","1725","1760","1721","1750","1447300","1750","4402"
"2006-01-26","1761","1778","1760","1768","742700","1768","4403"
"2006-01-27","1778","1792","1772","1787","1778400","1787","4404"
"2006-01-30","1791","1808","1780","1796","1924300","1796","4405"
"2006-01-31","1789","1794","1759","1762","1328400","1762","4406"
"2006-02-01","1762","1772","1747","1761","938900","1761","4407"
"2006-02-02","1768","1772","1739","1741","1018500","1741","4408"
"2006-02-03","1741","1744","1722","1725","1338000","1725","4409"
"2006-02-06","1730","1735","1698","1712","1247300","1712","4410"
"2006-02-07","1701","1704","1670","1675","2056100","1675","4411"
"2006-02-08","1684","1706","1675","1683","1192700","1683","4412"
"2006-02-09","1697","1698","1676","1698","943100","1698","4413"
"2006-02-10","1699","1699","1668","1691","822200","1691","4414"
"2006-02-13","1673","1674","1627","1636","1279400","1636","4415"
"2006-02-14","1631","1664","1612","1650","983500","1650","4416"
"2006-02-15","1643","1651","1619","1621","1056200","1621","4417"
"2006-02-16","1621","1635","1610","1629","810799","1629","4418"
"2006-02-17","1633","1633","1602","1607","559400","1607","4419"
"2006-02-20","1623","1630","1589","1602","1383900","1602","4420"
"2006-02-21","1599","1615","1582","1600","975500","1600","4421"
"2006-02-22","1610","1623","1602","1614","1084599","1614","4422"
"2006-02-23","1623","1663","1618","1650","1469500","1650","4423"
"2006-02-24","1470","1497","1405","1440","6777700","1440","4424"
"2006-02-27","1474","1474","1441","1441","3324699","1441","4425"
"2006-02-28","1450","1480","1422","1438","3335300","1438","4426"
"2006-03-01","1420","1422","1398","1405","2805300","1405","4427"
"2006-03-02","1408","1438","1406","1427","2552100","1427","4428"
"2006-03-03","1447","1447","1415","1418","1580700","1418","4429"
"2006-03-06","1438","1450","1419","1450","1395700","1450","4430"
"2006-03-07","1448","1449","1428","1428","1378900","1428","4431"
"2006-03-08","1423","1434","1409","1416","1552700","1416","4432"
"2006-03-09","1422","1442","1416","1439","1266800","1439","4433"
"2006-03-10","1454","1459","1418","1457","2682199","1457","4434"
"2006-03-13","1471","1482","1465","1478","1316200","1478","4435"
"2006-03-14","1484","1484","1466","1478","1092200","1478","4436"
"2006-03-15","1471","1475","1454","1460","1775500","1460","4437"
"2006-03-16","1471","1491","1468","1491","1728300","1491","4438"
"2006-03-17","1493","1502","1483","1500","1315700","1500","4439"
"2006-03-20","1520","1545","1511","1540","2158199","1540","4440"
"2006-03-22","1510","1512","1485","1507","1685300","1507","4442"
"2006-03-23","1510","1512","1495","1507","1163099","1507","4443"
"2006-03-24","1525","1529","1512","1524","1165400","1524","4444"
"2006-03-27","1533","1538","1530","1532","854900","1532","4445"
"2006-03-28","1540","1547","1532","1547","962600","1547","4446"
"2006-03-29","1546","1560","1538","1557","964200","1557","4447"
"2006-03-30","1582","1606","1577","1600","2163900","1600","4448"
"2006-03-31","1600","1614","1595","1612","1345400","1612","4449"
"2006-04-03","1615","1633","1588","1599","2146800","1599","4450"
"2006-04-04","1588","1597","1570","1570","1694800","1570","4451"
"2006-04-05","1561","1587","1561","1577","1546300","1577","4452"
"2006-04-06","1583","1583","1558","1571","1061300","1571","4453"
"2006-04-07","1597","1638","1580","1609","1848800","1609","4454"
"2006-04-10","1626","1627","1601","1616","1032400","1616","4455"
"2006-04-11","1620","1628","1585","1610","1553300","1610","4456"
"2006-04-12","1619","1631","1605","1610","1492900","1610","4457"
"2006-04-13","1620","1620","1591","1593","707000","1593","4458"
"2006-04-14","1614","1614","1594","1604","528400","1604","4459"
"2006-04-17","1618","1619","1603","1606","1433099","1606","4460"
