7911 ì î≈àÛç¸,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1940","1960","1930","1930","2057000","1930","1"
"1989-02-20","1950","1960","1940","1960","1140000","1960","2"
"1989-02-21","1960","1970","1920","1960","1536000","1960","3"
"1989-02-22","1950","1960","1930","1960","1423000","1960","4"
"1989-02-23","1960","2020","1950","2010","3767000","2010","5"
"1989-02-27","1990","2020","1960","1980","1316000","1980","7"
"1989-02-28","1970","1980","1940","1950","609000","1950","8"
"1989-03-01","1950","1970","1920","1950","1016000","1950","9"
"1989-03-02","1940","1950","1910","1930","892000","1930","10"
"1989-03-03","1940","1950","1920","1940","666000","1940","11"
"1989-03-06","1910","1930","1900","1930","629000","1930","12"
"1989-03-07","1910","1910","1900","1910","961000","1910","13"
"1989-03-08","1910","1920","1880","1900","969000","1900","14"
"1989-03-09","1880","1900","1860","1890","562000","1890","15"
"1989-03-10","1880","1900","1860","1890","1738000","1890","16"
"1989-03-13","1890","1920","1890","1910","875000","1910","17"
"1989-03-14","1890","1920","1890","1900","711000","1900","18"
"1989-03-15","1920","1930","1910","1910","747000","1910","19"
"1989-03-16","1920","1930","1890","1910","1200000","1910","20"
"1989-03-17","1900","1900","1880","1890","1022000","1890","21"
"1989-03-20","1860","1890","1850","1880","1971000","1880","22"
"1989-03-22","1880","1900","1870","1900","1483000","1900","24"
"1989-03-23","1890","1910","1890","1910","1230000","1910","25"
"1989-03-24","1930","1930","1910","1930","1103000","1930","26"
"1989-03-27","1930","1990","1920","1960","1748000","1960","27"
"1989-03-28","1980","1980","1920","1940","1071000","1940","28"
"1989-03-29","1950","1970","1920","1940","670000","1940","29"
"1989-03-30","1940","1950","1910","1940","481000","1940","30"
"1989-03-31","1940","1940","1900","1930","598000","1930","31"
"1989-04-03","1960","1970","1930","1970","615000","1970","32"
"1989-04-04","1980","2000","1970","1980","1507000","1980","33"
"1989-04-05","1980","1990","1950","1960","644000","1960","34"
"1989-04-06","1960","1960","1890","1940","554000","1940","35"
"1989-04-07","1950","1960","1880","1910","558000","1910","36"
"1989-04-10","1890","1920","1880","1920","404000","1920","37"
"1989-04-11","1930","1930","1900","1920","532000","1920","38"
"1989-04-12","1890","1920","1890","1920","386000","1920","39"
"1989-04-13","1920","1920","1900","1920","350000","1920","40"
"1989-04-14","1910","1920","1900","1900","593000","1900","41"
"1989-04-17","1910","1930","1900","1920","457000","1920","42"
"1989-04-18","1910","1920","1900","1920","418000","1920","43"
"1989-04-19","1890","1920","1890","1920","677000","1920","44"
"1989-04-20","1890","1900","1880","1900","595000","1900","45"
"1989-04-21","1880","1910","1870","1870","562000","1870","46"
"1989-04-24","1870","1900","1860","1890","596000","1890","47"
"1989-04-25","1900","1940","1880","1920","560000","1920","48"
"1989-04-26","1920","1930","1900","1910","709000","1910","49"
"1989-04-27","1930","1930","1910","1930","324000","1930","50"
"1989-04-28","1940","1950","1920","1940","807000","1940","51"
"1989-05-01","1920","1970","1920","1950","1046000","1950","52"
"1989-05-02","1970","2010","1950","2000","3424000","2000","53"
"1989-05-08","2040","2050","1970","1990","2112000","1990","57"
"1989-05-09","2000","2020","1970","2010","1481000","2010","58"
"1989-05-10","2000","2050","2000","2020","5601000","2020","59"
"1989-05-11","2020","2030","2000","2000","2177000","2000","60"
"1989-05-12","2000","2010","1980","2000","1074000","2000","61"
"1989-05-15","1980","2000","1960","2000","587000","2000","62"
"1989-05-16","2000","2000","1970","1990","577000","1990","63"
"1989-05-17","1990","1990","1970","1980","352000","1980","64"
"1989-05-18","1950","1980","1950","1970","542000","1970","65"
"1989-05-19","1970","1990","1970","1990","793000","1990","66"
"1989-05-22","1990","2000","1960","1960","486000","1960","67"
"1989-05-23","1970","1990","1960","1990","719000","1990","68"
"1989-05-24","1990","2000","1970","1990","890000","1990","69"
"1989-05-25","1980","1990","1970","1990","363000","1990","70"
"1989-05-26","1990","2000","1970","2000","715000","2000","71"
"1989-05-29","1990","2000","1960","1980","558000","1980","72"
"1989-05-30","2000","2000","1970","1980","697000","1980","73"
"1989-05-31","1980","1980","1960","1980","702000","1980","74"
"1989-06-01","1980","1990","1960","1980","1110000","1980","75"
"1989-06-02","1980","1980","1950","1960","576000","1960","76"
"1989-06-05","1930","1950","1920","1930","363000","1930","77"
"1989-06-06","1920","1930","1910","1930","383000","1930","78"
"1989-06-07","1930","1980","1930","1970","527000","1970","79"
"1989-06-08","1970","1970","1950","1950","487000","1950","80"
"1989-06-09","1950","1960","1930","1930","564000","1930","81"
"1989-06-12","1910","1940","1910","1920","300000","1920","82"
"1989-06-13","1930","1930","1900","1900","655000","1900","83"
"1989-06-14","1910","1910","1880","1900","530000","1900","84"
"1989-06-15","1900","1900","1880","1880","471000","1880","85"
"1989-06-16","1900","1900","1870","1890","311000","1890","86"
"1989-06-19","1860","1880","1860","1860","335000","1860","87"
"1989-06-20","1870","1920","1870","1890","560000","1890","88"
"1989-06-21","1930","1960","1910","1950","1141000","1950","89"
"1989-06-22","1980","1990","1930","1960","1100000","1960","90"
"1989-06-23","1960","1980","1940","1950","1146000","1950","91"
"1989-06-26","1970","1970","1950","1960","648000","1960","92"
"1989-06-27","1950","1970","1950","1970","771000","1970","93"
"1989-06-28","1940","1960","1940","1960","605000","1960","94"
"1989-06-29","1930","1950","1930","1930","398000","1930","95"
"1989-06-30","1920","1980","1900","1980","1063000","1980","96"
"1989-07-03","1930","1940","1910","1940","562000","1940","97"
"1989-07-04","1930","1980","1930","1950","746000","1950","98"
"1989-07-05","1940","1960","1930","1930","676000","1930","99"
"1989-07-06","1940","1980","1930","1950","705000","1950","100"
"1989-07-07","1960","1990","1940","1960","997000","1960","101"
"1989-07-10","1960","2000","1960","1990","1606000","1990","102"
"1989-07-11","1990","1990","1960","1960","483000","1960","103"
"1989-07-12","1970","1970","1950","1950","290000","1950","104"
"1989-07-13","1950","1960","1940","1940","455000","1940","105"
"1989-07-14","1970","1970","1940","1960","231000","1960","106"
"1989-07-17","1970","1970","1950","1950","453000","1950","107"
"1989-07-18","1940","1970","1940","1960","480000","1960","108"
"1989-07-19","1950","1960","1940","1950","314000","1950","109"
"1989-07-20","1970","1970","1940","1950","765000","1950","110"
"1989-07-21","1950","1970","1930","1940","1281000","1940","111"
"1989-07-24","1950","1970","1940","1960","415000","1960","112"
"1989-07-25","1970","1990","1950","1960","1170000","1960","113"
"1989-07-26","1970","1990","1960","1970","1365000","1970","114"
"1989-07-27","1970","1970","1950","1970","1078000","1970","115"
"1989-07-28","1990","1990","1970","1970","942000","1970","116"
"1989-07-31","1990","1990","1970","1990","545000","1990","117"
"1989-08-01","1980","1990","1970","1980","922000","1980","118"
"1989-08-02","1980","2030","1980","2010","2838000","2010","119"
"1989-08-03","2030","2030","1990","2020","1660000","2020","120"
"1989-08-04","2010","2010","1990","2000","575000","2000","121"
"1989-08-07","2000","2000","1980","1990","446000","1990","122"
"1989-08-08","1990","2000","1980","2000","464000","2000","123"
"1989-08-09","2000","2010","1990","2000","725000","2000","124"
"1989-08-10","2000","2050","2000","2050","3408000","2050","125"
"1989-08-11","2090","2100","2050","2080","3566000","2080","126"
"1989-08-14","2080","2080","2050","2080","586000","2080","127"
"1989-08-15","2080","2080","2060","2080","1282000","2080","128"
"1989-08-16","2080","2090","2060","2080","1361000","2080","129"
"1989-08-17","2070","2070","2050","2060","689000","2060","130"
"1989-08-18","2060","2060","2030","2040","400000","2040","131"
"1989-08-21","2050","2060","2040","2060","545000","2060","132"
"1989-08-22","2060","2060","2040","2060","535000","2060","133"
"1989-08-23","2060","2060","2030","2040","555000","2040","134"
"1989-08-24","2040","2050","2020","2030","639000","2030","135"
"1989-08-25","2030","2050","2020","2030","322000","2030","136"
"1989-08-28","2020","2020","1950","1970","321000","1970","137"
"1989-08-29","1990","2040","1990","2040","616000","2040","138"
"1989-08-30","2040","2040","1980","2020","538000","2020","139"
"1989-08-31","2040","2040","1980","2030","780000","2030","140"
"1989-09-01","2030","2030","1990","2000","984000","2000","141"
"1989-09-04","2000","2020","1990","2000","355000","2000","142"
"1989-09-05","2000","2020","1990","2020","708000","2020","143"
"1989-09-06","2010","2010","1990","2000","605000","2000","144"
"1989-09-07","2010","2040","2000","2030","1054000","2030","145"
"1989-09-08","2020","2040","2010","2020","930000","2020","146"
"1989-09-11","2040","2040","1980","1980","1234000","1980","147"
"1989-09-12","2010","2020","1990","2020","641000","2020","148"
"1989-09-13","2010","2030","2000","2020","1062000","2020","149"
"1989-09-14","2020","2020","2000","2020","1017000","2020","150"
"1989-09-18","2020","2020","2000","2010","741000","2010","152"
"1989-09-19","2010","2010","1990","2010","240000","2010","153"
"1989-09-20","2010","2020","2010","2010","1120000","2010","154"
"1989-09-21","2010","2030","2000","2030","612000","2030","155"
"1989-09-22","2030","2030","2000","2010","745000","2010","156"
"1989-09-25","2030","2030","2000","2000","741000","2000","157"
"1989-09-26","2010","2030","2010","2030","890000","2030","158"
"1989-09-27","2050","2090","2040","2060","2055000","2060","159"
"1989-09-28","2070","2150","2070","2150","6329000","2150","160"
"1989-09-29","2140","2180","2130","2130","3427000","2130","161"
"1989-10-02","2140","2140","2120","2120","905000","2120","162"
"1989-10-03","2130","2130","2080","2090","891000","2090","163"
"1989-10-04","2100","2110","2080","2100","477000","2100","164"
"1989-10-05","2100","2100","2090","2100","339000","2100","165"
"1989-10-06","2060","2090","2040","2070","566000","2070","166"
"1989-10-09","2050","2090","2050","2090","551000","2090","167"
"1989-10-11","2100","2110","2060","2100","1149000","2100","169"
"1989-10-12","2110","2170","2100","2120","4506000","2120","170"
"1989-10-13","2150","2170","2140","2150","3091000","2150","171"
"1989-10-16","2110","2120","2060","2080","1171000","2080","172"
"1989-10-17","2140","2140","2100","2110","1091000","2110","173"
"1989-10-18","2110","2200","2110","2170","5471000","2170","174"
"1989-10-19","2180","2210","2150","2180","4860000","2180","175"
"1989-10-20","2180","2250","2170","2240","7259000","2240","176"
"1989-10-23","2240","2240","2200","2220","1691000","2220","177"
"1989-10-24","2200","2220","2190","2220","1091000","2220","178"
"1989-10-25","2180","2200","2180","2180","961000","2180","179"
"1989-10-26","2180","2200","2180","2190","2043000","2190","180"
"1989-10-27","2190","2190","2160","2180","1664000","2180","181"
"1989-10-30","2180","2180","2150","2150","889000","2150","182"
"1989-10-31","2150","2180","2140","2180","1013000","2180","183"
"1989-11-01","2190","2190","2160","2190","1412000","2190","184"
"1989-11-02","2190","2190","2150","2170","946000","2170","185"
"1989-11-06","2170","2170","2150","2150","802000","2150","187"
"1989-11-07","2110","2140","2110","2120","988000","2120","188"
"1989-11-08","2130","2140","2130","2140","956000","2140","189"
"1989-11-09","2130","2160","2130","2150","604000","2150","190"
"1989-11-10","2150","2160","2140","2150","666000","2150","191"
"1989-11-13","2190","2190","2130","2130","653000","2130","192"
"1989-11-14","2130","2150","2130","2150","468000","2150","193"
"1989-11-15","2140","2150","2140","2140","739000","2140","194"
"1989-11-16","2140","2150","2130","2130","715000","2130","195"
"1989-11-17","2140","2170","2130","2170","708000","2170","196"
"1989-11-20","2150","2170","2150","2150","459000","2150","197"
"1989-11-21","2150","2190","2140","2190","1165000","2190","198"
"1989-11-22","2190","2190","2170","2190","1190000","2190","199"
"1989-11-24","2190","2190","2170","2190","1256000","2190","200"
"1989-11-27","2180","2200","2170","2190","948000","2190","201"
"1989-11-28","2190","2200","2160","2190","957000","2190","202"
"1989-11-29","2190","2210","2170","2190","1199000","2190","203"
"1989-11-30","2190","2190","2170","2190","976000","2190","204"
"1989-12-01","2190","2200","2190","2200","2008000","2200","205"
"1989-12-04","2190","2230","2190","2220","2133000","2220","206"
"1989-12-05","2240","2260","2220","2240","2970000","2240","207"
"1989-12-06","2210","2250","2210","2240","1434000","2240","208"
"1989-12-07","2210","2240","2210","2230","564000","2230","209"
"1989-12-08","2220","2230","2180","2230","1078000","2230","210"
"1989-12-11","2190","2200","2180","2200","808000","2200","211"
"1989-12-12","2200","2200","2180","2180","824000","2180","212"
"1989-12-13","2180","2200","2170","2190","1239000","2190","213"
"1989-12-14","2170","2200","2170","2190","669000","2190","214"
"1989-12-15","2170","2190","2150","2170","855000","2170","215"
"1989-12-18","2150","2180","2150","2180","750000","2180","216"
"1989-12-19","2180","2200","2160","2160","1460000","2160","217"
"1989-12-20","2170","2180","2150","2180","878000","2180","218"
"1989-12-21","2170","2180","2140","2150","775000","2150","219"
"1989-12-22","2160","2160","2120","2130","969000","2130","220"
"1989-12-25","2170","2200","2150","2180","1714000","2180","221"
"1989-12-26","2200","2240","2180","2180","1480000","2180","222"
"1989-12-27","2210","2220","2200","2210","1630000","2210","223"
"1989-12-28","2230","2240","2210","2230","1421000","2230","224"
"1989-12-29","2230","2250","2230","2250","908000","2250","225"
"1990-01-04","2250","2270","2240","2270","996000","2270","228"
"1990-01-05","2260","2270","2180","2210","1487000","2210","229"
"1990-01-08","2220","2230","2170","2200","1076000","2200","230"
"1990-01-09","2190","2190","2160","2190","538000","2190","231"
"1990-01-10","2190","2210","2160","2190","1304000","2190","232"
"1990-01-11","2220","2240","2200","2230","1198000","2230","233"
"1990-01-12","2240","2250","2210","2210","1161000","2210","234"
"1990-01-16","2180","2190","2160","2180","553000","2180","236"
"1990-01-17","2190","2190","2170","2170","531000","2170","237"
"1990-01-18","2170","2180","2120","2150","1186000","2150","238"
"1990-01-19","2140","2150","2130","2150","514000","2150","239"
"1990-01-22","2150","2180","2140","2180","556000","2180","240"
"1990-01-23","2170","2200","2150","2200","1082000","2200","241"
"1990-01-24","2210","2220","2180","2190","961000","2190","242"
"1990-01-25","2190","2230","2170","2220","1376000","2220","243"
"1990-01-26","2220","2220","2150","2180","1251000","2180","244"
"1990-01-29","2180","2180","2160","2180","513000","2180","245"
"1990-01-30","2180","2220","2180","2190","856000","2190","246"
"1990-01-31","2210","2220","2190","2220","1186000","2220","247"
"1990-02-01","2240","2250","2210","2240","2473000","2240","248"
"1990-02-02","2240","2250","2220","2240","1523000","2240","249"
"1990-02-05","2240","2240","2220","2220","633000","2220","250"
"1990-02-06","2220","2220","2190","2220","655000","2220","251"
"1990-02-07","2220","2220","2180","2200","584000","2200","252"
"1990-02-08","2200","2200","2180","2200","585000","2200","253"
"1990-02-09","2200","2200","2160","2190","533000","2190","254"
"1990-02-13","2200","2220","2190","2200","418000","2200","256"
"1990-02-14","2200","2200","2170","2200","601000","2200","257"
"1990-02-15","2200","2220","2180","2220","743000","2220","258"
"1990-02-16","2220","2220","2190","2220","808000","2220","259"
"1990-02-19","2220","2220","2180","2180","391000","2180","260"
"1990-02-20","2200","2200","2180","2200","714000","2200","261"
"1990-02-21","2180","2190","2130","2130","762000","2130","262"
"1990-02-22","2130","2150","2040","2100","584000","2100","263"
"1990-02-23","2080","2080","2050","2080","488000","2080","264"
"1990-02-26","1960","1990","1880","1920","678000","1920","265"
"1990-02-27","1980","2050","1950","2010","630000","2010","266"
"1990-02-28","2030","2060","2010","2010","487000","2010","267"
"1990-03-01","2030","2030","1970","1970","647000","1970","268"
"1990-03-02","2000","2030","1970","2000","435000","2000","269"
"1990-03-05","2020","2040","2000","2040","519000","2040","270"
"1990-03-06","2020","2050","2020","2050","712000","2050","271"
"1990-03-07","2060","2060","2000","2050","817000","2050","272"
"1990-03-08","2020","2020","1980","1990","706000","1990","273"
"1990-03-09","2000","2020","1990","1990","1554000","1990","274"
"1990-03-12","1960","1990","1920","1950","1117000","1950","275"
"1990-03-13","1910","1930","1880","1880","1155000","1880","276"
"1990-03-14","1850","1870","1820","1820","682000","1820","277"
"1990-03-15","1820","1830","1800","1810","493000","1810","278"
"1990-03-16","1810","1840","1790","1820","1000000","1820","279"
"1990-03-19","1810","1810","1690","1720","562000","1720","280"
"1990-03-20","1700","1720","1660","1660","799000","1660","281"
"1990-03-22","1650","1650","1510","1640","1646000","1640","283"
"1990-03-23","1690","1740","1650","1730","1408000","1730","284"
"1990-03-26","1850","1870","1830","1860","945000","1860","285"
"1990-03-27","1870","1900","1840","1900","829000","1900","286"
"1990-03-28","1850","1870","1800","1800","775000","1800","287"
"1990-03-29","1820","1870","1820","1840","766000","1840","288"
"1990-03-30","1810","1840","1780","1840","744000","1840","289"
"1990-04-02","1670","1740","1670","1700","794000","1700","290"
"1990-04-03","1720","1780","1700","1750","1088000","1750","291"
"1990-04-04","1810","1830","1770","1810","679000","1810","292"
"1990-04-05","1780","1850","1750","1840","726000","1840","293"
"1990-04-06","1900","1900","1840","1860","875000","1860","294"
"1990-04-09","1890","1930","1890","1920","1423000","1920","295"
"1990-04-10","1890","1910","1870","1880","718000","1880","296"
"1990-04-11","1880","1920","1870","1890","1239000","1890","297"
"1990-04-12","1890","1940","1890","1940","1007000","1940","298"
"1990-04-13","1910","1940","1900","1900","778000","1900","299"
"1990-04-16","1890","1890","1850","1850","348000","1850","300"
"1990-04-17","1820","1850","1820","1820","392000","1820","301"
"1990-04-18","1820","1850","1820","1850","610000","1850","302"
"1990-04-19","1870","1880","1850","1860","923000","1860","303"
"1990-04-20","1860","1890","1860","1890","825000","1890","304"
"1990-04-23","1860","1870","1830","1840","494000","1840","305"
"1990-04-24","1820","1840","1820","1820","374000","1820","306"
"1990-04-25","1840","1850","1800","1840","785000","1840","307"
"1990-04-26","1830","1860","1820","1840","440000","1840","308"
"1990-04-27","1810","1840","1800","1830","347000","1830","309"
"1990-05-01","1820","1850","1810","1840","209000","1840","311"
"1990-05-02","1850","1860","1840","1860","520000","1860","312"
"1990-05-07","1860","1910","1860","1900","460000","1900","315"
"1990-05-08","1870","1900","1870","1880","325000","1880","316"
"1990-05-09","1890","1890","1850","1860","730000","1860","317"
"1990-05-10","1840","1860","1840","1840","348000","1840","318"
"1990-05-11","1850","1880","1840","1860","568000","1860","319"
"1990-05-14","1890","1920","1880","1890","719000","1890","320"
"1990-05-15","1860","1900","1860","1880","919000","1880","321"
"1990-05-16","1880","1890","1860","1860","647000","1860","322"
"1990-05-17","1860","1880","1850","1860","345000","1860","323"
"1990-05-18","1860","1890","1850","1890","536000","1890","324"
"1990-05-21","1860","1870","1840","1860","849000","1860","325"
"1990-05-22","1830","1850","1830","1830","665000","1830","326"
"1990-05-23","1840","1850","1830","1830","447000","1830","327"
"1990-05-24","1860","1860","1810","1820","1219000","1820","328"
"1990-05-25","1840","1840","1820","1840","737000","1840","329"
"1990-05-28","1860","1860","1820","1840","502000","1840","330"
"1990-05-29","1840","1850","1810","1820","781000","1820","331"
"1990-05-30","1840","1850","1820","1840","540000","1840","332"
"1990-05-31","1870","1880","1840","1840","876000","1840","333"
"1990-06-01","1850","1860","1830","1830","587000","1830","334"
"1990-06-04","1850","1850","1830","1830","269000","1830","335"
"1990-06-05","1850","1870","1850","1870","801000","1870","336"
"1990-06-06","1870","1880","1850","1850","964000","1850","337"
"1990-06-07","1850","1870","1830","1870","623000","1870","338"
"1990-06-08","1870","1880","1830","1840","1002000","1840","339"
"1990-06-11","1830","1840","1820","1820","349000","1820","340"
"1990-06-12","1810","1820","1810","1820","587000","1820","341"
"1990-06-13","1820","1830","1800","1830","378000","1830","342"
"1990-06-14","1820","1830","1810","1810","466000","1810","343"
"1990-06-15","1810","1820","1810","1810","271000","1810","344"
"1990-06-18","1820","1840","1820","1830","351000","1830","345"
"1990-06-19","1830","1830","1800","1810","633000","1810","346"
"1990-06-20","1800","1830","1800","1810","458000","1810","347"
"1990-06-21","1790","1800","1780","1780","1076000","1780","348"
"1990-06-22","1760","1780","1750","1780","362000","1780","349"
"1990-06-25","1750","1750","1720","1730","326000","1730","350"
"1990-06-26","1720","1740","1700","1740","592000","1740","351"
"1990-06-27","1790","1790","1750","1780","866000","1780","352"
"1990-06-28","1770","1780","1760","1770","372000","1770","353"
"1990-06-29","1770","1770","1740","1740","433000","1740","354"
"1990-07-02","1720","1760","1710","1750","280000","1750","355"
"1990-07-03","1750","1750","1720","1750","534000","1750","356"
"1990-07-04","1740","1750","1730","1750","381000","1750","357"
"1990-07-05","1750","1760","1740","1760","302000","1760","358"
"1990-07-06","1760","1760","1740","1740","206000","1740","359"
"1990-07-09","1750","1770","1750","1770","317000","1770","360"
"1990-07-10","1760","1770","1740","1760","612000","1760","361"
"1990-07-11","1750","1770","1750","1770","906000","1770","362"
"1990-07-12","1770","1770","1740","1750","612000","1750","363"
"1990-07-13","1750","1770","1750","1760","552000","1760","364"
"1990-07-16","1760","1820","1760","1820","983000","1820","365"
"1990-07-17","1820","1840","1800","1830","821000","1830","366"
"1990-07-18","1830","1830","1800","1810","771000","1810","367"
"1990-07-19","1810","1850","1800","1840","1074000","1840","368"
"1990-07-20","1820","1840","1800","1810","563000","1810","369"
"1990-07-23","1800","1800","1760","1770","390000","1770","370"
"1990-07-24","1770","1780","1740","1770","360000","1770","371"
"1990-07-25","1750","1760","1730","1740","366000","1740","372"
"1990-07-26","1740","1740","1710","1740","903000","1740","373"
"1990-07-27","1740","1740","1650","1700","519000","1700","374"
"1990-07-30","1710","1710","1670","1670","466000","1670","375"
"1990-07-31","1690","1700","1660","1700","545000","1700","376"
"1990-08-01","1760","1760","1690","1700","466000","1700","377"
"1990-08-02","1700","1730","1680","1730","746000","1730","378"
"1990-08-03","1670","1710","1670","1670","317000","1670","379"
"1990-08-06","1610","1630","1580","1630","359000","1630","380"
"1990-08-07","1520","1580","1510","1550","647000","1550","381"
"1990-08-08","1550","1580","1540","1570","537000","1570","382"
"1990-08-09","1560","1560","1520","1520","541000","1520","383"
"1990-08-10","1550","1570","1500","1500","561000","1500","384"
"1990-08-13","1470","1480","1460","1470","718000","1470","385"
"1990-08-14","1480","1490","1460","1460","810000","1460","386"
"1990-08-15","1470","1580","1470","1560","978000","1560","387"
"1990-08-16","1560","1560","1520","1540","494000","1540","388"
"1990-08-17","1490","1520","1490","1500","336000","1500","389"
"1990-08-20","1480","1510","1480","1480","353000","1480","390"
"1990-08-21","1530","1530","1480","1500","448000","1500","391"
"1990-08-22","1460","1460","1370","1400","707000","1400","392"
"1990-08-23","1380","1410","1350","1360","793000","1360","393"
"1990-08-24","1350","1450","1350","1400","541000","1400","394"
"1990-08-27","1410","1460","1410","1450","221000","1450","395"
"1990-08-28","1470","1500","1450","1470","453000","1470","396"
"1990-08-29","1440","1450","1380","1410","809000","1410","397"
"1990-08-30","1410","1500","1410","1450","594000","1450","398"
"1990-08-31","1430","1450","1420","1420","461000","1420","399"
"1990-09-03","1440","1450","1410","1410","322000","1410","400"
"1990-09-04","1400","1420","1390","1390","299000","1390","401"
"1990-09-05","1390","1400","1360","1390","579000","1390","402"
"1990-09-06","1400","1400","1350","1360","402000","1360","403"
"1990-09-07","1360","1400","1360","1400","615000","1400","404"
"1990-09-10","1420","1440","1400","1440","986000","1440","405"
"1990-09-11","1410","1420","1400","1400","374000","1400","406"
"1990-09-12","1400","1430","1400","1430","545000","1430","407"
"1990-09-13","1440","1440","1420","1420","372000","1420","408"
"1990-09-14","1380","1420","1380","1400","1149000","1400","409"
"1990-09-17","1380","1390","1350","1370","350000","1370","410"
"1990-09-18","1330","1360","1310","1340","408000","1340","411"
"1990-09-19","1340","1350","1310","1330","265000","1330","412"
"1990-09-20","1350","1350","1310","1320","459000","1320","413"
"1990-09-21","1310","1370","1280","1370","628000","1370","414"
"1990-09-25","1310","1350","1300","1330","234000","1330","416"
"1990-09-26","1320","1330","1250","1290","391000","1290","417"
"1990-09-27","1270","1290","1250","1260","361000","1260","418"
"1990-09-28","1280","1290","1240","1290","574000","1290","419"
"1990-10-01","1290","1290","1250","1270","543000","1270","420"
"1990-10-02","1390","1440","1350","1400","846000","1400","421"
"1990-10-03","1400","1440","1370","1420","822000","1420","422"
"1990-10-04","1360","1400","1350","1400","550000","1400","423"
"1990-10-05","1390","1410","1380","1400","545000","1400","424"
"1990-10-08","1380","1420","1370","1410","408000","1410","425"
"1990-10-09","1420","1440","1400","1400","910000","1400","426"
"1990-10-11","1360","1360","1320","1330","274000","1330","428"
"1990-10-12","1310","1340","1280","1310","198000","1310","429"
"1990-10-15","1370","1370","1350","1370","238000","1370","430"
"1990-10-16","1390","1420","1380","1390","711000","1390","431"
"1990-10-17","1400","1410","1370","1410","404000","1410","432"
"1990-10-18","1400","1430","1380","1430","339000","1430","433"
"1990-10-19","1420","1450","1420","1430","425000","1430","434"
"1990-10-22","1430","1480","1430","1480","789000","1480","435"
"1990-10-23","1470","1470","1440","1440","586000","1440","436"
"1990-10-24","1420","1420","1400","1400","546000","1400","437"
"1990-10-25","1380","1420","1380","1410","386000","1410","438"
"1990-10-26","1380","1400","1380","1380","359000","1380","439"
"1990-10-29","1390","1400","1380","1400","459000","1400","440"
"1990-10-30","1400","1400","1380","1390","400000","1390","441"
"1990-10-31","1400","1410","1380","1390","489000","1390","442"
"1990-11-01","1380","1380","1360","1370","356000","1370","443"
"1990-11-02","1350","1370","1330","1350","352000","1350","444"
"1990-11-05","1370","1380","1350","1350","275000","1350","445"
"1990-11-06","1360","1370","1350","1360","370000","1360","446"
"1990-11-07","1350","1350","1320","1330","626000","1330","447"
"1990-11-08","1310","1340","1290","1340","505000","1340","448"
"1990-11-09","1310","1330","1290","1330","458000","1330","449"
"1990-11-13","1370","1370","1350","1360","268000","1360","451"
"1990-11-14","1350","1390","1340","1370","332000","1370","452"
"1990-11-15","1370","1370","1350","1360","137000","1360","453"
"1990-11-16","1350","1350","1310","1330","223000","1330","454"
"1990-11-19","1360","1380","1330","1370","408000","1370","455"
"1990-11-20","1370","1370","1330","1350","242000","1350","456"
"1990-11-21","1330","1330","1280","1310","355000","1310","457"
"1990-11-22","1320","1390","1310","1390","530000","1390","458"
"1990-11-26","1380","1400","1370","1400","399000","1400","460"
"1990-11-27","1400","1400","1380","1390","486000","1390","461"
"1990-11-28","1370","1390","1360","1380","549000","1380","462"
"1990-11-29","1380","1380","1330","1370","442000","1370","463"
"1990-11-30","1330","1350","1310","1350","380000","1350","464"
"1990-12-03","1380","1380","1340","1360","399000","1360","465"
"1990-12-04","1350","1350","1290","1290","280000","1290","466"
"1990-12-05","1310","1340","1280","1340","443000","1340","467"
"1990-12-06","1360","1380","1350","1370","301000","1370","468"
"1990-12-07","1390","1390","1370","1390","426000","1390","469"
"1990-12-10","1400","1420","1370","1370","283000","1370","470"
"1990-12-11","1380","1400","1350","1400","348000","1400","471"
"1990-12-12","1400","1410","1380","1410","637000","1410","472"
"1990-12-13","1420","1420","1370","1410","540000","1410","473"
"1990-12-14","1350","1400","1350","1400","1775000","1400","474"
"1990-12-17","1390","1400","1380","1380","228000","1380","475"
"1990-12-18","1380","1390","1360","1390","302000","1390","476"
"1990-12-19","1400","1410","1350","1370","1022000","1370","477"
"1990-12-20","1360","1380","1360","1370","629000","1370","478"
"1990-12-21","1330","1360","1330","1340","241000","1340","479"
"1990-12-25","1320","1350","1300","1350","164000","1350","481"
"1990-12-26","1350","1350","1320","1330","175000","1330","482"
"1990-12-27","1350","1370","1330","1330","389000","1330","483"
"1990-12-28","1330","1340","1310","1340","275000","1340","484"
"1991-01-04","1340","1370","1330","1370","195000","1370","488"
"1991-01-07","1340","1360","1330","1350","226000","1350","489"
