7912 ëÂì˙ñ{àÛç¸,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","2450","2470","2420","2450","806000","2450","1"
"1989-02-20","2480","2480","2420","2440","493000","2440","2"
"1989-02-21","2470","2470","2430","2450","468000","2450","3"
"1989-02-22","2450","2470","2400","2450","696000","2450","4"
"1989-02-23","2480","2540","2470","2540","2102000","2540","5"
"1989-02-27","2540","2560","2500","2500","620000","2500","7"
"1989-02-28","2500","2500","2450","2470","151000","2470","8"
"1989-03-01","2480","2500","2450","2460","247000","2460","9"
"1989-03-02","2500","2500","2430","2440","326000","2440","10"
"1989-03-03","2460","2460","2380","2390","812000","2390","11"
"1989-03-06","2400","2410","2370","2400","809000","2400","12"
"1989-03-07","2440","2440","2390","2420","344000","2420","13"
"1989-03-08","2400","2420","2370","2390","505000","2390","14"
"1989-03-09","2380","2400","2370","2380","401000","2380","15"
"1989-03-10","2380","2380","2320","2360","1035000","2360","16"
"1989-03-13","2320","2330","2290","2300","442000","2300","17"
"1989-03-14","2330","2330","2270","2320","901000","2320","18"
"1989-03-15","2320","2340","2290","2340","760000","2340","19"
"1989-03-16","2370","2370","2340","2350","681000","2350","20"
"1989-03-17","2350","2380","2310","2310","664000","2310","21"
"1989-03-20","2300","2310","2260","2270","683000","2270","22"
"1989-03-22","2290","2290","2250","2270","710000","2270","24"
"1989-03-23","2270","2290","2260","2270","504000","2270","25"
"1989-03-24","2280","2320","2260","2290","726000","2290","26"
"1989-03-27","2310","2350","2270","2350","865000","2350","27"
"1989-03-28","2270","2300","2270","2290","425000","2290","28"
"1989-03-29","2330","2370","2330","2330","862000","2330","29"
"1989-03-30","2330","2350","2290","2290","508000","2290","30"
"1989-03-31","2290","2290","2240","2290","797000","2290","31"
"1989-04-03","2250","2290","2240","2290","901000","2290","32"
"1989-04-04","2330","2370","2320","2340","1145000","2340","33"
"1989-04-05","2380","2400","2300","2300","916000","2300","34"
"1989-04-06","2340","2350","2300","2350","659000","2350","35"
"1989-04-07","2380","2380","2300","2330","469000","2330","36"
"1989-04-10","2370","2370","2280","2300","550000","2300","37"
"1989-04-11","2340","2340","2300","2330","607000","2330","38"
"1989-04-12","2370","2370","2280","2300","834000","2300","39"
"1989-04-13","2300","2310","2210","2250","676000","2250","40"
"1989-04-14","2290","2300","2270","2290","636000","2290","41"
"1989-04-17","2310","2320","2290","2300","557000","2300","42"
"1989-04-18","2340","2340","2260","2300","509000","2300","43"
"1989-04-19","2300","2310","2280","2280","392000","2280","44"
"1989-04-20","2300","2300","2280","2290","510000","2290","45"
"1989-04-21","2270","2290","2250","2250","421000","2250","46"
"1989-04-24","2290","2300","2250","2280","451000","2280","47"
"1989-04-25","2320","2320","2280","2290","251000","2290","48"
"1989-04-26","2290","2320","2290","2320","468000","2320","49"
"1989-04-27","2340","2340","2300","2300","555000","2300","50"
"1989-04-28","2340","2340","2290","2300","843000","2300","51"
"1989-05-01","2290","2350","2290","2340","617000","2340","52"
"1989-05-02","2360","2400","2330","2390","953000","2390","53"
"1989-05-08","2430","2450","2400","2400","1243000","2400","57"
"1989-05-09","2420","2420","2400","2420","597000","2420","58"
"1989-05-10","2440","2470","2400","2420","1834000","2420","59"
"1989-05-11","2430","2430","2400","2410","611000","2410","60"
"1989-05-12","2410","2430","2360","2410","572000","2410","61"
"1989-05-15","2400","2400","2340","2370","552000","2370","62"
"1989-05-16","2410","2410","2350","2390","553000","2390","63"
"1989-05-17","2400","2400","2350","2350","532000","2350","64"
"1989-05-18","2390","2390","2370","2370","352000","2370","65"
"1989-05-19","2390","2390","2350","2380","314000","2380","66"
"1989-05-22","2400","2440","2380","2430","763000","2430","67"
"1989-05-23","2430","2440","2360","2440","818000","2440","68"
"1989-05-24","2440","2440","2400","2400","731000","2400","69"
"1989-05-25","2410","2410","2370","2390","340000","2390","70"
"1989-05-26","2430","2430","2370","2390","534000","2390","71"
"1989-05-29","2390","2390","2360","2380","873000","2380","72"
"1989-05-30","2380","2390","2370","2380","335000","2380","73"
"1989-05-31","2420","2420","2380","2390","417000","2390","74"
"1989-06-01","2420","2420","2380","2400","533000","2400","75"
"1989-06-02","2390","2410","2360","2380","416000","2380","76"
"1989-06-05","2360","2380","2350","2380","247000","2380","77"
"1989-06-06","2360","2370","2330","2360","679000","2360","78"
"1989-06-07","2370","2370","2330","2360","371000","2360","79"
"1989-06-08","2360","2370","2300","2330","300000","2330","80"
"1989-06-09","2350","2350","2320","2330","142000","2330","81"
"1989-06-12","2370","2400","2340","2340","250000","2340","82"
"1989-06-13","2360","2360","2270","2350","684000","2350","83"
"1989-06-14","2320","2330","2300","2330","268000","2330","84"
"1989-06-15","2370","2370","2270","2290","559000","2290","85"
"1989-06-16","2360","2360","2270","2290","357000","2290","86"
"1989-06-19","2270","2270","2200","2250","477000","2250","87"
"1989-06-20","2250","2280","2230","2240","345000","2240","88"
"1989-06-21","2240","2290","2240","2280","607000","2280","89"
