7951 ƒ„ƒ}ƒn,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1760","1760","1730","1740","130000","1740","1"
"1989-02-20","1730","1730","1660","1700","589000","1700","2"
"1989-02-21","1690","1690","1650","1680","216000","1680","3"
"1989-02-22","1650","1650","1630","1650","337000","1650","4"
"1989-02-23","1680","1680","1650","1660","488000","1660","5"
"1989-02-27","1670","1710","1670","1670","222000","1670","7"
"1989-02-28","1700","1700","1670","1680","328000","1680","8"
"1989-03-01","1710","1720","1680","1720","304000","1720","9"
"1989-03-02","1710","1710","1680","1710","193000","1710","10"
"1989-03-03","1700","1700","1660","1680","135000","1680","11"
"1989-03-06","1670","1680","1660","1680","107000","1680","12"
"1989-03-07","1680","1690","1660","1660","157000","1660","13"
"1989-03-08","1660","1680","1650","1670","420000","1670","14"
"1989-03-09","1670","1700","1650","1670","227000","1670","15"
"1989-03-10","1670","1700","1650","1650","199000","1650","16"
"1989-03-13","1650","1680","1650","1650","115000","1650","17"
"1989-03-14","1680","1700","1660","1700","214000","1700","18"
"1989-03-15","1700","1700","1650","1650","168000","1650","19"
"1989-03-16","1660","1690","1650","1690","207000","1690","20"
"1989-03-17","1690","1690","1670","1690","163000","1690","21"
"1989-03-20","1670","1690","1670","1690","120000","1690","22"
"1989-03-22","1700","1700","1650","1690","359000","1690","24"
"1989-03-23","1690","1690","1650","1670","236000","1670","25"
"1989-03-24","1680","1690","1650","1650","209000","1650","26"
"1989-03-27","1650","1690","1630","1650","247000","1650","27"
"1989-03-28","1680","1700","1640","1700","130000","1700","28"
"1989-03-29","1670","1700","1650","1680","133000","1680","29"
"1989-03-30","1660","1700","1650","1650","207000","1650","30"
"1989-03-31","1700","1710","1650","1670","161000","1670","31"
"1989-04-03","1660","1690","1660","1660","217000","1660","32"
"1989-04-04","1660","1680","1650","1650","169000","1650","33"
"1989-04-05","1660","1690","1650","1680","323000","1680","34"
"1989-04-06","1670","1680","1650","1650","203000","1650","35"
"1989-04-07","1680","1680","1640","1640","171000","1640","36"
"1989-04-10","1660","1680","1630","1630","194000","1630","37"
"1989-04-11","1660","1680","1650","1660","383000","1660","38"
"1989-04-12","1670","1700","1670","1700","337000","1700","39"
"1989-04-13","1730","1730","1680","1700","211000","1700","40"
"1989-04-14","1730","1750","1700","1720","307000","1720","41"
"1989-04-17","1750","1750","1720","1730","168000","1730","42"
"1989-04-18","1750","1770","1740","1760","412000","1760","43"
"1989-04-19","1760","1760","1740","1740","140000","1740","44"
"1989-04-20","1770","1770","1740","1740","122000","1740","45"
"1989-04-21","1770","1770","1700","1730","169000","1730","46"
"1989-04-24","1760","1760","1730","1750","245000","1750","47"
"1989-04-25","1770","1770","1680","1760","213000","1760","48"
"1989-04-26","1750","1770","1720","1750","140000","1750","49"
"1989-04-27","1750","1750","1700","1750","280000","1750","50"
"1989-04-28","1770","1770","1720","1730","361000","1730","51"
"1989-05-01","1720","1730","1710","1710","245000","1710","52"
"1989-05-02","1740","1760","1720","1720","218000","1720","53"
"1989-05-08","1720","1760","1710","1710","116000","1710","57"
"1989-05-09","1720","1740","1720","1720","126000","1720","58"
"1989-05-10","1750","1750","1720","1720","505000","1720","59"
"1989-05-11","1750","1750","1720","1730","199000","1730","60"
"1989-05-12","1730","1740","1710","1710","259000","1710","61"
"1989-05-15","1740","1740","1700","1710","212000","1710","62"
"1989-05-16","1740","1740","1680","1730","164000","1730","63"
"1989-05-17","1760","1760","1730","1760","283000","1760","64"
"1989-05-18","1760","1760","1700","1700","196000","1700","65"
"1989-05-19","1740","1760","1700","1750","188000","1750","66"
"1989-05-22","1760","1770","1750","1760","391000","1760","67"
"1989-05-23","1750","1770","1750","1760","276000","1760","68"
"1989-05-24","1790","1790","1750","1770","257000","1770","69"
"1989-05-25","1760","1780","1740","1780","161000","1780","70"
"1989-05-26","1790","1800","1760","1770","180000","1770","71"
"1989-05-29","1780","1820","1780","1800","741000","1800","72"
"1989-05-30","1800","1830","1780","1800","352000","1800","73"
"1989-05-31","1820","1860","1790","1850","337000","1850","74"
"1989-06-01","1800","1830","1780","1780","244000","1780","75"
