8001 à…ì°íâè§éñ,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1200","1200","1170","1170","10445000","1170","1"
"1989-02-20","1180","1180","1160","1170","3698000","1170","2"
"1989-02-21","1180","1180","1150","1150","3391000","1150","3"
"1989-02-22","1160","1170","1150","1160","3340000","1160","4"
"1989-02-23","1160","1190","1150","1180","8035000","1180","5"
"1989-02-27","1160","1190","1150","1180","4033000","1180","7"
"1989-02-28","1180","1190","1160","1160","4486000","1160","8"
"1989-03-01","1160","1170","1120","1120","4405000","1120","9"
"1989-03-02","1120","1140","1080","1100","4517000","1100","10"
"1989-03-03","1120","1120","1080","1090","2637000","1090","11"
"1989-03-06","1080","1080","1050","1070","1563000","1070","12"
"1989-03-07","1030","1070","1030","1060","2586000","1060","13"
"1989-03-08","1070","1090","1060","1060","1468000","1060","14"
"1989-03-09","1060","1070","1050","1060","1360000","1060","15"
"1989-03-10","1050","1060","1040","1050","1125000","1050","16"
"1989-03-13","1060","1060","1020","1020","2732000","1020","17"
"1989-03-14","1030","1060","1030","1050","2501000","1050","18"
"1989-03-15","1060","1080","1050","1080","3231000","1080","19"
"1989-03-16","1080","1100","1070","1070","2661000","1070","20"
"1989-03-17","1060","1070","1050","1050","1745000","1050","21"
"1989-03-20","1030","1050","1030","1050","2005000","1050","22"
"1989-03-22","1040","1050","1030","1050","1758000","1050","24"
"1989-03-23","1040","1050","1040","1040","2020000","1040","25"
"1989-03-24","1050","1050","1030","1040","2095000","1040","26"
"1989-03-27","1040","1070","1030","1060","2250000","1060","27"
"1989-03-28","1090","1100","1070","1100","3876000","1100","28"
"1989-03-29","1080","1140","1080","1140","4933000","1140","29"
"1989-03-30","1130","1140","1110","1140","4076000","1140","30"
"1989-03-31","1150","1180","1140","1170","10240000","1170","31"
"1989-04-03","1150","1170","1140","1150","12558000","1150","32"
"1989-04-04","1160","1200","1150","1200","13389000","1200","33"
"1989-04-05","1200","1220","1170","1180","14467000","1180","34"
"1989-04-06","1170","1180","1120","1150","3451000","1150","35"
"1989-04-07","1130","1170","1120","1140","3238000","1140","36"
"1989-04-10","1160","1160","1120","1140","2299000","1140","37"
"1989-04-11","1130","1150","1120","1140","1412000","1140","38"
"1989-04-12","1160","1180","1140","1150","3922000","1150","39"
"1989-04-13","1150","1150","1090","1100","4027000","1100","40"
"1989-04-14","1090","1100","1080","1090","2051000","1090","41"
"1989-04-17","1130","1140","1110","1140","2065000","1140","42"
"1989-04-18","1140","1140","1120","1130","2512000","1130","43"
"1989-04-19","1110","1130","1110","1110","1676000","1110","44"
"1989-04-20","1110","1120","1090","1100","1272000","1100","45"
"1989-04-21","1070","1090","1070","1080","1873000","1080","46"
"1989-04-24","1080","1090","1070","1080","1345000","1080","47"
"1989-04-25","1080","1090","1070","1090","1642000","1090","48"
"1989-04-26","1080","1100","1070","1090","2232000","1090","49"
"1989-04-27","1090","1100","1080","1100","2620000","1100","50"
"1989-04-28","1100","1120","1090","1110","3100000","1110","51"
"1989-05-01","1110","1150","1100","1140","2050000","1140","52"
"1989-05-02","1150","1160","1120","1140","6545000","1140","53"
"1989-05-08","1140","1150","1120","1130","2801000","1130","57"
"1989-05-09","1130","1130","1100","1120","2450000","1120","58"
"1989-05-10","1120","1120","1100","1100","1730000","1100","59"
"1989-05-11","1100","1110","1090","1100","1447000","1100","60"
"1989-05-12","1110","1120","1090","1090","1288000","1090","61"
"1989-05-15","1100","1110","1080","1080","972000","1080","62"
"1989-05-16","1080","1090","1050","1070","2646000","1070","63"
"1989-05-17","1080","1110","1080","1080","1486000","1080","64"
"1989-05-18","1080","1090","1070","1070","2029000","1070","65"
"1989-05-19","1070","1080","1060","1060","1183000","1060","66"
"1989-05-22","1080","1080","1060","1070","1263000","1070","67"
"1989-05-23","1060","1070","1040","1050","2128000","1050","68"
"1989-05-24","1050","1060","1040","1040","1149000","1040","69"
"1989-05-25","1050","1070","1040","1040","2646000","1040","70"
"1989-05-26","1070","1070","1050","1060","2054000","1060","71"
"1989-05-29","1090","1100","1060","1060","2802000","1060","72"
"1989-05-30","1060","1070","1040","1060","1939000","1060","73"
"1989-05-31","1060","1070","1050","1050","1613000","1050","74"
"1989-06-01","1050","1060","1030","1040","2617000","1040","75"
"1989-06-02","1040","1040","1000","1010","3001000","1010","76"
"1989-06-05","1000","1020","1000","1000","2364000","1000","77"
"1989-06-06","980","987","980","985","3330000","985","78"
"1989-06-07","985","995","984","990","1839000","990","79"
"1989-06-08","995","1010","991","1010","1542000","1010","80"
"1989-06-09","1010","1010","990","990","993000","990","81"
"1989-06-12","988","1000","982","995","1036000","995","82"
"1989-06-13","992","992","980","983","1837000","983","83"
"1989-06-14","973","979","965","968","2189000","968","84"
"1989-06-15","978","982","953","953","1482000","953","85"
"1989-06-16","955","963","933","935","2058000","935","86"
"1989-06-19","945","950","937","939","810000","939","87"
"1989-06-20","939","980","939","970","1870000","970","88"
"1989-06-21","980","985","970","985","1475000","985","89"
"1989-06-22","995","998","985","995","1274000","995","90"
"1989-06-23","1030","1030","995","1000","2249000","1000","91"
"1989-06-26","1010","1010","1000","1010","591000","1010","92"
"1989-06-27","1000","1010","989","998","1115000","998","93"
"1989-06-28","985","990","968","976","1425000","976","94"
"1989-06-29","982","985","971","971","1142000","971","95"
"1989-06-30","961","971","960","971","1554000","971","96"
"1989-07-03","970","990","965","990","626000","990","97"
"1989-07-04","988","989","981","981","892000","981","98"
"1989-07-05","981","999","980","990","1943000","990","99"
"1989-07-06","1010","1010","990","995","1876000","995","100"
"1989-07-07","1010","1010","996","1000","1739000","1000","101"
"1989-07-10","1010","1020","1000","1000","796000","1000","102"
"1989-07-11","1010","1010","1000","1010","1028000","1010","103"
"1989-07-12","1010","1010","1000","1010","920000","1010","104"
"1989-07-13","1010","1030","1010","1020","2416000","1020","105"
"1989-07-14","1020","1020","1010","1020","1020000","1020","106"
"1989-07-17","1020","1020","1010","1010","408000","1010","107"
"1989-07-18","1010","1010","1000","1010","642000","1010","108"
"1989-07-19","1010","1010","1000","1000","821000","1000","109"
"1989-07-20","1010","1020","1010","1020","1406000","1020","110"
"1989-07-21","1020","1030","1010","1020","1831000","1020","111"
"1989-07-24","1030","1040","1010","1040","1841000","1040","112"
"1989-07-25","1040","1070","1030","1060","3600000","1060","113"
"1989-07-26","1070","1080","1060","1060","4149000","1060","114"
"1989-07-27","1080","1110","1070","1100","12238000","1100","115"
"1989-07-28","1110","1110","1070","1080","4084000","1080","116"
"1989-07-31","1090","1100","1080","1080","2409000","1080","117"
