8002 ä€çg,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","940","944","930","930","9858000","930","1"
"1989-02-20","929","930","921","926","4177000","926","2"
"1989-02-21","929","929","901","901","4842000","901","3"
"1989-02-22","910","923","905","915","8125000","915","4"
"1989-02-23","915","934","911","930","11591000","930","5"
"1989-02-27","920","937","916","920","5410000","920","7"
"1989-02-28","920","929","900","905","4468000","905","8"
"1989-03-01","915","918","894","895","4073000","895","9"
"1989-03-02","895","905","880","895","2504000","895","10"
"1989-03-03","900","905","881","881","2228000","881","11"
"1989-03-06","880","880","855","860","2974000","860","12"
"1989-03-07","860","874","853","870","3178000","870","13"
"1989-03-08","880","890","872","872","2131000","872","14"
"1989-03-09","872","879","863","864","1380000","864","15"
"1989-03-10","861","865","856","865","1808000","865","16"
"1989-03-13","860","862","855","856","1606000","856","17"
"1989-03-14","852","872","850","865","1971000","865","18"
"1989-03-15","870","881","868","881","4059000","881","19"
"1989-03-16","891","891","881","885","2041000","885","20"
"1989-03-17","885","887","871","871","2708000","871","21"
"1989-03-20","860","868","855","860","2136000","860","22"
"1989-03-22","864","869","846","846","2837000","846","24"
"1989-03-23","850","865","849","856","1532000","856","25"
"1989-03-24","863","865","856","861","2563000","861","26"
"1989-03-27","870","875","851","857","4057000","857","27"
"1989-03-28","875","901","860","890","3803000","890","28"
"1989-03-29","887","915","885","900","7398000","900","29"
"1989-03-30","910","930","890","930","5953000","930","30"
"1989-03-31","940","969","938","967","30613000","967","31"
"1989-04-03","987","1010","980","990","27551000","990","32"
"1989-04-04","994","1030","982","1020","34434000","1020","33"
"1989-04-05","1030","1040","1000","1000","10384000","1000","34"
"1989-04-06","990","1000","980","995","5981000","995","35"
"1989-04-07","986","1020","980","1010","12986000","1010","36"
"1989-04-10","995","1010","985","985","4154000","985","37"
"1989-04-11","989","1000","987","1000","5281000","1000","38"
"1989-04-12","1040","1060","1000","1010","23778000","1010","39"
"1989-04-13","1000","1020","980","998","6536000","998","40"
"1989-04-14","990","994","975","994","5837000","994","41"
"1989-04-17","994","1010","991","1010","8701000","1010","42"
"1989-04-18","1010","1010","991","997","3327000","997","43"
"1989-04-19","1010","1010","995","995","4187000","995","44"
"1989-04-20","992","997","980","987","3442000","987","45"
"1989-04-21","970","980","970","976","4114000","976","46"
"1989-04-24","975","980","960","960","2194000","960","47"
"1989-04-25","962","975","955","975","7021000","975","48"
"1989-04-26","970","985","970","980","10144000","980","49"
"1989-04-27","983","993","980","985","10773000","985","50"
"1989-04-28","994","997","976","976","7382000","976","51"
"1989-05-01","980","997","980","989","4033000","989","52"
"1989-05-02","998","1020","995","1010","12611000","1010","53"
"1989-05-08","1020","1020","1000","1000","5116000","1000","57"
"1989-05-09","1000","1010","990","999","3730000","999","58"
"1989-05-10","989","997","980","983","2922000","983","59"
"1989-05-11","990","991","981","989","1313000","989","60"
"1989-05-12","981","985","975","978","2202000","978","61"
"1989-05-15","976","980","970","980","1504000","980","62"
"1989-05-16","973","983","970","976","1598000","976","63"
"1989-05-17","980","986","977","980","3065000","980","64"
"1989-05-18","976","979","966","970","3067000","970","65"
"1989-05-19","960","979","956","979","3020000","979","66"
"1989-05-22","970","970","961","961","1762000","961","67"
"1989-05-23","955","955","933","945","2715000","945","68"
"1989-05-24","937","960","931","955","1974000","955","69"
"1989-05-25","965","970","940","950","2468000","950","70"
"1989-05-26","959","959","941","941","1987000","941","71"
"1989-05-29","961","961","945","958","2823000","958","72"
"1989-05-30","960","960","936","936","2112000","936","73"
"1989-05-31","946","949","936","938","1483000","938","74"
"1989-06-01","938","947","910","910","3290000","910","75"
"1989-06-02","911","914","890","890","5492000","890","76"
"1989-06-05","891","898","873","873","1984000","873","77"
"1989-06-06","870","870","850","858","3299000","858","78"
"1989-06-07","868","890","861","870","2135000","870","79"
"1989-06-08","875","889","875","876","2836000","876","80"
"1989-06-09","881","890","880","884","2142000","884","81"
"1989-06-12","875","879","865","865","1372000","865","82"
"1989-06-13","870","870","851","851","2026000","851","83"
"1989-06-14","855","870","845","855","2240000","855","84"
"1989-06-15","855","860","836","837","2168000","837","85"
"1989-06-16","840","847","818","825","2028000","825","86"
"1989-06-19","831","835","814","830","1107000","830","87"
"1989-06-20","830","846","825","844","1912000","844","88"
"1989-06-21","854","860","850","857","1938000","857","89"
"1989-06-22","867","867","855","865","2449000","865","90"
"1989-06-23","885","890","875","877","2030000","877","91"
"1989-06-26","887","890","880","884","804000","884","92"
"1989-06-27","890","892","877","879","775000","879","93"
"1989-06-28","871","879","855","868","538000","868","94"
"1989-06-29","868","870","856","858","1669000","858","95"
"1989-06-30","855","860","830","860","1755000","860","96"
"1989-07-03","845","870","840","870","611000","870","97"
"1989-07-04","880","885","865","865","856000","865","98"
"1989-07-05","869","869","855","857","1045000","857","99"
"1989-07-06","877","880","860","870","6332000","870","100"
"1989-07-07","861","870","861","862","4157000","862","101"
"1989-07-10","865","870","862","870","1817000","870","102"
"1989-07-11","870","870","862","865","1359000","865","103"
"1989-07-12","865","870","863","866","1397000","866","104"
"1989-07-13","870","888","870","876","3636000","876","105"
"1989-07-14","885","885","878","880","1304000","880","106"
"1989-07-17","876","880","871","874","762000","874","107"
"1989-07-18","870","873","860","860","1090000","860","108"
"1989-07-19","860","863","857","857","1468000","857","109"
"1989-07-20","860","872","860","869","1914000","869","110"
"1989-07-21","870","875","865","875","2132000","875","111"
"1989-07-24","873","889","870","880","3632000","880","112"
"1989-07-25","890","912","890","910","8824000","910","113"
"1989-07-26","915","924","915","918","5882000","918","114"
"1989-07-27","928","952","924","941","11378000","941","115"
"1989-07-28","951","951","931","941","7577000","941","116"
"1989-07-31","950","953","945","950","2917000","950","117"
"1989-08-01","951","955","942","945","3144000","945","118"
"1989-08-02","947","949","922","922","2937000","922","119"
"1989-08-03","932","938","923","930","1613000","930","120"
"1989-08-04","929","929","922","924","1067000","924","121"
"1989-08-07","919","920","910","914","876000","914","122"
"1989-08-08","911","924","911","912","821000","912","123"
