8015 ñLìcí è§,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1080","1110","1050","1110","566000","1110","1"
"1989-02-20","1090","1100","1070","1080","482000","1080","2"
"1989-02-21","1080","1080","1060","1060","315000","1060","3"
"1989-02-22","1050","1060","1040","1050","269000","1050","4"
"1989-02-23","1050","1080","1030","1080","387000","1080","5"
"1989-02-27","1060","1070","1040","1060","214000","1060","7"
"1989-02-28","1070","1070","1020","1020","172000","1020","8"
"1989-03-01","1030","1060","1030","1030","218000","1030","9"
"1989-03-02","1030","1040","1010","1030","379000","1030","10"
"1989-03-03","1030","1040","1020","1020","381000","1020","11"
"1989-03-06","1010","1010","998","998","202000","998","12"
"1989-03-07","991","1030","991","1000","265000","1000","13"
"1989-03-08","1040","1050","1010","1010","97000","1010","14"
"1989-03-09","1020","1030","1000","1030","227000","1030","15"
"1989-03-10","1010","1100","1010","1100","446000","1100","16"
"1989-03-13","1070","1070","1030","1050","95000","1050","17"
"1989-03-14","1050","1060","1040","1050","169000","1050","18"
"1989-03-15","1050","1070","1040","1070","187000","1070","19"
"1989-03-16","1070","1080","1050","1070","215000","1070","20"
"1989-03-17","1060","1070","1030","1050","249000","1050","21"
"1989-03-20","1060","1080","1010","1080","167000","1080","22"
"1989-03-22","1010","1030","1010","1020","77000","1020","24"
"1989-03-23","1040","1070","1020","1020","118000","1020","25"
"1989-03-24","1030","1030","1000","1000","198000","1000","26"
"1989-03-27","1020","1020","980","981","277000","981","27"
"1989-03-28","987","1000","985","1000","336000","1000","28"
"1989-03-29","981","999","978","999","247000","999","29"
"1989-03-30","990","1000","990","1000","336000","1000","30"
"1989-03-31","1000","1080","1000","1050","518000","1050","31"
"1989-04-03","1060","1090","1040","1080","838000","1080","32"
"1989-04-04","1100","1130","1080","1090","2072000","1090","33"
"1989-04-05","1120","1120","1080","1080","940000","1080","34"
"1989-04-06","1090","1090","1010","1010","374000","1010","35"
"1989-04-07","1030","1080","1030","1060","254000","1060","36"
"1989-04-10","1080","1080","1050","1060","155000","1060","37"
"1989-04-11","1050","1060","1040","1060","291000","1060","38"
"1989-04-12","1070","1080","1040","1070","236000","1070","39"
"1989-04-13","1080","1080","1050","1060","154000","1060","40"
"1989-04-14","1050","1060","1040","1050","207000","1050","41"
"1989-04-17","1070","1090","1050","1090","298000","1090","42"
"1989-04-18","1090","1120","1080","1120","1481000","1120","43"
"1989-04-19","1140","1160","1110","1130","3298000","1130","44"
"1989-04-20","1150","1190","1130","1170","4922000","1170","45"
"1989-04-21","1160","1160","1130","1150","1759000","1150","46"
"1989-04-24","1150","1150","1090","1120","247000","1120","47"
"1989-04-25","1140","1140","1100","1100","269000","1100","48"
"1989-04-26","1140","1170","1120","1170","1764000","1170","49"
"1989-04-27","1170","1240","1160","1190","4711000","1190","50"
"1989-04-28","1200","1200","1150","1180","678000","1180","51"
"1989-05-01","1190","1190","1160","1170","457000","1170","52"
"1989-05-02","1180","1190","1170","1190","509000","1190","53"
"1989-05-08","1150","1180","1150","1150","239000","1150","57"
"1989-05-09","1170","1190","1140","1190","453000","1190","58"
"1989-05-10","1190","1190","1160","1160","396000","1160","59"
"1989-05-11","1180","1180","1140","1150","365000","1150","60"
"1989-05-12","1170","1170","1140","1160","544000","1160","61"
"1989-05-15","1140","1160","1130","1130","264000","1130","62"
"1989-05-16","1140","1140","1130","1140","262000","1140","63"
"1989-05-17","1150","1170","1130","1170","193000","1170","64"
"1989-05-18","1180","1180","1160","1170","397000","1170","65"
"1989-05-19","1170","1180","1160","1180","456000","1180","66"
"1989-05-22","1180","1190","1170","1180","425000","1180","67"
"1989-05-23","1180","1190","1160","1180","573000","1180","68"
"1989-05-24","1180","1180","1160","1180","536000","1180","69"
"1989-05-25","1180","1230","1180","1180","3122000","1180","70"
"1989-05-26","1210","1220","1200","1200","1222000","1200","71"
"1989-05-29","1220","1260","1200","1250","3256000","1250","72"
"1989-05-30","1240","1250","1220","1240","988000","1240","73"
"1989-05-31","1240","1240","1220","1240","1091000","1240","74"
"1989-06-01","1240","1270","1230","1240","1674000","1240","75"
"1989-06-02","1270","1280","1210","1210","2005000","1210","76"
"1989-06-05","1220","1240","1190","1190","330000","1190","77"
"1989-06-06","1170","1190","1170","1180","226000","1180","78"
"1989-06-07","1170","1230","1170","1230","359000","1230","79"
"1989-06-08","1210","1210","1180","1180","234000","1180","80"
"1989-06-09","1210","1220","1200","1210","262000","1210","81"
"1989-06-12","1210","1210","1180","1180","180000","1180","82"
"1989-06-13","1200","1200","1140","1140","502000","1140","83"
"1989-06-14","1150","1160","1120","1150","534000","1150","84"
"1989-06-15","1130","1160","1120","1130","184000","1130","85"
"1989-06-16","1130","1150","1130","1130","240000","1130","86"
"1989-06-19","1120","1140","1090","1110","349000","1110","87"
"1989-06-20","1120","1170","1120","1160","168000","1160","88"
"1989-06-21","1140","1170","1130","1130","261000","1130","89"
"1989-06-22","1150","1180","1150","1180","208000","1180","90"
"1989-06-23","1180","1190","1150","1180","294000","1180","91"
"1989-06-26","1160","1180","1150","1150","132000","1150","92"
"1989-06-27","1150","1170","1150","1160","108000","1160","93"
"1989-06-28","1150","1150","1130","1150","200000","1150","94"
"1989-06-29","1130","1130","1120","1130","134000","1130","95"
"1989-06-30","1120","1140","1120","1130","191000","1130","96"
"1989-07-03","1120","1120","1110","1110","37000","1110","97"
"1989-07-04","1120","1150","1120","1120","151000","1120","98"
"1989-07-05","1130","1130","1090","1120","435000","1120","99"
