8028 ファミリーマート(ユニー),,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","7600","7610","7550","7550","27000","7550","1"
"1989-02-20","7450","7460","7410","7420","76000","7420","2"
"1989-02-21","7320","7400","7190","7200","39000","7200","3"
"1989-02-22","5790","6100","5790","6000","46000","6000","4"
"1989-02-23","6010","6200","5900","5900","24000","5900","5"
"1989-02-27","5800","5900","5800","5850","9000","5850","7"
"1989-02-28","5850","5900","5700","5800","11000","5800","8"
"1989-03-01","5790","5800","5700","5700","8000","5700","9"
"1989-03-02","5900","5900","5900","5900","1000","5900","10"
"1989-03-03","5910","6000","5900","6000","18000","6000","11"
"1989-03-06","6100","6100","6000","6000","2000","6000","12"
"1989-03-07","6000","6150","5900","6150","13000","6150","13"
"1989-03-08","6150","6160","6140","6150","43000","6150","14"
"1989-03-09","6150","6210","6140","6210","31000","6210","15"
"1989-03-10","6400","6400","6170","6350","30000","6350","16"
"1989-03-13","6300","6300","6300","6300","16000","6300","17"
"1989-03-14","6200","6250","6180","6250","20000","6250","18"
"1989-03-15","6180","6200","6000","6150","14000","6150","19"
"1989-03-16","6000","6000","5900","5900","7000","5900","20"
"1989-03-17","5900","6000","5800","6000","25000","6000","21"
"1989-03-20","6000","6080","5900","6080","22000","6080","22"
"1989-03-22","6080","6100","5900","6000","15000","6000","24"
"1989-03-23","6000","6000","5900","5900","5000","5900","25"
"1989-03-24","5900","6100","5800","6100","23000","6100","26"
"1989-03-27","6000","6000","5750","5750","19000","5750","27"
"1989-03-28","5750","5860","5710","5710","13000","5710","28"
"1989-03-29","5750","5780","5750","5780","6000","5780","29"
"1989-03-30","5790","6110","5790","6000","29000","6000","30"
"1989-03-31","6000","6250","6000","6250","50000","6250","31"
"1989-04-03","6220","6220","6220","6220","1000","6220","32"
"1989-04-04","6120","6120","6120","6120","1000","6120","33"
"1989-04-05","6000","6000","5800","5800","6000","5800","34"
"1989-04-06","5810","5820","5800","5800","8000","5800","35"
"1989-04-07","5800","5800","5750","5750","8000","5750","36"
"1989-04-10","5750","5750","5750","5750","4000","5750","37"
"1989-04-11","5760","5770","5750","5750","10000","5750","38"
"1989-04-12","5740","5750","5650","5650","14000","5650","39"
"1989-04-13","5650","5750","5650","5650","8000","5650","40"
"1989-04-14","5650","5660","5650","5650","5000","5650","41"
"1989-04-17","5650","5650","5500","5500","9000","5500","42"
"1989-04-18","5520","5520","5520","5520","1000","5520","43"
"1989-04-19","5640","5650","5520","5650","21000","5650","44"
"1989-04-20","5640","5640","5500","5500","16000","5500","45"
"1989-04-21","5500","5510","5410","5420","17000","5420","46"
"1989-04-24","5490","5490","5490","5490","5000","5490","47"
"1989-04-25","5500","5500","5490","5490","15000","5490","48"
"1989-04-26","5450","5500","5430","5460","30000","5460","49"
"1989-04-27","5500","5500","5500","5500","4000","5500","50"
"1989-04-28","5600","5600","5550","5560","5000","5560","51"
"1989-05-01","5560","5560","5560","5560","6000","5560","52"
"1989-05-02","5570","5600","5570","5600","12000","5600","53"
"1989-05-08","5900","5900","5750","5900","11000","5900","57"
"1989-05-09","6000","6000","5900","6000","35000","6000","58"
"1989-05-10","6050","6100","6050","6050","20000","6050","59"
"1989-05-11","6050","6050","5940","5940","4000","5940","60"
"1989-05-12","5900","6080","5900","6000","13000","6000","61"
"1989-05-15","6000","6000","5980","6000","10000","6000","62"
"1989-05-16","6000","6050","6000","6040","13000","6040","63"
"1989-05-17","6060","6300","6010","6280","69000","6280","64"
"1989-05-18","6280","6400","6280","6300","84000","6300","65"
"1989-05-19","6350","6350","6200","6200","19000","6200","66"
"1989-05-22","6210","6210","6170","6170","14000","6170","67"
"1989-05-23","6100","6200","6100","6200","18000","6200","68"
"1989-05-24","6010","6020","6010","6020","7000","6020","69"
"1989-05-25","6030","6290","6020","6100","69000","6100","70"
"1989-05-26","6180","6330","6130","6130","54000","6130","71"
"1989-05-29","6130","6130","6030","6030","18000","6030","72"
"1989-05-30","6010","6050","6000","6050","8000","6050","73"
"1989-05-31","6030","6100","6030","6100","2000","6100","74"
"1989-06-01","6100","6180","6100","6150","107000","6150","75"
"1989-06-02","6150","6240","6110","6200","56000","6200","76"
"1989-06-05","6100","6200","6030","6030","17000","6030","77"
"1989-06-06","6010","6030","6000","6030","7000","6030","78"
"1989-06-07","6040","6100","6040","6100","23000","6100","79"
"1989-06-08","6100","6100","6100","6100","38000","6100","80"
"1989-06-09","6100","6330","6100","6240","50000","6240","81"
"1989-06-12","6190","6200","6170","6170","10000","6170","82"
"1989-06-13","6200","6350","6170","6200","30000","6200","83"
"1989-06-14","6200","6250","6200","6250","4000","6250","84"
"1989-06-15","6250","6250","6200","6200","72000","6200","85"
