8031 ŽOˆä•¨ŽY,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1280","1280","1240","1240","14882000","1240","1"
"1989-02-20","1260","1270","1230","1240","3421000","1240","2"
"1989-02-21","1250","1260","1190","1200","4340000","1200","3"
"1989-02-22","1220","1240","1200","1230","3068000","1230","4"
"1989-02-23","1210","1310","1200","1290","15112000","1290","5"
"1989-02-27","1270","1320","1260","1270","18669000","1270","7"
"1989-02-28","1290","1310","1220","1230","14204000","1230","8"
"1989-03-01","1260","1270","1210","1220","5311000","1220","9"
"1989-03-02","1200","1210","1160","1180","3834000","1180","10"
"1989-03-03","1190","1200","1150","1150","3646000","1150","11"
"1989-03-06","1150","1150","1110","1140","1646000","1140","12"
"1989-03-07","1110","1140","1110","1140","1963000","1140","13"
"1989-03-08","1160","1200","1150","1160","3069000","1160","14"
"1989-03-09","1150","1170","1140","1160","1406000","1160","15"
"1989-03-10","1140","1160","1140","1150","1542000","1150","16"
"1989-03-13","1150","1160","1140","1150","1701000","1150","17"
"1989-03-14","1150","1170","1140","1160","3541000","1160","18"
"1989-03-15","1160","1180","1150","1170","4468000","1170","19"
"1989-03-16","1190","1200","1170","1170","3367000","1170","20"
"1989-03-17","1160","1170","1150","1160","4234000","1160","21"
"1989-03-20","1140","1160","1140","1140","1879000","1140","22"
"1989-03-22","1140","1160","1100","1130","3121000","1130","24"
"1989-03-23","1110","1140","1110","1120","2071000","1120","25"
"1989-03-24","1120","1130","1110","1130","2261000","1130","26"
"1989-03-27","1130","1150","1120","1140","2819000","1140","27"
"1989-03-28","1140","1190","1130","1180","2806000","1180","28"
"1989-03-29","1180","1220","1180","1200","4925000","1200","29"
"1989-03-30","1210","1220","1170","1220","4603000","1220","30"
"1989-03-31","1240","1270","1190","1210","9877000","1210","31"
"1989-04-03","1230","1260","1210","1230","5368000","1230","32"
"1989-04-04","1230","1250","1220","1250","3665000","1250","33"
"1989-04-05","1250","1250","1230","1230","4354000","1230","34"
"1989-04-06","1220","1230","1180","1200","1781000","1200","35"
"1989-04-07","1180","1220","1170","1200","2011000","1200","36"
"1989-04-10","1200","1200","1170","1170","952000","1170","37"
"1989-04-11","1170","1190","1150","1190","1392000","1190","38"
"1989-04-12","1190","1210","1170","1180","2281000","1180","39"
"1989-04-13","1190","1190","1160","1170","1269000","1170","40"
"1989-04-14","1160","1180","1160","1170","1296000","1170","41"
"1989-04-17","1170","1190","1150","1190","1755000","1190","42"
