8035 ìåãûÉGÉåÉNÉgÉçÉì,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","2600","2630","2580","2600","224000","2600","1"
"1989-02-20","2580","2580","2510","2540","93000","2540","2"
"1989-02-21","2550","2570","2510","2560","99000","2560","3"
"1989-02-22","2530","2550","2530","2530","50000","2530","4"
"1989-02-23","2530","2590","2510","2590","308000","2590","5"
"1989-02-27","2520","2550","2510","2530","158000","2530","7"
"1989-02-28","2540","2640","2540","2590","361000","2590","8"
"1989-03-01","2590","2700","2570","2680","193000","2680","9"
"1989-03-02","2730","2730","2670","2730","286000","2730","10"
"1989-03-03","2730","2750","2680","2730","178000","2730","11"
"1989-03-06","2700","2700","2650","2670","44000","2670","12"
"1989-03-07","2610","2650","2610","2610","67000","2610","13"
"1989-03-08","2610","2610","2550","2570","149000","2570","14"
"1989-03-09","2580","2590","2560","2580","79000","2580","15"
"1989-03-10","2610","2610","2560","2600","76000","2600","16"
"1989-03-13","2560","2570","2540","2540","64000","2540","17"
"1989-03-14","2550","2570","2540","2570","86000","2570","18"
"1989-03-15","2570","2590","2550","2550","109000","2550","19"
"1989-03-16","2590","2600","2550","2590","158000","2590","20"
"1989-03-17","2590","2600","2500","2540","171000","2540","21"
"1989-03-20","2550","2600","2540","2590","105000","2590","22"
"1989-03-22","2590","2600","2540","2590","109000","2590","24"
"1989-03-23","2600","2600","2510","2590","206000","2590","25"
"1989-03-24","2590","2600","2510","2550","191000","2550","26"
"1989-03-27","2590","2590","2500","2510","170000","2510","27"
"1989-03-28","2510","2630","2510","2580","156000","2580","28"
"1989-03-29","2610","2720","2610","2660","231000","2660","29"
"1989-03-30","2690","2740","2660","2680","312000","2680","30"
"1989-03-31","2670","2700","2660","2680","214000","2680","31"
"1989-04-03","2680","2720","2680","2720","216000","2720","32"
"1989-04-04","2720","2740","2700","2720","282000","2720","33"
"1989-04-05","2720","2720","2670","2700","253000","2700","34"
"1989-04-06","2680","2710","2660","2700","262000","2700","35"
"1989-04-07","2690","2740","2680","2720","524000","2720","36"
"1989-04-10","2730","2800","2730","2750","410000","2750","37"
"1989-04-11","2830","2990","2820","2950","1785000","2950","38"
"1989-04-12","3150","3170","3020","3090","2210000","3090","39"
"1989-04-13","3120","3130","2990","3070","1151000","3070","40"
"1989-04-14","3000","3060","2980","3060","583000","3060","41"
"1989-04-17","3040","3100","3030","3030","561000","3030","42"
"1989-04-18","3060","3060","3020","3050","291000","3050","43"
"1989-04-19","3030","3050","2980","2980","195000","2980","44"
"1989-04-20","2950","2980","2860","2910","222000","2910","45"
"1989-04-21","2870","2940","2850","2880","138000","2880","46"
"1989-04-24","2860","2860","2810","2830","201000","2830","47"
"1989-04-25","2830","2900","2830","2900","72000","2900","48"
"1989-04-26","2880","2940","2870","2930","164000","2930","49"
"1989-04-27","2950","3000","2920","2980","398000","2980","50"
"1989-04-28","2980","3000","2970","3000","296000","3000","51"
"1989-05-01","2950","2990","2920","2980","122000","2980","52"
"1989-05-02","2940","2950","2880","2920","120000","2920","53"
"1989-05-08","2910","2970","2860","2930","271000","2930","57"
"1989-05-09","2950","3000","2900","2990","171000","2990","58"
"1989-05-10","3000","3080","2980","3080","503000","3080","59"
"1989-05-11","3070","3080","3000","3000","199000","3000","60"
"1989-05-12","3000","3030","2990","3000","153000","3000","61"
"1989-05-15","3050","3050","3010","3040","211000","3040","62"
"1989-05-16","3040","3320","3040","3310","2405000","3310","63"
"1989-05-17","3260","3380","3240","3380","3301000","3380","64"
"1989-05-18","3400","3450","3270","3290","2214000","3290","65"
"1989-05-19","3270","3430","3260","3400","1854000","3400","66"
"1989-05-22","3420","3430","3360","3420","945000","3420","67"
"1989-05-23","3400","3400","3300","3390","391000","3390","68"
"1989-05-24","3400","3420","3350","3410","571000","3410","69"
"1989-05-25","3360","3400","3340","3360","525000","3360","70"
"1989-05-26","3310","3360","3310","3340","221000","3340","71"
"1989-05-29","3290","3330","3280","3330","219000","3330","72"
"1989-05-30","3320","3320","3250","3270","107000","3270","73"
"1989-05-31","3300","3420","3280","3420","537000","3420","74"
"1989-06-01","3430","3500","3370","3400","1583000","3400","75"
"1989-06-02","3400","3490","3330","3390","795000","3390","76"
"1989-06-05","3340","3430","3300","3370","330000","3370","77"
"1989-06-06","3320","3370","3260","3360","235000","3360","78"
"1989-06-07","3370","3370","3260","3330","199000","3330","79"
"1989-06-08","3320","3330","3270","3270","159000","3270","80"
"1989-06-09","3220","3270","3220","3220","240000","3220","81"
"1989-06-12","3220","3290","3190","3290","132000","3290","82"
"1989-06-13","3330","3370","3290","3320","271000","3320","83"
"1989-06-14","3330","3330","3250","3290","121000","3290","84"
"1989-06-15","3260","3330","3250","3280","201000","3280","85"
"1989-06-16","3290","3300","3200","3280","177000","3280","86"
"1989-06-19","3230","3400","3230","3360","453000","3360","87"
"1989-06-20","3460","3600","3430","3600","3854000","3600","88"
"1989-06-21","3640","3640","3540","3630","2132000","3630","89"
"1989-06-22","3550","3600","3500","3590","821000","3590","90"
"1989-06-23","3510","3590","3500","3530","1070000","3530","91"
"1989-06-26","3490","3520","3420","3500","426000","3500","92"
"1989-06-27","3480","3480","3410","3410","182000","3410","93"
"1989-06-28","3420","3500","3360","3450","535000","3450","94"
"1989-06-29","3550","3780","3550","3780","5344000","3780","95"
"1989-06-30","3730","3900","3720","3790","5682000","3790","96"
"1989-07-03","3740","3870","3730","3810","3382000","3810","97"
"1989-07-04","3860","3920","3830","3890","3868000","3890","98"
"1989-07-05","3880","3910","3770","3770","1961000","3770","99"
"1989-07-06","3730","3820","3710","3800","902000","3800","100"
"1989-07-07","3750","3870","3740","3800","762000","3800","101"
"1989-07-10","3800","3800","3750","3770","281000","3770","102"
"1989-07-11","3770","3780","3720","3750","310000","3750","103"
"1989-07-12","3700","3760","3680","3700","327000","3700","104"
"1989-07-13","3650","3700","3650","3680","327000","3680","105"
"1989-07-14","3670","3700","3670","3690","304000","3690","106"
"1989-07-17","3660","3670","3620","3650","274000","3650","107"
"1989-07-18","3670","3700","3660","3670","338000","3670","108"
"1989-07-19","3670","3790","3670","3730","500000","3730","109"
"1989-07-20","3770","3780","3720","3770","509000","3770","110"
"1989-07-21","3730","3770","3730","3750","609000","3750","111"
"1989-07-24","3730","3770","3680","3730","244000","3730","112"
"1989-07-25","3690","3720","3680","3690","340000","3690","113"
"1989-07-26","3670","3680","3580","3600","628000","3600","114"
"1989-07-27","3600","3620","3550","3550","342000","3550","115"
"1989-07-28","3510","3570","3510","3530","486000","3530","116"
"1989-07-31","3540","3610","3520","3530","357000","3530","117"
"1989-08-01","3540","3580","3510","3520","234000","3520","118"
"1989-08-02","3520","3550","3500","3500","224000","3500","119"
"1989-08-03","3510","3590","3510","3550","499000","3550","120"
"1989-08-04","3600","3650","3590","3630","580000","3630","121"
"1989-08-07","3650","3670","3600","3600","400000","3600","122"
"1989-08-08","3630","3740","3630","3730","864000","3730","123"
"1989-08-09","3780","3790","3650","3670","945000","3670","124"
"1989-08-10","3700","3790","3670","3750","828000","3750","125"
"1989-08-11","3780","3810","3750","3760","612000","3760","126"
"1989-08-14","3780","3790","3750","3750","324000","3750","127"
"1989-08-15","3780","3780","3730","3740","331000","3740","128"
"1989-08-16","3750","3770","3660","3730","346000","3730","129"
"1989-08-17","3730","3740","3680","3730","159000","3730","130"
"1989-08-18","3710","3730","3690","3730","323000","3730","131"
"1989-08-21","3770","3770","3700","3700","680000","3700","132"
"1989-08-22","3710","3770","3700","3770","411000","3770","133"
"1989-08-23","3750","3760","3710","3750","278000","3750","134"
"1989-08-24","3700","3740","3610","3710","271000","3710","135"
"1989-08-25","3660","3700","3630","3660","365000","3660","136"
"1989-08-28","3700","3770","3660","3690","875000","3690","137"
"1989-08-29","3720","3750","3570","3570","816000","3570","138"
"1989-08-30","3620","3660","3580","3580","463000","3580","139"
"1989-08-31","3590","3650","3580","3610","338000","3610","140"
"1989-09-01","3650","3670","3580","3630","357000","3630","141"
"1989-09-04","3590","3620","3560","3590","199000","3590","142"
"1989-09-05","3570","3600","3480","3560","269000","3560","143"
"1989-09-06","3550","3560","3430","3480","643000","3480","144"
"1989-09-07","3430","3470","3410","3430","301000","3430","145"
"1989-09-08","3430","3430","3310","3350","395000","3350","146"
"1989-09-11","3350","3360","3210","3240","357000","3240","147"
"1989-09-12","3250","3370","3240","3300","231000","3300","148"
"1989-09-13","3300","3360","3300","3360","181000","3360","149"
"1989-09-14","3360","3440","3360","3420","241000","3420","150"
"1989-09-18","3410","3410","3350","3370","388000","3370","152"
"1989-09-19","3370","3410","3370","3400","274000","3400","153"
"1989-09-20","3400","3480","3400","3480","246000","3480","154"
"1989-09-21","3480","3490","3450","3450","388000","3450","155"
"1989-09-22","3480","3500","3440","3460","643000","3460","156"
"1989-09-25","3510","3560","3500","3560","1321000","3560","157"
"1989-09-26","3280","3550","3280","3550","2202000","3550","158"
"1989-09-27","3500","3520","3390","3400","853000","3400","159"
"1989-09-28","3450","3460","3360","3400","368000","3400","160"
"1989-09-29","3400","3410","3370","3370","357000","3370","161"
"1989-10-02","3370","3430","3370","3370","395000","3370","162"
"1989-10-03","3370","3450","3370","3400","738000","3400","163"
"1989-10-04","3400","3450","3380","3450","341000","3450","164"
"1989-10-05","3440","3450","3380","3450","350000","3450","165"
"1989-10-06","3450","3480","3400","3460","601000","3460","166"
"1989-10-09","3460","3590","3460","3580","1644000","3580","167"
"1989-10-11","3600","3640","3500","3580","1365000","3580","169"
"1989-10-12","3580","3590","3510","3560","490000","3560","170"
"1989-10-13","3530","3580","3500","3580","324000","3580","171"
"1989-10-16","3460","3460","3380","3380","339000","3380","172"
"1989-10-17","3480","3480","3400","3410","502000","3410","173"
"1989-10-18","3350","3400","3330","3370","224000","3370","174"
"1989-10-19","3350","3400","3330","3370","357000","3370","175"
"1989-10-20","3380","3380","3350","3350","193000","3350","176"
"1989-10-23","3350","3390","3340","3370","255000","3370","177"
"1989-10-24","3390","3390","3300","3390","199000","3390","178"
"1989-10-25","3390","3390","3300","3310","174000","3310","179"
"1989-10-26","3310","3330","3260","3290","328000","3290","180"
"1989-10-27","3300","3350","3260","3300","430000","3300","181"
"1989-10-30","3330","3330","3260","3260","94000","3260","182"
"1989-10-31","3270","3340","3270","3310","178000","3310","183"
"1989-11-01","3330","3350","3310","3320","183000","3320","184"
"1989-11-02","3370","3380","3300","3350","267000","3350","185"
"1989-11-06","3320","3320","3280","3300","176000","3300","187"
"1989-11-07","3330","3330","3280","3290","168000","3290","188"
"1989-11-08","3280","3300","3260","3300","165000","3300","189"
"1989-11-09","3290","3330","3260","3320","242000","3320","190"
"1989-11-10","3310","3320","3290","3320","195000","3320","191"
"1989-11-13","3330","3330","3280","3300","132000","3300","192"
"1989-11-14","3310","3310","3270","3300","241000","3300","193"
"1989-11-15","3270","3300","3250","3300","416000","3300","194"
"1989-11-16","3300","3340","3280","3330","749000","3330","195"
"1989-11-17","3330","3470","3330","3450","2694000","3450","196"
"1989-11-20","3450","3460","3390","3420","705000","3420","197"
"1989-11-21","3420","3490","3390","3440","939000","3440","198"
"1989-11-22","3440","3460","3390","3420","524000","3420","199"
"1989-11-24","3360","3400","3350","3370","256000","3370","200"
"1989-11-27","3280","3350","3260","3350","254000","3350","201"
"1989-11-28","3250","3290","3220","3260","443000","3260","202"
"1989-11-29","3220","3240","3200","3200","302000","3200","203"
"1989-11-30","3160","3250","3160","3200","219000","3200","204"
"1989-12-01","3220","3270","3200","3270","340000","3270","205"
"1989-12-04","3230","3270","3210","3250","329000","3250","206"
"1989-12-05","3250","3280","3220","3240","277000","3240","207"
"1989-12-06","3220","3270","3220","3240","263000","3240","208"
"1989-12-07","3240","3300","3230","3300","329000","3300","209"
"1989-12-08","3250","3320","3250","3300","280000","3300","210"
"1989-12-11","3270","3300","3270","3270","188000","3270","211"
"1989-12-12","3280","3330","3280","3310","435000","3310","212"
"1989-12-13","3310","3420","3310","3400","881000","3400","213"
"1989-12-14","3400","3410","3360","3400","472000","3400","214"
"1989-12-15","3360","3400","3350","3380","331000","3380","215"
"1989-12-18","3380","3380","3330","3360","344000","3360","216"
"1989-12-19","3360","3380","3310","3320","256000","3320","217"
"1989-12-20","3340","3350","3250","3300","240000","3300","218"
"1989-12-21","3300","3300","3250","3300","208000","3300","219"
"1989-12-22","3320","3340","3250","3250","436000","3250","220"
"1989-12-25","3280","3340","3260","3280","341000","3280","221"
"1989-12-26","3320","3370","3310","3350","449000","3350","222"
"1989-12-27","3390","3400","3350","3370","723000","3370","223"
"1989-12-28","3380","3380","3320","3340","316000","3340","224"
"1989-12-29","3340","3360","3300","3310","181000","3310","225"
"1990-01-04","3310","3350","3280","3340","209000","3340","228"
"1990-01-05","3340","3430","3340","3360","553000","3360","229"
"1990-01-08","3400","3440","3360","3420","943000","3420","230"
"1990-01-09","3480","3570","3470","3540","5168000","3540","231"
"1990-01-10","3580","3620","3540","3560","4613000","3560","232"
"1990-01-11","3600","3610","3500","3540","1528000","3540","233"
"1990-01-12","3510","3550","3480","3490","893000","3490","234"
"1990-01-16","3460","3460","3380","3440","367000","3440","236"
"1990-01-17","3540","3940","3510","3880","10637000","3880","237"
"1990-01-18","3930","4120","3860","4020","11014000","4020","238"
"1990-01-19","4030","4060","3920","3950","5107000","3950","239"
"1990-01-22","3970","3990","3880","3930","1756000","3930","240"
"1990-01-23","3900","4070","3890","4010","4104000","4010","241"
"1990-01-24","4060","4090","3890","3940","2979000","3940","242"
"1990-01-25","3980","3990","3910","3990","1089000","3990","243"
"1990-01-26","3960","3980","3830","3950","863000","3950","244"
"1990-01-29","3900","3920","3850","3880","1125000","3880","245"
"1990-01-30","3850","3880","3830","3830","695000","3830","246"
"1990-01-31","3780","3940","3780","3920","1325000","3920","247"
"1990-02-01","4020","4050","3930","3990","3297000","3990","248"
"1990-02-02","3940","3970","3850","3900","526000","3900","249"
"1990-02-05","3890","3890","3760","3790","1682000","3790","250"
"1990-02-06","3790","3820","3770","3790","750000","3790","251"
"1990-02-07","3830","3880","3800","3870","412000","3870","252"
"1990-02-08","3820","3870","3780","3790","419000","3790","253"
"1990-02-09","3800","3840","3780","3840","326000","3840","254"
"1990-02-13","3800","3830","3730","3750","294000","3750","256"
"1990-02-14","3790","3830","3750","3770","441000","3770","257"
"1990-02-15","3820","3830","3770","3830","509000","3830","258"
"1990-02-16","3880","3880","3750","3820","397000","3820","259"
"1990-02-19","3830","3830","3710","3720","381000","3720","260"
"1990-02-20","3670","3700","3650","3650","272000","3650","261"
"1990-02-21","3620","3670","3500","3520","387000","3520","262"
"1990-02-22","3560","3640","3400","3580","599000","3580","263"
"1990-02-23","3530","3600","3500","3520","322000","3520","264"
"1990-02-26","3460","3460","3280","3440","459000","3440","265"
"1990-02-27","3510","3730","3450","3690","680000","3690","266"
"1990-02-28","3650","3770","3650","3750","799000","3750","267"
"1990-03-01","3750","3970","3700","3880","3878000","3880","268"
"1990-03-02","3900","4120","3870","4090","7044000","4090","269"
"1990-03-05","4090","4180","4030","4080","5350000","4080","270"
"1990-03-06","4030","4110","3930","3960","2810000","3960","271"
"1990-03-07","4000","4040","3960","4040","1166000","4040","272"
"1990-03-08","3990","4140","3990","4120","3796000","4120","273"
"1990-03-09","4140","4150","4040","4050","2838000","4050","274"
"1990-03-12","4010","4040","3950","4000","732000","4000","275"
"1990-03-13","3950","4010","3910","3950","1649000","3950","276"
"1990-03-14","3950","4010","3860","3880","1078000","3880","277"
"1990-03-15","3920","3950","3880","3930","1006000","3930","278"
"1990-03-16","3920","3950","3820","3870","477000","3870","279"
"1990-03-19","3840","3840","3650","3660","757000","3660","280"
"1990-03-20","3710","3810","3590","3650","982000","3650","281"
"1990-03-22","3600","3760","3470","3650","893000","3650","283"
"1990-03-23","3750","3850","3700","3820","1091000","3820","284"
"1990-03-26","3870","4100","3870","4100","1478000","4100","285"
"1990-03-27","4090","4120","3990","4070","2898000","4070","286"
"1990-03-28","4070","4270","4010","4270","5881000","4270","287"
"1990-03-29","4250","4330","4190","4210","4880000","4210","288"
"1990-03-30","4160","4190","4050","4060","1706000","4060","289"
"1990-04-02","3960","4050","3870","3900","1031000","3900","290"
"1990-04-03","3950","4160","3850","4140","1412000","4140","291"
"1990-04-04","4190","4250","4000","4010","1915000","4010","292"
"1990-04-05","3960","4180","3960","4170","1299000","4170","293"
"1990-04-06","4190","4230","4090","4100","1106000","4100","294"
"1990-04-09","4050","4210","4000","4150","1819000","4150","295"
"1990-04-10","4100","4170","4060","4060","1008000","4060","296"
"1990-04-11","4110","4140","4050","4090","937000","4090","297"
"1990-04-12","4100","4120","4050","4100","403000","4100","298"
"1990-04-13","4080","4130","4050","4050","1028000","4050","299"
