8053 èZóFè§éñ,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1500","1540","1490","1500","3240000","1500","1"
"1989-02-20","1530","1530","1490","1490","617000","1490","2"
"1989-02-21","1500","1500","1460","1460","712000","1460","3"
"1989-02-22","1470","1490","1470","1480","755000","1480","4"
"1989-02-23","1460","1490","1440","1460","3270000","1460","5"
"1989-02-27","1450","1480","1420","1440","729000","1440","7"
"1989-02-28","1430","1450","1410","1430","564000","1430","8"
"1989-03-01","1430","1430","1390","1410","769000","1410","9"
"1989-03-02","1390","1400","1340","1360","2033000","1360","10"
"1989-03-03","1420","1420","1370","1410","1221000","1410","11"
"1989-03-06","1410","1410","1350","1350","991000","1350","12"
"1989-03-07","1340","1360","1330","1340","1465000","1340","13"
"1989-03-08","1380","1390","1360","1360","348000","1360","14"
"1989-03-09","1340","1360","1320","1350","933000","1350","15"
"1989-03-10","1340","1370","1340","1350","522000","1350","16"
"1989-03-13","1350","1380","1310","1360","1197000","1360","17"
"1989-03-14","1320","1350","1320","1340","869000","1340","18"
"1989-03-15","1380","1410","1360","1400","1154000","1400","19"
"1989-03-16","1400","1420","1390","1390","2372000","1390","20"
"1989-03-17","1380","1390","1370","1380","2682000","1380","21"
"1989-03-20","1370","1380","1360","1370","1327000","1370","22"
"1989-03-22","1360","1370","1360","1370","1353000","1370","24"
"1989-03-23","1360","1370","1360","1370","1034000","1370","25"
"1989-03-24","1360","1370","1360","1370","2586000","1370","26"
"1989-03-27","1360","1380","1350","1370","912000","1370","27"
"1989-03-28","1340","1380","1340","1360","536000","1360","28"
"1989-03-29","1370","1390","1360","1380","1165000","1380","29"
"1989-03-30","1390","1400","1380","1390","937000","1390","30"
"1989-03-31","1390","1430","1390","1420","1713000","1420","31"
"1989-04-03","1390","1440","1370","1390","4707000","1390","32"
"1989-04-04","1400","1410","1380","1410","2039000","1410","33"
"1989-04-05","1410","1420","1390","1420","3285000","1420","34"
