8058 éOïHè§éñ,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1700","1750","1690","1690","14672000","1690","1"
"1989-02-20","1700","1710","1670","1700","4245000","1700","2"
"1989-02-21","1690","1700","1660","1660","3552000","1660","3"
"1989-02-22","1680","1690","1660","1670","3223000","1670","4"
"1989-02-23","1660","1740","1650","1710","7436000","1710","5"
"1989-02-27","1700","1710","1680","1680","3483000","1680","7"
"1989-02-28","1690","1710","1670","1680","4531000","1680","8"
"1989-03-01","1700","1710","1630","1650","3044000","1650","9"
"1989-03-02","1630","1640","1570","1610","2546000","1610","10"
"1989-03-03","1620","1620","1590","1600","1435000","1600","11"
"1989-03-06","1590","1590","1560","1570","1618000","1570","12"
"1989-03-07","1540","1590","1530","1580","1487000","1580","13"
"1989-03-08","1590","1620","1570","1570","4220000","1570","14"
"1989-03-09","1560","1580","1540","1540","2832000","1540","15"
"1989-03-10","1540","1570","1510","1530","4163000","1530","16"
"1989-03-13","1510","1530","1500","1510","1240000","1510","17"
"1989-03-14","1510","1530","1510","1510","1511000","1510","18"
"1989-03-15","1520","1540","1520","1530","2077000","1530","19"
"1989-03-16","1540","1570","1530","1540","1696000","1540","20"
"1989-03-17","1540","1550","1540","1550","1217000","1550","21"
"1989-03-20","1520","1530","1490","1490","1309000","1490","22"
"1989-03-22","1510","1520","1470","1490","3597000","1490","24"
"1989-03-23","1470","1500","1470","1490","1536000","1490","25"
"1989-03-24","1490","1500","1480","1490","1336000","1490","26"
"1989-03-27","1510","1510","1410","1430","1137000","1430","27"
"1989-03-28","1490","1530","1470","1510","1263000","1510","28"
"1989-03-29","1500","1590","1500","1580","1730000","1580","29"
"1989-03-30","1600","1610","1550","1590","1655000","1590","30"
"1989-03-31","1620","1630","1590","1600","3672000","1600","31"
"1989-04-03","1620","1620","1590","1620","2091000","1620","32"
"1989-04-04","1620","1680","1610","1660","3020000","1660","33"
"1989-04-05","1670","1690","1650","1670","2847000","1670","34"
"1989-04-06","1610","1640","1600","1630","1189000","1630","35"
"1989-04-07","1620","1640","1610","1620","1330000","1620","36"
"1989-04-10","1590","1610","1590","1590","1007000","1590","37"
"1989-04-11","1600","1610","1590","1600","791000","1600","38"
"1989-04-12","1600","1620","1590","1590","1463000","1590","39"
"1989-04-13","1600","1600","1540","1570","885000","1570","40"
"1989-04-14","1540","1560","1510","1550","940000","1550","41"
"1989-04-17","1580","1600","1550","1570","898000","1570","42"
"1989-04-18","1600","1600","1560","1600","1644000","1600","43"
"1989-04-19","1610","1630","1590","1620","2874000","1620","44"
"1989-04-20","1620","1630","1560","1600","3005000","1600","45"
"1989-04-21","1540","1580","1540","1580","2427000","1580","46"
"1989-04-24","1590","1600","1560","1590","1521000","1590","47"
"1989-04-25","1570","1600","1560","1600","1482000","1600","48"
"1989-04-26","1600","1630","1580","1630","2794000","1630","49"
"1989-04-27","1630","1680","1620","1670","4197000","1670","50"
"1989-04-28","1640","1660","1630","1640","2775000","1640","51"
"1989-05-01","1620","1660","1600","1650","952000","1650","52"
"1989-05-02","1640","1670","1630","1660","4556000","1660","53"
"1989-05-08","1630","1670","1630","1660","1625000","1660","57"
"1989-05-09","1650","1660","1630","1630","1022000","1630","58"
"1989-05-10","1630","1640","1620","1640","1060000","1640","59"
"1989-05-11","1640","1670","1630","1660","2166000","1660","60"
