8233 çÇìáâÆ,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","2870","2880","2860","2860","166000","2860","1"
"1989-02-20","2880","2920","2850","2850","374000","2850","2"
"1989-02-21","2870","2880","2850","2860","119000","2860","3"
"1989-02-22","2890","2900","2870","2870","86000","2870","4"
"1989-02-23","2900","2900","2760","2770","275000","2770","5"
"1989-02-27","2810","2900","2810","2900","503000","2900","7"
"1989-02-28","2860","2860","2800","2820","161000","2820","8"
"1989-03-01","2860","2860","2810","2860","181000","2860","9"
"1989-03-02","2850","2860","2780","2780","62000","2780","10"
"1989-03-03","2790","2820","2770","2790","61000","2790","11"
"1989-03-06","2750","2840","2750","2810","26000","2810","12"
"1989-03-07","2870","2870","2840","2840","83000","2840","13"
"1989-03-08","2820","2820","2770","2800","21000","2800","14"
"1989-03-09","2800","2800","2700","2740","94000","2740","15"
"1989-03-10","2750","2790","2740","2780","214000","2780","16"
"1989-03-13","2790","2800","2710","2800","91000","2800","17"
"1989-03-14","2770","2770","2690","2700","184000","2700","18"
"1989-03-15","2780","2780","2770","2780","74000","2780","19"
"1989-03-16","2800","2810","2790","2800","393000","2800","20"
"1989-03-17","2810","2830","2800","2830","358000","2830","21"
"1989-03-20","2800","2840","2800","2840","101000","2840","22"
"1989-03-22","2810","2860","2800","2840","265000","2840","24"
"1989-03-23","2860","2900","2850","2890","119000","2890","25"
"1989-03-24","2900","2950","2850","2930","173000","2930","26"
"1989-03-27","2920","2970","2900","2950","236000","2950","27"
"1989-03-28","2990","2990","2950","2960","83000","2960","28"
"1989-03-29","2950","2960","2930","2960","181000","2960","29"
"1989-03-30","2940","2980","2940","2970","112000","2970","30"
"1989-03-31","2970","2970","2860","2870","86000","2870","31"
"1989-04-03","2930","2980","2900","2980","59000","2980","32"
"1989-04-04","2970","2980","2940","2960","59000","2960","33"
"1989-04-05","2970","2980","2970","2980","102000","2980","34"
"1989-04-06","2960","2980","2950","2950","99000","2950","35"
