8252 ä€à‰ÉOÉãÅ[Év,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","2790","2790","2750","2770","417000","2770","1"
"1989-02-20","2800","2800","2730","2740","246000","2740","2"
"1989-02-21","2760","2760","2730","2760","369000","2760","3"
"1989-02-22","2730","2750","2730","2740","262000","2740","4"
"1989-02-23","2740","2750","2700","2730","582000","2730","5"
"1989-02-27","2720","2730","2680","2700","601000","2700","7"
"1989-02-28","2670","2670","2610","2640","840000","2640","8"
"1989-03-01","2650","2660","2600","2620","790000","2620","9"
"1989-03-02","2650","2700","2640","2700","312000","2700","10"
"1989-03-03","2750","2750","2700","2720","247000","2720","11"
"1989-03-06","2720","2720","2680","2720","105000","2720","12"
"1989-03-07","2720","2730","2690","2690","242000","2690","13"
"1989-03-08","2690","2690","2680","2680","101000","2680","14"
"1989-03-09","2680","2680","2630","2630","372000","2630","15"
"1989-03-10","2630","2630","2590","2620","422000","2620","16"
"1989-03-13","2620","2650","2590","2630","180000","2630","17"
"1989-03-14","2650","2650","2600","2630","294000","2630","18"
"1989-03-15","2630","2640","2600","2610","355000","2610","19"
"1989-03-16","2630","2660","2610","2650","563000","2650","20"
"1989-03-17","2610","2650","2610","2650","344000","2650","21"
"1989-03-20","2610","2620","2590","2590","308000","2590","22"
"1989-03-22","2630","2630","2590","2590","340000","2590","24"
"1989-03-23","2630","2650","2600","2650","1218000","2650","25"
"1989-03-24","2690","2690","2650","2670","1156000","2670","26"
"1989-03-27","2670","2740","2640","2700","540000","2700","27"
"1989-03-28","2680","2700","2650","2680","508000","2680","28"
"1989-03-29","2680","2710","2660","2670","1628000","2670","29"
"1989-03-30","2700","2700","2650","2700","732000","2700","30"
"1989-03-31","2700","2710","2620","2710","803000","2710","31"
"1989-04-03","2670","2690","2640","2640","471000","2640","32"
"1989-04-04","2630","2650","2620","2630","678000","2630","33"
"1989-04-05","2630","2640","2600","2630","763000","2630","34"
"1989-04-06","2620","2620","2590","2620","772000","2620","35"
"1989-04-07","2600","2620","2590","2600","281000","2600","36"
"1989-04-10","2600","2610","2590","2600","301000","2600","37"
"1989-04-11","2600","2600","2590","2590","344000","2590","38"
