8253 クレディセゾン,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","2710","2710","2670","2670","20000","2670","1"
"1989-02-20","2700","2700","2690","2700","9000","2700","2"
"1989-02-21","2690","2690","2650","2670","28000","2670","3"
"1989-02-22","2700","2740","2700","2730","45000","2730","4"
"1989-02-23","2690","2780","2690","2750","74000","2750","5"
"1989-02-27","2700","2730","2700","2730","10000","2730","7"
"1989-02-28","2730","2730","2730","2730","7000","2730","8"
"1989-03-01","2720","2720","2680","2680","18000","2680","9"
"1989-03-02","2680","2710","2610","2710","52000","2710","10"
"1989-03-03","2710","2710","2690","2690","25000","2690","11"
"1989-03-06","2610","2700","2610","2700","34000","2700","12"
"1989-03-07","2680","2680","2630","2630","86000","2630","13"
"1989-03-08","2590","2670","2590","2670","48000","2670","14"
"1989-03-09","2600","2600","2580","2580","31000","2580","15"
"1989-03-10","2580","2660","2580","2660","6000","2660","16"
"1989-03-13","2650","2650","2540","2540","23000","2540","17"
"1989-03-14","2540","2660","2540","2660","5000","2660","18"
"1989-03-15","2660","2660","2620","2620","10000","2620","19"
"1989-03-16","2610","2700","2610","2700","34000","2700","20"
"1989-03-17","2640","2820","2640","2800","285000","2800","21"
"1989-03-20","2800","2800","2800","2800","0","2800","22"
"1989-03-22","2620","2620","2490","2520","98000","2520","24"
"1989-03-23","2500","2540","2500","2520","38000","2520","25"
"1989-03-24","2500","2520","2500","2520","64000","2520","26"
"1989-03-27","2500","2500","2500","2500","13000","2500","27"
"1989-03-28","2500","2500","2500","2500","3000","2500","28"
"1989-03-29","2500","2550","2500","2550","16000","2550","29"
"1989-03-30","2550","2600","2550","2570","8000","2570","30"
"1989-03-31","2570","2640","2570","2640","17000","2640","31"
"1989-04-03","2550","2550","2550","2550","15000","2550","32"
"1989-04-04","2550","2600","2550","2550","4000","2550","33"
"1989-04-05","2550","2590","2550","2590","10000","2590","34"
"1989-04-06","2550","2570","2550","2550","28000","2550","35"
"1989-04-07","2550","2550","2550","2550","5000","2550","36"
"1989-04-10","2550","2560","2550","2560","8000","2560","37"
"1989-04-11","2590","2590","2590","2590","4000","2590","38"
"1989-04-12","2570","2570","2570","2570","5000","2570","39"
"1989-04-13","2570","2570","2530","2550","14000","2550","40"
"1989-04-14","2550","2550","2550","2550","0","2550","41"
"1989-04-17","2570","2590","2570","2590","11000","2590","42"
"1989-04-18","2590","2610","2550","2550","41000","2550","43"
"1989-04-19","2570","2570","2550","2550","3000","2550","44"
"1989-04-20","2550","2550","2510","2550","34000","2550","45"
"1989-04-21","2550","2550","2500","2550","15000","2550","46"
"1989-04-24","2560","2560","2490","2550","138000","2550","47"
"1989-04-25","2570","2570","2550","2550","23000","2550","48"
"1989-04-26","2550","2550","2550","2550","28000","2550","49"
"1989-04-27","2540","2630","2540","2550","35000","2550","50"
"1989-04-28","2550","2560","2550","2550","32000","2550","51"
"1989-05-01","2610","2650","2590","2650","34000","2650","52"
"1989-05-02","2650","2650","2590","2610","38000","2610","53"
"1989-05-08","2610","2610","2570","2610","37000","2610","57"
"1989-05-09","2690","2690","2570","2570","39000","2570","58"
"1989-05-10","2690","2690","2590","2590","19000","2590","59"
"1989-05-11","2630","2670","2620","2620","21000","2620","60"
"1989-05-12","2600","2600","2560","2570","14000","2570","61"
"1989-05-15","2570","2600","2560","2600","5000","2600","62"
"1989-05-16","2560","2560","2440","2440","48000","2440","63"
"1989-05-17","2520","2570","2520","2530","17000","2530","64"
"1989-05-18","2570","2570","2550","2550","5000","2550","65"
"1989-05-19","2550","2570","2550","2570","9000","2570","66"
"1989-05-22","2570","2570","2570","2570","93000","2570","67"
"1989-05-23","2600","2600","2580","2600","9000","2600","68"
"1989-05-24","2550","2550","2550","2550","1000","2550","69"
"1989-05-25","2630","2630","2630","2630","16000","2630","70"
"1989-05-26","2650","2650","2610","2610","16000","2610","71"
"1989-05-29","2650","2690","2650","2690","21000","2690","72"
"1989-05-30","2680","2680","2680","2680","13000","2680","73"
"1989-05-31","2680","2680","2680","2680","24000","2680","74"
"1989-06-01","2670","2670","2640","2660","30000","2660","75"
"1989-06-02","2660","2660","2660","2660","0","2660","76"
"1989-06-05","2600","2600","2600","2600","2000","2600","77"
"1989-06-06","2600","2600","2600","2600","0","2600","78"
"1989-06-07","2600","2600","2600","2600","3000","2600","79"
"1989-06-08","2600","2600","2600","2600","0","2600","80"
"1989-06-09","2630","2640","2630","2630","27000","2630","81"
"1989-06-12","2690","2690","2690","2690","15000","2690","82"
"1989-06-13","2690","2690","2690","2690","0","2690","83"
"1989-06-14","2680","2680","2600","2600","10000","2600","84"
"1989-06-15","2600","2620","2580","2620","12000","2620","85"
"1989-06-16","2630","2630","2600","2600","23000","2600","86"
"1989-06-19","2640","2640","2640","2640","2000","2640","87"
"1989-06-20","2640","2650","2640","2650","9000","2650","88"
"1989-06-21","2650","2650","2620","2630","13000","2630","89"
"1989-06-22","2630","2640","2630","2640","5000","2640","90"
"1989-06-23","2640","2650","2600","2600","29000","2600","91"
"1989-06-26","2600","2600","2600","2600","0","2600","92"
"1989-06-27","2600","2600","2600","2600","25000","2600","93"
"1989-06-28","2490","2490","2490","2490","4000","2490","94"
"1989-06-29","2490","2490","2490","2490","2000","2490","95"
"1989-06-30","2500","2500","2490","2490","2000","2490","96"
"1989-07-03","2500","2500","2500","2500","1000","2500","97"
"1989-07-04","2500","2500","2460","2460","3000","2460","98"
"1989-07-05","2460","2480","2460","2480","6000","2480","99"
"1989-07-06","2640","2640","2640","2640","9000","2640","100"
"1989-07-07","2640","2640","2640","2640","3000","2640","101"
"1989-07-10","2660","2660","2640","2640","19000","2640","102"
"1989-07-11","2640","2640","2600","2640","17000","2640","103"
"1989-07-12","2580","2580","2580","2580","4000","2580","104"
"1989-07-13","2620","2620","2620","2620","13000","2620","105"
