8267 イオン(ジャスコ),,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1880","1880","1820","1850","536000","1850","1"
"1989-02-20","1850","1850","1810","1830","166000","1830","2"
"1989-02-21","1830","1830","1770","1800","251000","1800","3"
"1989-02-22","1800","1800","1780","1800","89000","1800","4"
"1989-02-23","1800","1800","1770","1800","223000","1800","5"
"1989-02-27","1780","1790","1780","1780","137000","1780","7"
"1989-02-28","1770","1800","1750","1750","209000","1750","8"
"1989-03-01","1750","1780","1750","1780","130000","1780","9"
"1989-03-02","1780","1780","1750","1770","91000","1770","10"
"1989-03-03","1770","1770","1760","1770","102000","1770","11"
"1989-03-06","1740","1770","1740","1760","53000","1760","12"
"1989-03-07","1770","1770","1740","1750","171000","1750","13"
"1989-03-08","1750","1750","1710","1710","61000","1710","14"
"1989-03-09","1690","1700","1670","1680","142000","1680","15"
"1989-03-10","1680","1680","1650","1670","86000","1670","16"
"1989-03-13","1690","1690","1650","1660","102000","1660","17"
"1989-03-14","1670","1670","1630","1630","253000","1630","18"
"1989-03-15","1630","1660","1620","1650","328000","1650","19"
"1989-03-16","1650","1710","1640","1660","109000","1660","20"
"1989-03-17","1680","1700","1650","1650","159000","1650","21"
"1989-03-20","1680","1710","1640","1710","158000","1710","22"
"1989-03-22","1710","1710","1670","1670","191000","1670","24"
"1989-03-23","1670","1680","1650","1660","430000","1660","25"
"1989-03-24","1680","1680","1650","1660","128000","1660","26"
"1989-03-27","1690","1710","1660","1700","178000","1700","27"
"1989-03-28","1670","1670","1650","1660","258000","1660","28"
"1989-03-29","1650","1690","1650","1690","252000","1690","29"
"1989-03-30","1680","1680","1660","1660","207000","1660","30"
"1989-03-31","1680","1690","1650","1650","270000","1650","31"
"1989-04-03","1680","1700","1650","1690","309000","1690","32"
"1989-04-04","1680","1700","1670","1690","299000","1690","33"
"1989-04-05","1710","1720","1700","1700","245000","1700","34"
"1989-04-06","1710","1750","1710","1730","338000","1730","35"
"1989-04-07","1740","1750","1710","1730","411000","1730","36"
"1989-04-10","1750","1750","1720","1740","134000","1740","37"
"1989-04-11","1750","1750","1720","1720","158000","1720","38"
"1989-04-12","1710","1730","1710","1730","72000","1730","39"
"1989-04-13","1750","1750","1710","1730","188000","1730","40"
"1989-04-14","1740","1740","1700","1720","136000","1720","41"
"1989-04-17","1750","1750","1700","1700","149000","1700","42"
"1989-04-18","1700","1730","1700","1700","515000","1700","43"
"1989-04-19","1700","1720","1690","1700","111000","1700","44"
"1989-04-20","1670","1700","1670","1670","449000","1670","45"
"1989-04-21","1660","1690","1660","1680","232000","1680","46"
"1989-04-24","1690","1700","1660","1660","245000","1660","47"
"1989-04-25","1660","1760","1650","1750","795000","1750","48"
"1989-04-26","1760","1840","1750","1830","1036000","1830","49"
"1989-04-27","1830","1930","1830","1920","3031000","1920","50"
"1989-04-28","1930","1950","1880","1880","1723000","1880","51"
"1989-05-01","1920","2050","1900","2020","6798000","2020","52"
"1989-05-02","2060","2060","2010","2050","2933000","2050","53"
"1989-05-08","2080","2100","2050","2080","1564000","2080","57"
"1989-05-09","2050","2070","1950","2040","600000","2040","58"
"1989-05-10","2040","2050","2000","2040","843000","2040","59"
"1989-05-11","2000","2020","2000","2020","857000","2020","60"
"1989-05-12","2000","2010","1930","1980","313000","1980","61"
"1989-05-15","1950","1990","1950","1960","145000","1960","62"
"1989-05-16","1950","1960","1920","1950","260000","1950","63"
"1989-05-17","1940","1950","1910","1950","176000","1950","64"
"1989-05-18","1940","1950","1920","1920","171000","1920","65"
"1989-05-19","1940","1960","1920","1960","407000","1960","66"
"1989-05-22","1920","1960","1910","1930","35000","1930","67"
"1989-05-23","1930","1980","1900","1980","231000","1980","68"
"1989-05-24","1970","1970","1900","1970","301000","1970","69"
"1989-05-25","1970","1990","1960","1970","353000","1970","70"
"1989-05-26","1980","2010","1970","2000","488000","2000","71"
"1989-05-29","2010","2020","1960","2000","575000","2000","72"
"1989-05-30","2000","2000","1970","2000","281000","2000","73"
"1989-05-31","2000","2050","1970","2010","778000","2010","74"
"1989-06-01","2030","2100","2010","2050","1143000","2050","75"
"1989-06-02","2070","2130","2050","2060","3132000","2060","76"
"1989-06-05","2100","2120","2040","2050","894000","2050","77"
"1989-06-06","2030","2060","1990","2050","450000","2050","78"
"1989-06-07","2050","2050","2000","2040","210000","2040","79"
"1989-06-08","2040","2090","2010","2080","596000","2080","80"
"1989-06-09","2050","2080","1990","2010","358000","2010","81"
"1989-06-12","1980","2090","1980","2070","472000","2070","82"
"1989-06-13","2070","2070","2010","2020","331000","2020","83"
"1989-06-14","2000","2030","2000","2020","319000","2020","84"
"1989-06-15","2020","2020","1960","1960","701000","1960","85"
"1989-06-16","1930","2010","1930","2010","330000","2010","86"
"1989-06-19","1990","1990","1930","1990","186000","1990","87"
"1989-06-20","1960","2000","1950","1990","62000","1990","88"
"1989-06-21","1960","2080","1950","2050","794000","2050","89"
"1989-06-22","2010","2030","2000","2020","222000","2020","90"
"1989-06-23","1980","2020","1980","2010","208000","2010","91"
"1989-06-26","1970","2020","1950","2020","188000","2020","92"
"1989-06-27","2050","2050","1980","1990","96000","1990","93"
"1989-06-28","1980","2000","1960","1980","281000","1980","94"
"1989-06-29","1960","1970","1950","1950","277000","1950","95"
"1989-06-30","1930","1930","1920","1930","127000","1930","96"
"1989-07-03","1900","1950","1900","1940","127000","1940","97"
"1989-07-04","1940","2030","1940","2000","426000","2000","98"
"1989-07-05","2010","2050","2000","2050","879000","2050","99"
"1989-07-06","2040","2050","2010","2010","233000","2010","100"
"1989-07-07","2000","2100","2000","2100","1427000","2100","101"
"1989-07-10","2090","2100","2050","2070","731000","2070","102"
"1989-07-11","2090","2120","2080","2110","1678000","2110","103"
"1989-07-12","2110","2120","2080","2100","1193000","2100","104"
"1989-07-13","2100","2110","2090","2110","422000","2110","105"
"1989-07-14","2100","2120","2080","2080","587000","2080","106"
"1989-07-17","2080","2130","2080","2130","391000","2130","107"
"1989-07-18","2110","2120","2060","2070","375000","2070","108"
"1989-07-19","2070","2130","2060","2130","528000","2130","109"
"1989-07-20","2130","2180","2120","2160","1211000","2160","110"
"1989-07-21","2140","2230","2140","2230","2771000","2230","111"
"1989-07-24","2220","2320","2220","2320","4602000","2320","112"
"1989-07-25","2320","2440","2310","2410","6214000","2410","113"
"1989-07-26","2410","2420","2340","2380","2239000","2380","114"
"1989-07-27","2340","2370","2320","2370","817000","2370","115"
"1989-07-28","2360","2380","2330","2360","762000","2360","116"
"1989-07-31","2340","2380","2340","2350","605000","2350","117"
"1989-08-01","2350","2350","2310","2350","436000","2350","118"
"1989-08-02","2320","2350","2310","2330","281000","2330","119"
"1989-08-03","2310","2320","2290","2290","401000","2290","120"
"1989-08-04","2270","2280","2230","2250","194000","2250","121"
"1989-08-07","2230","2270","2210","2270","269000","2270","122"
"1989-08-08","2280","2320","2260","2280","378000","2280","123"
"1989-08-09","2260","2320","2260","2320","229000","2320","124"
"1989-08-10","2310","2320","2280","2280","281000","2280","125"
"1989-08-11","2240","2300","2240","2300","118000","2300","126"
"1989-08-14","2280","2320","2280","2320","173000","2320","127"
"1989-08-15","2310","2330","2300","2330","189000","2330","128"
"1989-08-16","2340","2410","2330","2400","708000","2400","129"
"1989-08-17","2410","2450","2400","2400","1088000","2400","130"
"1989-08-18","2430","2470","2420","2460","1711000","2460","131"
"1989-08-21","2480","2480","2440","2440","292000","2440","132"
"1989-08-22","2440","2450","2400","2400","227000","2400","133"
"1989-08-23","2400","2430","2400","2420","392000","2420","134"
"1989-08-24","2410","2420","2380","2390","226000","2390","135"
"1989-08-25","2400","2420","2350","2390","186000","2390","136"
"1989-08-28","2370","2380","2340","2380","135000","2380","137"
"1989-08-29","2370","2420","2350","2410","259000","2410","138"
"1989-08-30","2420","2430","2360","2400","326000","2400","139"
"1989-08-31","2380","2530","2380","2500","3804000","2500","140"
"1989-09-01","2500","2530","2440","2470","980000","2470","141"
"1989-09-04","2430","2460","2420","2420","147000","2420","142"
"1989-09-05","2420","2460","2410","2460","393000","2460","143"
"1989-09-06","2460","2470","2400","2420","627000","2420","144"
"1989-09-07","2400","2470","2400","2470","710000","2470","145"
"1989-09-08","2470","2490","2390","2400","367000","2400","146"
"1989-09-11","2450","2470","2410","2410","524000","2410","147"
"1989-09-12","2400","2440","2390","2390","158000","2390","148"
"1989-09-13","2420","2420","2380","2420","425000","2420","149"
"1989-09-14","2400","2460","2400","2450","173000","2450","150"
"1989-09-18","2450","2490","2440","2490","431000","2490","152"
"1989-09-19","2490","2490","2460","2470","299000","2470","153"
"1989-09-20","2470","2510","2470","2470","684000","2470","154"
"1989-09-21","2500","2590","2500","2540","1820000","2540","155"
"1989-09-22","2540","2580","2490","2550","745000","2550","156"
"1989-09-25","2520","2620","2520","2580","770000","2580","157"
"1989-09-26","2620","2730","2580","2680","1950000","2680","158"
"1989-09-27","2680","2950","2680","2790","3291000","2790","159"
"1989-09-28","2780","2800","2760","2790","845000","2790","160"
"1989-09-29","2750","2900","2750","2850","1036000","2850","161"
"1989-10-02","2830","2840","2800","2800","524000","2800","162"
"1989-10-03","2810","2810","2710","2720","716000","2720","163"
"1989-10-04","2690","2720","2640","2660","977000","2660","164"
"1989-10-05","2650","2710","2650","2700","411000","2700","165"
"1989-10-06","2700","2790","2700","2720","795000","2720","166"
"1989-10-09","2750","2800","2720","2750","485000","2750","167"
"1989-10-11","2760","2780","2660","2670","355000","2670","169"
"1989-10-12","2630","2650","2590","2600","556000","2600","170"
"1989-10-13","2610","2780","2610","2720","561000","2720","171"
"1989-10-16","2680","2770","2620","2650","651000","2650","172"
"1989-10-17","2770","2800","2730","2730","1060000","2730","173"
"1989-10-18","2770","2770","2750","2760","679000","2760","174"
"1989-10-19","2770","2890","2760","2860","1588000","2860","175"
"1989-10-20","2980","3050","2950","2960","7188000","2960","176"
"1989-10-23","2960","3070","2940","3040","3105000","3040","177"
"1989-10-24","3070","3210","3070","3160","8490000","3160","178"
"1989-10-25","3160","3160","3020","3050","1325000","3050","179"
"1989-10-26","3100","3140","3030","3050","1143000","3050","180"
"1989-10-27","3040","3040","2930","2930","964000","2930","181"
"1989-10-30","2960","3040","2930","3000","725000","3000","182"
"1989-10-31","3030","3090","3000","3060","1846000","3060","183"
"1989-11-01","3090","3090","2980","3000","772000","3000","184"
"1989-11-02","2970","2990","2930","2990","390000","2990","185"
"1989-11-06","2950","2990","2950","2980","217000","2980","187"
"1989-11-07","2940","2950","2900","2920","387000","2920","188"
"1989-11-08","2930","3000","2930","2950","471000","2950","189"
"1989-11-09","2950","2950","2900","2910","252000","2910","190"
"1989-11-10","2910","3000","2910","2960","308000","2960","191"
"1989-11-13","2950","3000","2950","3000","313000","3000","192"
"1989-11-14","2960","2980","2930","2950","360000","2950","193"
"1989-11-15","2910","2950","2910","2910","260000","2910","194"
"1989-11-16","2900","2990","2900","2900","343000","2900","195"
"1989-11-17","2880","2920","2880","2910","221000","2910","196"
"1989-11-20","2890","2920","2890","2920","145000","2920","197"
"1989-11-21","2900","2910","2870","2870","249000","2870","198"
"1989-11-22","2910","2930","2860","2860","459000","2860","199"
"1989-11-24","2860","2890","2850","2850","430000","2850","200"
"1989-11-27","2830","2870","2810","2830","260000","2830","201"
"1989-11-28","2870","2900","2830","2900","358000","2900","202"
"1989-11-29","2930","2930","2870","2910","259000","2910","203"
"1989-11-30","2870","2910","2870","2910","157000","2910","204"
"1989-12-01","2920","2990","2800","2900","1155000","2900","205"
"1989-12-04","2940","2950","2900","2920","421000","2920","206"
"1989-12-05","2950","2950","2890","2920","188000","2920","207"
"1989-12-06","2920","3000","2920","3000","709000","3000","208"
"1989-12-07","3000","3030","2970","2980","604000","2980","209"
"1989-12-08","2990","3000","2960","3000","402000","3000","210"
"1989-12-11","2980","2980","2930","2950","538000","2950","211"
"1989-12-12","2960","2980","2950","2970","373000","2970","212"
"1989-12-13","2970","2970","2900","2960","284000","2960","213"
"1989-12-14","2940","2960","2940","2940","351000","2940","214"
"1989-12-15","2940","2970","2940","2970","175000","2970","215"
"1989-12-18","2950","2970","2940","2950","413000","2950","216"
"1989-12-19","2950","2960","2930","2960","907000","2960","217"
"1989-12-20","2930","2960","2900","2900","317000","2900","218"
"1989-12-21","2900","2930","2880","2900","133000","2900","219"
"1989-12-22","2930","3000","2850","2900","567000","2900","220"
"1989-12-25","2900","2930","2820","2930","444000","2930","221"
"1989-12-26","2970","2980","2910","2980","219000","2980","222"
"1989-12-27","2990","3100","2980","3070","1584000","3070","223"
"1989-12-28","3070","3080","3040","3040","242000","3040","224"
"1989-12-29","2990","3050","2990","3030","175000","3030","225"
"1990-01-04","3060","3080","3010","3030","48000","3030","228"
"1990-01-05","3020","3020","2980","2990","265000","2990","229"
"1990-01-08","3000","3050","2990","3000","249000","3000","230"
"1990-01-09","3000","3000","2950","2980","214000","2980","231"
"1990-01-10","2940","2980","2900","2940","285000","2940","232"
"1990-01-11","2940","2960","2930","2930","253000","2930","233"
"1990-01-12","2920","2930","2900","2900","295000","2900","234"
"1990-01-16","2900","2900","2800","2840","155000","2840","236"
"1990-01-17","2800","2840","2800","2820","257000","2820","237"
"1990-01-18","2820","2820","2790","2790","199000","2790","238"
"1990-01-19","2790","2790","2700","2730","270000","2730","239"
"1990-01-22","2750","2930","2750","2900","378000","2900","240"
"1990-01-23","2880","2890","2810","2810","331000","2810","241"
"1990-01-24","2820","2860","2800","2800","398000","2800","242"
"1990-01-25","2840","2850","2810","2850","189000","2850","243"
"1990-01-26","2880","2880","2840","2840","163000","2840","244"
"1990-01-29","2900","2900","2870","2880","502000","2880","245"
"1990-01-30","2880","2910","2880","2890","325000","2890","246"
"1990-01-31","2900","2910","2870","2880","247000","2880","247"
"1990-02-01","2910","2910","2850","2860","164000","2860","248"
"1990-02-02","2900","2900","2880","2880","251000","2880","249"
"1990-02-05","2900","2900","2880","2880","195000","2880","250"
"1990-02-06","2890","2910","2880","2880","292000","2880","251"
"1990-02-07","2880","2880","2850","2850","317000","2850","252"
"1990-02-08","2880","2880","2850","2850","246000","2850","253"
"1990-02-09","2890","2890","2810","2810","199000","2810","254"
"1990-02-13","2890","2900","2850","2900","228000","2900","256"
"1990-02-14","2890","2890","2830","2840","192000","2840","257"
"1990-02-15","2730","2730","2670","2680","238000","2680","258"
"1990-02-16","2680","2700","2680","2690","99000","2690","259"
"1990-02-19","2730","2730","2680","2710","251000","2710","260"
"1990-02-20","2670","2710","2670","2690","119000","2690","261"
"1990-02-21","2680","2690","2600","2600","100000","2600","262"
"1990-02-22","2600","2600","2470","2500","222000","2500","263"
"1990-02-23","2460","2470","2420","2420","285000","2420","264"
"1990-02-26","2340","2370","2250","2270","252000","2270","265"
"1990-02-27","2370","2400","2270","2370","355000","2370","266"
"1990-02-28","2450","2450","2400","2410","273000","2410","267"
"1990-03-01","2380","2420","2320","2350","152000","2350","268"
"1990-03-02","2350","2400","2330","2350","259000","2350","269"
"1990-03-05","2380","2400","2360","2370","98000","2370","270"
"1990-03-06","2390","2400","2370","2400","203000","2400","271"
"1990-03-07","2400","2400","2350","2360","249000","2360","272"
"1990-03-08","2300","2400","2300","2400","103000","2400","273"
"1990-03-09","2410","2440","2400","2430","135000","2430","274"
"1990-03-12","2470","2470","2380","2400","123000","2400","275"
"1990-03-13","2400","2400","2250","2250","134000","2250","276"
"1990-03-14","2210","2290","2210","2290","186000","2290","277"
"1990-03-15","2280","2280","2250","2260","95000","2260","278"
"1990-03-16","2270","2280","2240","2270","263000","2270","279"
"1990-03-19","2230","2240","2190","2190","114000","2190","280"
"1990-03-20","2150","2190","2010","2090","236000","2090","281"
"1990-03-22","1880","1900","1880","1880","189000","1880","283"
"1990-03-23","1950","1970","1890","1970","711000","1970","284"
"1990-03-26","2100","2100","2010","2050","679000","2050","285"
"1990-03-27","2100","2100","2020","2050","276000","2050","286"
"1990-03-28","1970","1980","1900","1920","315000","1920","287"
"1990-03-29","1960","1980","1920","1940","133000","1940","288"
