8306 ŽO•HUFJ FG (ŽO•H“Œ‹ž),,,,,
"date","open","hight","low","close","power","End","date_position"
"2001-04-03","1200","1260","1190","1250","17521000","1250","3150"
"2001-04-04","1260","1300","1230","1300","21559000","1300","3151"
"2001-04-05","1300","1310","1250","1250","11709000","1250","3152"
"2001-04-06","1250","1250","1190","1250","11414000","1250","3153"
"2001-04-09","1210","1250","1190","1200","14017000","1200","3154"
"2001-04-10","1220","1240","1190","1210","9248000","1210","3155"
"2001-04-11","1220","1220","1170","1200","8423000","1200","3156"
"2001-04-12","1180","1270","1180","1240","8418000","1240","3157"
"2001-04-13","1250","1260","1210","1220","5421000","1220","3158"
"2001-04-16","1220","1250","1220","1240","2128000","1240","3159"
"2001-04-17","1220","1230","1190","1230","5809000","1230","3160"
"2001-04-18","1230","1240","1210","1220","5835000","1220","3161"
"2001-04-19","1260","1270","1200","1230","6824000","1230","3162"
"2001-04-20","1210","1230","1190","1220","6102000","1220","3163"
"2001-04-23","1200","1240","1200","1210","6246000","1210","3164"
"2001-04-24","1190","1200","1180","1200","5585000","1200","3165"
"2001-04-25","1200","1230","1200","1230","5066000","1230","3166"
"2001-04-26","1250","1260","1220","1220","6985000","1220","3167"
"2001-04-27","1240","1260","1230","1260","6620000","1260","3168"
"2001-05-01","1280","1320","1270","1310","10532000","1310","3170"
"2001-05-02","1330","1350","1310","1340","10442000","1340","3171"
"2001-05-07","1330","1350","1310","1340","7151000","1340","3174"
"2001-05-08","1330","1330","1290","1300","7287000","1300","3175"
"2001-05-09","1290","1290","1270","1290","8349000","1290","3176"
"2001-05-10","1270","1280","1250","1250","5515000","1250","3177"
"2001-05-11","1250","1270","1230","1240","4146000","1240","3178"
"2001-05-14","1260","1260","1230","1240","3238000","1240","3179"
"2001-05-15","1240","1260","1230","1250","3145000","1250","3180"
"2001-05-16","1250","1250","1230","1250","2551000","1250","3181"
"2001-05-17","1270","1270","1230","1250","4835000","1250","3182"
"2001-05-18","1260","1280","1240","1250","4421000","1250","3183"
"2001-05-21","1230","1250","1220","1230","5902000","1230","3184"
"2001-05-22","1240","1250","1230","1230","4164000","1230","3185"
"2001-05-23","1210","1220","1190","1190","8982000","1190","3186"
"2001-05-24","1180","1270","1180","1220","8451000","1220","3187"
"2001-05-25","1210","1220","1170","1180","7737000","1180","3188"
"2001-05-28","1150","1170","1120","1140","8816000","1140","3189"
"2001-05-29","1150","1160","1140","1150","3468000","1150","3190"
"2001-05-30","1130","1140","1110","1110","6300000","1110","3191"
"2001-05-31","1100","1140","1100","1120","6083000","1120","3192"
"2001-06-01","1140","1150","1090","1100","5490000","1100","3193"
"2001-06-04","1100","1100","1060","1080","4908000","1080","3194"
"2001-06-05","1080","1130","1050","1120","8830000","1120","3195"
"2001-06-06","1140","1150","1100","1100","4892000","1100","3196"
"2001-06-07","1080","1110","1070","1070","8025000","1070","3197"
"2001-06-08","1080","1100","1070","1070","15436000","1070","3198"
"2001-06-11","1080","1100","1070","1090","3394000","1090","3199"
"2001-06-12","1070","1070","1020","1040","9788000","1040","3200"
"2001-06-13","1050","1070","1030","1060","7951000","1060","3201"
"2001-06-14","1030","1030","998","1010","11449000","1010","3202"
"2001-06-15","990","1030","981","997","16582000","997","3203"
"2001-06-18","999","1020","998","1010","8610000","1010","3204"
"2001-06-19","1020","1040","998","1000","9086000","1000","3205"
"2001-06-20","991","995","970","985","6985000","985","3206"
"2001-06-21","1020","1090","1010","1090","15051000","1090","3207"
"2001-06-22","1070","1110","1060","1060","12611000","1060","3208"
"2001-06-25","1060","1070","1030","1040","6573000","1040","3209"
"2001-06-26","1020","1030","1010","1020","5606000","1020","3210"
"2001-06-27","1020","1070","1010","1060","7072000","1060","3211"
"2001-06-28","1080","1080","1020","1020","11018000","1020","3212"
"2001-06-29","1040","1050","1020","1040","5457000","1040","3213"
"2001-07-02","1030","1040","1000","1040","7152000","1040","3214"
"2001-07-03","1050","1060","1030","1040","2902000","1040","3215"
"2001-07-04","1040","1040","1020","1030","2473000","1030","3216"
"2001-07-05","1020","1030","1010","1030","2508000","1030","3217"
"2001-07-06","1010","1020","998","1000","5743000","1000","3218"
"2001-07-09","993","1010","987","1010","5313000","1010","3219"
"2001-07-10","1000","1040","991","1040","8496000","1040","3220"
"2001-07-11","1010","1020","1000","1010","3929000","1010","3221"
"2001-07-12","1020","1050","1000","1050","8970000","1050","3222"
"2001-07-13","1040","1050","1010","1030","4243000","1030","3223"
"2001-07-16","1030","1030","1010","1020","2652000","1020","3224"
"2001-07-17","1010","1020","999","1000","3683000","1000","3225"
"2001-07-18","999","1000","972","973","6640000","973","3226"
"2001-07-19","973","984","961","967","6489000","967","3227"
"2001-07-23","965","965","886","889","14520000","889","3229"
"2001-07-24","909","923","895","917","8824000","917","3230"
"2001-07-25","910","982","910","941","10336000","941","3231"
"2001-07-26","951","970","940","970","6814000","970","3232"
"2001-07-27","980","983","952","954","4162000","954","3233"
"2001-07-30","968","976","928","941","3400000","941","3234"
"2001-07-31","961","999","953","999","8251000","999","3235"
"2001-08-01","990","1010","985","1000","7676000","1000","3236"
"2001-08-02","1020","1040","1000","1020","10940000","1020","3237"
"2001-08-03","1020","1020","1000","1000","7385000","1000","3238"
"2001-08-06","998","998","978","983","4043000","983","3239"
"2001-08-07","973","973","957","964","5648000","964","3240"
"2001-08-08","964","976","952","959","3559000","959","3241"
"2001-08-09","949","968","935","936","4618000","936","3242"
"2001-08-10","926","934","913","915","5668000","915","3243"
"2001-08-13","924","925","911","911","2409000","911","3244"
