8308 ‚è‚»‚ÈHD,,,,,
"date","open","hight","low","close","power","End","date_position"
"2001-12-12","900","900","830","860","1298800","860","3331"
"2001-12-13","850","860","750","750","1051400","750","3332"
"2001-12-14","670","720","620","720","2369100","720","3333"
"2001-12-17","700","730","660","660","761200","660","3334"
"2001-12-18","690","700","650","660","565900","660","3335"
"2001-12-19","660","720","650","710","1260700","710","3336"
"2001-12-20","740","830","730","810","1639000","810","3337"
"2001-12-21","810","820","750","780","911100","780","3338"
"2001-12-25","760","770","720","730","327899","730","3340"
"2001-12-26","750","760","730","730","415800","730","3341"
"2001-12-27","730","760","730","760","290500","760","3342"
"2001-12-28","800","820","780","820","831100","820","3343"
"2002-01-04","830","840","810","820","297600","820","3347"
"2002-01-07","850","860","830","840","588400","840","3348"
"2002-01-08","840","840","820","820","358600","820","3349"
"2002-01-09","820","830","810","810","187199","810","3350"
"2002-01-10","810","820","800","810","186400","810","3351"
"2002-01-11","820","820","780","790","486500","790","3352"
"2002-01-15","780","790","750","750","269300","750","3354"
"2002-01-16","750","800","750","780","373300","780","3355"
"2002-01-17","770","800","770","790","237199","790","3356"
"2002-01-18","790","800","760","790","354100","790","3357"
"2002-01-21","790","800","780","790","265200","790","3358"
"2002-01-22","800","810","790","810","236199","810","3359"
"2002-01-23","800","810","790","810","223300","810","3360"
"2002-01-24","790","810","790","800","166600","800","3361"
"2002-01-25","800","810","790","790","174699","790","3362"
"2002-01-28","790","790","770","790","417300","790","3363"
"2002-01-29","770","780","760","760","204199","760","3364"
"2002-01-30","770","770","750","770","408000","770","3365"
"2002-01-31","770","780","760","770","283100","770","3366"
"2002-02-01","760","780","750","780","420600","780","3367"
"2002-02-04","770","780","750","750","433899","750","3368"
"2002-02-05","750","760","740","760","352600","760","3369"
"2002-02-06","750","750","700","710","442100","710","3370"
"2002-02-07","700","780","700","750","767200","750","3371"
"2002-02-08","760","770","750","760","443000","760","3372"
"2002-02-12","770","790","770","780","359700","780","3374"
"2002-02-13","780","790","770","790","385000","790","3375"
"2002-02-14","790","830","780","800","995100","800","3376"
"2002-02-15","800","800","780","790","467600","790","3377"
"2002-02-18","780","790","770","770","604600","770","3378"
"2002-02-19","770","770","740","740","572299","740","3379"
"2002-02-20","750","750","740","740","633400","740","3380"
"2002-02-21","740","750","730","740","976000","740","3381"
"2002-02-22","740","740","700","720","1033599","720","3382"
"2002-02-25","720","730","710","730","546900","730","3383"
"2002-02-26","730","760","720","760","806299","760","3384"
"2002-02-27","760","840","760","840","1210400","840","3385"
"2002-02-28","890","1140","890","1140","3986000","1140","3386"
"2002-03-01","990","1030","920","1020","6668500","1020","3387"
"2002-03-04","1050","1060","990","990","3802800","990","3388"
"2002-03-05","1000","1010","920","920","2612900","920","3389"
"2002-03-06","920","930","880","880","2120500","880","3390"
"2002-03-07","920","970","900","970","2087800","970","3391"
"2002-03-08","930","970","920","970","3074900","970","3392"
"2002-03-11","970","1000","960","1000","2517900","1000","3393"
