8309 三井トラストHD,,,,,
"date","open","hight","low","close","power","End","date_position"
"2002-02-01","141","143","136","138","2198000","138","3367"
"2002-02-04","135","137","132","137","594000","137","3368"
"2002-02-05","132","140","132","140","923000","140","3369"
"2002-02-06","137","141","136","139","696000","139","3370"
"2002-02-07","138","154","137","146","1982000","146","3371"
"2002-02-08","141","147","140","141","1850000","141","3372"
"2002-02-12","150","154","148","150","845000","150","3374"
"2002-02-13","155","178","152","173","3635000","173","3375"
"2002-02-14","173","174","163","163","1464000","163","3376"
"2002-02-15","163","167","161","167","939000","167","3377"
"2002-02-18","170","172","168","170","879000","170","3378"
"2002-02-19","170","170","165","168","954000","168","3379"
"2002-02-20","167","172","167","169","950000","169","3380"
"2002-02-21","170","177","170","175","1631000","175","3381"
"2002-02-22","173","175","171","173","663000","173","3382"
"2002-02-25","171","176","171","176","576000","176","3383"
"2002-02-26","177","178","175","177","713000","177","3384"
"2002-02-27","176","180","175","180","1122000","180","3385"
"2002-02-28","181","185","181","182","1683000","182","3386"
"2002-03-01","183","187","180","187","1253000","187","3387"
"2002-03-04","187","196","187","192","1924000","192","3388"
"2002-03-05","195","197","193","196","1220000","196","3389"
"2002-03-06","195","201","193","200","905000","200","3390"
"2002-03-07","201","214","200","214","1852000","214","3391"
"2002-03-08","214","224","211","214","3841000","214","3392"
"2002-03-11","214","217","209","216","1389000","216","3393"
"2002-03-12","216","217","210","213","917000","213","3394"
"2002-03-13","211","211","195","195","1062000","195","3395"
"2002-03-14","194","197","187","197","892000","197","3396"
"2002-03-15","195","200","195","200","615000","200","3397"
"2002-03-18","205","205","196","196","514000","196","3398"
"2002-03-19","198","200","195","195","863000","195","3399"
"2002-03-20","198","200","190","200","749000","200","3400"
"2002-03-22","198","198","193","194","1225000","194","3402"
"2002-03-25","195","205","195","205","1264000","205","3403"
"2002-03-26","202","205","199","200","2192000","200","3404"
"2002-03-27","200","206","198","204","1268000","204","3405"
"2002-03-28","205","215","204","212","1271000","212","3406"
"2002-03-29","212","212","202","202","1125000","202","3407"
"2002-04-01","204","206","194","196","644000","196","3408"
"2002-04-02","195","197","191","195","346000","195","3409"
"2002-04-03","191","200","190","200","482000","200","3410"
"2002-04-04","198","200","195","196","684000","196","3411"
"2002-04-05","196","199","195","198","489000","198","3412"
"2002-04-08","195","199","195","198","298000","198","3413"
"2002-04-09","199","199","192","196","424000","196","3414"
"2002-04-10","196","208","196","208","1276000","208","3415"
"2002-04-11","208","213","201","201","819000","201","3416"
"2002-04-12","200","201","195","200","928000","200","3417"
"2002-04-15","199","200","194","198","515000","198","3418"
"2002-04-16","194","198","192","196","523000","196","3419"
"2002-04-17","196","198","194","195","449000","195","3420"
"2002-04-18","197","197","190","190","1267000","190","3421"
"2002-04-19","191","195","191","194","461000","194","3422"
"2002-04-22","194","196","193","193","602000","193","3423"
"2002-04-23","192","194","191","192","783000","192","3424"
"2002-04-24","191","192","190","192","486000","192","3425"
"2002-04-25","191","192","191","191","518000","191","3426"
"2002-04-26","193","193","184","190","1171000","190","3427"
"2002-04-30","190","190","185","185","1217000","185","3429"
"2002-05-01","188","189","185","186","961000","186","3430"
"2002-05-02","187","190","186","187","402000","187","3431"
"2002-05-07","189","189","186","186","368000","186","3434"
"2002-05-08","186","187","185","187","317000","187","3435"
"2002-05-09","186","190","183","185","1174000","185","3436"
"2002-05-10","184","188","183","187","476000","187","3437"
"2002-05-13","187","196","185","186","1396000","186","3438"
"2002-05-14","188","188","183","185","1154000","185","3439"
"2002-05-15","186","188","184","185","872000","185","3440"
"2002-05-16","186","188","185","185","1328000","185","3441"
"2002-05-17","190","190","185","186","1282000","186","3442"
"2002-05-20","188","188","183","184","1159000","184","3443"
"2002-05-21","184","184","181","182","577000","182","3444"
"2002-05-22","182","186","182","182","1174000","182","3445"
"2002-05-23","188","192","185","191","3007000","191","3446"
"2002-05-24","200","212","194","212","6520000","212","3447"
"2002-05-27","227","235","223","231","5489000","231","3448"
"2002-05-28","228","232","222","232","2635000","232","3449"
"2002-05-29","229","232","226","232","2921000","232","3450"
"2002-05-30","231","235","227","231","4459000","231","3451"
"2002-05-31","233","239","232","237","6335000","237","3452"
"2002-06-03","240","283","239","281","13311000","281","3453"
"2002-06-04","282","325","280","302","24505000","302","3454"
"2002-06-05","310","315","296","299","14666000","299","3455"
"2002-06-06","296","303","289","302","10952000","302","3456"
"2002-06-07","292","303","292","299","6874000","299","3457"
"2002-06-10","305","312","303","304","7131000","304","3458"
"2002-06-11","309","309","302","307","3727000","307","3459"
"2002-06-12","304","308","301","301","4217000","301","3460"
"2002-06-13","302","303","281","281","5129000","281","3461"
"2002-06-14","276","280","264","273","7355000","273","3462"
"2002-06-17","264","264","254","254","4636000","254","3463"
"2002-06-18","269","270","254","262","3670000","262","3464"
"2002-06-19","261","262","253","254","3163000","254","3465"
"2002-06-20","250","282","245","282","6830000","282","3466"
"2002-06-21","270","280","268","275","6130000","275","3467"
"2002-06-24","266","282","261","282","5188000","282","3468"
"2002-06-25","279","284","274","279","2613000","279","3469"
"2002-06-26","271","274","265","266","2645000","266","3470"
"2002-06-27","268","271","252","261","6572000","261","3471"
"2002-06-28","264","266","248","249","7338000","249","3472"
"2002-07-01","250","254","242","243","7514000","243","3473"
"2002-07-02","241","244","231","244","5847000","244","3474"
"2002-07-03","239","269","236","269","6922000","269","3475"
"2002-07-04","270","272","261","262","4325000","262","3476"
"2002-07-05","262","270","262","270","2663000","270","3477"
"2002-07-08","277","277","262","262","4163000","262","3478"
"2002-07-09","266","274","262","271","5423000","271","3479"
"2002-07-10","276","284","274","275","7070000","275","3480"
"2002-07-11","272","274","267","269","2338000","269","3481"
"2002-07-12","274","295","273","293","11631000","293","3482"
"2002-07-15","292","294","285","286","6126000","286","3483"
"2002-07-16","285","287","280","282","3177000","282","3484"
"2002-07-17","280","282","271","272","2676000","272","3485"
"2002-07-18","281","282","273","276","1969000","276","3486"
"2002-07-19","279","286","275","279","4773000","279","3487"
"2002-07-22","273","290","272","284","3373000","284","3488"
"2002-07-23","286","302","285","295","9072000","295","3489"
"2002-07-24","299","306","288","298","8080000","298","3490"
"2002-07-25","303","305","292","295","3211000","295","3491"
"2002-07-26","291","294","285","285","2816000","285","3492"
"2002-07-29","286","290","281","281","1576000","281","3493"
"2002-07-30","286","291","280","288","1957000","288","3494"
"2002-07-31","292","293","285","285","1844000","285","3495"
"2002-08-01","290","290","282","283","1719000","283","3496"
"2002-08-02","280","285","279","282","1195000","282","3497"
"2002-08-05","277","283","277","280","1233000","280","3498"
"2002-08-06","277","280","273","273","1266000","273","3499"
"2002-08-07","274","278","273","277","1537000","277","3500"
"2002-08-08","280","283","276","279","2446000","279","3501"
"2002-08-09","280","280","276","278","1143000","278","3502"
"2002-08-12","279","279","269","272","1918000","272","3503"
"2002-08-13","269","274","269","272","827000","272","3504"
"2002-08-14","274","275","270","273","925000","273","3505"
"2002-08-15","277","280","273","279","1338000","279","3506"
"2002-08-16","282","282","270","274","1355000","274","3507"
"2002-08-19","274","274","265","268","754000","268","3508"
"2002-08-20","270","272","267","270","1075000","270","3509"
"2002-08-21","269","272","267","268","1012000","268","3510"
"2002-08-22","268","271","268","271","1442000","271","3511"
"2002-08-23","274","275","270","270","1569000","270","3512"
"2002-08-26","268","278","268","277","1536000","277","3513"
"2002-08-27","275","276","270","270","1500000","270","3514"
"2002-08-28","272","275","270","272","1140000","272","3515"
"2002-08-29","270","271","268","269","678000","269","3516"
