8316 éOà‰èZóFFG,,,,,
"date","open","hight","low","close","power","End","date_position"
"2002-12-03","4330","4520","4280","4300","6837600","4300","3584"
"2002-12-04","4150","4260","4080","4200","2421699","4200","3585"
"2002-12-05","4210","4230","4060","4060","2415500","4060","3586"
"2002-12-06","4000","4010","3910","3940","1776099","3940","3587"
"2002-12-09","3840","3850","3700","3700","2416100","3700","3588"
"2002-12-10","3600","3810","3510","3770","4147000","3770","3589"
"2002-12-11","3770","3790","3550","3600","2938300","3600","3590"
"2002-12-12","3570","3600","3520","3590","1982599","3590","3591"
"2002-12-13","3590","3600","3480","3480","3098900","3480","3592"
"2002-12-16","3490","3580","3440","3460","1592099","3460","3593"
"2002-12-17","3810","3890","3630","3670","6263100","3670","3594"
"2002-12-18","3600","3610","3420","3460","3042300","3460","3595"
"2002-12-19","3440","3610","3410","3610","4161899","3610","3596"
"2002-12-20","3660","3730","3620","3680","2705400","3680","3597"
"2002-12-24","3750","3770","3690","3700","1257200","3700","3599"
"2002-12-25","3700","3740","3660","3740","833600","3740","3600"
"2002-12-26","3790","3790","3690","3710","1195099","3710","3601"
"2002-12-27","3700","3760","3650","3740","1107900","3740","3602"
"2002-12-30","3690","3730","3660","3710","357200","3710","3603"
"2003-01-06","3780","3780","3740","3760","454700","3760","3607"
"2003-01-07","3790","3800","3600","3600","1338099","3600","3608"
"2003-01-08","3580","3650","3390","3410","1642700","3410","3609"
"2003-01-09","3360","3490","3250","3320","2164500","3320","3610"
"2003-01-10","3400","3400","3280","3300","2137600","3300","3611"
"2003-01-14","3280","3340","3270","3310","1507400","3310","3613"
"2003-01-15","3340","3630","3290","3590","3013800","3590","3614"
"2003-01-16","3690","3830","3620","3630","8776600","3630","3615"
"2003-01-17","3610","3730","3470","3680","4839899","3680","3616"
"2003-01-20","3720","3830","3670","3760","3634600","3760","3617"
"2003-01-21","3740","3860","3710","3850","2104199","3850","3618"
"2003-01-22","3900","3960","3850","3890","3201600","3890","3619"
"2003-01-23","3930","4000","3830","4000","2308600","4000","3620"
"2003-01-24","4000","4100","3970","3980","2872100","3980","3621"
"2003-01-27","3930","3990","3880","3900","1438500","3900","3622"
"2003-01-28","3810","3850","3780","3820","1197900","3820","3623"
"2003-01-29","3770","3790","3640","3680","1771200","3680","3624"
"2003-01-30","3650","3670","3580","3630","1493800","3630","3625"
"2003-01-31","3580","3680","3530","3680","1562200","3680","3626"
"2003-02-03","3680","3880","3640","3850","1546099","3850","3627"
"2003-02-04","3900","3950","3830","3840","1598200","3840","3628"
"2003-02-05","3840","3920","3780","3850","1371200","3850","3629"
"2003-02-06","3870","3910","3800","3820","1039500","3820","3630"
"2003-02-07","3830","3850","3780","3820","517700","3820","3631"
"2003-02-10","3770","3810","3750","3780","800600","3780","3632"
"2003-02-12","3810","3880","3780","3880","1829700","3880","3634"
"2003-02-13","3900","4080","3890","4030","5526899","4030","3635"
"2003-02-14","4080","4140","4010","4030","3353400","4030","3636"
"2003-02-17","4040","4040","3700","3740","8253400","3740","3637"
"2003-02-18","3690","3700","3380","3430","12284100","3430","3638"
"2003-02-19","3420","3430","3290","3310","14430700","3310","3639"
"2003-02-20","3220","3320","2970","3120","37308800","3120","3640"
"2003-02-21","3200","3270","3100","3130","19304800","3130","3641"
"2003-02-24","3080","3220","3050","3160","8032300","3160","3642"
"2003-02-25","3110","3150","3000","3000","5455800","3000","3643"
"2003-02-26","2970","3000","2860","2870","9287400","2870","3644"
"2003-02-27","2800","2900","2720","2870","13239200","2870","3645"
"2003-02-28","2860","2880","2760","2760","6790800","2760","3646"
"2003-03-03","2720","2730","2600","2620","6968300","2620","3647"
"2003-03-04","2690","2790","2630","2760","10132700","2760","3648"
"2003-03-05","2750","2810","2710","2720","9550299","2720","3649"
"2003-03-06","2750","2780","2670","2670","5430000","2670","3650"
"2003-03-07","2640","2660","2590","2590","3576600","2590","3651"
"2003-03-10","2500","2510","2310","2330","8145600","2330","3652"
"2003-03-11","2130","2220","2060","2060","16471099","2060","3653"
"2003-03-12","2100","2210","2060","2210","12590900","2210","3654"
"2003-03-13","2300","2330","2220","2230","7730300","2230","3655"
"2003-03-14","2350","2370","2270","2280","7262700","2280","3656"
"2003-03-17","2240","2250","2120","2130","5123700","2130","3657"
"2003-03-18","2280","2290","2180","2220","4462200","2220","3658"
"2003-03-19","2150","2300","2120","2290","6243700","2290","3659"
"2003-03-20","2320","2400","2290","2360","6745300","2360","3660"
"2003-03-24","2440","2450","2350","2430","4701600","2430","3662"
"2003-03-25","2310","2370","2250","2250","4316600","2250","3663"
"2003-03-26","2290","2300","2250","2260","2140699","2260","3664"
"2003-03-27","2270","2360","2260","2320","3335000","2320","3665"
"2003-03-28","2340","2350","2250","2260","3108500","2260","3666"
"2003-03-31","2220","2220","2120","2120","2773600","2120","3667"
"2003-04-01","2080","2110","2000","2010","6541800","2010","3668"
"2003-04-02","2020","2030","1860","1870","10229799","1870","3669"
"2003-04-03","1900","1910","1720","1730","11502799","1730","3670"
"2003-04-04","1670","1830","1620","1800","16624300","1800","3671"
"2003-04-07","1790","1950","1760","1930","9078799","1930","3672"
"2003-04-08","1850","1880","1780","1790","6921700","1790","3673"
"2003-04-09","1770","1860","1760","1800","5094399","1800","3674"
"2003-04-10","1800","1830","1760","1800","2472699","1800","3675"
"2003-04-11","1770","1950","1770","1950","10957700","1950","3676"
"2003-04-14","1930","1940","1810","1820","5281500","1820","3677"
"2003-04-15","1850","1890","1810","1890","4891899","1890","3678"
"2003-04-16","1920","1930","1860","1860","4058000","1860","3679"
"2003-04-17","1860","1920","1840","1920","3372100","1920","3680"
"2003-04-18","1940","1970","1900","1930","3308699","1930","3681"
"2003-04-21","1920","1930","1880","1910","2230100","1910","3682"
"2003-04-22","1900","1900","1790","1810","2940800","1810","3683"
"2003-04-23","1820","1820","1760","1770","2870000","1770","3684"
"2003-04-24","1790","1820","1730","1770","4119399","1770","3685"
"2003-04-25","1740","1760","1690","1700","3463500","1700","3686"
"2003-04-28","1650","1660","1620","1640","2133500","1640","3687"
"2003-04-30","1700","1930","1690","1870","11644500","1870","3689"
"2003-05-01","1900","2090","1890","1960","19213800","1960","3690"
"2003-05-02","1840","1960","1820","1950","8063700","1950","3691"
"2003-05-06","2010","2040","1930","1970","5788399","1970","3693"
"2003-05-07","2000","2030","1970","1980","4682899","1980","3694"
"2003-05-08","1990","2030","1970","1990","4041400","1990","3695"
"2003-05-09","1990","2010","1950","1990","2798199","1990","3696"
"2003-05-12","2050","2060","2010","2020","3440800","2020","3697"
"2003-05-13","2030","2130","2020","2120","6774100","2120","3698"
"2003-05-14","2100","2150","2070","2130","4631899","2130","3699"
"2003-05-15","2130","2130","2040","2040","3655699","2040","3700"
"2003-05-16","2020","2060","2010","2030","2870000","2030","3701"
"2003-05-19","1960","2020","1920","1930","4545600","1930","3702"
"2003-05-20","1870","1880","1770","1830","6923200","1830","3703"
"2003-05-21","1860","1940","1850","1940","5523700","1940","3704"
"2003-05-22","1960","2010","1940","1970","4376300","1970","3705"
"2003-05-23","1990","2000","1940","1950","2578699","1950","3706"
"2003-05-26","1990","2080","1980","2030","4654200","2030","3707"
"2003-05-27","2000","2060","1970","1980","4714200","1980","3708"
"2003-05-28","2020","2040","1990","2040","2820400","2040","3709"
"2003-05-29","1990","2010","1920","1940","3120900","1940","3710"
"2003-05-30","1950","1990","1950","1980","1887099","1980","3711"
"2003-06-02","2030","2040","1990","2000","2201199","2000","3712"
"2003-06-03","2030","2040","2000","2000","2088699","2000","3713"
"2003-06-04","2010","2170","2010","2140","10495900","2140","3714"
