8354 ‚Ó‚­‚¨‚©FG,,,,,
"date","open","hight","low","close","power","End","date_position"
"2007-04-03","952","982","934","950","2800000","950","4710"
"2007-04-04","951","965","942","950","2628000","950","4711"
"2007-04-05","950","952","927","935","2276000","935","4712"
"2007-04-06","943","950","937","940","1181000","940","4713"
"2007-04-09","940","958","940","946","881000","946","4714"
"2007-04-10","950","951","939","945","1154000","945","4715"
"2007-04-11","940","950","925","933","2420000","933","4716"
"2007-04-12","926","929","902","907","2831000","907","4717"
"2007-04-13","915","920","870","876","2976000","876","4718"
"2007-04-16","886","901","881","890","1936000","890","4719"
"2007-04-17","885","909","875","889","1897000","889","4720"
"2007-04-18","889","899","889","895","1269000","895","4721"
"2007-04-19","877","882","854","868","2355000","868","4722"
"2007-04-20","860","869","846","868","2600000","868","4723"
"2007-04-23","869","887","866","874","1797000","874","4724"
"2007-04-24","858","878","856","870","1678000","870","4725"
"2007-04-25","867","882","860","879","1624000","879","4726"
"2007-04-26","879","899","857","895","3842000","895","4727"
"2007-04-27","895","914","890","910","3468000","910","4728"
"2007-05-01","920","920","895","904","1577000","904","4730"
"2007-05-02","905","930","899","930","1684000","930","4731"
"2007-05-07","940","940","915","917","3330000","917","4734"
"2007-05-08","887","897","852","857","7202000","857","4735"
"2007-05-09","870","912","869","896","5459000","896","4736"
"2007-05-10","896","902","880","887","3951000","887","4737"
"2007-05-11","873","874","845","853","3872000","853","4738"
"2007-05-14","872","887","856","862","4372000","862","4739"
"2007-05-15","863","881","854","871","5137000","871","4740"
"2007-05-16","878","878","864","871","3910000","871","4741"
"2007-05-17","872","889","868","870","2355000","870","4742"
"2007-05-18","871","873","853","862","1593000","862","4743"
"2007-05-21","854","861","836","846","2657000","846","4744"
"2007-05-22","844","858","841","853","2510000","853","4745"
"2007-05-23","863","892","857","888","4457000","888","4746"
"2007-05-24","891","910","888","900","6949000","900","4747"
"2007-05-25","900","923","897","923","6226000","923","4748"
"2007-05-28","924","934","911","931","3183000","931","4749"
"2007-05-29","930","949","920","940","2239000","940","4750"
"2007-05-30","936","941","917","941","3262000","941","4751"
"2007-05-31","942","957","937","955","2909000","955","4752"
"2007-06-01","959","967","949","953","2282000","953","4753"
"2007-06-04","963","967","947","952","2428000","952","4754"
"2007-06-05","945","948","930","943","2614000","943","4755"
"2007-06-06","925","930","903","919","4126000","919","4756"
"2007-06-07","899","916","899","912","3608000","912","4757"
"2007-06-08","892","899","876","893","4762000","893","4758"
"2007-06-11","913","914","886","897","2547000","897","4759"
"2007-06-12","907","919","903","916","2660000","916","4760"
"2007-06-13","915","921","909","917","3693000","917","4761"
"2007-06-14","909","909","881","881","3808000","881","4762"
"2007-06-15","889","889","873","885","2547000","885","4763"
"2007-06-18","888","891","874","880","1311000","880","4764"
"2007-06-19","870","880","855","860","2395000","860","4765"
"2007-06-20","866","879","858","869","1477000","869","4766"
"2007-06-21","865","866","855","864","1772000","864","4767"
"2007-06-22","864","866","858","863","1583000","863","4768"
"2007-06-25","867","876","851","855","2524000","855","4769"
"2007-06-26","850","854","840","845","3003000","845","4770"
"2007-06-27","842","843","826","833","2991000","833","4771"
"2007-06-28","828","833","811","815","4196000","815","4772"
"2007-06-29","817","824","810","814","4880000","814","4773"
"2007-07-02","824","844","822","840","2917000","840","4774"
"2007-07-03","855","873","851","864","4344000","864","4775"
"2007-07-04","857","858","842","846","1413000","846","4776"
"2007-07-05","854","873","849","855","3036000","855","4777"
"2007-07-06","854","854","838","844","1724000","844","4778"
"2007-07-09","845","855","833","837","2609000","837","4779"
"2007-07-10","841","853","831","850","2204000","850","4780"
"2007-07-11","851","854","836","851","2414000","851","4781"
"2007-07-12","843","848","826","834","1584000","834","4782"
"2007-07-13","844","845","831","836","1146000","836","4783"
"2007-07-17","833","860","833","857","2956000","857","4785"
"2007-07-18","855","855","824","832","1380000","832","4786"
"2007-07-19","832","837","824","833","1675000","833","4787"
"2007-07-20","841","859","840","855","2543000","855","4788"
"2007-07-23","845","855","835","850","1954000","850","4789"
"2007-07-24","845","845","832","838","2310000","838","4790"
"2007-07-25","827","841","824","839","1587000","839","4791"
"2007-07-26","833","833","824","826","1606000","826","4792"
"2007-07-27","823","826","806","820","2112000","820","4793"
"2007-07-30","810","815","800","808","2288000","808","4794"
"2007-07-31","802","802","744","761","7434000","761","4795"
"2007-08-01","761","771","751","755","3368000","755","4796"
"2007-08-02","771","775","750","753","4166000","753","4797"
"2007-08-03","773","773","749","755","2421000","755","4798"
"2007-08-06","740","748","731","747","3373000","747","4799"
"2007-08-07","750","757","738","738","1863000","738","4800"
"2007-08-08","730","743","730","738","3620000","738","4801"
"2007-08-09","751","755","739","744","3156000","744","4802"
"2007-08-10","712","712","674","690","5466000","690","4803"
"2007-08-13","700","705","692","700","5369000","700","4804"
"2007-08-14","671","678","660","667","4262000","667","4805"
"2007-08-15","641","645","611","625","5669000","625","4806"
"2007-08-16","611","619","596","614","4596000","614","4807"
"2007-08-17","633","633","590","591","5517000","591","4808"
"2007-08-20","620","620","582","584","3907000","584","4809"
"2007-08-21","583","602","580","589","2393000","589","4810"
"2007-08-22","590","594","575","579","3393000","579","4811"
"2007-08-23","594","625","594","625","3775000","625","4812"
"2007-08-24","628","635","620","625","3464000","625","4813"
"2007-08-27","655","662","645","647","4000000","647","4814"
"2007-08-28","648","657","636","652","2193000","652","4815"
"2007-08-29","642","650","625","647","3227000","647","4816"
"2007-08-30","639","639","618","631","8356000","631","4817"
"2007-08-31","634","664","631","664","5215000","664","4818"
"2007-09-03","669","680","662","675","3660000","675","4819"
"2007-09-04","666","673","657","657","3430000","657","4820"
"2007-09-05","667","668","629","631","6519000","631","4821"
"2007-09-06","619","624","605","621","7243000","621","4822"
"2007-09-07","619","624","611","615","5264000","615","4823"
"2007-09-10","581","599","564","568","15273000","568","4824"
"2007-09-11","559","575","559","568","32017000","568","4825"
"2007-09-12","588","617","584","601","22580000","601","4826"
"2007-09-13","581","591","576","583","6329000","583","4827"
"2007-09-14","610","611","594","607","8721000","607","4828"
"2007-09-18","609","626","595","603","10977000","603","4830"
"2007-09-19","604","620","601","620","26568000","620","4831"
"2007-09-20","612","617","578","600","7534000","600","4832"
"2007-09-21","590","604","584","588","7620000","588","4833"
"2007-09-25","591","600","584","598","5792000","598","4835"
"2007-09-26","599","610","593","610","4441000","610","4836"
"2007-09-27","640","675","633","668","10189000","668","4837"
"2007-09-28","670","676","654","673","5783000","673","4838"
"2007-10-01","653","657","618","646","7078000","646","4839"
"2007-10-02","646","656","626","629","6346000","629","4840"
"2007-10-03","639","678","638","678","8173000","678","4841"
"2007-10-04","676","681","661","681","5152000","681","4842"
"2007-10-05","690","697","669","689","5736000","689","4843"
"2007-10-09","690","707","689","698","4702000","698","4845"
"2007-10-10","698","699","670","677","3795000","677","4846"
"2007-10-11","680","690","673","680","6295000","680","4847"
"2007-10-12","690","691","675","683","3341000","683","4848"
"2007-10-15","690","692","671","681","1768000","681","4849"
"2007-10-16","671","680","632","632","4573000","632","4850"
"2007-10-17","629","629","594","608","5870000","608","4851"
"2007-10-18","615","639","615","627","4848000","627","4852"
"2007-10-19","615","626","614","621","3733000","621","4853"
"2007-10-22","620","624","605","615","4502000","615","4854"
"2007-10-23","623","640","613","631","3300000","631","4855"
"2007-10-24","640","648","607","616","5002000","616","4856"
"2007-10-25","636","640","624","633","5172000","633","4857"
"2007-10-26","634","651","625","650","4682000","650","4858"
"2007-10-29","695","721","692","716","11900000","716","4859"
"2007-10-30","715","744","713","731","7573000","731","4860"
"2007-10-31","721","742","714","740","2509000","740","4861"
"2007-11-01","734","748","733","743","3245000","743","4862"
"2007-11-02","713","734","713","724","4158000","724","4863"
"2007-11-05","719","724","704","708","3498000","708","4864"
"2007-11-06","688","729","687","716","2388000","716","4865"
"2007-11-07","723","723","708","712","3404000","712","4866"
"2007-11-08","695","701","681","698","3354000","698","4867"
"2007-11-09","720","720","685","687","3146000","687","4868"
"2007-11-12","662","679","658","678","4251000","678","4869"
"2007-11-13","672","705","671","686","3664000","686","4870"
"2007-11-14","696","746","690","742","7831000","742","4871"
"2007-11-15","739","749","735","735","5356000","735","4872"
"2007-11-16","721","730","710","726","3781000","726","4873"
"2007-11-19","716","718","698","705","8627000","705","4874"
"2007-11-20","706","726","699","720","7749000","720","4875"
"2007-11-21","715","722","675","685","6449000","685","4876"
"2007-11-22","655","671","635","650","8214000","650","4877"
