8355 ê√â™ã‚çs,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1350","1370","1340","1370","206000","1370","1"
"1989-02-20","1370","1390","1360","1380","188000","1380","2"
"1989-02-21","1370","1370","1350","1370","245000","1370","3"
"1989-02-22","1370","1400","1370","1380","221000","1380","4"
"1989-02-23","1400","1420","1380","1400","253000","1400","5"
"1989-02-27","1400","1420","1380","1380","210000","1380","7"
"1989-02-28","1400","1410","1380","1390","159000","1390","8"
"1989-03-01","1390","1410","1390","1410","176000","1410","9"
"1989-03-02","1410","1420","1390","1420","138000","1420","10"
"1989-03-03","1410","1420","1380","1410","114000","1410","11"
"1989-03-06","1410","1420","1380","1390","96000","1390","12"
"1989-03-07","1380","1390","1380","1380","335000","1380","13"
"1989-03-08","1360","1400","1360","1380","67000","1380","14"
"1989-03-09","1360","1360","1350","1360","82000","1360","15"
"1989-03-10","1370","1390","1330","1390","191000","1390","16"
"1989-03-13","1370","1390","1360","1380","49000","1380","17"
"1989-03-14","1360","1360","1350","1360","203000","1360","18"
"1989-03-15","1360","1360","1350","1350","103000","1350","19"
"1989-03-16","1350","1360","1350","1360","119000","1360","20"
"1989-03-17","1360","1380","1350","1360","134000","1360","21"
"1989-03-20","1370","1380","1350","1370","170000","1370","22"
"1989-03-22","1370","1390","1370","1380","820000","1380","24"
"1989-03-23","1380","1380","1330","1330","573000","1330","25"
"1989-03-24","1330","1350","1320","1320","335000","1320","26"
"1989-03-27","1320","1390","1320","1330","226000","1330","27"
"1989-03-28","1230","1240","1190","1200","209000","1200","28"
"1989-03-29","1200","1200","1170","1200","208000","1200","29"
"1989-03-30","1200","1230","1200","1200","140000","1200","30"
"1989-03-31","1240","1240","1200","1230","190000","1230","31"
"1989-04-03","1230","1230","1220","1230","91000","1230","32"
"1989-04-04","1240","1240","1200","1210","79000","1210","33"
"1989-04-05","1240","1240","1210","1240","110000","1240","34"
"1989-04-06","1240","1240","1210","1210","95000","1210","35"
"1989-04-07","1240","1240","1200","1210","183000","1210","36"
"1989-04-10","1220","1230","1210","1230","132000","1230","37"
"1989-04-11","1220","1230","1200","1220","194000","1220","38"
"1989-04-12","1220","1220","1180","1180","313000","1180","39"
"1989-04-13","1200","1200","1150","1190","264000","1190","40"
"1989-04-14","1180","1180","1150","1150","188000","1150","41"
"1989-04-17","1180","1190","1150","1150","168000","1150","42"
"1989-04-18","1170","1170","1160","1160","157000","1160","43"
"1989-04-19","1100","1160","1100","1120","428000","1120","44"
"1989-04-20","1150","1160","1130","1160","221000","1160","45"
"1989-04-21","1180","1180","1150","1180","209000","1180","46"
"1989-04-24","1180","1180","1140","1170","110000","1170","47"
"1989-04-25","1190","1190","1150","1150","286000","1150","48"
"1989-04-26","1180","1180","1170","1180","128000","1180","49"
"1989-04-27","1180","1180","1170","1180","75000","1180","50"
"1989-04-28","1180","1240","1160","1240","259000","1240","51"
"1989-05-01","1230","1240","1220","1240","168000","1240","52"
"1989-05-02","1240","1260","1230","1230","273000","1230","53"
"1989-05-08","1240","1250","1220","1250","203000","1250","57"
"1989-05-09","1260","1260","1190","1190","517000","1190","58"
"1989-05-10","1250","1260","1240","1240","160000","1240","59"
"1989-05-11","1250","1260","1240","1250","287000","1250","60"
"1989-05-12","1250","1250","1230","1250","368000","1250","61"
"1989-05-15","1250","1250","1240","1240","246000","1240","62"
"1989-05-16","1250","1250","1240","1250","122000","1250","63"
"1989-05-17","1250","1260","1240","1260","155000","1260","64"
"1989-05-18","1260","1260","1240","1240","217000","1240","65"
"1989-05-19","1240","1250","1230","1230","294000","1230","66"
"1989-05-22","1240","1240","1230","1230","185000","1230","67"
"1989-05-23","1250","1250","1230","1240","275000","1240","68"
"1989-05-24","1250","1250","1240","1240","194000","1240","69"
"1989-05-25","1250","1250","1230","1230","210000","1230","70"
"1989-05-26","1240","1260","1240","1260","303000","1260","71"
"1989-05-29","1270","1270","1250","1250","242000","1250","72"
"1989-05-30","1250","1260","1250","1250","652000","1250","73"
"1989-05-31","1250","1270","1240","1250","195000","1250","74"
"1989-06-01","1260","1260","1250","1250","229000","1250","75"
"1989-06-02","1260","1270","1240","1240","300000","1240","76"
"1989-06-05","1250","1280","1250","1270","260000","1270","77"
"1989-06-06","1270","1280","1270","1270","211000","1270","78"
"1989-06-07","1280","1280","1230","1250","276000","1250","79"
"1989-06-08","1250","1290","1250","1270","121000","1270","80"
"1989-06-09","1270","1300","1270","1290","138000","1290","81"
"1989-06-12","1260","1270","1250","1260","249000","1260","82"
"1989-06-13","1240","1260","1230","1260","338000","1260","83"
"1989-06-14","1270","1300","1240","1300","288000","1300","84"
"1989-06-15","1280","1280","1250","1280","58000","1280","85"
"1989-06-16","1290","1290","1250","1280","177000","1280","86"
"1989-06-19","1280","1280","1240","1250","152000","1250","87"
"1989-06-20","1250","1250","1200","1240","281000","1240","88"
"1989-06-21","1240","1240","1220","1230","388000","1230","89"
"1989-06-22","1240","1280","1240","1280","81000","1280","90"
"1989-06-23","1270","1280","1260","1280","87000","1280","91"
"1989-06-26","1290","1290","1250","1280","72000","1280","92"
"1989-06-27","1280","1280","1240","1270","185000","1270","93"
"1989-06-28","1270","1290","1260","1290","172000","1290","94"
"1989-06-29","1290","1290","1230","1250","288000","1250","95"
"1989-06-30","1250","1250","1240","1240","111000","1240","96"
"1989-07-03","1240","1270","1240","1270","69000","1270","97"
"1989-07-04","1280","1280","1260","1260","130000","1260","98"
"1989-07-05","1260","1290","1260","1290","36000","1290","99"
"1989-07-06","1280","1280","1240","1270","117000","1270","100"
"1989-07-07","1270","1270","1250","1250","105000","1250","101"
"1989-07-10","1260","1270","1250","1250","173000","1250","102"
