8601 ëÂòaèÿåîGñ{é–,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","2620","2620","2560","2560","1119000","2560","1"
"1989-02-20","2600","2600","2560","2570","986000","2570","2"
"1989-02-21","2570","2570","2480","2520","696000","2520","3"
"1989-02-22","2530","2540","2500","2500","568000","2500","4"
"1989-02-23","2520","2600","2520","2590","825000","2590","5"
"1989-02-27","2520","2560","2520","2520","455000","2520","7"
"1989-02-28","2530","2540","2500","2530","656000","2530","8"
"1989-03-01","2520","2540","2490","2530","576000","2530","9"
"1989-03-02","2540","2540","2480","2530","339000","2530","10"
"1989-03-03","2500","2530","2460","2460","484000","2460","11"
"1989-03-06","2440","2460","2400","2460","397000","2460","12"
"1989-03-07","2410","2430","2400","2400","446000","2400","13"
"1989-03-08","2410","2450","2400","2400","505000","2400","14"
"1989-03-09","2360","2410","2340","2350","489000","2350","15"
"1989-03-10","2390","2390","2300","2340","462000","2340","16"
"1989-03-13","2340","2350","2330","2340","252000","2340","17"
"1989-03-14","2370","2370","2320","2340","312000","2340","18"
"1989-03-15","2380","2390","2360","2390","570000","2390","19"
"1989-03-16","2390","2410","2380","2390","377000","2390","20"
"1989-03-17","2420","2420","2300","2320","644000","2320","21"
"1989-03-20","2240","2310","2240","2260","366000","2260","22"
"1989-03-22","2280","2280","2200","2210","522000","2210","24"
"1989-03-23","2200","2210","2190","2190","569000","2190","25"
"1989-03-24","2180","2180","2130","2170","1017000","2170","26"
"1989-03-27","2170","2170","2100","2170","1007000","2170","27"
"1989-03-28","2200","2300","2180","2250","301000","2250","28"
"1989-03-29","2280","2290","2240","2260","393000","2260","29"
"1989-03-30","2270","2280","2240","2260","226000","2260","30"
"1989-03-31","2280","2350","2250","2350","457000","2350","31"
"1989-04-03","2320","2330","2300","2330","607000","2330","32"
"1989-04-04","2340","2350","2330","2340","441000","2340","33"
"1989-04-05","2370","2450","2340","2450","718000","2450","34"
"1989-04-06","2330","2400","2330","2400","1070000","2400","35"
"1989-04-07","2370","2380","2310","2370","445000","2370","36"
"1989-04-10","2330","2340","2300","2300","358000","2300","37"
"1989-04-11","2300","2380","2280","2330","186000","2330","38"
"1989-04-12","2330","2330","2290","2330","296000","2330","39"
"1989-04-13","2340","2340","2290","2310","158000","2310","40"
"1989-04-14","2280","2300","2260","2300","308000","2300","41"
"1989-04-17","2320","2350","2280","2340","409000","2340","42"
"1989-04-18","2300","2300","2270","2270","319000","2270","43"
"1989-04-19","2260","2270","2240","2250","463000","2250","44"
"1989-04-20","2210","2250","2210","2250","487000","2250","45"
"1989-04-21","2210","2230","2180","2220","428000","2220","46"
"1989-04-24","2210","2220","2180","2200","256000","2200","47"
"1989-04-25","2240","2240","2190","2190","255000","2190","48"
"1989-04-26","2210","2230","2200","2230","403000","2230","49"
"1989-04-27","2210","2230","2190","2230","394000","2230","50"
"1989-04-28","2190","2240","2190","2210","401000","2210","51"
"1989-05-01","2210","2250","2210","2240","295000","2240","52"
"1989-05-02","2240","2250","2220","2230","288000","2230","53"
"1989-05-08","2230","2340","2230","2320","592000","2320","57"
"1989-05-09","2340","2360","2280","2300","581000","2300","58"
"1989-05-10","2310","2320","2230","2230","542000","2230","59"
"1989-05-11","2270","2270","2230","2270","282000","2270","60"
"1989-05-12","2260","2260","2220","2240","586000","2240","61"
"1989-05-15","2250","2250","2190","2230","235000","2230","62"
"1989-05-16","2270","2270","2230","2260","318000","2260","63"
"1989-05-17","2240","2250","2200","2240","469000","2240","64"
"1989-05-18","2250","2250","2230","2250","307000","2250","65"
"1989-05-19","2250","2250","2230","2250","304000","2250","66"
"1989-05-22","2260","2260","2200","2210","554000","2210","67"
"1989-05-23","2200","2200","2150","2160","796000","2160","68"
"1989-05-24","2200","2210","2160","2170","600000","2170","69"
"1989-05-25","2190","2190","2160","2170","363000","2170","70"
"1989-05-26","2200","2200","2170","2180","290000","2180","71"
"1989-05-29","2200","2210","2180","2180","373000","2180","72"
"1989-05-30","2190","2210","2180","2180","294000","2180","73"
"1989-05-31","2170","2170","2120","2150","930000","2150","74"
"1989-06-01","2130","2150","2100","2110","1004000","2110","75"
"1989-06-02","2120","2130","2110","2120","1049000","2120","76"
"1989-06-05","2120","2130","2070","2070","514000","2070","77"
"1989-06-06","2080","2120","2050","2090","496000","2090","78"
"1989-06-07","2130","2150","2090","2150","565000","2150","79"
"1989-06-08","2150","2180","2130","2170","322000","2170","80"
"1989-06-09","2190","2200","2170","2200","639000","2200","81"
"1989-06-12","2180","2180","2150","2170","229000","2170","82"
"1989-06-13","2130","2150","2110","2150","330000","2150","83"
"1989-06-14","2120","2130","2090","2120","398000","2120","84"
"1989-06-15","2100","2100","2070","2080","359000","2080","85"
"1989-06-16","2060","2120","2060","2120","289000","2120","86"
"1989-06-19","2080","2110","2070","2100","243000","2100","87"
"1989-06-20","2080","2100","2070","2100","282000","2100","88"
"1989-06-21","2100","2120","2080","2120","336000","2120","89"
"1989-06-22","2120","2150","2100","2140","249000","2140","90"
"1989-06-23","2130","2150","2110","2140","345000","2140","91"
"1989-06-26","2130","2150","2130","2140","306000","2140","92"
"1989-06-27","2130","2140","2100","2140","329000","2140","93"
"1989-06-28","2130","2140","2090","2140","307000","2140","94"
"1989-06-29","2120","2120","2080","2090","519000","2090","95"
"1989-06-30","2080","2110","2070","2100","357000","2100","96"
"1989-07-03","2060","2090","2060","2090","177000","2090","97"
"1989-07-04","2100","2110","2090","2110","150000","2110","98"
"1989-07-05","2110","2110","2090","2100","312000","2100","99"
"1989-07-06","2130","2140","2110","2110","240000","2110","100"
"1989-07-07","2120","2180","2120","2180","420000","2180","101"
"1989-07-10","2190","2200","2150","2180","255000","2180","102"
"1989-07-11","2190","2250","2180","2220","642000","2220","103"
"1989-07-12","2240","2240","2200","2220","342000","2220","104"
"1989-07-13","2230","2250","2200","2240","502000","2240","105"
"1989-07-14","2240","2240","2200","2220","184000","2220","106"
"1989-07-17","2230","2240","2220","2240","232000","2240","107"
