8604 –ì‘ºHD(–ì‘ºæšŒ”),,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","4000","4000","3920","3930","1315000","3930","1"
"1989-02-20","3980","3990","3960","3980","1874000","3980","2"
"1989-02-21","3980","3980","3900","3900","1171000","3900","3"
"1989-02-22","3910","3940","3900","3900","1101000","3900","4"
"1989-02-23","3930","3980","3920","3980","2234000","3980","5"
"1989-02-27","3980","3980","3900","3940","1436000","3940","7"
"1989-02-28","3890","3910","3810","3850","710000","3850","8"
"1989-03-01","3850","3900","3810","3880","1044000","3880","9"
"1989-03-02","3880","3890","3790","3810","622000","3810","10"
"1989-03-03","3800","3820","3720","3720","1083000","3720","11"
"1989-03-06","3670","3700","3640","3690","694000","3690","12"
"1989-03-07","3610","3650","3580","3600","1664000","3600","13"
"1989-03-08","3620","3670","3610","3610","1248000","3610","14"
"1989-03-09","3620","3650","3560","3560","1165000","3560","15"
"1989-03-10","3520","3550","3450","3550","1512000","3550","16"
"1989-03-13","3500","3510","3470","3480","968000","3480","17"
"1989-03-14","3460","3500","3450","3460","1550000","3460","18"
"1989-03-15","3560","3600","3540","3600","2144000","3600","19"
"1989-03-16","3630","3660","3580","3610","1121000","3610","20"
"1989-03-17","3580","3590","3480","3490","1039000","3490","21"
"1989-03-20","3480","3490","3430","3430","1281000","3430","22"
"1989-03-22","3450","3450","3350","3370","1293000","3370","24"
"1989-03-23","3370","3390","3340","3380","1474000","3380","25"
"1989-03-24","3380","3380","3330","3380","1655000","3380","26"
"1989-03-27","3340","3360","3310","3360","3092000","3360","27"
"1989-03-28","3400","3500","3400","3460","720000","3460","28"
"1989-03-29","3500","3500","3470","3500","896000","3500","29"
"1989-03-30","3500","3520","3460","3480","889000","3480","30"
"1989-03-31","3480","3490","3400","3440","791000","3440","31"
"1989-04-03","3420","3440","3300","3420","1268000","3420","32"
"1989-04-04","3410","3430","3390","3390","1324000","3390","33"
"1989-04-05","3420","3460","3410","3440","1211000","3440","34"
"1989-04-06","3440","3450","3390","3440","994000","3440","35"
"1989-04-07","3400","3410","3370","3400","955000","3400","36"
"1989-04-10","3350","3390","3330","3340","938000","3340","37"
"1989-04-11","3340","3370","3330","3360","528000","3360","38"
"1989-04-12","3380","3390","3330","3340","854000","3340","39"
"1989-04-13","3340","3350","3310","3320","729000","3320","40"
"1989-04-14","3320","3350","3300","3350","417000","3350","41"
"1989-04-17","3350","3380","3350","3380","632000","3380","42"
"1989-04-18","3380","3380","3300","3310","665000","3310","43"
"1989-04-19","3330","3350","3300","3300","927000","3300","44"
"1989-04-20","3300","3310","3290","3310","684000","3310","45"
"1989-04-21","3260","3340","3240","3310","669000","3310","46"
"1989-04-24","3300","3300","3250","3250","629000","3250","47"
"1989-04-25","3260","3290","3250","3280","791000","3280","48"
"1989-04-26","3300","3300","3260","3290","1140000","3290","49"
"1989-04-27","3290","3340","3290","3340","878000","3340","50"
"1989-04-28","3330","3400","3320","3400","1046000","3400","51"
"1989-05-01","3390","3450","3380","3420","1426000","3420","52"
"1989-05-02","3430","3450","3400","3440","1408000","3440","53"
"1989-05-08","3430","3550","3430","3550","3377000","3550","57"
"1989-05-09","3580","3580","3480","3480","2243000","3480","58"
"1989-05-10","3500","3520","3410","3410","1468000","3410","59"
"1989-05-11","3440","3450","3400","3430","677000","3430","60"
"1989-05-12","3410","3430","3380","3380","863000","3380","61"
"1989-05-15","3350","3370","3310","3320","762000","3320","62"
"1989-05-16","3330","3360","3280","3280","1435000","3280","63"
"1989-05-17","3350","3380","3320","3380","766000","3380","64"
"1989-05-18","3380","3380","3330","3340","486000","3340","65"
"1989-05-19","3340","3420","3340","3400","753000","3400","66"
"1989-05-22","3410","3420","3370","3380","1000000","3380","67"
"1989-05-23","3380","3390","3320","3390","1020000","3390","68"
"1989-05-24","3350","3370","3310","3310","956000","3310","69"
"1989-05-25","3350","3350","3310","3340","577000","3340","70"
"1989-05-26","3320","3350","3320","3350","798000","3350","71"
"1989-05-29","3350","3380","3330","3340","740000","3340","72"
"1989-05-30","3340","3340","3300","3320","733000","3320","73"
"1989-05-31","3300","3320","3280","3320","983000","3320","74"
"1989-06-01","3300","3320","3280","3300","1909000","3300","75"
"1989-06-02","3300","3330","3260","3310","1188000","3310","76"
"1989-06-05","3280","3340","3260","3280","632000","3280","77"
"1989-06-06","3260","3270","3230","3230","822000","3230","78"
"1989-06-07","3280","3290","3230","3230","608000","3230","79"
"1989-06-08","3230","3350","3230","3250","1101000","3250","80"
"1989-06-09","3300","3300","3250","3250","594000","3250","81"
"1989-06-12","3210","3230","3200","3200","780000","3200","82"
"1989-06-13","3200","3200","3110","3140","1129000","3140","83"
"1989-06-14","3140","3190","3130","3160","945000","3160","84"
"1989-06-15","3150","3150","3070","3080","1150000","3080","85"
"1989-06-16","3090","3120","3060","3060","1576000","3060","86"
"1989-06-19","3070","3100","3070","3080","443000","3080","87"
"1989-06-20","3080","3110","3070","3100","709000","3100","88"
"1989-06-21","3100","3150","3090","3150","765000","3150","89"
"1989-06-22","3120","3200","3120","3200","967000","3200","90"
"1989-06-23","3200","3250","3190","3240","770000","3240","91"
"1989-06-26","3220","3240","3160","3190","1191000","3190","92"
"1989-06-27","3160","3180","3110","3160","989000","3160","93"
"1989-06-28","3110","3160","3100","3160","986000","3160","94"
"1989-06-29","3140","3140","3080","3130","1039000","3130","95"
"1989-06-30","3080","3150","3070","3150","921000","3150","96"
"1989-07-03","3080","3140","3080","3120","349000","3120","97"
"1989-07-04","3120","3140","3090","3110","557000","3110","98"
"1989-07-05","3100","3110","3090","3110","626000","3110","99"
"1989-07-06","3120","3140","3080","3090","1114000","3090","100"
"1989-07-07","3130","3180","3100","3180","894000","3180","101"
"1989-07-10","3200","3200","3170","3200","564000","3200","102"
"1989-07-11","3210","3270","3200","3260","1164000","3260","103"
"1989-07-12","3300","3300","3260","3280","811000","3280","104"
"1989-07-13","3280","3290","3220","3280","743000","3280","105"
"1989-07-14","3270","3270","3220","3220","358000","3220","106"
"1989-07-17","3220","3230","3200","3200","458000","3200","107"
"1989-07-18","3200","3220","3140","3140","633000","3140","108"
"1989-07-19","3130","3180","3120","3170","641000","3170","109"
"1989-07-20","3170","3190","3160","3180","619000","3180","110"
"1989-07-21","3200","3250","3180","3220","893000","3220","111"
"1989-07-24","3230","3250","3200","3240","681000","3240","112"
"1989-07-25","3250","3340","3250","3330","1909000","3330","113"
"1989-07-26","3380","3410","3340","3360","2614000","3360","114"
"1989-07-27","3370","3380","3340","3340","1590000","3340","115"
"1989-07-28","3380","3400","3350","3350","1966000","3350","116"
"1989-07-31","3380","3390","3360","3390","633000","3390","117"
"1989-08-01","3400","3420","3380","3400","2133000","3400","118"
"1989-08-02","3420","3480","3420","3440","3792000","3440","119"
"1989-08-03","3450","3460","3400","3420","1120000","3420","120"
"1989-08-04","3420","3420","3380","3390","513000","3390","121"
"1989-08-07","3380","3390","3350","3370","442000","3370","122"
"1989-08-08","3360","3390","3350","3390","789000","3390","123"
"1989-08-09","3370","3470","3350","3450","2132000","3450","124"
"1989-08-10","3410","3430","3390","3390","1081000","3390","125"
"1989-08-11","3410","3430","3380","3400","593000","3400","126"
"1989-08-14","3400","3400","3370","3390","365000","3390","127"
"1989-08-15","3390","3390","3360","3380","326000","3380","128"
"1989-08-16","3330","3380","3330","3370","859000","3370","129"
"1989-08-17","3370","3370","3340","3370","452000","3370","130"
"1989-08-18","3350","3350","3330","3340","603000","3340","131"
"1989-08-21","3340","3370","3330","3370","663000","3370","132"
"1989-08-22","3330","3360","3310","3310","438000","3310","133"
"1989-08-23","3350","3350","3310","3330","400000","3330","134"
"1989-08-24","3310","3330","3280","3300","587000","3300","135"
"1989-08-25","3280","3300","3210","3210","501000","3210","136"
"1989-08-28","3210","3220","3150","3160","695000","3160","137"
"1989-08-29","3150","3160","3100","3110","1160000","3110","138"
"1989-08-30","3140","3170","3130","3160","859000","3160","139"
"1989-08-31","3140","3190","3130","3180","789000","3180","140"
"1989-09-01","3180","3200","3150","3190","656000","3190","141"
"1989-09-04","3180","3200","3150","3200","413000","3200","142"
"1989-09-05","3200","3210","3170","3190","453000","3190","143"
"1989-09-06","3190","3190","3140","3180","791000","3180","144"
"1989-09-07","3140","3150","3110","3130","826000","3130","145"
"1989-09-08","3100","3130","3080","3080","1531000","3080","146"
"1989-09-11","3100","3140","3100","3100","1054000","3100","147"
"1989-09-12","3100","3120","3100","3120","976000","3120","148"
"1989-09-13","3110","3140","3100","3130","991000","3130","149"
"1989-09-14","3120","3140","3110","3130","1021000","3130","150"
"1989-09-18","3120","3140","3090","3090","1141000","3090","152"
"1989-09-19","3100","3120","3080","3100","1233000","3100","153"
"1989-09-20","3100","3100","3080","3090","1497000","3090","154"
"1989-09-21","3090","3100","3060","3080","1753000","3080","155"
"1989-09-22","3090","3100","3070","3070","1957000","3070","156"
"1989-09-25","3080","3160","3080","3160","1710000","3160","157"
"1989-09-26","3260","3330","3230","3330","2724000","3330","158"
"1989-09-27","3330","3370","3260","3300","1842000","3300","159"
"1989-09-28","3310","3330","3230","3280","1047000","3280","160"
"1989-09-29","3280","3310","3210","3270","1119000","3270","161"
"1989-10-02","3290","3290","3210","3220","636000","3220","162"
"1989-10-03","3220","3220","3150","3150","734000","3150","163"
"1989-10-04","3150","3150","3100","3130","660000","3130","164"
"1989-10-05","3110","3130","3100","3100","552000","3100","165"
"1989-10-06","3090","3130","3080","3130","866000","3130","166"
"1989-10-09","3100","3120","3070","3080","1513000","3080","167"
"1989-10-11","3120","3150","3080","3130","1504000","3130","169"
"1989-10-12","3090","3120","3080","3100","957000","3100","170"
"1989-10-13","3100","3110","3090","3100","429000","3100","171"
"1989-10-16","3060","3120","3050","3070","1123000","3070","172"
"1989-10-17","3170","3170","3100","3100","585000","3100","173"
"1989-10-18","3130","3150","3110","3120","551000","3120","174"
"1989-10-19","3120","3160","3120","3120","596000","3120","175"
"1989-10-20","3150","3180","3140","3150","765000","3150","176"
"1989-10-23","3250","3270","3200","3210","1085000","3210","177"
"1989-10-24","3210","3210","3140","3160","1121000","3160","178"
"1989-10-25","3170","3270","3170","3190","1701000","3190","179"
"1989-10-26","3240","3460","3230","3450","10058000","3450","180"
"1989-10-27","3590","3600","3440","3460","20314000","3460","181"
"1989-10-30","3440","3450","3380","3380","2447000","3380","182"
"1989-10-31","3400","3430","3350","3390","1527000","3390","183"
"1989-11-01","3440","3440","3360","3360","1783000","3360","184"
"1989-11-02","3350","3360","3320","3350","833000","3350","185"
"1989-11-06","3320","3340","3290","3290","725000","3290","187"
"1989-11-07","3250","3270","3230","3230","763000","3230","188"
"1989-11-08","3240","3270","3230","3240","628000","3240","189"
"1989-11-09","3290","3320","3250","3250","668000","3250","190"
"1989-11-10","3290","3310","3250","3270","883000","3270","191"
"1989-11-13","3330","3330","3290","3330","543000","3330","192"
"1989-11-14","3280","3330","3270","3280","558000","3280","193"
"1989-11-15","3290","3350","3290","3330","1384000","3330","194"
"1989-11-16","3370","3450","3350","3390","2762000","3390","195"
"1989-11-17","3400","3430","3370","3390","1492000","3390","196"
"1989-11-20","3390","3410","3370","3410","765000","3410","197"
"1989-11-21","3400","3410","3370","3370","1379000","3370","198"
"1989-11-22","3400","3420","3380","3390","1398000","3390","199"
"1989-11-24","3410","3510","3400","3510","6678000","3510","200"
"1989-11-27","3510","3590","3470","3580","5906000","3580","201"
"1989-11-28","3620","3630","3540","3600","7839000","3600","202"
"1989-11-29","3630","3710","3600","3690","10728000","3690","203"
"1989-11-30","3700","3730","3650","3700","5653000","3700","204"
"1989-12-01","3730","3730","3650","3650","4405000","3650","205"
"1989-12-04","3700","3770","3670","3770","5997000","3770","206"
"1989-12-05","3780","3800","3750","3760","4482000","3760","207"
"1989-12-06","3750","3820","3740","3780","5769000","3780","208"
"1989-12-07","3790","3840","3780","3830","4668000","3830","209"
"1989-12-08","3830","3840","3790","3810","2933000","3810","210"
"1989-12-11","3760","3800","3740","3740","1673000","3740","211"
"1989-12-12","3740","3740","3660","3670","1695000","3670","212"
"1989-12-13","3660","3700","3660","3700","1152000","3700","213"
"1989-12-14","3700","3700","3660","3660","1143000","3660","214"
"1989-12-15","3660","3680","3650","3680","1021000","3680","215"
"1989-12-18","3700","3710","3640","3690","1997000","3690","216"
"1989-12-19","3640","3660","3600","3640","1120000","3640","217"
"1989-12-20","3620","3640","3570","3590","1149000","3590","218"
"1989-12-21","3600","3600","3490","3490","1271000","3490","219"
"1989-12-22","3500","3530","3440","3490","1036000","3490","220"
"1989-12-25","3480","3560","3420","3500","1078000","3500","221"
"1989-12-26","3560","3560","3490","3500","1446000","3500","222"
"1989-12-27","3530","3550","3490","3530","1830000","3530","223"
"1989-12-28","3500","3500","3430","3470","1007000","3470","224"
"1989-12-29","3480","3500","3410","3440","834000","3440","225"
"1990-01-04","3440","3500","3420","3430","391000","3430","228"
"1990-01-05","3430","3450","3320","3400","1039000","3400","229"
"1990-01-08","3410","3410","3320","3330","833000","3330","230"
"1990-01-09","3350","3390","3320","3350","1232000","3350","231"
"1990-01-10","3310","3320","3260","3260","1414000","3260","232"
"1990-01-11","3260","3300","3250","3270","1339000","3270","233"
"1990-01-12","3260","3270","3230","3230","959000","3230","234"
"1990-01-16","3160","3200","3150","3200","885000","3200","236"
"1990-01-17","3170","3200","3140","3140","1159000","3140","237"
"1990-01-18","3140","3200","3130","3150","728000","3150","238"
"1990-01-19","3120","3150","3100","3110","1520000","3110","239"
"1990-01-22","3130","3190","3110","3190","1532000","3190","240"
"1990-01-23","3150","3180","3130","3130","1359000","3130","241"
"1990-01-24","3130","3150","3110","3110","1078000","3110","242"
"1990-01-25","3120","3120","3100","3120","1565000","3120","243"
"1990-01-26","3120","3130","3100","3100","1036000","3100","244"
"1990-01-29","3120","3150","3100","3140","787000","3140","245"
"1990-01-30","3170","3210","3170","3200","1093000","3200","246"
"1990-01-31","3220","3240","3190","3240","684000","3240","247"
"1990-02-01","3240","3260","3210","3250","1221000","3250","248"
"1990-02-02","3240","3240","3200","3230","577000","3230","249"
"1990-02-05","3200","3230","3190","3230","555000","3230","250"
"1990-02-06","3260","3280","3220","3220","669000","3220","251"
"1990-02-07","3220","3220","3150","3150","830000","3150","252"
"1990-02-08","3160","3170","3120","3120","755000","3120","253"
"1990-02-09","3120","3130","3110","3110","1025000","3110","254"
"1990-02-13","3110","3120","3100","3100","748000","3100","256"
"1990-02-14","3110","3120","3100","3110","986000","3110","257"
"1990-02-15","3130","3130","3100","3110","1962000","3110","258"
"1990-02-16","3160","3190","3140","3160","1696000","3160","259"
"1990-02-19","3190","3190","3130","3140","1042000","3140","260"
"1990-02-20","3120","3130","3100","3100","1487000","3100","261"
"1990-02-21","3100","3110","2970","2970","2550000","2970","262"
"1990-02-22","3010","3040","2920","2950","2320000","2950","263"
"1990-02-23","2950","2970","2870","2870","1969000","2870","264"
"1990-02-26","2800","2840","2700","2800","1715000","2800","265"
"1990-02-27","2850","2920","2730","2810","3892000","2810","266"
"1990-02-28","2850","2930","2840","2930","3132000","2930","267"
"1990-03-01","2900","2920","2850","2850","1446000","2850","268"
"1990-03-02","2850","2870","2820","2820","3381000","2820","269"
"1990-03-05","2820","2850","2820","2820","700000","2820","270"
"1990-03-06","2830","2860","2810","2830","1149000","2830","271"
"1990-03-07","2830","2840","2790","2800","1262000","2800","272"
"1990-03-08","2760","2830","2750","2780","1674000","2780","273"
"1990-03-09","2810","2840","2780","2780","1836000","2780","274"
"1990-03-12","2780","2800","2750","2750","1216000","2750","275"
"1990-03-13","2730","2730","2650","2650","2153000","2650","276"
"1990-03-14","2610","2650","2550","2560","2242000","2560","277"
"1990-03-15","2560","2580","2510","2520","2893000","2520","278"
"1990-03-16","2540","2570","2510","2510","2835000","2510","279"
"1990-03-19","2520","2530","2330","2400","2328000","2400","280"
"1990-03-20","2360","2380","2200","2280","4492000","2280","281"
"1990-03-22","2080","2190","2010","2140","4570000","2140","283"
"1990-03-23","2180","2200","2140","2160","5551000","2160","284"
"1990-03-26","2200","2410","2190","2320","5859000","2320","285"
"1990-03-27","2390","2400","2350","2350","4043000","2350","286"
"1990-03-28","2340","2340","2240","2250","1894000","2250","287"
"1990-03-29","2230","2270","2220","2270","1959000","2270","288"
"1990-03-30","2230","2270","2170","2170","2608000","2170","289"
"1990-04-02","2040","2130","1980","2080","3516000","2080","290"
"1990-04-03","2160","2170","2050","2130","2078000","2130","291"
"1990-04-04","2150","2200","2100","2120","1449000","2120","292"
"1990-04-05","2050","2130","2050","2100","2188000","2100","293"
"1990-04-06","2220","2290","2180","2280","2913000","2280","294"
"1990-04-09","2360","2400","2330","2350","3780000","2350","295"
"1990-04-10","2300","2300","2210","2220","1125000","2220","296"
"1990-04-11","2260","2280","2220","2220","1069000","2220","297"
"1990-04-12","2260","2260","2220","2230","747000","2230","298"
"1990-04-13","2220","2230","2210","2210","554000","2210","299"
"1990-04-16","2200","2200","2160","2170","667000","2170","300"
"1990-04-17","2130","2180","2110","2130","933000","2130","301"
"1990-04-18","2140","2200","2120","2200","1634000","2200","302"
"1990-04-19","2240","2260","2210","2250","1652000","2250","303"
"1990-04-20","2280","2330","2240","2260","1479000","2260","304"
"1990-04-23","2290","2290","2240","2260","440000","2260","305"
"1990-04-24","2210","2240","2180","2210","654000","2210","306"
"1990-04-25","2170","2190","2150","2150","1037000","2150","307"
"1990-04-26","2150","2150","2120","2120","1195000","2120","308"
"1990-04-27","2120","2130","2100","2120","1590000","2120","309"
"1990-05-01","2120","2130","2100","2130","551000","2130","311"
"1990-05-02","2140","2200","2130","2200","1219000","2200","312"
"1990-05-07","2220","2290","2210","2270","1783000","2270","315"
"1990-05-08","2290","2300","2250","2270","1086000","2270","316"
"1990-05-09","2300","2300","2270","2290","1070000","2290","317"
"1990-05-10","2310","2320","2290","2290","1474000","2290","318"
"1990-05-11","2290","2320","2290","2300","1471000","2300","319"
"1990-05-14","2410","2450","2370","2430","3965000","2430","320"
"1990-05-15","2470","2490","2450","2450","4206000","2450","321"
"1990-05-16","2470","2470","2400","2400","1802000","2400","322"
"1990-05-17","2440","2440","2410","2410","871000","2410","323"
"1990-05-18","2410","2420","2350","2360","1379000","2360","324"
"1990-05-21","2350","2360","2300","2300","1067000","2300","325"
"1990-05-22","2310","2400","2310","2390","899000","2390","326"
"1990-05-23","2370","2390","2360","2370","1023000","2370","327"
"1990-05-24","2330","2400","2330","2400","1158000","2400","328"
"1990-05-25","2420","2510","2420","2480","3059000","2480","329"
"1990-05-28","2570","2590","2540","2580","3485000","2580","330"
"1990-05-29","2580","2580","2510","2510","3200000","2510","331"
"1990-05-30","2470","2520","2470","2490","1793000","2490","332"
"1990-05-31","2490","2560","2480","2530","2094000","2530","333"
"1990-06-01","2530","2540","2500","2540","1251000","2540","334"
"1990-06-04","2520","2530","2500","2500","799000","2500","335"
"1990-06-05","2530","2530","2460","2480","1172000","2480","336"
"1990-06-06","2470","2480","2440","2460","776000","2460","337"
