8628 èºà‰èÿåî,,,,,
"date","open","hight","low","close","power","End","date_position"
"2001-08-02","1520","1547","1515","1534","1252200","1534","3237"
"2001-08-03","1594","1830","1550","1828","3441100","1828","3238"
"2001-08-06","1708","1775","1588","1603","2744800","1603","3239"
"2001-08-07","1602","1655","1601","1653","1261400","1653","3240"
"2001-08-08","1684","1715","1650","1658","1135200","1658","3241"
"2001-08-09","1660","1675","1603","1603","610200","1603","3242"
"2001-08-10","1640","1650","1610","1634","325700","1634","3243"
"2001-08-13","1640","1640","1600","1610","221100","1610","3244"
"2001-08-14","1610","1690","1610","1680","678000","1680","3245"
"2001-08-15","1631","1650","1620","1630","400300","1630","3246"
"2001-08-16","1630","1630","1611","1614","146300","1614","3247"
"2001-08-17","1650","1720","1626","1695","966299","1695","3248"
"2001-08-20","1670","1728","1650","1693","347899","1693","3249"
"2001-08-21","1720","1726","1709","1725","328399","1725","3250"
"2001-08-22","1715","1734","1710","1725","265399","1725","3251"
"2001-08-23","1727","1736","1700","1700","239300","1700","3252"
"2001-08-24","1690","1710","1656","1664","133300","1664","3253"
"2001-08-27","1694","1700","1666","1672","181000","1672","3254"
"2001-08-28","1670","1690","1662","1690","159500","1690","3255"
"2001-08-29","1665","1680","1660","1670","151100","1670","3256"
"2001-08-30","1650","1700","1650","1680","312300","1680","3257"
"2001-08-31","1651","1685","1630","1630","417300","1630","3258"
"2001-09-03","1690","1741","1653","1684","2552800","1684","3259"
"2001-09-04","1654","1683","1642","1660","574400","1660","3260"
"2001-09-05","1682","1797","1672","1740","661500","1740","3261"
"2001-09-06","1745","1785","1720","1779","520700","1779","3262"
"2001-09-07","1779","1779","1752","1778","513400","1778","3263"
"2001-09-10","1700","1771","1698","1758","308399","1758","3264"
"2001-09-11","1753","1758","1731","1752","153000","1752","3265"
"2001-09-12","1602","1692","1602","1620","393600","1620","3266"
"2001-09-13","1620","1655","1611","1645","219400","1645","3267"
"2001-09-14","1680","1762","1670","1752","718900","1752","3268"
"2001-09-17","1680","1702","1670","1690","290300","1690","3269"
"2001-09-18","1740","1740","1722","1723","305899","1723","3270"
"2001-09-19","1757","1775","1753","1755","292000","1755","3271"
"2001-09-20","1780","1780","1720","1750","128800","1750","3272"
"2001-09-21","1700","1730","1685","1700","237100","1700","3273"
"2001-09-25","1780","1780","1740","1759","177500","1759","3275"
"2001-09-26","1785","1800","1771","1795","311100","1795","3276"
"2001-09-27","1793","1800","1750","1770","301000","1770","3277"
"2001-09-28","1740","1740","1670","1690","869200","1690","3278"
"2001-10-01","1700","1704","1660","1670","306399","1670","3279"
"2001-10-02","1670","1679","1653","1665","306100","1665","3280"
"2001-10-03","1665","1690","1637","1641","572000","1641","3281"
"2001-10-04","1641","1695","1641","1694","322300","1694","3282"
"2001-10-05","1701","1701","1663","1677","182000","1677","3283"
"2001-10-09","1676","1676","1644","1648","114400","1648","3285"
