8630 SOMPO HD(‘¹•ÛƒWƒƒƒpƒ“),,,,,
"date","open","hight","low","close","power","End","date_position"
"2010-04-02","689","700","682","700","7090000","700","5490"
"2010-04-05","700","703","690","695","3169000","695","5491"
"2010-04-06","700","708","697","701","5118000","701","5492"
"2010-04-07","686","715","686","711","7027000","711","5493"
"2010-04-08","713","715","704","706","3945000","706","5494"
"2010-04-09","707","711","701","704","4640000","704","5495"
"2010-04-12","707","715","707","707","3063000","707","5496"
"2010-04-13","720","727","710","713","4797000","713","5497"
"2010-04-14","717","726","714","714","4514000","714","5498"
"2010-04-15","720","747","708","735","7369000","735","5499"
"2010-04-16","725","739","721","722","4085000","722","5500"
"2010-04-19","710","715","706","708","2849000","708","5501"
"2010-04-20","718","718","711","714","2588000","714","5502"
"2010-04-21","728","728","712","713","3842000","713","5503"
"2010-04-22","710","714","698","706","4700000","706","5504"
"2010-04-23","705","718","705","717","2707000","717","5505"
"2010-04-26","718","726","716","720","2869000","720","5506"
"2010-04-27","711","715","706","712","2751000","712","5507"
"2010-04-28","690","711","680","680","8698000","680","5508"
"2010-04-30","690","693","677","682","4419000","682","5510"
"2010-05-06","662","664","650","657","5777000","657","5514"
"2010-05-07","634","637","624","629","5165000","629","5515"
"2010-05-10","628","642","616","641","3547000","641","5516"
"2010-05-11","645","649","618","621","3066000","621","5517"
"2010-05-12","622","626","614","620","3105000","620","5518"
"2010-05-13","624","630","618","624","2089000","624","5519"
"2010-05-14","614","622","612","617","2709000","617","5520"
"2010-05-17","607","610","601","609","2524000","609","5521"
"2010-05-18","599","604","592","598","2873000","598","5522"
"2010-05-19","579","584","574","583","5389000","583","5523"
"2010-05-20","590","611","584","599","6611000","599","5524"
"2010-05-21","589","590","563","569","5742000","569","5525"
"2010-05-24","551","557","542","545","6255000","545","5526"
"2010-05-25","542","546","529","534","5390000","534","5527"
"2010-05-26","534","541","526","527","7125000","527","5528"
"2010-05-27","524","543","521","541","4287000","541","5529"
"2010-05-28","551","565","541","557","6409000","557","5530"
"2010-05-31","553","573","553","567","5504000","567","5531"
"2010-06-01","577","587","568","585","5039000","585","5532"
"2010-06-02","575","583","568","569","2752000","569","5533"
"2010-06-03","572","586","570","581","3893000","581","5534"
"2010-06-04","586","595","583","585","3970000","585","5535"
"2010-06-07","575","575","562","568","4471000","568","5536"
"2010-06-08","558","560","550","555","3662000","555","5537"
"2010-06-09","542","547","537","544","5185000","544","5538"
"2010-06-10","546","559","542","556","4029000","556","5539"
"2010-06-11","566","574","560","560","6885000","560","5540"
"2010-06-14","564","568","558","560","1027000","560","5541"
"2010-06-15","559","562","552","558","1137000","558","5542"
"2010-06-16","566","581","565","576","3160000","576","5543"
"2010-06-17","571","574","566","572","1953000","572","5544"
"2010-06-18","570","570","561","563","2892000","563","5545"
"2010-06-21","573","573","560","562","2572000","562","5546"
"2010-06-22","561","561","552","557","3239000","557","5547"
"2010-06-23","550","555","543","543","1941000","543","5548"
"2010-06-24","545","550","538","540","3206000","540","5549"
"2010-06-25","530","539","530","538","3612000","538","5550"
"2010-06-28","558","558","532","536","4336000","536","5551"
"2010-06-29","540","543","529","531","3196000","531","5552"
"2010-06-30","521","530","515","529","3412000","529","5553"
"2010-07-01","527","541","527","534","4507000","534","5554"
"2010-07-02","531","537","526","536","2945000","536","5555"
"2010-07-05","537","543","536","541","1762000","541","5556"
"2010-07-06","531","542","527","541","2301000","541","5557"
"2010-07-07","538","540","532","538","3031000","538","5558"
"2010-07-08","558","561","549","552","3663000","552","5559"
"2010-07-09","562","563","557","559","4096000","559","5560"
"2010-07-12","561","562","557","561","3976000","561","5561"
"2010-07-13","562","568","558","561","2797000","561","5562"
"2010-07-14","570","572","566","568","3735000","568","5563"
"2010-07-15","563","564","556","559","3896000","559","5564"
"2010-07-16","559","563","549","552","3692000","552","5565"
"2010-07-20","553","553","535","537","4400000","537","5567"
"2010-07-21","547","549","531","535","3601000","535","5568"
"2010-07-22","527","530","521","523","2779000","523","5569"
"2010-07-23","533","533","522","529","3461000","529","5570"
"2010-07-26","529","530","514","515","2398000","515","5571"
"2010-07-27","512","516","507","510","3807000","510","5572"
"2010-07-28","515","530","514","529","4153000","529","5573"
"2010-07-29","518","525","518","518","3592000","518","5574"
"2010-07-30","509","512","503","505","4461000","505","5575"
"2010-08-02","502","508","498","500","2606000","500","5576"
"2010-08-03","505","512","505","508","3030000","508","5577"
"2010-08-04","501","504","495","498","2170000","498","5578"
"2010-08-05","504","512","502","510","3073000","510","5579"
"2010-08-06","503","516","503","513","2417000","513","5580"
"2010-08-09","504","511","504","509","1643000","509","5581"
"2010-08-10","514","521","512","519","2798000","519","5582"
"2010-08-11","509","513","502","504","2551000","504","5583"
"2010-08-12","494","496","491","495","2496000","495","5584"
"2010-08-13","493","506","493","500","2944000","500","5585"
"2010-08-16","490","513","490","510","3089000","510","5586"
"2010-08-17","500","519","500","516","2823000","516","5587"
"2010-08-18","519","524","507","518","2912000","518","5588"
"2010-08-19","519","532","519","530","3867000","530","5589"
"2010-08-20","527","527","506","508","3670000","508","5590"
"2010-08-23","510","519","504","510","3039000","510","5591"
"2010-08-24","504","507","501","503","2065000","503","5592"
"2010-08-25","501","505","492","498","2837000","498","5593"
"2010-08-26","500","502","487","491","3022000","491","5594"
"2010-08-27","483","488","481","485","4163000","485","5595"
"2010-08-30","492","505","490","494","5466000","494","5596"
"2010-08-31","483","483","468","470","3727000","470","5597"
"2010-09-01","476","483","469","480","4521000","480","5598"
"2010-09-02","492","494","483","491","4174000","491","5599"
"2010-09-03","488","498","486","493","4201000","493","5600"
"2010-09-06","498","513","495","513","3540000","513","5601"
"2010-09-07","503","511","503","508","3250000","508","5602"
"2010-09-08","500","504","497","503","6360000","503","5603"
"2010-09-09","507","512","502","506","2879000","506","5604"
"2010-09-10","504","508","502","505","9172000","505","5605"
"2010-09-13","508","517","507","514","5691000","514","5606"
"2010-09-14","516","522","511","521","6610000","521","5607"
"2010-09-15","523","548","519","535","9328000","535","5608"
"2010-09-16","545","545","525","527","6523000","527","5609"
"2010-09-17","541","553","541","546","12460000","546","5610"
"2010-09-21","562","564","543","551","5782000","551","5612"
"2010-09-22","552","559","547","547","7073000","547","5613"
"2010-09-24","540","540","529","530","5011000","530","5615"
"2010-09-27","540","542","529","540","4922000","540","5616"
"2010-09-28","540","545","534","543","2955000","543","5617"
"2010-09-29","547","547","533","541","4443000","541","5618"
"2010-09-30","544","548","524","524","5304000","524","5619"
"2010-10-01","534","542","529","538","4640000","538","5620"
"2010-10-04","538","542","526","528","3997000","528","5621"
"2010-10-05","528","554","528","551","4979000","551","5622"
"2010-10-06","556","575","552","573","8247000","573","5623"
"2010-10-07","579","600","578","591","12622000","591","5624"
"2010-10-08","598","603","592","593","11772000","593","5625"
"2010-10-12","603","608","583","586","5393000","586","5627"
"2010-10-13","590","597","580","585","5808000","585","5628"
"2010-10-14","589","600","585","595","7635000","595","5629"
"2010-10-15","596","597","571","575","6336000","575","5630"
"2010-10-18","583","592","578","586","5402000","586","5631"
"2010-10-19","586","589","574","581","6018000","581","5632"
"2010-10-20","575","577","560","574","7106000","574","5633"
"2010-10-21","563","568","553","557","7779000","557","5634"
"2010-10-22","564","571","558","568","5544000","568","5635"
"2010-10-25","571","572","555","557","5135000","557","5636"
"2010-10-26","560","563","554","556","5469000","556","5637"
"2010-10-27","560","565","548","558","6127000","558","5638"
"2010-10-28","554","566","546","547","12087000","547","5639"
"2010-10-29","549","554","541","553","8650000","553","5640"
"2010-11-01","554","559","548","553","5201000","553","5641"
"2010-11-02","545","546","507","531","15267000","531","5642"
"2010-11-04","550","564","547","551","7844000","551","5644"
"2010-11-05","568","577","568","572","5824000","572","5645"
"2010-11-08","578","579","565","573","3972000","573","5646"
"2010-11-09","567","579","565","571","3877000","571","5647"
"2010-11-10","577","587","576","582","3787000","582","5648"
"2010-11-11","578","587","578","586","2498000","586","5649"
"2010-11-12","584","593","578","578","3911000","578","5650"
"2010-11-15","578","581","571","577","2814000","577","5651"
"2010-11-16","583","585","569","572","5682000","572","5652"
"2010-11-17","568","577","568","576","3398000","576","5653"
"2010-11-18","584","603","580","601","5026000","601","5654"
"2010-11-19","603","606","597","602","3188000","602","5655"
"2010-11-22","609","609","561","561","8393000","561","5656"
"2010-11-24","554","571","552","566","7396000","566","5658"
"2010-11-25","567","568","557","560","3579000","560","5659"
"2010-11-26","559","565","558","559","2621000","559","5660"
"2010-11-29","561","574","560","568","5580000","568","5661"
"2010-11-30","565","572","558","560","6854000","560","5662"
"2010-12-01","551","560","551","559","6726000","559","5663"
"2010-12-02","569","572","563","564","4779000","564","5664"
"2010-12-03","573","576","565","568","4346000","568","5665"
"2010-12-06","564","568","561","565","4230000","565","5666"
"2010-12-07","558","565","558","564","6057000","564","5667"
"2010-12-08","564","572","563","569","6915000","569","5668"
"2010-12-09","579","591","578","588","7221000","588","5669"
"2010-12-10","598","599","590","595","10738000","595","5670"
"2010-12-13","589","594","588","590","4817000","590","5671"
"2010-12-14","589","592","583","590","4224000","590","5672"
"2010-12-15","594","595","588","590","3638000","590","5673"
"2010-12-16","592","595","585","592","5940000","592","5674"
"2010-12-17","590","603","590","602","5358000","602","5675"
"2010-12-20","600","600","589","591","4937000","591","5676"
"2010-12-21","594","600","590","596","4450000","596","5677"
"2010-12-22","589","594","585","593","4734000","593","5678"
"2010-12-24","585","593","585","593","2880000","593","5680"
"2010-12-27","589","599","589","597","2331000","597","5681"
"2010-12-28","598","606","597","603","3069000","603","5682"
"2010-12-29","599","607","599","606","2396000","606","5683"
"2010-12-30","603","605","593","598","3148000","598","5684"
"2011-01-04","603","607","599","602","3052000","602","5687"
