8697 ì˙ñ{éÊà¯èäG(ëÂèÿ),,,,,
"date","open","hight","low","close","power","End","date_position"
"2013-01-07","3945","3955","3850","3950","1574500","3950","6210"
"2013-01-08","3950","3950","3870","3930","403000","3930","6211"
"2013-01-09","3900","3940","3900","3925","193000","3925","6212"
"2013-01-10","3925","4100","3925","4085","1109800","4085","6213"
"2013-01-11","4250","4590","4250","4500","1997400","4500","6214"
"2013-01-15","4640","4800","4595","4655","2091699","4655","6216"
"2013-01-16","4665","4685","4595","4625","866100","4625","6217"
"2013-01-17","4650","5000","4635","4985","1385599","4985","6218"
"2013-01-18","5130","5690","5060","5690","2526100","5690","6219"
"2013-01-21","5750","5780","5270","5750","1440900","5750","6220"
"2013-01-22","5600","5780","5570","5660","765400","5660","6221"
"2013-01-23","5460","5540","5390","5400","545200","5400","6222"
"2013-01-24","5330","5550","5320","5450","337700","5450","6223"
"2013-01-25","5550","5650","5340","5350","580299","5350","6224"
"2013-01-28","5290","5300","4950","5200","912400","5200","6225"
"2013-01-29","5200","5320","5160","5220","760500","5220","6226"
"2013-01-30","5300","5720","5250","5500","1238400","5500","6227"
"2013-01-31","5500","5530","5400","5500","510600","5500","6228"
"2013-02-01","5540","5710","5530","5650","737900","5650","6229"
"2013-02-04","5740","5780","5630","5680","345600","5680","6230"
"2013-02-05","5600","5880","5590","5720","539000","5720","6231"
"2013-02-06","5810","6030","5760","6000","587400","6000","6232"
"2013-02-07","6000","6300","5990","6240","1092099","6240","6233"
"2013-02-08","6280","6510","6060","6200","818000","6200","6234"
"2013-02-12","6350","6460","6250","6270","560400","6270","6236"
"2013-02-13","6270","6340","6080","6340","481800","6340","6237"
"2013-02-14","6500","6530","6110","6320","834100","6320","6238"
"2013-02-15","6200","6210","6080","6140","680700","6140","6239"
"2013-02-18","6340","6450","6270","6420","615700","6420","6240"
"2013-02-19","6450","6460","6300","6310","421300","6310","6241"
"2013-02-20","6410","6680","6380","6680","1011600","6680","6242"
"2013-02-21","6640","6640","6440","6460","849900","6460","6243"
"2013-02-22","6450","6700","6370","6700","547200","6700","6244"
"2013-02-25","6740","6910","6730","6780","735500","6780","6245"
"2013-02-26","6680","7040","6670","6990","1699500","6990","6246"
"2013-02-27","7200","7890","6880","7890","5391200","7890","6247"
"2013-02-28","7440","7510","7030","7060","6916800","7060","6248"
"2013-03-01","7040","7270","6850","7050","1761000","7050","6249"
"2013-03-04","7150","7210","6940","7120","907799","7120","6250"
"2013-03-05","7080","7150","6970","6980","443000","6980","6251"
"2013-03-06","7050","7110","6870","7020","639000","7020","6252"
"2013-03-07","7100","7130","7020","7130","666100","7130","6253"
"2013-03-08","7170","7320","7150","7290","1071500","7290","6254"
"2013-03-11","7300","7440","7190","7420","1092400","7420","6255"
"2013-03-12","7430","7460","7200","7400","687600","7400","6256"
"2013-03-13","7390","7400","7210","7290","479600","7290","6257"
"2013-03-14","7380","7450","7300","7390","496000","7390","6258"
"2013-03-15","7390","7410","7310","7390","310100","7390","6259"
"2013-03-18","7290","7500","7050","7220","805200","7220","6260"
"2013-03-19","7240","7480","7230","7460","454000","7460","6261"
"2013-03-21","7600","8300","7540","8250","1433800","8250","6263"
"2013-03-22","8290","8290","8000","8120","452300","8120","6264"
"2013-03-25","8130","8200","7920","8150","604000","8150","6265"
"2013-03-26","8020","8680","8020","8470","684600","8470","6266"
"2013-03-27","8800","8930","8650","8830","735200","8830","6267"
"2013-03-28","8840","8890","8610","8720","495700","8720","6268"
"2013-03-29","8730","8730","8480","8530","564100","8530","6269"
"2013-04-01","8480","8540","8380","8400","473600","8400","6270"
"2013-04-02","8250","8830","8160","8820","691799","8820","6271"
"2013-04-03","8880","9060","8470","8600","1111000","8600","6272"
"2013-04-04","8550","8580","8100","8210","977000","8210","6273"
"2013-04-05","8900","9550","8820","9140","1445300","9140","6274"
"2013-04-08","9500","10180","9350","10150","1602900","10150","6275"
"2013-04-09","10500","10500","9860","10040","1081700","10040","6276"
"2013-04-10","10080","10810","10050","10780","1243700","10780","6277"
"2013-04-11","11500","12250","11080","12190","1816300","12190","6278"
"2013-04-12","11790","11900","11460","11520","1259700","11520","6279"
"2013-04-15","11020","11380","10900","10930","981000","10930","6280"
"2013-04-16","10460","11180","10300","10750","1062099","10750","6281"
"2013-04-17","11200","11320","11120","11310","627600","11310","6282"
"2013-04-18","11240","11390","11020","11080","538500","11080","6283"
"2013-04-19","11310","11590","11150","11570","655600","11570","6284"
"2013-04-22","12000","12030","11700","11850","562600","11850","6285"
"2013-04-23","11900","11910","11670","11780","434200","11780","6286"
"2013-04-24","11860","11860","11390","11400","686299","11400","6287"
"2013-04-25","11480","11490","11020","11310","623000","11310","6288"
"2013-04-26","11330","11900","11330","11880","1544400","11880","6289"
"2013-04-30","11990","12250","11430","11960","1728099","11960","6291"
"2013-05-01","11810","11890","11310","11310","724900","11310","6292"
"2013-05-02","11130","11240","11020","11130","422399","11130","6293"
"2013-05-07","11500","11500","11320","11440","410200","11440","6296"
"2013-05-08","11440","11440","11110","11200","382399","11200","6297"
"2013-05-09","11260","11270","11010","11060","341700","11060","6298"
"2013-05-10","11250","11620","11220","11590","785700","11590","6299"
"2013-05-13","11700","11750","11410","11620","450200","11620","6300"
"2013-05-14","11620","11620","11160","11170","371000","11170","6301"
"2013-05-15","11200","11330","10840","11040","564400","11040","6302"
"2013-05-16","10740","11290","10490","10950","588799","10950","6303"
"2013-05-17","10950","11060","10660","11020","392899","11020","6304"
"2013-05-20","11250","11340","11160","11200","336700","11200","6305"
"2013-05-21","11230","11250","10760","10940","433600","10940","6306"
"2013-05-22","10850","10970","10720","10750","280300","10750","6307"
"2013-05-23","10750","10850","9890","9950","738700","9950","6308"
"2013-05-24","9950","10900","9610","10230","627299","10230","6309"
"2013-05-27","9790","10350","9790","10000","435500","10000","6310"
"2013-05-28","9810","10240","9550","10030","495100","10030","6311"
"2013-05-29","10240","10520","9980","10270","428000","10270","6312"
"2013-05-30","10000","10010","9560","9620","448600","9620","6313"
"2013-05-31","9760","10120","9490","9490","952400","9490","6314"
"2013-06-03","9360","9420","8960","9270","895600","9270","6315"
"2013-06-04","9350","10130","9250","9990","982500","9990","6316"
"2013-06-05","9920","9940","9250","9300","495800","9300","6317"
"2013-06-06","9000","9690","8970","9230","544200","9230","6318"
"2013-06-07","9080","9670","8980","9390","535200","9390","6319"
"2013-06-10","9690","10290","9680","10110","629900","10110","6320"
"2013-06-11","10100","10100","9680","9700","408600","9700","6321"
"2013-06-12","9390","9960","9350","9880","335100","9880","6322"
"2013-06-13","9600","9640","9040","9060","585299","9060","6323"
"2013-06-14","9510","9530","9210","9280","540100","9280","6324"
"2013-06-17","9210","9800","9200","9760","535500","9760","6325"
"2013-06-18","9880","9980","9700","9800","257800","9800","6326"
"2013-06-19","9990","9990","9550","9680","198900","9680","6327"
"2013-06-20","9560","9650","9470","9500","211000","9500","6328"
"2013-06-21","9200","9550","9150","9500","410800","9500","6329"
"2013-06-24","9630","9780","9520","9650","305100","9650","6330"
"2013-06-25","9640","9670","9330","9570","382200","9570","6331"
"2013-06-26","9720","9740","9240","9250","228800","9250","6332"
"2013-06-27","9280","9570","9180","9570","338100","9570","6333"
"2013-06-28","9700","10050","9620","10020","578000","10020","6334"
"2013-07-01","10200","10200","9970","10200","315500","10200","6335"
"2013-07-02","10380","10870","10300","10850","515200","10850","6336"
"2013-07-03","10870","11090","10800","11070","473899","11070","6337"
"2013-07-04","11080","11530","11070","11440","510899","11440","6338"
"2013-07-05","11550","11580","11300","11370","232600","11370","6339"
"2013-07-08","11530","11600","11200","11220","217600","11220","6340"
"2013-07-09","11400","11680","11320","11620","315700","11620","6341"
"2013-07-10","11620","11770","11550","11760","327500","11760","6342"
"2013-07-11","11560","11720","11530","11610","240800","11610","6343"
"2013-07-12","11630","11720","11510","11620","313200","11620","6344"
"2013-07-16","11720","11720","11330","11430","271700","11430","6346"
"2013-07-17","11390","11410","11170","11280","191300","11280","6347"
"2013-07-18","11210","11320","11150","11230","155300","11230","6348"
"2013-07-19","11420","11440","11010","11090","293200","11090","6349"
"2013-07-22","11200","11270","10770","10790","305200","10790","6350"
"2013-07-23","10620","10750","10450","10470","331100","10470","6351"
"2013-07-24","10540","10820","10410","10570","460100","10570","6352"
"2013-07-25","10570","10620","10240","10260","181800","10260","6353"
"2013-07-26","10060","10110","9700","9750","375300","9750","6354"
"2013-07-29","9720","9720","8920","8960","550900","8960","6355"
"2013-07-30","9260","9470","9060","9260","470200","9260","6356"
"2013-07-31","9140","9250","9040","9200","357100","9200","6357"
"2013-08-01","9140","9530","9090","9480","498500","9480","6358"
"2013-08-02","9930","10390","9850","10030","756299","10030","6359"
"2013-08-05","10000","10080","9870","9920","238500","9920","6360"
"2013-08-06","9620","9710","9480","9650","351500","9650","6361"
"2013-08-07","9350","9560","9310","9330","299500","9330","6362"
"2013-08-08","9220","9310","8950","9010","471200","9010","6363"
"2013-08-09","9010","9260","9010","9090","318800","9090","6364"
"2013-08-12","8950","8970","8310","8340","655200","8340","6365"
"2013-08-13","8640","8810","8410","8490","520900","8490","6366"
"2013-08-14","8550","8840","8160","8380","471200","8380","6367"
"2013-08-15","8200","8340","8100","8160","334000","8160","6368"
"2013-08-16","8010","8440","7900","8330","368300","8330","6369"
"2013-08-19","8330","8500","8230","8480","228800","8480","6370"
"2013-08-20","8390","8430","8210","8230","191500","8230","6371"
"2013-08-21","8230","8420","8140","8380","426399","8380","6372"
"2013-08-22","8280","8400","8200","8400","225800","8400","6373"
"2013-08-23","8430","8850","8430","8560","490899","8560","6374"
"2013-08-26","8560","8620","8310","8340","219500","8340","6375"
"2013-08-27","8300","8320","8150","8170","328399","8170","6376"
"2013-08-28","7870","7900","7640","7730","696200","7730","6377"
"2013-08-29","7690","7730","7550","7680","219199","7680","6378"
"2013-08-30","7700","7860","7630","7770","276200","7770","6379"
"2013-09-02","7790","8540","7790","8480","493700","8480","6380"
"2013-09-03","8500","9020","8500","8920","582799","8920","6381"
"2013-09-04","8770","9450","8680","9300","778200","9300","6382"
"2013-09-05","9320","9340","9140","9210","314899","9210","6383"
"2013-09-06","9210","9350","9120","9250","349300","9250","6384"
"2013-09-09","9230","9400","8820","9140","713900","9140","6385"
"2013-09-10","9250","10030","9250","9970","807600","9970","6386"
"2013-09-11","10080","10190","9910","10170","470800","10170","6387"
"2013-09-12","10040","10170","10030","10120","200199","10120","6388"
"2013-09-13","10390","10470","10010","10320","611000","10320","6389"
"2013-09-17","10420","10540","10200","10510","347100","10510","6391"
"2013-09-18","10480","10740","10410","10700","212000","10700","6392"
"2013-09-19","10840","11130","10830","11120","359300","11120","6393"
"2013-09-20","11120","11190","11060","11140","259399","11140","6394"
"2013-09-24","11140","11320","11020","11280","424300","11280","6396"
"2013-09-25","11250","11320","11100","11120","390100","11120","6397"
"2013-09-26","2200","2320","2174","2317","1450800","2317","6398"
"2013-09-27","2330","2330","2218","2245","1674400","2245","6399"
"2013-09-30","2145","2223","2130","2173","1986000","2173","6400"
"2013-10-01","2181","2217","2180","2215","1235800","2215","6401"
"2013-10-02","2212","2231","2091","2129","2166600","2129","6402"
"2013-10-03","2125","2177","2111","2156","1675700","2156","6403"
"2013-10-04","2145","2146","2060","2105","1821900","2105","6404"
"2013-10-07","2085","2104","2018","2021","1751400","2021","6405"
"2013-10-08","1980","2044","1968","2035","2438900","2035","6406"
"2013-10-09","2022","2084","1992","2075","1996500","2075","6407"
"2013-10-10","2108","2165","2063","2096","1612900","2096","6408"
"2013-10-11","2150","2180","2109","2149","1541599","2149","6409"
"2013-10-15","2170","2248","2170","2238","1841500","2238","6411"
"2013-10-16","2234","2278","2227","2262","1433000","2262","6412"
"2013-10-17","2294","2317","2270","2293","1574800","2293","6413"
"2013-10-18","2279","2310","2270","2289","1248200","2289","6414"
"2013-10-21","2298","2310","2275","2284","857100","2284","6415"
"2013-10-22","2285","2311","2270","2305","1129200","2305","6416"
"2013-10-23","2340","2382","2198","2219","3894900","2219","6417"
"2013-10-24","2119","2165","2116","2159","2577900","2159","6418"
"2013-10-25","2158","2188","2132","2156","2285100","2156","6419"
"2013-10-28","2192","2245","2181","2240","1932800","2240","6420"
"2013-10-29","2235","2260","2207","2225","1286599","2225","6421"
"2013-10-30","2256","2265","2222","2265","4116399","2265","6422"
"2013-10-31","2267","2280","2261","2267","1497300","2267","6423"
"2013-11-01","2256","2267","2203","2226","1691700","2226","6424"
"2013-11-05","2226","2258","2205","2236","1355099","2236","6426"
"2013-11-06","2226","2247","2210","2240","1134900","2240","6427"
"2013-11-07","2240","2278","2240","2250","1406900","2250","6428"
"2013-11-08","2232","2253","2204","2231","1844099","2231","6429"
"2013-11-11","2262","2294","2244","2289","1756599","2289","6430"
"2013-11-12","2281","2339","2264","2336","1802200","2336","6431"
"2013-11-13","2340","2509","2340","2432","5956500","2432","6432"
"2013-11-14","2461","2520","2456","2493","3850600","2493","6433"
"2013-11-15","2543","2698","2525","2674","4965100","2674","6434"
"2013-11-18","2720","2800","2675","2718","4231200","2718","6435"
"2013-11-19","2685","2796","2675","2785","2895699","2785","6436"
