8725 MS&AD HD(éOà‰èZóFäCè„G),,,,,
"date","open","hight","low","close","power","End","date_position"
"2008-04-02","3740","3980","3720","3980","2820300","3980","4970"
"2008-04-03","4130","4280","4130","4260","2351500","4260","4971"
"2008-04-04","4140","4210","3920","3920","3019500","3920","4972"
"2008-04-07","3970","4160","3950","4140","1258500","4140","4973"
"2008-04-08","4190","4220","4030","4070","1645099","4070","4974"
"2008-04-09","4070","4130","3850","3970","1429200","3970","4975"
"2008-04-10","3920","4130","3850","4030","1802200","4030","4976"
"2008-04-11","4010","4100","3980","4030","1738099","4030","4977"
"2008-04-14","3830","3910","3820","3890","1080800","3890","4978"
"2008-04-15","3860","3940","3840","3900","1715800","3900","4979"
"2008-04-16","3850","3900","3810","3850","1434099","3850","4980"
"2008-04-17","3960","3970","3870","3890","1265300","3890","4981"
"2008-04-18","3840","3890","3820","3880","1196400","3880","4982"
"2008-04-21","3840","3880","3840","3870","1369800","3870","4983"
"2008-04-22","3830","3870","3790","3800","914400","3800","4984"
"2008-04-23","3720","3830","3700","3730","1223200","3730","4985"
"2008-04-24","3720","3820","3650","3680","1214000","3680","4986"
"2008-04-25","3680","3970","3680","3910","1568599","3910","4987"
"2008-04-28","3900","4180","3890","4040","3819300","4040","4988"
"2008-04-30","3990","4180","3980","4140","2121300","4140","4990"
"2008-05-01","4100","4270","4080","4220","2280199","4220","4991"
"2008-05-02","4270","4470","4270","4450","1628300","4450","4992"
"2008-05-07","4490","4500","4330","4360","1591900","4360","4995"
"2008-05-08","4380","4420","4300","4320","839299","4320","4996"
"2008-05-09","4320","4340","4180","4220","1058000","4220","4997"
"2008-05-12","4190","4300","4190","4250","678200","4250","4998"
"2008-05-13","4210","4350","4170","4290","1208099","4290","4999"
"2008-05-14","4210","4280","4100","4280","1799500","4280","5000"
"2008-05-15","4230","4330","4230","4250","1397500","4250","5001"
"2008-05-16","4310","4340","4230","4250","1521400","4250","5002"
"2008-05-19","4230","4360","4220","4310","910299","4310","5003"
"2008-05-20","4260","4300","4200","4200","632799","4200","5004"
"2008-05-21","4110","4130","3950","4110","1594800","4110","5005"
"2008-05-22","3980","4010","3890","4010","1347200","4010","5006"
"2008-05-23","4060","4300","4050","4230","1923000","4230","5007"
"2008-05-26","4160","4170","3990","3990","1498300","3990","5008"
"2008-05-27","4010","4090","4000","4050","1456300","4050","5009"
"2008-05-28","4020","4070","3900","3930","1244099","3930","5010"
"2008-05-29","4000","4150","3950","4100","1469900","4100","5011"
"2008-05-30","4180","4260","4130","4150","1507500","4150","5012"
"2008-06-02","4170","4400","4160","4380","1551500","4380","5013"
"2008-06-03","4330","4490","4290","4360","2260500","4360","5014"
"2008-06-04","4390","4430","4300","4360","1679200","4360","5015"
"2008-06-05","4370","4430","4320","4380","1645000","4380","5016"
"2008-06-06","4450","4480","4310","4310","1094900","4310","5017"
"2008-06-09","4190","4230","4130","4190","1014600","4190","5018"
"2008-06-10","4240","4320","4150","4180","1302700","4180","5019"
"2008-06-11","4230","4240","4120","4130","843400","4130","5020"
"2008-06-12","4090","4090","4010","4070","1781200","4070","5021"
"2008-06-13","4140","4240","4040","4220","2894800","4220","5022"
"2008-06-16","4260","4350","4180","4340","1270300","4340","5023"
"2008-06-17","4290","4300","4230","4240","699500","4240","5024"
"2008-06-18","4150","4180","4080","4090","1467800","4090","5025"
"2008-06-19","4060","4080","3950","3970","989900","3970","5026"
"2008-06-20","3960","3990","3890","3910","1484200","3910","5027"
"2008-06-23","3750","3780","3690","3750","1160700","3750","5028"
"2008-06-24","3710","3850","3700","3820","1122700","3820","5029"
"2008-06-25","3770","3810","3610","3740","1749900","3740","5030"
"2008-06-26","3810","3900","3800","3820","1724599","3820","5031"
"2008-06-27","3670","3800","3670","3780","1443599","3780","5032"
"2008-06-30","3790","3790","3650","3660","1072099","3660","5033"
"2008-07-01","3610","3680","3520","3550","1516000","3550","5034"
"2008-07-02","3520","3550","3380","3420","1829200","3420","5035"
"2008-07-03","3340","3410","3330","3400","1971200","3400","5036"
"2008-07-04","3500","3540","3410","3520","2433900","3520","5037"
"2008-07-07","3550","3620","3460","3600","1794800","3600","5038"
"2008-07-08","3600","3680","3530","3580","1906800","3580","5039"
"2008-07-09","3630","3670","3570","3600","1937400","3600","5040"
"2008-07-10","3520","3600","3490","3580","1314500","3580","5041"
"2008-07-11","3620","3630","3490","3580","1769200","3580","5042"
"2008-07-14","3590","3690","3530","3530","1376500","3530","5043"
"2008-07-15","3450","3480","3430","3460","772400","3460","5044"
"2008-07-16","3460","3490","3390","3440","799400","3440","5045"
"2008-07-17","3490","3590","3490","3530","1217500","3530","5046"
"2008-07-18","3570","3590","3460","3460","1027200","3460","5047"
"2008-07-22","3470","3530","3450","3500","1178000","3500","5049"
"2008-07-23","3650","3770","3640","3730","1684500","3730","5050"
"2008-07-24","3830","3890","3790","3880","1966200","3880","5051"
"2008-07-25","3770","3780","3580","3640","1916300","3640","5052"
"2008-07-28","3600","3640","3570","3590","1299800","3590","5053"
"2008-07-29","3500","3550","3460","3550","631900","3550","5054"
"2008-07-30","3560","3600","3530","3580","1665000","3580","5055"
"2008-07-31","3620","3680","3490","3600","1295800","3600","5056"
"2008-08-01","3490","3510","3370","3400","1243900","3400","5057"
"2008-08-04","3420","3480","3360","3390","1042800","3390","5058"
"2008-08-05","3360","3380","3160","3190","1770099","3190","5059"
"2008-08-06","3260","3380","3250","3380","1875900","3380","5060"
"2008-08-07","3420","3420","3230","3290","1347900","3290","5061"
"2008-08-08","3260","3310","3200","3270","1153300","3270","5062"
"2008-08-11","3240","3310","3220","3260","626700","3260","5063"
"2008-08-12","3360","3480","3360","3440","1537599","3440","5064"
"2008-08-13","3440","3440","3290","3330","1566300","3330","5065"
"2008-08-14","3330","3380","3270","3330","906100","3330","5066"
"2008-08-15","3360","3520","3350","3520","1414500","3520","5067"
"2008-08-18","3480","3570","3420","3490","1159099","3490","5068"
"2008-08-19","3360","3380","3280","3350","1008299","3350","5069"
"2008-08-20","3290","3380","3250","3250","1376000","3250","5070"
"2008-08-21","3290","3300","3120","3160","1371200","3160","5071"
"2008-08-22","3170","3300","3170","3300","1153400","3300","5072"
"2008-08-25","3370","3410","3320","3350","918299","3350","5073"
"2008-08-26","3260","3320","3220","3300","635900","3300","5074"
"2008-08-27","3320","3440","3290","3430","1312700","3430","5075"
"2008-08-28","3480","3490","3400","3480","892000","3480","5076"
"2008-08-29","3550","3640","3550","3610","2171199","3610","5077"
"2008-09-01","3510","3540","3440","3450","672400","3450","5078"
"2008-09-02","3460","3590","3410","3440","1180800","3440","5079"
"2008-09-03","3540","3670","3520","3600","1676500","3600","5080"
"2008-09-04","3570","3640","3530","3540","1601200","3540","5081"
"2008-09-05","3440","3500","3440","3470","1267900","3470","5082"
"2008-09-08","3630","3860","3630","3840","2164500","3840","5083"
"2008-09-09","3840","3860","3670","3720","1737400","3720","5084"
"2008-09-10","3620","3790","3610","3750","1435599","3750","5085"
"2008-09-11","3630","3660","3550","3560","1130000","3560","5086"
"2008-09-12","3610","3630","3490","3620","1746800","3620","5087"
"2008-09-16","3130","3270","3120","3270","1657400","3270","5089"
"2008-09-17","3350","3380","3190","3280","1931099","3280","5090"
"2008-09-18","3000","3130","2975","3080","2434800","3080","5091"
"2008-09-19","3230","3540","3230","3390","2135300","3390","5092"
"2008-09-22","3640","3680","3490","3640","2687400","3640","5093"
"2008-09-24","3500","3710","3450","3700","2772300","3700","5095"
"2008-09-25","3640","3730","3570","3710","1697200","3710","5096"
"2008-09-26","3760","3860","3740","3840","2732500","3840","5097"
"2008-09-29","3790","3850","3640","3650","2108199","3650","5098"
"2008-09-30","3450","3570","3330","3490","1992099","3490","5099"
"2008-10-01","3540","3740","3500","3700","2774000","3700","5100"
"2008-10-02","3740","3770","3610","3640","2180100","3640","5101"
"2008-10-03","3590","3800","3570","3710","2290100","3710","5102"
"2008-10-06","3620","3680","3480","3510","1919599","3510","5103"
"2008-10-07","3360","3630","3270","3550","1868000","3550","5104"
"2008-10-08","3460","3600","3390","3440","3176000","3440","5105"
"2008-10-09","3340","3540","3250","3320","4571300","3320","5106"
"2008-10-10","2890","3130","2890","3020","3418600","3020","5107"
"2008-10-14","3320","3500","3150","3390","3221800","3390","5109"
"2008-10-15","3250","3460","3240","3430","2088100","3430","5110"
"2008-10-16","3030","3200","3000","3080","2734300","3080","5111"
"2008-10-17","3170","3270","3160","3250","2188400","3250","5112"
"2008-10-20","3350","3370","3250","3330","2255900","3330","5113"
"2008-10-21","3450","3500","3410","3450","1571300","3450","5114"
"2008-10-22","3380","3380","3140","3150","1624500","3150","5115"
"2008-10-23","3000","3190","2900","3180","2540600","3180","5116"
"2008-10-24","3130","3130","2815","2830","2567500","2830","5117"
"2008-10-27","2590","2800","2435","2460","3265100","2460","5118"
"2008-10-28","2340","2500","2215","2440","3137600","2440","5119"
"2008-10-29","2680","2755","2540","2710","1998099","2710","5120"
"2008-10-30","2730","2915","2695","2795","5398700","2795","5121"
"2008-10-31","2770","2880","2540","2675","3422500","2675","5122"
"2008-11-04","2955","3000","2835","2980","1747800","2980","5124"
"2008-11-05","3170","3220","3070","3220","1484599","3220","5125"
"2008-11-06","2970","3030","2905","2970","1672400","2970","5126"
"2008-11-07","2730","2980","2720","2855","1774400","2855","5127"
"2008-11-10","3010","3210","3010","3190","1186900","3190","5128"
"2008-11-11","3140","3270","3030","3070","1287800","3070","5129"
"2008-11-12","2810","2965","2810","2895","2427500","2895","5130"
"2008-11-13","2735","2840","2715","2720","1552400","2720","5131"
"2008-11-14","2880","2900","2720","2780","1198200","2780","5132"
"2008-11-17","2720","2835","2550","2735","1653500","2735","5133"
"2008-11-18","2630","2655","2540","2540","1476300","2540","5134"
"2008-11-19","2500","2560","2345","2435","1478700","2435","5135"
"2008-11-20","2055","2065","2035","2035","1053000","2035","5136"
"2008-11-21","1635","2000","1635","1956","5062700","1956","5137"
"2008-11-25","2055","2205","2010","2195","3265400","2195","5139"
"2008-11-26","2115","2365","2065","2310","2743199","2310","5140"
"2008-11-27","2420","2475","2360","2405","1975500","2405","5141"
"2008-11-28","2325","2380","2220","2270","1825599","2270","5142"
"2008-12-01","2350","2370","2285","2315","1177500","2315","5143"
"2008-12-02","2075","2180","2050","2075","1714000","2075","5144"
"2008-12-03","2155","2185","2085","2150","1727000","2150","5145"
"2008-12-04","2110","2190","2080","2105","1719599","2105","5146"
"2008-12-05","2135","2150","2035","2055","1593200","2055","5147"
"2008-12-08","2095","2285","2095","2265","1465500","2265","5148"
"2008-12-09","2225","2265","2130","2190","1572700","2190","5149"
"2008-12-10","2270","2290","2115","2200","1728400","2200","5150"
"2008-12-11","2180","2295","2130","2285","1989900","2285","5151"
"2008-12-12","2325","2420","2165","2270","4153100","2270","5152"
"2008-12-15","2310","2550","2310","2500","2173000","2500","5153"
"2008-12-16","2440","2500","2355","2420","2397699","2420","5154"
"2008-12-17","2410","2545","2405","2510","3465900","2510","5155"
"2008-12-18","2435","2535","2410","2440","2224300","2440","5156"
"2008-12-19","2415","2600","2400","2515","2318500","2515","5157"
"2008-12-22","2495","2640","2475","2575","1644200","2575","5158"
"2008-12-24","2550","2550","2475","2495","1414500","2495","5160"
"2008-12-25","2535","2570","2520","2570","413399","2570","5161"
"2008-12-26","2575","2665","2575","2665","452600","2665","5162"
"2008-12-29","2905","2905","2770","2885","1572400","2885","5163"
"2008-12-30","2725","2825","2725","2785","882000","2785","5164"
"2009-01-05","2840","2845","2680","2730","825200","2730","5167"
"2009-01-06","2745","2750","2620","2625","1226900","2625","5168"
"2009-01-07","2665","2710","2620","2640","1610800","2640","5169"
"2009-01-08","2575","2655","2570","2575","966799","2575","5170"
"2009-01-09","2615","2650","2550","2555","1773599","2555","5171"
"2009-01-13","2435","2465","2410","2415","1177000","2415","5173"
"2009-01-14","2435","2545","2430","2465","1496400","2465","5174"
"2009-01-15","2385","2450","2355","2415","2028800","2415","5175"
"2009-01-16","2455","2550","2410","2495","1840500","2495","5176"
"2009-01-19","2470","2630","2470","2495","1865200","2495","5177"
"2009-01-20","2485","2550","2415","2435","1680200","2435","5178"
"2009-01-21","2315","2315","2170","2175","3404600","2175","5179"
"2009-01-22","2225","2370","2175","2370","1999400","2370","5180"
"2009-01-23","2310","2310","2200","2200","1775800","2200","5181"
"2009-01-26","2200","2295","2200","2225","1323900","2225","5182"
"2009-01-27","2295","2470","2290","2450","1618800","2450","5183"
"2009-01-28","2425","2475","2310","2425","1861900","2425","5184"
"2009-01-29","2510","2575","2510","2565","1898700","2565","5185"
"2009-01-30","2470","2495","2360","2385","1496000","2385","5186"
"2009-02-02","2305","2335","2250","2300","1294700","2300","5187"
"2009-02-03","2340","2505","2310","2370","1542099","2370","5188"
"2009-02-04","2410","2485","2375","2440","1362400","2440","5189"
"2009-02-05","2435","2435","2340","2355","795400","2355","5190"
"2009-02-06","2425","2445","2385","2425","1023000","2425","5191"
"2009-02-09","2500","2510","2415","2420","1179300","2420","5192"
"2009-02-10","2500","2560","2485","2510","1362200","2510","5193"
"2009-02-12","2445","2450","2370","2380","1794500","2380","5195"
"2009-02-13","2385","2385","2270","2325","2825400","2325","5196"
"2009-02-16","2285","2440","2275","2430","2213699","2430","5197"
"2009-02-17","2400","2430","2345","2350","1226300","2350","5198"
"2009-02-18","2275","2315","2235","2265","1578200","2265","5199"
"2009-02-19","2270","2305","2210","2210","1371500","2210","5200"
"2009-02-20","2220","2380","2200","2235","2681199","2235","5201"
"2009-02-23","2130","2240","2115","2210","1495800","2210","5202"
"2009-02-24","2110","2195","2105","2155","1161500","2155","5203"
"2009-02-25","2250","2295","2180","2290","1542800","2290","5204"
"2009-02-26","2250","2325","2210","2225","1328200","2225","5205"
"2009-02-27","2220","2370","2205","2370","1924800","2370","5206"
"2009-03-02","2250","2350","2230","2240","1755500","2240","5207"
"2009-03-03","2160","2230","2130","2230","1787599","2230","5208"
"2009-03-04","2150","2205","2130","2200","1609599","2200","5209"
"2009-03-05","2200","2210","2095","2095","2856400","2095","5210"
"2009-03-06","2055","2070","1976","1983","2926699","1983","5211"
"2009-03-09","1975","1976","1766","1836","3512800","1836","5212"
"2009-03-10","1776","1896","1765","1890","3167100","1890","5213"
"2009-03-11","2000","2070","1984","2060","2769000","2060","5214"
"2009-03-12","2025","2040","1897","1906","2527600","1906","5215"
"2009-03-13","1941","2040","1937","2025","3349500","2025","5216"
"2009-03-16","1985","2090","1985","2025","2279300","2025","5217"
"2009-03-17","2065","2125","2065","2090","2846600","2090","5218"
"2009-03-18","2140","2215","2130","2190","3892000","2190","5219"
"2009-03-19","2225","2325","2210","2290","2875800","2290","5220"
"2009-03-23","2255","2380","2225","2340","1967800","2340","5222"
"2009-03-24","2500","2510","2415","2495","2019800","2495","5223"
"2009-03-25","2490","2490","2370","2415","2091800","2415","5224"
"2009-03-26","2415","2480","2360","2475","1295300","2475","5225"
"2009-03-27","2555","2670","2540","2630","2305800","2630","5226"
"2009-03-30","2590","2625","2420","2420","1997500","2420","5227"
"2009-03-31","2380","2475","2240","2275","2457699","2275","5228"
"2009-04-01","2350","2370","2295","2340","1335599","2340","5229"
"2009-04-02","2355","2520","2345","2510","1725900","2510","5230"
"2009-04-03","2550","2595","2505","2520","1190099","2520","5231"
"2009-04-06","2640","2640","2475","2500","1374099","2500","5232"
"2009-04-07","2510","2570","2480","2525","1329200","2525","5233"
"2009-04-08","2435","2440","2340","2365","1430599","2365","5234"
"2009-04-09","2410","2585","2410","2575","1664599","2575","5235"
"2009-04-10","2605","2630","2510","2605","2434300","2605","5236"
"2009-04-13","2595","2780","2550","2735","1972599","2735","5237"
"2009-04-14","2760","2785","2650","2730","2720000","2730","5238"
"2009-04-15","2705","2730","2625","2695","1467300","2695","5239"
"2009-04-16","2760","2800","2640","2680","1784500","2680","5240"
"2009-04-17","2705","2745","2620","2630","1586000","2630","5241"
"2009-04-20","2670","2690","2600","2655","912600","2655","5242"
