8750 ëÊàÍê∂ñΩHD,,,,,
"date","open","hight","low","close","power","End","date_position"
"2010-04-02","1638","1688","1621","1625","107855304","1625","5490"
"2010-04-05","1635","1637","1580","1584","31007000","1584","5491"
"2010-04-06","1555","1580","1501","1518","30977500","1518","5492"
"2010-04-07","1537","1573","1525","1571","22429400","1571","5493"
"2010-04-08","1587","1594","1570","1574","15337700","1574","5494"
"2010-04-09","1578","1598","1576","1597","9874100","1597","5495"
"2010-04-12","1608","1626","1604","1618","21459500","1618","5496"
"2010-04-13","1624","1630","1599","1630","16871099","1630","5497"
"2010-04-14","1629","1630","1597","1614","65155199","1614","5498"
"2010-04-15","1609","1610","1575","1588","11814299","1588","5499"
"2010-04-16","1588","1588","1552","1560","8319700","1560","5500"
"2010-04-19","1520","1551","1514","1549","8651700","1549","5501"
"2010-04-20","1570","1577","1551","1555","4980100","1555","5502"
"2010-04-21","1562","1573","1560","1570","5268000","1570","5503"
"2010-04-22","1551","1567","1550","1567","3812800","1567","5504"
"2010-04-23","1560","1561","1544","1552","4117100","1552","5505"
"2010-04-26","1550","1557","1542","1549","5634000","1549","5506"
"2010-04-27","1548","1587","1542","1586","10925900","1586","5507"
"2010-04-28","1570","1582","1560","1580","7586600","1580","5508"
"2010-04-30","1589","1609","1581","1605","13460100","1605","5510"
"2010-05-06","1565","1573","1549","1569","7789500","1569","5514"
"2010-05-07","1530","1543","1514","1540","15850000","1540","5515"
"2010-05-10","1552","1585","1547","1579","9214500","1579","5516"
"2010-05-11","1593","1605","1578","1588","12463100","1588","5517"
"2010-05-12","1610","1614","1583","1583","10189799","1583","5518"
"2010-05-13","1590","1592","1557","1588","8285400","1588","5519"
"2010-05-14","1596","1615","1588","1605","13369200","1605","5520"
"2010-05-17","1577","1581","1541","1541","10548600","1541","5521"
"2010-05-18","1551","1563","1542","1545","6192800","1545","5522"
"2010-05-19","1536","1547","1513","1543","6928100","1543","5523"
"2010-05-20","1526","1554","1526","1535","4070300","1535","5524"
"2010-05-21","1500","1504","1471","1503","11470799","1503","5525"
"2010-05-24","1491","1516","1491","1503","4984500","1503","5526"
"2010-05-25","1485","1492","1407","1432","13303799","1432","5527"
"2010-05-26","1460","1484","1437","1477","12599500","1477","5528"
"2010-05-27","1476","1505","1448","1503","16133700","1503","5529"
"2010-05-28","1543","1548","1481","1481","67659804","1481","5530"
"2010-05-31","1490","1523","1485","1500","19718599","1500","5531"
"2010-06-01","1480","1523","1474","1521","7825000","1521","5532"
"2010-06-02","1510","1518","1496","1507","5608600","1507","5533"
"2010-06-03","1507","1512","1486","1497","5313399","1497","5534"
"2010-06-04","1498","1499","1445","1449","8055800","1449","5535"
"2010-06-07","1400","1410","1367","1367","9032000","1367","5536"
"2010-06-08","1341","1377","1337","1361","8101500","1361","5537"
"2010-06-09","1350","1370","1345","1367","3600800","1367","5538"
"2010-06-10","1360","1371","1349","1358","2778500","1358","5539"
"2010-06-11","1378","1385","1368","1382","5185100","1382","5540"
"2010-06-14","1394","1395","1382","1390","2126199","1390","5541"
"2010-06-15","1391","1392","1362","1371","2344500","1371","5542"
"2010-06-16","1385","1390","1380","1383","2644400","1383","5543"
"2010-06-17","1380","1385","1371","1377","3405699","1377","5544"
"2010-06-18","1366","1370","1335","1352","5461000","1352","5545"
"2010-06-21","1356","1376","1329","1336","6064300","1336","5546"
"2010-06-22","1323","1327","1291","1291","11916100","1291","5547"
"2010-06-23","1295","1314","1273","1306","10865100","1306","5548"
"2010-06-24","1292","1308","1284","1284","4550200","1284","5549"
"2010-06-25","1280","1280","1248","1253","6997300","1253","5550"
"2010-06-28","1237","1242","1201","1202","6422899","1202","5551"
"2010-06-29","1192","1221","1192","1204","7214300","1204","5552"
"2010-06-30","1182","1226","1182","1226","6924700","1226","5553"
"2010-07-01","1203","1220","1160","1165","7008899","1165","5554"
"2010-07-02","1175","1207","1166","1204","5670800","1204","5555"
"2010-07-05","1207","1227","1197","1226","4136500","1226","5556"
"2010-07-06","1207","1225","1187","1225","4082900","1225","5557"
"2010-07-07","1230","1238","1200","1211","3938400","1211","5558"
"2010-07-08","1226","1238","1206","1214","4205800","1214","5559"
"2010-07-09","1203","1211","1174","1178","5397399","1178","5560"
"2010-07-12","1169","1173","1157","1158","5651600","1158","5561"
"2010-07-13","1159","1185","1156","1181","5657500","1181","5562"
"2010-07-14","1200","1227","1190","1217","5030800","1217","5563"
"2010-07-15","1227","1245","1197","1197","6188300","1197","5564"
"2010-07-16","1188","1189","1163","1169","3965400","1169","5565"
"2010-07-20","1163","1165","1138","1144","4085300","1144","5567"
"2010-07-21","1145","1157","1101","1105","6898800","1105","5568"
"2010-07-22","1098","1125","1093","1104","6618700","1104","5569"
"2010-07-23","1120","1133","1111","1131","5824300","1131","5570"
"2010-07-26","1136","1147","1123","1126","2286100","1126","5571"
"2010-07-27","1123","1134","1116","1130","3346600","1130","5572"
"2010-07-28","1140","1215","1139","1213","8094300","1213","5573"
"2010-07-29","1200","1237","1197","1214","5110500","1214","5574"
"2010-07-30","1210","1231","1194","1226","4430899","1226","5575"
