8766 ìåãûäCè„HD(É~ÉåÉAHD),,,,,
"date","open","hight","low","close","power","End","date_position"
"2002-04-02","2000","2020","1978","1994","4237000","1994","3409"
"2002-04-03","1974","2040","1974","1998","2386000","1998","3410"
"2002-04-04","2000","2040","2000","2020","860500","2020","3411"
"2002-04-05","2020","2040","1994","1994","1171000","1994","3412"
"2002-04-08","1974","1980","1926","1932","1870000","1932","3413"
"2002-04-09","1936","1952","1880","1888","1452000","1888","3414"
"2002-04-10","1908","1940","1886","1910","1984500","1910","3415"
"2002-04-11","1918","1918","1860","1860","1322500","1860","3416"
"2002-04-12","1850","1876","1820","1848","1191500","1848","3417"
"2002-04-15","1852","1888","1848","1888","856000","1888","3418"
"2002-04-16","1868","1890","1858","1890","842500","1890","3419"
"2002-04-17","1880","1888","1824","1838","1921500","1838","3420"
"2002-04-18","1840","1856","1828","1838","1666000","1838","3421"
"2002-04-19","1846","1898","1840","1894","2557500","1894","3422"
"2002-04-22","1938","1954","1912","1932","2378500","1932","3423"
"2002-04-23","1920","1946","1910","1936","2075500","1936","3424"
"2002-04-24","1968","1988","1960","1966","2083000","1966","3425"
"2002-04-25","1966","2040","1966","2000","2209500","2000","3426"
"2002-04-26","2040","2060","2000","2020","2462500","2020","3427"
"2002-04-30","2000","2020","1992","2000","1512500","2000","3429"
"2002-05-01","2020","2040","2000","2000","735000","2000","3430"
"2002-05-02","2020","2020","2000","2000","365000","2000","3431"
"2002-05-07","1992","2040","1980","2040","1503500","2040","3434"
"2002-05-08","2040","2060","2020","2040","1032000","2040","3435"
"2002-05-09","2040","2060","2000","2000","826000","2000","3436"
"2002-05-10","2020","2020","2000","2000","1170000","2000","3437"
"2002-05-13","2000","2020","1988","2020","1254500","2020","3438"
"2002-05-14","2020","2020","1988","2000","2032000","2000","3439"
"2002-05-15","2040","2060","2020","2040","1461000","2040","3440"
"2002-05-16","2040","2080","2040","2080","1247000","2080","3441"
"2002-05-17","2080","2100","2040","2040","1226500","2040","3442"
