8801 ŽOˆä•s“®ŽY,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","3040","3060","2980","2980","3225000","2980","1"
"1989-02-20","3020","3070","2990","3020","3751000","3020","2"
"1989-02-21","3050","3060","2950","2960","1841000","2960","3"
"1989-02-22","3000","3000","2950","2950","1712000","2950","4"
"1989-02-23","2910","2940","2910","2930","2383000","2930","5"
"1989-02-27","2920","2930","2890","2890","1246000","2890","7"
"1989-02-28","2880","2880","2830","2840","1992000","2840","8"
"1989-03-01","2880","2880","2770","2800","1837000","2800","9"
"1989-03-02","2840","2840","2780","2800","1722000","2800","10"
"1989-03-03","2810","2830","2710","2720","2180000","2720","11"
"1989-03-06","2760","2760","2710","2750","1724000","2750","12"
"1989-03-07","2790","2830","2750","2820","2553000","2820","13"
"1989-03-08","2830","2850","2770","2790","2227000","2790","14"
"1989-03-09","2800","2800","2710","2720","2145000","2720","15"
"1989-03-10","2720","2770","2680","2760","1126000","2760","16"
"1989-03-13","2780","2780","2700","2730","846000","2730","17"
"1989-03-14","2740","2750","2700","2700","1321000","2700","18"
"1989-03-15","2700","2720","2690","2690","2582000","2690","19"
"1989-03-16","2710","2730","2680","2680","2362000","2680","20"
"1989-03-17","2690","2700","2620","2660","1629000","2660","21"
"1989-03-20","2580","2630","2540","2540","2974000","2540","22"
"1989-03-22","2560","2570","2470","2470","2341000","2470","24"
"1989-03-23","2470","2530","2470","2500","3207000","2500","25"
"1989-03-24","2510","2530","2490","2500","1779000","2500","26"
"1989-03-27","2500","2510","2450","2450","3038000","2450","27"
"1989-03-28","2390","2480","2350","2460","4200000","2460","28"
"1989-03-29","2490","2590","2450","2580","1943000","2580","29"
"1989-03-30","2600","2600","2540","2600","1787000","2600","30"
"1989-03-31","2630","2660","2570","2570","2529000","2570","31"
"1989-04-03","2580","2600","2500","2520","1272000","2520","32"
"1989-04-04","2520","2570","2500","2540","2069000","2540","33"
"1989-04-05","2660","2660","2580","2610","3413000","2610","34"
"1989-04-06","2620","2620","2560","2560","877000","2560","35"
"1989-04-07","2590","2590","2500","2530","1047000","2530","36"
"1989-04-10","2540","2540","2520","2520","735000","2520","37"
"1989-04-11","2510","2570","2500","2550","593000","2550","38"
"1989-04-12","2570","2580","2520","2520","737000","2520","39"
"1989-04-13","2550","2550","2510","2520","715000","2520","40"
