8802 éOïHínèä,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","2900","2900","2850","2860","4916000","2860","1"
"1989-02-20","2900","2950","2880","2920","10791000","2920","2"
"1989-02-21","2930","2940","2820","2850","4919000","2850","3"
"1989-02-22","2850","2870","2830","2870","1895000","2870","4"
"1989-02-23","2850","2850","2810","2830","2473000","2830","5"
"1989-02-27","2810","2830","2760","2780","696000","2780","7"
"1989-02-28","2780","2790","2670","2690","1855000","2690","8"
"1989-03-01","2730","2730","2650","2670","1308000","2670","9"
"1989-03-02","2670","2690","2620","2680","1311000","2680","10"
"1989-03-03","2690","2720","2650","2670","1225000","2670","11"
"1989-03-06","2660","2680","2640","2640","652000","2640","12"
"1989-03-07","2640","2700","2630","2670","653000","2670","13"
"1989-03-08","2750","2750","2680","2680","713000","2680","14"
"1989-03-09","2670","2670","2620","2620","1002000","2620","15"
"1989-03-10","2610","2630","2590","2620","1678000","2620","16"
"1989-03-13","2620","2620","2570","2600","711000","2600","17"
"1989-03-14","2590","2600","2560","2580","1633000","2580","18"
"1989-03-15","2600","2620","2570","2600","1030000","2600","19"
"1989-03-16","2600","2620","2580","2580","1302000","2580","20"
"1989-03-17","2580","2580","2530","2550","1587000","2550","21"
"1989-03-20","2490","2520","2410","2500","3133000","2500","22"
"1989-03-22","2460","2490","2400","2420","1824000","2420","24"
"1989-03-23","2430","2450","2400","2440","1894000","2440","25"
"1989-03-24","2440","2450","2410","2440","1550000","2440","26"
"1989-03-27","2430","2430","2390","2410","2679000","2410","27"
"1989-03-28","2450","2490","2410","2490","1564000","2490","28"
"1989-03-29","2500","2600","2490","2590","2145000","2590","29"
"1989-03-30","2600","2630","2570","2600","1587000","2600","30"
"1989-03-31","2600","2630","2590","2620","1949000","2620","31"
"1989-04-03","2600","2600","2550","2580","998000","2580","32"
"1989-04-04","2540","2630","2540","2620","2094000","2620","33"
"1989-04-05","2640","2650","2620","2640","2749000","2640","34"
"1989-04-06","2630","2630","2580","2600","923000","2600","35"
"1989-04-07","2590","2660","2590","2660","2192000","2660","36"
"1989-04-10","2620","2670","2610","2670","1764000","2670","37"
"1989-04-11","2590","2640","2590","2600","945000","2600","38"
"1989-04-12","2600","2630","2600","2600","681000","2600","39"
"1989-04-13","2600","2600","2550","2560","511000","2560","40"
"1989-04-14","2520","2540","2520","2530","441000","2530","41"
"1989-04-17","2500","2530","2480","2480","1396000","2480","42"
"1989-04-18","2490","2500","2480","2480","1316000","2480","43"
"1989-04-19","2480","2520","2480","2480","663000","2480","44"
"1989-04-20","2480","2490","2450","2450","1171000","2450","45"
"1989-04-21","2430","2460","2410","2410","882000","2410","46"
"1989-04-24","2400","2410","2360","2410","834000","2410","47"
"1989-04-25","2380","2440","2360","2410","1135000","2410","48"
"1989-04-26","2450","2450","2420","2430","969000","2430","49"
"1989-04-27","2450","2500","2440","2480","761000","2480","50"
"1989-04-28","2500","2550","2480","2550","1530000","2550","51"
"1989-05-01","2560","2590","2560","2570","1762000","2570","52"
"1989-05-02","2590","2590","2550","2550","698000","2550","53"
"1989-05-08","2560","2580","2550","2580","1784000","2580","57"
"1989-05-09","2580","2600","2520","2560","1364000","2560","58"
"1989-05-10","2580","2610","2550","2560","2372000","2560","59"
"1989-05-11","2570","2590","2550","2590","915000","2590","60"
"1989-05-12","2560","2560","2520","2530","1201000","2530","61"
"1989-05-15","2530","2530","2500","2510","430000","2510","62"
"1989-05-16","2520","2550","2490","2500","856000","2500","63"
"1989-05-17","2500","2520","2490","2500","808000","2500","64"
"1989-05-18","2490","2490","2470","2470","789000","2470","65"
"1989-05-19","2470","2480","2440","2470","1810000","2470","66"
"1989-05-22","2470","2520","2470","2490","632000","2490","67"
"1989-05-23","2480","2480","2440","2460","971000","2460","68"
"1989-05-24","2450","2470","2430","2430","1267000","2430","69"
"1989-05-25","2470","2470","2440","2440","1113000","2440","70"
"1989-05-26","2440","2470","2440","2450","725000","2450","71"
"1989-05-29","2460","2490","2450","2460","545000","2460","72"
"1989-05-30","2460","2460","2440","2440","549000","2440","73"
"1989-05-31","2410","2440","2410","2420","1020000","2420","74"
"1989-06-01","2420","2420","2360","2360","3004000","2360","75"
"1989-06-02","2380","2400","2330","2370","1070000","2370","76"
"1989-06-05","2370","2400","2370","2370","704000","2370","77"
"1989-06-06","2370","2420","2360","2420","509000","2420","78"
"1989-06-07","2440","2440","2380","2410","759000","2410","79"
"1989-06-08","2410","2430","2410","2420","539000","2420","80"
"1989-06-09","2430","2430","2390","2390","459000","2390","81"
"1989-06-12","2430","2430","2360","2380","486000","2380","82"
"1989-06-13","2400","2400","2340","2350","429000","2350","83"
"1989-06-14","2320","2350","2320","2350","784000","2350","84"
"1989-06-15","2340","2340","2240","2240","1235000","2240","85"
"1989-06-16","2260","2300","2220","2230","1397000","2230","86"
"1989-06-19","2240","2250","2230","2230","644000","2230","87"
"1989-06-20","2230","2250","2230","2230","870000","2230","88"
"1989-06-21","2240","2290","2240","2290","877000","2290","89"
"1989-06-22","2290","2340","2290","2340","935000","2340","90"
"1989-06-23","2340","2400","2340","2390","1562000","2390","91"
"1989-06-26","2430","2450","2410","2450","1616000","2450","92"
"1989-06-27","2430","2440","2400","2400","738000","2400","93"
"1989-06-28","2360","2400","2350","2390","695000","2390","94"
"1989-06-29","2360","2390","2310","2350","1332000","2350","95"
"1989-06-30","2310","2330","2250","2300","2401000","2300","96"
"1989-07-03","2260","2280","2250","2260","1417000","2260","97"
"1989-07-04","2280","2300","2260","2270","795000","2270","98"
"1989-07-05","2270","2330","2270","2330","998000","2330","99"
"1989-07-06","2370","2380","2360","2360","1511000","2360","100"
"1989-07-07","2390","2460","2380","2400","1010000","2400","101"
"1989-07-10","2420","2430","2380","2400","967000","2400","102"
"1989-07-11","2410","2450","2400","2430","1051000","2430","103"
"1989-07-12","2440","2440","2400","2420","881000","2420","104"
"1989-07-13","2420","2440","2400","2430","1192000","2430","105"
"1989-07-14","2420","2430","2390","2400","490000","2400","106"
"1989-07-17","2410","2420","2390","2390","540000","2390","107"
"1989-07-18","2400","2400","2380","2400","430000","2400","108"
"1989-07-19","2390","2400","2380","2390","981000","2390","109"
"1989-07-20","2400","2410","2380","2380","1412000","2380","110"
"1989-07-21","2400","2400","2380","2390","684000","2390","111"
"1989-07-24","2400","2440","2390","2440","1489000","2440","112"
"1989-07-25","2460","2490","2420","2490","2100000","2490","113"
"1989-07-26","2500","2520","2470","2480","1399000","2480","114"
"1989-07-27","2460","2540","2460","2540","4221000","2540","115"
"1989-07-28","2540","2550","2500","2500","1769000","2500","116"
"1989-07-31","2530","2530","2500","2520","709000","2520","117"
"1989-08-01","2520","2520","2490","2500","730000","2500","118"
"1989-08-02","2500","2520","2480","2510","860000","2510","119"
"1989-08-03","2520","2530","2500","2510","1066000","2510","120"
"1989-08-04","2500","2510","2500","2510","373000","2510","121"
"1989-08-07","2500","2500","2460","2470","348000","2470","122"
"1989-08-08","2460","2490","2460","2490","605000","2490","123"
"1989-08-09","2490","2520","2480","2490","708000","2490","124"
"1989-08-10","2500","2500","2420","2420","1889000","2420","125"
"1989-08-11","2460","2470","2440","2460","1455000","2460","126"
"1989-08-14","2460","2500","2450","2500","793000","2500","127"
"1989-08-15","2490","2490","2460","2470","248000","2470","128"
"1989-08-16","2460","2490","2450","2490","684000","2490","129"
"1989-08-17","2460","2490","2460","2490","450000","2490","130"
"1989-08-18","2460","2480","2450","2460","517000","2460","131"
"1989-08-21","2470","2480","2460","2470","359000","2470","132"
"1989-08-22","2450","2470","2430","2430","514000","2430","133"
"1989-08-23","2450","2460","2430","2460","582000","2460","134"
"1989-08-24","2460","2460","2430","2430","330000","2430","135"
"1989-08-25","2450","2460","2430","2440","313000","2440","136"
"1989-08-28","2410","2430","2400","2430","569000","2430","137"
"1989-08-29","2400","2430","2400","2420","402000","2420","138"
"1989-08-30","2410","2420","2380","2400","514000","2400","139"
"1989-08-31","2400","2400","2350","2390","1164000","2390","140"
"1989-09-01","2410","2420","2400","2420","611000","2420","141"
"1989-09-04","2400","2450","2360","2420","711000","2420","142"
"1989-09-05","2430","2450","2420","2430","753000","2430","143"
"1989-09-06","2420","2430","2370","2400","789000","2400","144"
"1989-09-07","2370","2390","2350","2380","600000","2380","145"
"1989-09-08","2350","2390","2350","2360","676000","2360","146"
"1989-09-11","2360","2370","2340","2340","1208000","2340","147"
"1989-09-12","2360","2370","2350","2360","955000","2360","148"
"1989-09-13","2360","2370","2350","2370","475000","2370","149"
"1989-09-14","2380","2400","2360","2400","391000","2400","150"
"1989-09-18","2370","2490","2370","2460","669000","2460","152"
"1989-09-19","2460","2460","2410","2430","534000","2430","153"
"1989-09-20","2430","2440","2430","2430","498000","2430","154"
"1989-09-21","2440","2440","2410","2440","900000","2440","155"
"1989-09-22","2470","2490","2410","2420","1298000","2420","156"
"1989-09-25","2450","2450","2420","2430","1532000","2430","157"
"1989-09-26","2450","2470","2440","2450","1215000","2450","158"
"1989-09-27","2470","2500","2460","2480","3046000","2480","159"
"1989-09-28","2520","2540","2490","2520","4570000","2520","160"
"1989-09-29","2530","2540","2470","2490","2432000","2490","161"
"1989-10-02","2500","2510","2470","2470","1473000","2470","162"
"1989-10-03","2480","2490","2450","2470","932000","2470","163"
"1989-10-04","2460","2470","2410","2420","883000","2420","164"
"1989-10-05","2420","2420","2380","2400","823000","2400","165"
"1989-10-06","2360","2380","2330","2380","1153000","2380","166"
"1989-10-09","2380","2390","2330","2340","943000","2340","167"
"1989-10-11","2340","2340","2280","2320","1083000","2320","169"
"1989-10-12","2280","2290","2260","2260","1548000","2260","170"
"1989-10-13","2300","2340","2290","2340","833000","2340","171"
"1989-10-16","2260","2300","2250","2280","2402000","2280","172"
"1989-10-17","2330","2370","2310","2360","1934000","2360","173"
"1989-10-18","2370","2380","2350","2370","1091000","2370","174"
"1989-10-19","2390","2500","2370","2500","1185000","2500","175"
"1989-10-20","2530","2530","2460","2490","2714000","2490","176"
"1989-10-23","2490","2490","2440","2460","1347000","2460","177"
