8804 “Œ‹žŒš•¨,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1790","1810","1710","1760","1957000","1760","1"
"1989-02-20","1760","1820","1740","1780","2840000","1780","2"
"1989-02-21","1780","1780","1690","1720","617000","1720","3"
"1989-02-22","1690","1750","1670","1690","1238000","1690","4"
"1989-02-23","1660","1700","1660","1690","856000","1690","5"
"1989-02-27","1660","1670","1610","1620","296000","1620","7"
"1989-02-28","1600","1630","1590","1590","409000","1590","8"
"1989-03-01","1600","1610","1540","1600","463000","1600","9"
"1989-03-02","1580","1600","1540","1600","596000","1600","10"
"1989-03-03","1610","1630","1570","1600","554000","1600","11"
"1989-03-06","1580","1600","1550","1600","153000","1600","12"
"1989-03-07","1550","1600","1550","1580","337000","1580","13"
"1989-03-08","1590","1600","1550","1550","312000","1550","14"
"1989-03-09","1560","1560","1520","1540","282000","1540","15"
"1989-03-10","1540","1590","1520","1590","202000","1590","16"
"1989-03-13","1560","1560","1520","1520","104000","1520","17"
"1989-03-14","1540","1560","1520","1560","1158000","1560","18"
"1989-03-15","1590","1590","1560","1570","336000","1570","19"
"1989-03-16","1550","1620","1550","1590","425000","1590","20"
"1989-03-17","1590","1600","1550","1550","172000","1550","21"
"1989-03-20","1520","1530","1490","1520","298000","1520","22"
"1989-03-22","1500","1500","1460","1500","412000","1500","24"
"1989-03-23","1500","1520","1480","1500","449000","1500","25"
"1989-03-24","1500","1500","1470","1480","250000","1480","26"
"1989-03-27","1460","1480","1430","1430","392000","1430","27"
"1989-03-28","1440","1480","1440","1460","521000","1460","28"
"1989-03-29","1470","1530","1470","1520","335000","1520","29"
"1989-03-30","1540","1570","1520","1530","278000","1530","30"
"1989-03-31","1510","1560","1510","1550","276000","1550","31"
"1989-04-03","1530","1540","1490","1490","225000","1490","32"
"1989-04-04","1510","1530","1470","1490","356000","1490","33"
"1989-04-05","1510","1530","1500","1500","859000","1500","34"
"1989-04-06","1520","1520","1480","1500","114000","1500","35"
"1989-04-07","1500","1500","1470","1480","217000","1480","36"
"1989-04-10","1480","1480","1450","1470","186000","1470","37"
"1989-04-11","1470","1480","1450","1480","188000","1480","38"
"1989-04-12","1470","1500","1450","1470","159000","1470","39"
"1989-04-13","1460","1480","1450","1470","178000","1470","40"
"1989-04-14","1450","1460","1430","1450","367000","1450","41"
"1989-04-17","1450","1480","1450","1480","153000","1480","42"
"1989-04-18","1460","1480","1450","1480","136000","1480","43"
"1989-04-19","1460","1480","1450","1460","182000","1460","44"
"1989-04-20","1460","1480","1450","1480","383000","1480","45"
"1989-04-21","1450","1470","1450","1470","132000","1470","46"
"1989-04-24","1470","1470","1420","1440","295000","1440","47"
"1989-04-25","1430","1480","1420","1460","200000","1460","48"
"1989-04-26","1500","1510","1490","1500","457000","1500","49"
"1989-04-27","1520","1540","1500","1530","358000","1530","50"
"1989-04-28","1540","1560","1530","1560","563000","1560","51"
"1989-05-01","1560","1580","1550","1570","403000","1570","52"
"1989-05-02","1570","1580","1550","1550","488000","1550","53"
"1989-05-08","1560","1570","1550","1560","251000","1560","57"
"1989-05-09","1560","1580","1550","1560","459000","1560","58"
"1989-05-10","1580","1590","1550","1570","555000","1570","59"
"1989-05-11","1550","1590","1550","1560","288000","1560","60"
"1989-05-12","1560","1570","1550","1550","178000","1550","61"
"1989-05-15","1550","1570","1500","1500","88000","1500","62"
"1989-05-16","1510","1540","1500","1520","409000","1520","63"
"1989-05-17","1520","1550","1510","1550","153000","1550","64"
"1989-05-18","1550","1550","1520","1520","147000","1520","65"
"1989-05-19","1520","1550","1520","1530","56000","1530","66"
"1989-05-22","1530","1540","1530","1530","77000","1530","67"
"1989-05-23","1510","1510","1480","1500","486000","1500","68"
"1989-05-24","1480","1500","1480","1490","124000","1490","69"
"1989-05-25","1510","1530","1490","1510","241000","1510","70"
"1989-05-26","1510","1540","1510","1530","333000","1530","71"
"1989-05-29","1540","1550","1530","1530","140000","1530","72"
"1989-05-30","1530","1540","1500","1500","398000","1500","73"
"1989-05-31","1520","1520","1500","1500","86000","1500","74"
"1989-06-01","1510","1530","1480","1490","429000","1490","75"
"1989-06-02","1510","1520","1480","1480","265000","1480","76"
"1989-06-05","1500","1550","1500","1530","556000","1530","77"
"1989-06-06","1530","1600","1520","1570","2392000","1570","78"
"1989-06-07","1600","1620","1580","1610","2231000","1610","79"
"1989-06-08","1620","1630","1590","1600","1302000","1600","80"
"1989-06-09","1580","1590","1550","1570","303000","1570","81"
"1989-06-12","1510","1540","1510","1510","302000","1510","82"
"1989-06-13","1490","1510","1470","1480","263000","1480","83"
"1989-06-14","1480","1560","1460","1560","227000","1560","84"
"1989-06-15","1490","1500","1490","1490","120000","1490","85"
"1989-06-16","1470","1500","1470","1480","180000","1480","86"
"1989-06-19","1470","1490","1460","1480","126000","1480","87"
"1989-06-20","1470","1500","1470","1480","121000","1480","88"
"1989-06-21","1480","1500","1480","1500","64000","1500","89"
"1989-06-22","1540","1540","1500","1500","585000","1500","90"
"1989-06-23","1540","1580","1520","1560","297000","1560","91"
"1989-06-26","1560","1580","1550","1570","612000","1570","92"
"1989-06-27","1560","1580","1540","1540","208000","1540","93"
"1989-06-28","1550","1550","1500","1500","313000","1500","94"
