9001 ìåïêìSìπ,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1710","1750","1670","1690","6314000","1690","1"
"1989-02-20","1700","1710","1680","1690","2385000","1690","2"
"1989-02-21","1700","1700","1650","1650","2431000","1650","3"
"1989-02-22","1660","1690","1650","1650","2776000","1650","4"
"1989-02-23","1680","1690","1650","1660","2638000","1660","5"
"1989-02-27","1660","1680","1650","1650","1695000","1650","7"
"1989-02-28","1630","1640","1580","1600","1912000","1600","8"
"1989-03-01","1610","1630","1560","1580","2396000","1580","9"
"1989-03-02","1560","1580","1540","1570","2056000","1570","10"
"1989-03-03","1600","1600","1570","1580","1954000","1580","11"
"1989-03-06","1580","1600","1560","1580","1354000","1580","12"
"1989-03-07","1560","1620","1560","1600","1557000","1600","13"
"1989-03-08","1620","1640","1580","1590","1674000","1590","14"
"1989-03-09","1580","1600","1550","1560","2219000","1560","15"
"1989-03-10","1560","1590","1550","1590","2157000","1590","16"
"1989-03-13","1590","1590","1560","1580","728000","1580","17"
"1989-03-14","1570","1600","1560","1600","1733000","1600","18"
"1989-03-15","1620","1620","1590","1590","2177000","1590","19"
"1989-03-16","1620","1630","1600","1600","2793000","1600","20"
"1989-03-17","1630","1640","1590","1620","2963000","1620","21"
"1989-03-20","1570","1600","1570","1570","2216000","1570","22"
"1989-03-22","1600","1610","1520","1540","2574000","1540","24"
"1989-03-23","1570","1570","1540","1550","2559000","1550","25"
"1989-03-24","1570","1580","1540","1540","1601000","1540","26"
"1989-03-27","1560","1570","1510","1520","2868000","1520","27"
"1989-03-28","1550","1620","1530","1570","1646000","1570","28"
"1989-03-29","1600","1610","1580","1590","1431000","1590","29"
"1989-03-30","1620","1680","1610","1630","4886000","1630","30"
"1989-03-31","1690","1690","1630","1650","5850000","1650","31"
"1989-04-03","1650","1650","1610","1620","2625000","1620","32"
"1989-04-04","1620","1650","1620","1640","1478000","1640","33"
"1989-04-05","1650","1660","1610","1650","1653000","1650","34"
"1989-04-06","1600","1630","1600","1600","1356000","1600","35"
"1989-04-07","1590","1620","1590","1610","1411000","1610","36"
"1989-04-10","1600","1600","1550","1580","921000","1580","37"
"1989-04-11","1580","1600","1560","1600","1462000","1600","38"
"1989-04-12","1600","1640","1590","1620","1627000","1620","39"
"1989-04-13","1620","1620","1580","1580","989000","1580","40"
"1989-04-14","1590","1600","1570","1590","900000","1590","41"
"1989-04-17","1600","1630","1590","1620","2036000","1620","42"
"1989-04-18","1630","1630","1590","1600","1047000","1600","43"
"1989-04-19","1610","1610","1570","1570","1225000","1570","44"
"1989-04-20","1560","1570","1550","1570","920000","1570","45"
"1989-04-21","1560","1580","1540","1560","832000","1560","46"
"1989-04-24","1590","1590","1540","1550","872000","1550","47"
"1989-04-25","1540","1580","1530","1560","1855000","1560","48"
"1989-04-26","1560","1590","1560","1560","1161000","1560","49"
"1989-04-27","1560","1630","1560","1620","1888000","1620","50"
"1989-04-28","1650","1650","1630","1640","3327000","1640","51"
"1989-05-01","1650","1670","1640","1650","2620000","1650","52"
"1989-05-02","1660","1680","1650","1660","5226000","1660","53"
