9005 ìåã}(ìåãûã}çsìdìS),,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1890","1910","1850","1910","2002000","1910","1"
"1989-02-20","1910","1910","1870","1900","828000","1900","2"
"1989-02-21","1900","1900","1850","1860","784000","1860","3"
"1989-02-22","1890","1890","1860","1870","866000","1870","4"
"1989-02-23","1860","1870","1850","1860","1299000","1860","5"
"1989-02-27","1850","1860","1840","1840","1319000","1840","7"
"1989-02-28","1820","1860","1770","1800","2485000","1800","8"
"1989-03-01","1820","1820","1770","1780","1277000","1780","9"
"1989-03-02","1770","1780","1770","1770","1322000","1770","10"
"1989-03-03","1780","1780","1770","1770","2135000","1770","11"
"1989-03-06","1770","1780","1750","1770","1341000","1770","12"
"1989-03-07","1750","1760","1710","1750","2287000","1750","13"
"1989-03-08","1760","1770","1740","1740","686000","1740","14"
"1989-03-09","1740","1740","1720","1740","1623000","1740","15"
"1989-03-10","1710","1720","1680","1720","2708000","1720","16"
"1989-03-13","1700","1700","1640","1660","2702000","1660","17"
"1989-03-14","1670","1700","1670","1670","2390000","1670","18"
"1989-03-15","1710","1710","1680","1690","907000","1690","19"
"1989-03-16","1690","1730","1690","1730","2412000","1730","20"
"1989-03-17","1720","1740","1700","1700","2271000","1700","21"
"1989-03-20","1690","1700","1680","1680","1105000","1680","22"
"1989-03-22","1680","1700","1630","1670","1511000","1670","24"
"1989-03-23","1670","1720","1670","1720","1046000","1720","25"
"1989-03-24","1700","1710","1680","1680","1427000","1680","26"
"1989-03-27","1680","1700","1660","1670","2113000","1670","27"
"1989-03-28","1630","1700","1630","1660","1700000","1660","28"
"1989-03-29","1670","1740","1660","1740","1685000","1740","29"
"1989-03-30","1710","1750","1710","1750","2064000","1750","30"
"1989-03-31","1760","1790","1700","1710","3011000","1710","31"
"1989-04-03","1720","1730","1700","1700","1205000","1700","32"
"1989-04-04","1690","1710","1680","1690","1320000","1690","33"
"1989-04-05","1710","1720","1690","1690","1032000","1690","34"
"1989-04-06","1710","1710","1640","1670","2251000","1670","35"
"1989-04-07","1670","1670","1650","1650","707000","1650","36"
"1989-04-10","1640","1650","1620","1620","1144000","1620","37"
"1989-04-11","1610","1680","1610","1650","2122000","1650","38"
"1989-04-12","1670","1720","1670","1670","2825000","1670","39"
"1989-04-13","1680","1720","1670","1680","3734000","1680","40"
"1989-04-14","1670","1680","1650","1650","1732000","1650","41"
"1989-04-17","1650","1690","1640","1690","1257000","1690","42"
"1989-04-18","1670","1680","1660","1660","1320000","1660","43"
"1989-04-19","1650","1680","1650","1650","1335000","1650","44"
"1989-04-20","1660","1680","1650","1670","1360000","1670","45"
"1989-04-21","1650","1680","1640","1660","1811000","1660","46"
"1989-04-24","1660","1670","1650","1650","738000","1650","47"
"1989-04-25","1650","1670","1650","1670","884000","1670","48"
"1989-04-26","1660","1670","1660","1660","954000","1660","49"
"1989-04-27","1660","1690","1660","1670","1821000","1670","50"
"1989-04-28","1700","1730","1690","1720","4139000","1720","51"
"1989-05-01","1750","1760","1730","1750","6184000","1750","52"
"1989-05-02","1750","1810","1750","1790","11921000","1790","53"
"1989-05-08","1790","1800","1770","1790","5096000","1790","57"
"1989-05-09","1780","1790","1760","1770","2861000","1770","58"
"1989-05-10","1770","1790","1760","1780","3055000","1780","59"
"1989-05-11","1780","1820","1770","1780","4730000","1780","60"
"1989-05-12","1780","1780","1750","1770","2023000","1770","61"
"1989-05-15","1770","1780","1750","1780","1227000","1780","62"
"1989-05-16","1770","1780","1760","1780","1067000","1780","63"
"1989-05-17","1750","1790","1750","1780","1219000","1780","64"
"1989-05-18","1760","1770","1750","1750","1268000","1750","65"
"1989-05-19","1750","1760","1740","1760","1575000","1760","66"
"1989-05-22","1740","1760","1720","1720","1368000","1720","67"
"1989-05-23","1720","1720","1680","1690","1539000","1690","68"
"1989-05-24","1690","1730","1680","1710","1297000","1710","69"
"1989-05-25","1700","1720","1690","1700","3146000","1700","70"
"1989-05-26","1710","1720","1700","1700","1496000","1700","71"
"1989-05-29","1710","1720","1700","1710","762000","1710","72"
"1989-05-30","1720","1740","1710","1740","1942000","1740","73"
"1989-05-31","1730","1750","1710","1720","1256000","1720","74"
"1989-06-01","1710","1730","1690","1710","1344000","1710","75"
"1989-06-02","1690","1720","1690","1690","3040000","1690","76"
"1989-06-05","1660","1680","1650","1660","1320000","1660","77"
"1989-06-06","1660","1700","1650","1650","1433000","1650","78"
"1989-06-07","1660","1720","1660","1670","2362000","1670","79"
"1989-06-08","1690","1720","1690","1700","1709000","1700","80"
"1989-06-09","1700","1710","1690","1690","1380000","1690","81"
"1989-06-12","1660","1690","1660","1680","843000","1680","82"
"1989-06-13","1670","1680","1660","1670","1348000","1670","83"
"1989-06-14","1660","1670","1630","1630","1305000","1630","84"
"1989-06-15","1650","1660","1600","1600","2041000","1600","85"
"1989-06-16","1590","1600","1570","1590","1995000","1590","86"
"1989-06-19","1560","1570","1550","1560","1091000","1560","87"
"1989-06-20","1570","1590","1560","1580","864000","1580","88"
"1989-06-21","1580","1600","1580","1600","643000","1600","89"
"1989-06-22","1600","1640","1600","1600","1510000","1600","90"
"1989-06-23","1630","1650","1610","1630","1483000","1630","91"
"1989-06-26","1640","1650","1630","1640","658000","1640","92"
"1989-06-27","1630","1650","1610","1650","417000","1650","93"
"1989-06-28","1620","1620","1590","1600","1226000","1600","94"
"1989-06-29","1570","1590","1570","1580","1171000","1580","95"
"1989-06-30","1570","1580","1550","1580","1050000","1580","96"
"1989-07-03","1560","1570","1550","1570","1270000","1570","97"
"1989-07-04","1570","1580","1530","1530","1460000","1530","98"
"1989-07-05","1530","1550","1520","1550","2366000","1550","99"
"1989-07-06","1580","1600","1570","1590","1618000","1590","100"
"1989-07-07","1600","1610","1580","1580","1207000","1580","101"
"1989-07-10","1610","1620","1580","1600","604000","1600","102"
"1989-07-11","1620","1630","1600","1620","855000","1620","103"
"1989-07-12","1640","1640","1620","1620","512000","1620","104"
"1989-07-13","1630","1650","1620","1650","625000","1650","105"
"1989-07-14","1630","1650","1630","1650","654000","1650","106"
"1989-07-17","1660","1660","1640","1640","734000","1640","107"
"1989-07-18","1650","1660","1640","1640","703000","1640","108"
"1989-07-19","1640","1650","1630","1650","1199000","1650","109"
"1989-07-20","1660","1660","1640","1640","1477000","1640","110"
"1989-07-21","1630","1640","1610","1630","1334000","1630","111"
"1989-07-24","1620","1680","1620","1670","875000","1670","112"
"1989-07-25","1680","1740","1670","1730","2635000","1730","113"
"1989-07-26","1730","1770","1730","1760","4970000","1760","114"
"1989-07-27","1770","1850","1760","1850","16234000","1850","115"
"1989-07-28","1850","1850","1820","1830","6336000","1830","116"
"1989-07-31","1850","1850","1810","1850","5034000","1850","117"
"1989-08-01","1850","1920","1840","1920","24078000","1920","118"
"1989-08-02","1920","1930","1860","1870","15424000","1870","119"
"1989-08-03","1870","1910","1860","1860","11001000","1860","120"
"1989-08-04","1860","1880","1840","1840","3426000","1840","121"
"1989-08-07","1830","1840","1820","1830","928000","1830","122"
"1989-08-08","1820","1840","1810","1830","1172000","1830","123"
"1989-08-09","1810","1840","1810","1830","1340000","1830","124"
"1989-08-10","1820","1830","1750","1750","1580000","1750","125"
"1989-08-11","1770","1790","1750","1760","1575000","1760","126"
"1989-08-14","1770","1770","1750","1770","416000","1770","127"
"1989-08-15","1750","1770","1750","1770","423000","1770","128"
"1989-08-16","1770","1810","1770","1800","902000","1800","129"
"1989-08-17","1810","1820","1800","1820","1299000","1820","130"
"1989-08-18","1820","1820","1800","1810","768000","1810","131"
"1989-08-21","1810","1820","1790","1800","339000","1800","132"
"1989-08-22","1800","1820","1790","1820","520000","1820","133"
"1989-08-23","1820","1820","1780","1780","572000","1780","134"
"1989-08-24","1760","1790","1760","1780","853000","1780","135"
"1989-08-25","1780","1820","1780","1800","1968000","1800","136"
"1989-08-28","1780","1800","1780","1790","940000","1790","137"
"1989-08-29","1790","1820","1790","1800","3146000","1800","138"
"1989-08-30","1810","1810","1760","1780","2689000","1780","139"
"1989-08-31","1780","1840","1780","1810","2267000","1810","140"
"1989-09-01","1830","1860","1820","1830","4538000","1830","141"
"1989-09-04","1830","1860","1820","1850","3502000","1850","142"
"1989-09-05","1850","1850","1800","1800","2048000","1800","143"
"1989-09-06","1800","1810","1780","1790","1711000","1790","144"
"1989-09-07","1780","1810","1780","1780","1270000","1780","145"
"1989-09-08","1770","1850","1770","1850","3229000","1850","146"
"1989-09-11","1860","1860","1830","1850","2158000","1850","147"
"1989-09-12","1830","1850","1830","1830","1012000","1830","148"
"1989-09-13","1830","1830","1810","1820","1072000","1820","149"
"1989-09-14","1820","1870","1800","1870","3173000","1870","150"
"1989-09-18","1860","1920","1860","1920","9756000","1920","152"
"1989-09-19","1920","1960","1910","1920","19230000","1920","153"
"1989-09-20","1920","1930","1910","1930","4116000","1930","154"
"1989-09-21","1930","1940","1910","1910","5177000","1910","155"
"1989-09-22","1920","1920","1870","1900","4574000","1900","156"
"1989-09-25","1880","1890","1850","1880","3509000","1880","157"
"1989-09-26","1920","1960","1900","1940","11445000","1940","158"
"1989-09-27","1940","1950","1910","1910","3523000","1910","159"
"1989-09-28","1910","1960","1910","1950","10364000","1950","160"
"1989-09-29","1980","2020","1970","1990","16196000","1990","161"
"1989-10-02","2020","2030","2000","2020","7987000","2020","162"
"1989-10-03","2010","2020","1970","1970","3771000","1970","163"
"1989-10-04","1990","2000","1980","2000","2600000","2000","164"
"1989-10-05","1990","2000","1980","1980","2145000","1980","165"
"1989-10-06","1960","1990","1950","1990","2963000","1990","166"
"1989-10-09","1970","1990","1960","1980","1605000","1980","167"
"1989-10-11","1950","1960","1930","1940","1643000","1940","169"
"1989-10-12","1930","1940","1880","1880","2462000","1880","170"
"1989-10-13","1890","1940","1890","1940","2148000","1940","171"
"1989-10-16","1910","1930","1880","1880","5098000","1880","172"
"1989-10-17","1920","2000","1900","1990","8907000","1990","173"
"1989-10-18","1980","2100","1950","2080","16600000","2080","174"
"1989-10-19","2160","2270","2140","2270","58883000","2270","175"
"1989-10-20","2350","2410","2320","2370","58816000","2370","176"
"1989-10-23","2350","2400","2330","2390","20344000","2390","177"
"1989-10-24","2450","2560","2440","2560","65406000","2560","178"
"1989-10-25","2600","2700","2540","2550","59047000","2550","179"
"1989-10-26","2620","2750","2600","2740","43518000","2740","180"
"1989-10-27","2730","2850","2700","2740","74566000","2740","181"
"1989-10-30","2780","2900","2750","2890","64794000","2890","182"
"1989-10-31","2970","2990","2850","2880","53719000","2880","183"
"1989-11-01","2850","2920","2820","2850","24139000","2850","184"
"1989-11-02","2830","3020","2830","2960","60219000","2960","185"
"1989-11-06","2960","3010","2930","2950","15552000","2950","187"
"1989-11-07","2910","3040","2890","2970","32251000","2970","188"
"1989-11-08","2990","3010","2860","2870","17639000","2870","189"
"1989-11-09","2860","2880","2780","2820","10695000","2820","190"
"1989-11-10","2820","2920","2810","2920","12767000","2920","191"
"1989-11-13","2900","2970","2860","2890","14020000","2890","192"
"1989-11-14","2880","2930","2820","2830","5634000","2830","193"
"1989-11-15","2850","2950","2820","2870","12966000","2870","194"
"1989-11-16","2930","3020","2920","3020","36480000","3020","195"
"1989-11-17","3010","3060","2990","3040","32676000","3040","196"
"1989-11-20","3020","3030","2940","2960","7610000","2960","197"
"1989-11-21","2950","2980","2890","2890","6960000","2890","198"
"1989-11-22","2930","2950","2890","2920","4639000","2920","199"
"1989-11-24","2890","2910","2870","2910","5166000","2910","200"
"1989-11-27","2870","2900","2850","2900","3862000","2900","201"
"1989-11-28","2870","2960","2860","2900","11877000","2900","202"
"1989-11-29","2890","2920","2870","2880","5177000","2880","203"
"1989-11-30","2880","2980","2870","2970","9863000","2970","204"
"1989-12-01","2970","2980","2880","2880","7847000","2880","205"
"1989-12-04","2880","2910","2850","2860","4499000","2860","206"
"1989-12-05","2860","2900","2830","2830","5087000","2830","207"
"1989-12-06","2820","2890","2820","2850","4617000","2850","208"
"1989-12-07","2860","2860","2810","2810","1974000","2810","209"
"1989-12-08","2820","2900","2800","2870","15696000","2870","210"
"1989-12-11","2880","2980","2870","2910","13984000","2910","211"
"1989-12-12","2940","2940","2860","2860","5248000","2860","212"
"1989-12-13","2880","2900","2850","2890","2378000","2890","213"
"1989-12-14","2930","3010","2910","2970","37890000","2970","214"
"1989-12-15","2990","3020","2970","3000","25235000","3000","215"
"1989-12-18","3010","3040","2970","2970","25756000","2970","216"
"1989-12-19","2930","2950","2840","2860","10544000","2860","217"
"1989-12-20","2900","2900","2820","2820","8685000","2820","218"
"1989-12-21","2830","2840","2750","2750","6001000","2750","219"
"1989-12-22","2760","2780","2690","2750","4344000","2750","220"
"1989-12-25","2750","2820","2700","2800","3983000","2800","221"
"1989-12-26","2800","2800","2720","2730","5127000","2730","222"
"1989-12-27","2720","2750","2690","2740","5790000","2740","223"
"1989-12-28","2710","2740","2660","2720","3276000","2720","224"
"1989-12-29","2730","2740","2700","2700","1064000","2700","225"
"1990-01-04","2710","2720","2640","2650","988000","2650","228"
"1990-01-05","2660","2680","2550","2620","3850000","2620","229"
"1990-01-08","2620","2620","2580","2600","1162000","2600","230"
"1990-01-09","2600","2600","2560","2560","2021000","2560","231"
"1990-01-10","2520","2540","2450","2460","2542000","2460","232"
"1990-01-11","2470","2540","2470","2520","1835000","2520","233"
"1990-01-12","2500","2520","2460","2480","2139000","2480","234"
"1990-01-16","2440","2460","2430","2430","1228000","2430","236"
"1990-01-17","2460","2460","2310","2360","4335000","2360","237"
"1990-01-18","2360","2360","2260","2270","3003000","2270","238"
"1990-01-19","2290","2410","2260","2410","4280000","2410","239"
"1990-01-22","2440","2460","2400","2420","2249000","2420","240"
"1990-01-23","2400","2440","2400","2420","1811000","2420","241"
"1990-01-24","2420","2420","2310","2310","2218000","2310","242"
"1990-01-25","2390","2390","2320","2340","2687000","2340","243"
"1990-01-26","2360","2400","2340","2340","2575000","2340","244"
"1990-01-29","2350","2410","2320","2350","2462000","2350","245"
"1990-01-30","2370","2380","2320","2350","1266000","2350","246"
"1990-01-31","2330","2360","2320","2340","2002000","2340","247"
"1990-02-01","2360","2380","2320","2380","1480000","2380","248"
"1990-02-02","2390","2410","2350","2370","1988000","2370","249"
"1990-02-05","2370","2400","2330","2340","1099000","2340","250"
"1990-02-06","2360","2370","2340","2370","1014000","2370","251"
"1990-02-07","2360","2360","2300","2330","1617000","2330","252"
"1990-02-08","2330","2350","2310","2320","1168000","2320","253"
"1990-02-09","2330","2350","2320","2350","1247000","2350","254"
"1990-02-13","2350","2350","2320","2340","580000","2340","256"
"1990-02-14","2340","2370","2330","2360","1430000","2360","257"
"1990-02-15","2360","2410","2360","2370","3606000","2370","258"
"1990-02-16","2390","2390","2350","2350","1989000","2350","259"
"1990-02-19","2380","2380","2340","2340","2630000","2340","260"
"1990-02-20","2330","2340","2290","2290","1674000","2290","261"
"1990-02-21","2270","2280","2180","2180","1982000","2180","262"
"1990-02-22","2180","2240","2150","2220","2350000","2220","263"
"1990-02-23","2170","2190","2100","2130","2912000","2130","264"
"1990-02-26","2050","2050","1920","2000","2566000","2000","265"
"1990-02-27","2040","2080","1960","2050","8959000","2050","266"
"1990-02-28","2070","2140","2070","2100","10335000","2100","267"
"1990-03-01","2070","2100","2030","2030","2509000","2030","268"
"1990-03-02","2020","2060","1980","2000","2490000","2000","269"
"1990-03-05","2000","2030","1990","1990","695000","1990","270"
"1990-03-06","2010","2060","1990","2060","2547000","2060","271"
"1990-03-07","2050","2050","1980","2000","2149000","2000","272"
"1990-03-08","1960","2090","1960","2080","2967000","2080","273"
"1990-03-09","2100","2160","2090","2100","5903000","2100","274"
"1990-03-12","2120","2120","1990","2050","1494000","2050","275"
"1990-03-13","2000","2030","1980","1980","6482000","1980","276"
"1990-03-14","1980","2040","1970","2000","5016000","2000","277"
"1990-03-15","2040","2040","2010","2040","5677000","2040","278"
"1990-03-16","2040","2060","2000","2020","1962000","2020","279"
"1990-03-19","2020","2030","1900","1900","2131000","1900","280"
"1990-03-20","1910","1950","1780","1880","6556000","1880","281"
"1990-03-22","1730","1780","1660","1690","3572000","1690","283"
"1990-03-23","1720","1770","1640","1690","7318000","1690","284"
"1990-03-26","1670","1750","1670","1700","5416000","1700","285"
"1990-03-27","1770","1860","1740","1830","2352000","1830","286"
"1990-03-28","1800","1800","1750","1780","2124000","1780","287"
"1990-03-29","1720","1750","1680","1690","1794000","1690","288"
"1990-03-30","1690","1690","1530","1580","2045000","1580","289"
"1990-04-02","1410","1450","1350","1350","3101000","1350","290"
"1990-04-03","1400","1450","1350","1410","3625000","1410","291"
"1990-04-04","1410","1480","1380","1440","3815000","1440","292"
"1990-04-05","1410","1560","1360","1500","3768000","1500","293"
"1990-04-06","1560","1590","1550","1590","4237000","1590","294"
"1990-04-09","1640","1660","1630","1630","3325000","1630","295"
"1990-04-10","1570","1600","1570","1580","1264000","1580","296"
"1990-04-11","1590","1600","1530","1560","1150000","1560","297"
"1990-04-12","1540","1570","1510","1550","1316000","1550","298"
"1990-04-13","1540","1560","1530","1540","1179000","1540","299"
"1990-04-16","1510","1530","1490","1530","718000","1530","300"
"1990-04-17","1490","1520","1490","1500","614000","1500","301"
"1990-04-18","1500","1600","1500","1580","1158000","1580","302"
"1990-04-19","1610","1650","1600","1630","3570000","1630","303"
"1990-04-20","1660","1680","1630","1630","2160000","1630","304"
"1990-04-23","1600","1630","1570","1610","1415000","1610","305"
"1990-04-24","1560","1600","1560","1570","731000","1570","306"
"1990-04-25","1560","1580","1520","1530","1719000","1530","307"
"1990-04-26","1540","1570","1540","1570","1554000","1570","308"
