9007 è¨ìcã}ìdìS,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1680","1690","1620","1640","1928000","1640","1"
"1989-02-20","1650","1660","1620","1650","1159000","1650","2"
"1989-02-21","1620","1640","1590","1610","1545000","1610","3"
"1989-02-22","1600","1650","1600","1650","1528000","1650","4"
"1989-02-23","1620","1650","1610","1630","1632000","1630","5"
"1989-02-27","1610","1630","1590","1590","690000","1590","7"
"1989-02-28","1570","1590","1550","1570","612000","1570","8"
"1989-03-01","1560","1580","1520","1560","1719000","1560","9"
"1989-03-02","1540","1550","1510","1530","813000","1530","10"
"1989-03-03","1550","1550","1490","1490","1166000","1490","11"
"1989-03-06","1530","1530","1490","1510","580000","1510","12"
"1989-03-07","1520","1530","1500","1500","1382000","1500","13"
"1989-03-08","1520","1540","1490","1500","2328000","1500","14"
"1989-03-09","1490","1500","1470","1500","846000","1500","15"
"1989-03-10","1500","1550","1480","1540","1632000","1540","16"
"1989-03-13","1540","1550","1510","1530","501000","1530","17"
"1989-03-14","1520","1550","1510","1550","573000","1550","18"
"1989-03-15","1560","1570","1530","1570","603000","1570","19"
"1989-03-16","1540","1600","1540","1560","649000","1560","20"
"1989-03-17","1580","1590","1540","1550","1170000","1550","21"
"1989-03-20","1540","1540","1500","1500","970000","1500","22"
"1989-03-22","1500","1500","1410","1470","1125000","1470","24"
"1989-03-23","1460","1490","1440","1470","933000","1470","25"
"1989-03-24","1490","1490","1460","1460","683000","1460","26"
"1989-03-27","1470","1500","1390","1490","757000","1490","27"
"1989-03-28","1510","1550","1500","1550","500000","1550","28"
"1989-03-29","1520","1560","1520","1560","639000","1560","29"
"1989-03-30","1590","1630","1560","1600","1875000","1600","30"
"1989-03-31","1630","1650","1550","1600","1240000","1600","31"
"1989-04-03","1610","1610","1550","1560","415000","1560","32"
"1989-04-04","1590","1590","1560","1580","208000","1580","33"
"1989-04-05","1590","1590","1550","1570","377000","1570","34"
"1989-04-06","1560","1560","1510","1530","303000","1530","35"
"1989-04-07","1540","1540","1510","1520","284000","1520","36"
"1989-04-10","1530","1530","1500","1510","360000","1510","37"
"1989-04-11","1490","1520","1490","1510","528000","1510","38"
"1989-04-12","1520","1550","1510","1520","375000","1520","39"
"1989-04-13","1550","1550","1510","1530","317000","1530","40"
"1989-04-14","1540","1540","1500","1530","360000","1530","41"
"1989-04-17","1550","1550","1510","1520","440000","1520","42"
"1989-04-18","1520","1520","1500","1510","875000","1510","43"
"1989-04-19","1510","1520","1490","1510","520000","1510","44"
"1989-04-20","1490","1510","1480","1500","532000","1500","45"
"1989-04-21","1450","1520","1450","1500","647000","1500","46"
"1989-04-24","1490","1500","1470","1470","529000","1470","47"
