9008 ‹ž‰¤“d“S(‹ž‰¤’é“s“d),,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1570","1590","1530","1530","1424000","1530","1"
"1989-02-20","1540","1560","1500","1510","1323000","1510","2"
"1989-02-21","1510","1510","1470","1490","872000","1490","3"
"1989-02-22","1500","1530","1480","1500","1047000","1500","4"
"1989-02-23","1510","1520","1480","1510","1144000","1510","5"
"1989-02-27","1500","1500","1470","1470","687000","1470","7"
"1989-02-28","1470","1480","1380","1430","1107000","1430","8"
"1989-03-01","1470","1470","1400","1430","874000","1430","9"
"1989-03-02","1410","1430","1400","1430","689000","1430","10"
"1989-03-03","1430","1440","1390","1390","756000","1390","11"
"1989-03-06","1390","1420","1390","1420","1344000","1420","12"
"1989-03-07","1400","1440","1400","1430","798000","1430","13"
"1989-03-08","1430","1460","1430","1440","819000","1440","14"
"1989-03-09","1420","1430","1380","1390","471000","1390","15"
"1989-03-10","1390","1430","1370","1430","1003000","1430","16"
"1989-03-13","1410","1420","1400","1410","457000","1410","17"
"1989-03-14","1400","1440","1400","1440","539000","1440","18"
"1989-03-15","1460","1460","1410","1430","574000","1430","19"
"1989-03-16","1430","1450","1410","1420","788000","1420","20"
"1989-03-17","1430","1440","1400","1410","1748000","1410","21"
"1989-03-20","1390","1410","1350","1350","667000","1350","22"
"1989-03-22","1360","1380","1290","1320","859000","1320","24"
"1989-03-23","1340","1360","1320","1360","587000","1360","25"
"1989-03-24","1350","1380","1340","1360","1098000","1360","26"
"1989-03-27","1380","1380","1330","1360","751000","1360","27"
"1989-03-28","1350","1410","1350","1400","1463000","1400","28"
"1989-03-29","1380","1410","1380","1410","918000","1410","29"
"1989-03-30","1430","1500","1410","1470","1783000","1470","30"
"1989-03-31","1490","1510","1450","1470","974000","1470","31"
"1989-04-03","1490","1490","1410","1420","421000","1420","32"
"1989-04-04","1420","1440","1400","1420","514000","1420","33"
"1989-04-05","1430","1450","1410","1410","524000","1410","34"
"1989-04-06","1420","1420","1390","1420","322000","1420","35"
"1989-04-07","1440","1440","1390","1400","357000","1400","36"
"1989-04-10","1400","1420","1360","1400","271000","1400","37"
"1989-04-11","1400","1430","1390","1420","296000","1420","38"
"1989-04-12","1410","1420","1400","1410","461000","1410","39"
"1989-04-13","1410","1420","1390","1390","306000","1390","40"
"1989-04-14","1390","1400","1380","1390","475000","1390","41"
