9009 ãûê¨ìdìS,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","2600","2620","2550","2550","2515000","2550","1"
"1989-02-20","2530","2600","2510","2520","990000","2520","2"
"1989-02-21","2520","2530","2500","2500","495000","2500","3"
"1989-02-22","2540","2600","2510","2550","1003000","2550","4"
"1989-02-23","2540","2550","2510","2510","667000","2510","5"
"1989-02-27","2530","2530","2420","2420","803000","2420","7"
"1989-02-28","2380","2400","2330","2380","1237000","2380","8"
"1989-03-01","2420","2420","2330","2350","538000","2350","9"
"1989-03-02","2340","2350","2320","2350","404000","2350","10"
"1989-03-03","2350","2390","2300","2320","942000","2320","11"
"1989-03-06","2280","2320","2210","2250","726000","2250","12"
"1989-03-07","2220","2250","2200","2220","988000","2220","13"
"1989-03-08","2220","2330","2220","2260","1743000","2260","14"
"1989-03-09","2300","2300","2230","2290","886000","2290","15"
"1989-03-10","2330","2600","2300","2600","1981000","2600","16"
"1989-03-13","2600","2600","2460","2500","1612000","2500","17"
"1989-03-14","2500","2500","2420","2450","379000","2450","18"
"1989-03-15","2490","2520","2450","2470","757000","2470","19"
"1989-03-16","2510","2510","2310","2400","723000","2400","20"
"1989-03-17","2390","2390","2300","2330","606000","2330","21"
"1989-03-20","2290","2330","2290","2290","562000","2290","22"
"1989-03-22","2300","2320","2200","2300","946000","2300","24"
"1989-03-23","2280","2420","2280","2400","1521000","2400","25"
"1989-03-24","2400","2420","2340","2380","4984000","2380","26"
"1989-03-27","2390","2500","2390","2490","2102000","2490","27"
"1989-03-28","2570","2710","2510","2650","7583000","2650","28"
"1989-03-29","2680","2680","2550","2600","1169000","2600","29"
"1989-03-30","2620","2760","2620","2730","8341000","2730","30"
"1989-03-31","2770","2810","2680","2700","4166000","2700","31"
"1989-04-03","2740","2750","2670","2700","1550000","2700","32"
"1989-04-04","2660","2720","2660","2670","1509000","2670","33"
"1989-04-05","2660","2700","2610","2630","1006000","2630","34"
"1989-04-06","2630","2740","2600","2690","2170000","2690","35"
"1989-04-07","2700","2700","2640","2660","563000","2660","36"
"1989-04-10","2640","2670","2610","2610","267000","2610","37"
"1989-04-11","2630","2630","2590","2590","672000","2590","38"
"1989-04-12","2600","2610","2560","2590","841000","2590","39"
"1989-04-13","2600","2600","2510","2550","596000","2550","40"
"1989-04-14","2570","2580","2530","2530","425000","2530","41"
"1989-04-17","2550","2550","2510","2510","296000","2510","42"
"1989-04-18","2550","2590","2520","2590","613000","2590","43"
"1989-04-19","2600","2600","2510","2520","478000","2520","44"
"1989-04-20","2520","2550","2500","2510","180000","2510","45"
"1989-04-21","2470","2550","2470","2510","435000","2510","46"
"1989-04-24","2500","2530","2470","2470","325000","2470","47"
"1989-04-25","2500","2570","2470","2530","527000","2530","48"
"1989-04-26","2540","2550","2490","2530","730000","2530","49"
"1989-04-27","2570","2690","2550","2590","1791000","2590","50"
"1989-04-28","2670","2680","2610","2650","2616000","2650","51"
"1989-05-01","2680","2690","2610","2610","1073000","2610","52"
"1989-05-02","2650","2650","2600","2630","1272000","2630","53"
"1989-05-08","2630","2630","2580","2580","685000","2580","57"
"1989-05-09","2610","2610","2530","2560","353000","2560","58"
"1989-05-10","2600","2610","2550","2550","682000","2550","59"
"1989-05-11","2570","2590","2550","2580","456000","2580","60"
"1989-05-12","2590","2590","2530","2550","205000","2550","61"
"1989-05-15","2530","2540","2510","2520","178000","2520","62"
"1989-05-16","2520","2700","2520","2650","5328000","2650","63"
"1989-05-17","2690","2780","2680","2760","12021000","2760","64"
"1989-05-18","2760","2820","2750","2770","11202000","2770","65"
"1989-05-19","2770","2790","2710","2730","2874000","2730","66"
"1989-05-22","2730","2730","2660","2690","1083000","2690","67"
"1989-05-23","2690","2690","2610","2650","855000","2650","68"
"1989-05-24","2620","2660","2620","2650","764000","2650","69"
"1989-05-25","2650","2720","2620","2700","1260000","2700","70"
"1989-05-26","2740","2750","2670","2670","1133000","2670","71"
"1989-05-29","2670","2700","2630","2650","1258000","2650","72"
"1989-05-30","2630","2630","2590","2610","1073000","2610","73"
"1989-05-31","2640","2680","2590","2610","504000","2610","74"
"1989-06-01","2600","2620","2540","2570","767000","2570","75"
"1989-06-02","2580","2580","2550","2580","334000","2580","76"
"1989-06-05","2580","2640","2530","2560","432000","2560","77"
"1989-06-06","2540","2600","2520","2600","901000","2600","78"
"1989-06-07","2600","2650","2580","2620","974000","2620","79"
"1989-06-08","2640","2640","2550","2570","313000","2570","80"
"1989-06-09","2600","2600","2530","2540","437000","2540","81"
"1989-06-12","2520","2560","2520","2530","99000","2530","82"
"1989-06-13","2530","2550","2510","2530","392000","2530","83"
"1989-06-14","2530","2540","2500","2500","359000","2500","84"
"1989-06-15","2540","2540","2400","2400","935000","2400","85"
"1989-06-16","2410","2450","2350","2440","769000","2440","86"
"1989-06-19","2440","2450","2350","2380","268000","2380","87"
"1989-06-20","2370","2420","2370","2420","334000","2420","88"
"1989-06-21","2430","2440","2380","2400","286000","2400","89"
"1989-06-22","2430","2440","2380","2380","170000","2380","90"
"1989-06-23","2390","2470","2380","2430","687000","2430","91"
"1989-06-26","2430","2430","2400","2400","220000","2400","92"
"1989-06-27","2410","2410","2380","2390","208000","2390","93"
"1989-06-28","2390","2390","2360","2380","267000","2380","94"
"1989-06-29","2360","2400","2330","2350","238000","2350","95"
"1989-06-30","2340","2340","2290","2310","421000","2310","96"
"1989-07-03","2270","2390","2270","2390","187000","2390","97"
"1989-07-04","2350","2420","2320","2420","388000","2420","98"
"1989-07-05","2400","2550","2380","2540","1485000","2540","99"
"1989-07-06","2550","2590","2500","2540","649000","2540","100"
"1989-07-07","2560","2590","2550","2590","1351000","2590","101"
"1989-07-10","2620","2660","2560","2620","3140000","2620","102"
"1989-07-11","2600","2680","2600","2660","7439000","2660","103"
"1989-07-12","2670","2670","2640","2660","2868000","2660","104"
"1989-07-13","2650","2650","2570","2600","405000","2600","105"
"1989-07-14","2600","2600","2540","2580","561000","2580","106"
"1989-07-17","2570","2570","2530","2540","202000","2540","107"
"1989-07-18","2560","2560","2500","2500","347000","2500","108"
"1989-07-19","2510","2560","2510","2550","420000","2550","109"
"1989-07-20","2550","2560","2500","2500","304000","2500","110"
"1989-07-21","2510","2580","2490","2550","455000","2550","111"
"1989-07-24","2510","2580","2510","2580","554000","2580","112"
"1989-07-25","2590","2590","2550","2560","382000","2560","113"
"1989-07-26","2570","2570","2480","2500","524000","2500","114"
"1989-07-27","2580","2650","2540","2650","1658000","2650","115"
