9020 JR“Œ“ú–{,,,,,
"date","open","hight","low","close","power","End","date_position"
"1993-10-27","6000","6140","6000","6000","15097900","6000","1219"
"1993-10-28","5600","5600","5100","5250","11539900","5250","1220"
"1993-10-29","5200","5250","5000","5200","8077600","5200","1221"
"1993-11-01","5200","5200","4900","4920","3520400","4920","1222"
"1993-11-02","4820","5020","4820","4950","5660100","4950","1223"
"1993-11-04","4950","5070","4920","4920","2563900","4920","1225"
"1993-11-05","4880","4900","4760","4850","2964100","4850","1226"
"1993-11-08","4810","4840","4760","4790","1645599","4790","1227"
"1993-11-09","4790","4800","4500","4510","4009400","4510","1228"
"1993-11-10","4480","4540","4300","4510","3989900","4510","1229"
"1993-11-11","4560","4730","4550","4720","1772800","4720","1230"
"1993-11-12","4720","4860","4710","4780","2334400","4780","1231"
"1993-11-15","4810","4810","4600","4620","1284300","4620","1232"
"1993-11-16","4550","4660","4540","4580","1073700","4580","1233"
"1993-11-17","4600","4660","4580","4580","899100","4580","1234"
"1993-11-18","4640","4670","4550","4560","969799","4560","1235"
"1993-11-19","4560","4640","4530","4560","1094400","4560","1236"
"1993-11-22","4520","4540","4400","4400","1455400","4400","1237"
"1993-11-24","4400","4460","4360","4360","1152500","4360","1239"
"1993-11-25","4350","4410","4320","4390","1107099","4390","1240"
"1993-11-26","4400","4420","4210","4240","2214199","4240","1241"
"1993-11-29","4000","4090","3890","4000","2890199","4000","1242"
"1993-11-30","4100","4180","4030","4150","1479400","4150","1243"
"1993-12-01","4200","4360","4170","4270","1555800","4270","1244"
"1993-12-02","4350","4460","4280","4350","1853400","4350","1245"
"1993-12-03","4300","4350","4260","4300","1074700","4300","1246"
"1993-12-06","4250","4250","4090","4110","611500","4110","1247"
"1993-12-07","4130","4230","4130","4220","981799","4220","1248"
"1993-12-08","4200","4220","4120","4130","895700","4130","1249"
"1993-12-09","4230","4240","4160","4230","772700","4230","1250"
"1993-12-10","4200","4240","4150","4170","1033900","4170","1251"
"1993-12-13","4220","4240","4180","4220","751100","4220","1252"
"1993-12-14","4220","4240","4160","4170","563600","4170","1253"
"1993-12-15","4170","4200","4150","4190","875500","4190","1254"
"1993-12-16","4240","4380","4230","4380","1334500","4380","1255"
"1993-12-17","4380","4550","4360","4550","2821800","4550","1256"
"1993-12-20","4400","4420","4210","4210","1156099","4210","1257"
"1993-12-21","4240","4320","4200","4290","743700","4290","1258"
"1993-12-22","4300","4370","4270","4270","613299","4270","1259"
"1993-12-24","4270","4290","4200","4200","557500","4200","1261"
