9021 JRêºì˙ñ{,,,,,
"date","open","hight","low","close","power","End","date_position"
"1996-10-09","3670","3730","3670","3710","4692000","3710","1986"
"1996-10-11","3750","3760","3720","3740","2277000","3740","1988"
"1996-10-14","3740","3750","3700","3700","1132000","3700","1989"
"1996-10-15","3710","3720","3700","3710","951000","3710","1990"
"1996-10-16","3720","3750","3720","3740","1147000","3740","1991"
"1996-10-17","3740","3780","3720","3750","1937000","3750","1992"
"1996-10-18","3760","3770","3750","3750","924000","3750","1993"
"1996-10-21","3780","3800","3760","3760","1849000","3760","1994"
"1996-10-22","3760","3770","3740","3740","588000","3740","1995"
"1996-10-23","3760","3770","3750","3760","684000","3760","1996"
"1996-10-24","3750","3760","3740","3750","290000","3750","1997"
"1996-10-25","3730","3750","3730","3730","552000","3730","1998"
"1996-10-28","3750","3760","3730","3740","762000","3740","1999"
"1996-10-29","3750","3750","3730","3730","448000","3730","2000"
"1996-10-30","3750","3750","3730","3730","378000","3730","2001"
"1996-10-31","3730","3730","3720","3720","307000","3720","2002"
"1996-11-01","3720","3720","3710","3710","351000","3710","2003"
"1996-11-05","3710","3720","3680","3680","532000","3680","2005"
"1996-11-06","3680","3700","3680","3700","300000","3700","2006"
"1996-11-07","3710","3720","3700","3700","539000","3700","2007"
"1996-11-08","3710","3720","3700","3720","597000","3720","2008"
"1996-11-11","3710","3720","3700","3710","544000","3710","2009"
"1996-11-12","3720","3750","3720","3740","1069000","3740","2010"
"1996-11-13","3750","3760","3720","3730","1226000","3730","2011"
"1996-11-14","3740","3750","3730","3750","495000","3750","2012"
"1996-11-15","3750","3750","3740","3750","679000","3750","2013"
"1996-11-18","3740","3750","3740","3750","425000","3750","2014"
"1996-11-19","3750","3750","3740","3750","505000","3750","2015"
"1996-11-20","3750","3760","3740","3750","1345000","3750","2016"
"1996-11-21","3740","3750","3720","3730","711000","3730","2017"
"1996-11-22","3740","3760","3730","3760","840000","3760","2018"
"1996-11-25","3770","3790","3760","3780","815000","3780","2019"
"1996-11-26","3780","3790","3770","3790","609000","3790","2020"
"1996-11-27","3790","3790","3770","3780","645000","3780","2021"
"1996-11-28","3790","3790","3760","3770","465000","3770","2022"
"1996-11-29","3770","3790","3770","3790","324000","3790","2023"
"1996-12-02","3780","3790","3760","3780","331000","3780","2024"
"1996-12-03","3760","3760","3740","3750","304000","3750","2025"
"1996-12-04","3740","3750","3730","3750","313000","3750","2026"
"1996-12-05","3750","3750","3740","3740","184000","3740","2027"
"1996-12-06","3750","3760","3720","3730","647000","3730","2028"
"1996-12-09","3740","3750","3730","3750","243000","3750","2029"
"1996-12-10","3750","3770","3740","3770","504000","3770","2030"
"1996-12-11","3770","3780","3760","3760","558000","3760","2031"
"1996-12-12","3780","3780","3770","3780","640000","3780","2032"
"1996-12-13","3760","3780","3760","3770","523000","3770","2033"
"1996-12-16","3780","3780","3760","3760","448000","3760","2034"
"1996-12-17","3760","3770","3760","3770","243000","3770","2035"
"1996-12-18","3760","3770","3740","3740","282000","3740","2036"
"1996-12-19","3740","3750","3730","3740","325000","3740","2037"
"1996-12-20","3730","3740","3730","3730","428000","3730","2038"
"1996-12-24","3730","3740","3710","3710","346000","3710","2040"
"1996-12-25","3710","3720","3700","3710","200000","3710","2041"
"1996-12-26","3740","3740","3720","3730","327000","3730","2042"
"1996-12-27","3750","3760","3730","3760","343000","3760","2043"
"1996-12-30","3770","3770","3740","3750","163000","3750","2044"
"1997-01-06","3750","3760","3740","3750","164000","3750","2048"
"1997-01-07","3750","3750","3730","3740","262000","3740","2049"
"1997-01-08","3740","3750","3730","3740","473000","3740","2050"
"1997-01-09","3720","3740","3710","3720","478000","3720","2051"
"1997-01-10","3700","3720","3690","3700","568000","3700","2052"
"1997-01-13","3710","3710","3680","3690","704000","3690","2053"
"1997-01-14","3690","3700","3680","3690","478000","3690","2054"
"1997-01-16","3700","3710","3690","3710","347000","3710","2056"
"1997-01-17","3720","3750","3710","3750","550000","3750","2057"
"1997-01-20","3730","3730","3710","3720","281000","3720","2058"
"1997-01-21","3720","3730","3710","3720","360000","3720","2059"
"1997-01-22","3720","3720","3710","3710","363000","3710","2060"
"1997-01-23","3720","3740","3710","3740","263000","3740","2061"
"1997-01-24","3720","3730","3720","3730","295000","3730","2062"
"1997-01-27","3730","3730","3720","3730","411000","3730","2063"
"1997-01-28","3730","3740","3730","3730","607000","3730","2064"
"1997-01-29","3750","3750","3740","3740","393000","3740","2065"
"1997-01-30","3740","3750","3730","3730","245000","3730","2066"
"1997-01-31","3740","3750","3730","3740","297000","3740","2067"
"1997-02-03","3740","3750","3740","3740","179000","3740","2068"
"1997-02-04","3750","3750","3740","3750","326000","3750","2069"
"1997-02-05","3740","3750","3740","3740","381000","3740","2070"
"1997-02-06","3750","3750","3740","3740","515000","3740","2071"
"1997-02-07","3740","3750","3740","3740","308000","3740","2072"
"1997-02-10","3750","3750","3740","3750","217000","3750","2073"
"1997-02-12","3750","3770","3740","3750","378000","3750","2075"
"1997-02-13","3760","3780","3760","3770","457000","3770","2076"
"1997-02-14","3770","3780","3770","3770","243000","3770","2077"
"1997-02-17","3770","3780","3770","3770","248000","3770","2078"
"1997-02-18","3780","3800","3770","3790","468000","3790","2079"
"1997-02-19","3790","3810","3780","3800","594000","3800","2080"
"1997-02-20","3800","3830","3800","3830","444000","3830","2081"
"1997-02-21","3850","3930","3840","3910","1183000","3910","2082"
"1997-02-24","3910","3950","3910","3930","1123000","3930","2083"
"1997-02-25","3920","3930","3910","3920","383000","3920","2084"
"1997-02-26","3930","3940","3920","3920","781000","3920","2085"
"1997-02-27","3940","3950","3930","3940","554000","3940","2086"
"1997-02-28","3950","3950","3940","3940","631000","3940","2087"
"1997-03-03","3950","3990","3950","3980","803000","3980","2088"
"1997-03-04","3980","4000","3980","3980","739000","3980","2089"
"1997-03-05","3990","4000","3980","3980","482000","3980","2090"
"1997-03-06","3990","4000","3980","3990","429000","3990","2091"
"1997-03-07","3990","4000","3980","4000","390000","4000","2092"
"1997-03-10","3990","4000","3990","4000","355000","4000","2093"
"1997-03-11","4000","4010","3990","3990","1433000","3990","2094"
"1997-03-12","4000","4000","3950","3960","895000","3960","2095"
"1997-03-13","3970","3980","3940","3970","342000","3970","2096"
"1997-03-14","3980","4000","3970","3990","325000","3990","2097"
"1997-03-17","3990","4030","3990","4010","595000","4010","2098"
"1997-03-18","4020","4090","4020","4070","880000","4070","2099"
"1997-03-19","4070","4090","4060","4060","432000","4060","2100"
"1997-03-21","4070","4100","4060","4070","498000","4070","2102"
"1997-03-24","4080","4100","4080","4090","555000","4090","2103"
"1997-03-25","4090","4090","4060","4070","331000","4070","2104"
"1997-03-26","4060","4080","4030","4060","423000","4060","2105"
"1997-03-27","4080","4090","4040","4080","344000","4080","2106"
"1997-03-28","4090","4090","4060","4090","330000","4090","2107"
"1997-03-31","4090","4100","4070","4100","280000","4100","2108"
"1997-04-01","4100","4110","4080","4080","930000","4080","2109"
"1997-04-02","4080","4100","4080","4100","224000","4100","2110"
"1997-04-03","4100","4100","4020","4060","219000","4060","2111"
"1997-04-04","4090","4100","4070","4100","298000","4100","2112"
"1997-04-07","4090","4100","4030","4080","77000","4080","2113"
"1997-04-08","4100","4110","4050","4050","717000","4050","2114"
"1997-04-09","3960","4050","3960","4020","150000","4020","2115"
"1997-04-10","4030","4050","3960","3980","233000","3980","2116"
"1997-04-11","3970","4000","3950","4000","211000","4000","2117"
"1997-04-14","4000","4050","4000","4050","190000","4050","2118"
"1997-04-15","4070","4080","4050","4050","205000","4050","2119"
"1997-04-16","4050","4070","4010","4050","99000","4050","2120"
"1997-04-17","4040","4050","4010","4050","212000","4050","2121"
"1997-04-18","4060","4110","4050","4090","784000","4090","2122"
"1997-04-21","4100","4100","4080","4100","323000","4100","2123"
"1997-04-22","4100","4110","4090","4110","357000","4110","2124"
"1997-04-23","4110","4190","4100","4130","386000","4130","2125"
"1997-04-24","4100","4110","4070","4100","215000","4100","2126"
"1997-04-25","4080","4130","4070","4120","212000","4120","2127"
"1997-04-28","4140","4140","4110","4140","158000","4140","2128"
"1997-04-30","4190","4200","4170","4200","370000","4200","2130"
"1997-05-01","4200","4210","4110","4140","238000","4140","2131"
"1997-05-02","4140","4160","4080","4100","97000","4100","2132"
"1997-05-06","4200","4210","4150","4210","253000","4210","2134"
"1997-05-07","4160","4200","4150","4150","223000","4150","2135"
"1997-05-08","4100","4140","4080","4080","98000","4080","2136"
"1997-05-09","4080","4100","4070","4100","142000","4100","2137"
"1997-05-12","4080","4190","4080","4140","206000","4140","2138"
"1997-05-13","4150","4190","4140","4150","112000","4150","2139"
"1997-05-14","4160","4300","4160","4300","642000","4300","2140"
"1997-05-15","4290","4300","4260","4300","284000","4300","2141"
"1997-05-16","4300","4300","4280","4290","249000","4290","2142"
"1997-05-19","4270","4350","4250","4330","375000","4330","2143"
"1997-05-20","4330","4350","4250","4290","236000","4290","2144"
"1997-05-21","4290","4320","4270","4300","236000","4300","2145"
"1997-05-22","4280","4390","4280","4380","343000","4380","2146"
"1997-05-23","4340","4340","4210","4250","409000","4250","2147"
"1997-05-26","4340","4350","4290","4320","444000","4320","2148"
"1997-05-27","4370","4380","4330","4330","200000","4330","2149"
"1997-05-28","4350","4350","4280","4300","233000","4300","2150"
"1997-05-29","4320","4330","4300","4300","55000","4300","2151"
"1997-05-30","4340","4380","4320","4360","169000","4360","2152"
"1997-06-02","4360","4360","4300","4350","29000","4350","2153"
"1997-06-03","4350","4380","4350","4350","67000","4350","2154"
"1997-06-04","4380","4390","4370","4390","126000","4390","2155"
"1997-06-05","4400","4410","4390","4400","282000","4400","2156"
"1997-06-06","4420","4450","4400","4450","298000","4450","2157"
"1997-06-09","4450","4500","4430","4500","182000","4500","2158"
"1997-06-10","4480","4490","4470","4480","102000","4480","2159"
"1997-06-11","4460","4500","4460","4490","89000","4490","2160"
"1997-06-12","4480","4500","4480","4490","90000","4490","2161"
"1997-06-13","4430","4480","4400","4400","149000","4400","2162"
"1997-06-16","4480","4480","4450","4460","82000","4460","2163"
"1997-06-17","4450","4480","4430","4460","120000","4460","2164"
"1997-06-18","4430","4450","4420","4420","121000","4420","2165"
"1997-06-19","4440","4480","4440","4460","168000","4460","2166"
"1997-06-20","4470","4480","4450","4460","225000","4460","2167"
"1997-06-23","4460","4460","4430","4450","109000","4450","2168"
"1997-06-24","4430","4440","4410","4410","43000","4410","2169"
"1997-06-25","4450","4480","4430","4480","122000","4480","2170"
"1997-06-26","4480","4500","4460","4500","224000","4500","2171"
"1997-06-27","4500","4500","4480","4480","260000","4480","2172"
"1997-06-30","4500","4500","4470","4490","187000","4490","2173"
"1997-07-01","4500","4500","4470","4470","209000","4470","2174"
"1997-07-02","4500","4500","4470","4500","145000","4500","2175"
"1997-07-03","4490","4490","4420","4470","64000","4470","2176"
"1997-07-04","4470","4480","4460","4470","103000","4470","2177"
"1997-07-07","4470","4480","4420","4440","149000","4440","2178"
"1997-07-08","4450","4470","4430","4460","122000","4460","2179"
"1997-07-09","4440","4440","4410","4440","200000","4440","2180"
"1997-07-10","4440","4460","4440","4450","114000","4450","2181"
"1997-07-11","4470","4480","4440","4470","198000","4470","2182"
"1997-07-14","4430","4440","4360","4420","233000","4420","2183"
"1997-07-15","4320","4330","4230","4260","201000","4260","2184"
"1997-07-16","4320","4350","4310","4340","577000","4340","2185"
"1997-07-17","4350","4380","4310","4340","212000","4340","2186"
"1997-07-18","4320","4320","4200","4200","118000","4200","2187"
"1997-07-22","4230","4230","4160","4200","126000","4200","2189"
"1997-07-23","4200","4200","4080","4080","69000","4080","2190"
"1997-07-24","4080","4080","3970","4030","112000","4030","2191"
"1997-07-25","4040","4140","4040","4140","146000","4140","2192"
"1997-07-28","4190","4240","4180","4210","280000","4210","2193"
"1997-07-29","4200","4200","4100","4190","113000","4190","2194"
"1997-07-30","4200","4200","4150","4180","169000","4180","2195"
"1997-07-31","4140","4170","4080","4120","167000","4120","2196"
"1997-08-01","4200","4200","4150","4190","194000","4190","2197"
"1997-08-04","4150","4170","4060","4080","65000","4080","2198"
"1997-08-05","4200","4210","4110","4140","247000","4140","2199"
"1997-08-06","4190","4190","4150","4190","262000","4190","2200"
"1997-08-07","4190","4190","4160","4170","115000","4170","2201"
"1997-08-08","4180","4190","4140","4190","258000","4190","2202"
"1997-08-11","4190","4190","4180","4180","69000","4180","2203"
