9022 JR“ŒŠC,,,,,
"date","open","hight","low","close","power","End","date_position"
"1997-10-09","3850","3860","3830","3850","0","3850","2246"
"1997-10-13","3840","3840","3820","3830","0","3830","2248"
"1997-10-14","3830","3830","3810","3830","0","3830","2249"
"1997-10-15","3830","3850","3830","3830","0","3830","2250"
"1997-10-16","3840","3870","3840","3850","0","3850","2251"
"1997-10-17","3860","3880","3850","3880","0","3880","2252"
"1997-10-20","3870","3910","3870","3890","0","3890","2253"
"1997-10-21","3900","3950","3890","3920","0","3920","2254"
"1997-10-22","3940","3970","3930","3960","0","3960","2255"
"1997-10-23","3970","3970","3940","3960","0","3960","2256"
"1997-10-24","3940","3970","3930","3960","0","3960","2257"
"1997-10-27","3960","3990","3950","3980","0","3980","2258"
"1997-10-28","3920","3930","3900","3910","0","3910","2259"
"1997-10-29","3950","3980","3950","3960","0","3960","2260"
"1997-10-30","3970","3980","3960","3960","0","3960","2261"
"1997-10-31","3970","3970","3950","3970","0","3970","2262"
"1997-11-04","3970","3990","3970","3980","0","3980","2264"
"1997-11-05","3980","3990","3970","3980","0","3980","2265"
"1997-11-06","3980","3980","3970","3970","0","3970","2266"
"1997-11-07","3960","3970","3960","3970","0","3970","2267"
"1997-11-10","3960","3970","3950","3950","0","3950","2268"
"1997-11-11","3950","3970","3950","3960","0","3960","2269"
"1997-11-12","3960","3970","3950","3970","0","3970","2270"
"1997-11-13","3950","3960","3950","3950","0","3950","2271"
"1997-11-14","3950","3960","3940","3940","0","3940","2272"
"1997-11-17","3950","3960","3940","3940","0","3940","2273"
"1997-11-18","3940","3960","3940","3940","0","3940","2274"
"1997-11-19","3940","3960","3940","3940","0","3940","2275"
"1997-11-20","3940","3960","3940","3940","0","3940","2276"
"1997-11-21","3950","3960","3940","3950","0","3950","2277"
"1997-11-25","3950","3960","3930","3940","0","3940","2279"
"1997-11-26","3930","3940","3910","3910","0","3910","2280"
"1997-11-27","3910","3940","3910","3940","0","3940","2281"
"1997-11-28","3940","3950","3930","3930","0","3930","2282"
"1997-12-01","3930","3950","3930","3930","0","3930","2283"
"1997-12-02","3940","3950","3930","3930","0","3930","2284"
"1997-12-03","3930","3940","3930","3930","0","3930","2285"
"1997-12-04","3940","3940","3930","3930","0","3930","2286"
"1997-12-05","3930","3940","3930","3940","0","3940","2287"
"1997-12-08","3930","3940","3930","3930","0","3930","2288"
"1997-12-09","3940","3940","3930","3940","0","3940","2289"
"1997-12-10","3940","3960","3940","3940","0","3940","2290"
"1997-12-11","3940","3950","3930","3930","0","3930","2291"
"1997-12-12","3930","3940","3930","3940","0","3940","2292"
"1997-12-15","3940","3950","3940","3940","0","3940","2293"
"1997-12-16","3940","3950","3930","3950","0","3950","2294"
"1997-12-17","3950","3950","3940","3940","0","3940","2295"
"1997-12-18","3940","3950","3930","3940","0","3940","2296"
"1997-12-19","3950","3950","3920","3920","0","3920","2297"
"1997-12-22","3920","3930","3910","3910","0","3910","2298"
"1997-12-24","3900","3920","3890","3890","0","3890","2300"
"1997-12-25","3900","3920","3900","3910","0","3910","2301"
"1997-12-26","3910","3930","3910","3930","0","3930","2302"
"1997-12-29","3920","3930","3920","3930","0","3930","2303"
"1997-12-30","3920","3930","3920","3930","0","3930","2304"
"1998-01-05","3930","3940","3920","3930","0","3930","2307"
"1998-01-06","3930","3940","3920","3930","0","3930","2308"
"1998-01-07","3920","3930","3910","3910","0","3910","2309"
"1998-01-08","3920","3940","3920","3930","0","3930","2310"
"1998-01-09","3920","3940","3920","3940","0","3940","2311"
"1998-01-12","3930","3940","3920","3920","0","3920","2312"
"1998-01-13","3920","3930","3890","3910","0","3910","2313"
"1998-01-14","3910","3920","3890","3890","0","3890","2314"
"1998-01-16","3900","3910","3900","3900","0","3900","2316"
"1998-01-19","3900","3920","3880","3880","0","3880","2317"
"1998-01-20","3890","3890","3860","3860","0","3860","2318"
"1998-01-21","3860","3880","3860","3860","0","3860","2319"
"1998-01-22","3880","3880","3860","3860","0","3860","2320"
"1998-01-23","3870","3910","3860","3900","0","3900","2321"
"1998-01-26","3900","3920","3900","3920","0","3920","2322"
"1998-01-27","3930","3940","3920","3940","0","3940","2323"
"1998-01-28","3920","3940","3910","3930","0","3930","2324"
"1998-01-29","3930","3940","3920","3930","0","3930","2325"
"1998-01-30","3930","3940","3930","3940","0","3940","2326"
"1998-02-02","3930","3940","3920","3920","0","3920","2327"
"1998-02-03","3930","3950","3930","3950","0","3950","2328"
"1998-02-04","3940","3950","3940","3940","0","3940","2329"
"1998-02-05","3940","3960","3930","3940","0","3940","2330"
"1998-02-06","3940","3960","3940","3950","0","3950","2331"
"1998-02-09","3950","3960","3940","3950","0","3950","2332"
"1998-02-10","3950","3960","3940","3960","0","3960","2333"
"1998-02-12","3950","3970","3950","3960","0","3960","2335"
"1998-02-13","3950","3960","3950","3950","0","3950","2336"
"1998-02-16","3950","3970","3950","3960","0","3960","2337"
"1998-02-17","3960","4010","3960","3970","0","3970","2338"
"1998-02-18","4000","4010","3980","3990","0","3990","2339"
"1998-02-19","3990","4000","3990","4000","0","4000","2340"
"1998-02-20","4000","4000","3990","4000","0","4000","2341"
"1998-02-23","3990","4000","3990","4000","0","4000","2342"
"1998-02-24","3990","4000","3990","3990","0","3990","2343"
"1998-02-25","4000","4070","4000","4040","0","4040","2344"
"1998-02-26","4070","4090","4060","4060","0","4060","2345"
"1998-02-27","4070","4080","4050","4080","0","4080","2346"
"1998-03-02","4070","4100","4070","4100","0","4100","2347"
"1998-03-03","4090","4100","4080","4090","0","4090","2348"
"1998-03-04","4090","4100","4090","4090","0","4090","2349"
"1998-03-05","4090","4120","4090","4110","0","4110","2350"
"1998-03-06","4120","4150","4110","4140","0","4140","2351"
"1998-03-09","4150","4200","4140","4200","0","4200","2352"
"1998-03-10","4190","4230","4190","4230","0","4230","2353"
"1998-03-11","4230","4290","4230","4280","0","4280","2354"
"1998-03-12","4280","4290","4270","4270","0","4270","2355"
"1998-03-13","4270","4300","4270","4300","0","4300","2356"
"1998-03-16","4300","4310","4290","4310","0","4310","2357"
"1998-03-17","4310","4350","4300","4350","0","4350","2358"
"1998-03-18","4350","4370","4340","4340","0","4340","2359"
"1998-03-19","4360","4370","4340","4360","0","4360","2360"
"1998-03-20","4370","4380","4350","4370","0","4370","2361"
"1998-03-23","4370","4390","4370","4380","0","4380","2362"
"1998-03-24","4390","4400","4380","4390","0","4390","2363"
"1998-03-25","4390","4400","4310","4380","0","4380","2364"
"1998-03-26","4310","4350","4310","4330","0","4330","2365"
"1998-03-27","4300","4320","4150","4240","0","4240","2366"
"1998-03-30","4300","4300","4200","4280","0","4280","2367"
"1998-03-31","4210","4310","4200","4290","0","4290","2368"
"1998-04-01","4240","4320","4210","4300","0","4300","2369"
"1998-04-02","4310","4310","4260","4260","0","4260","2370"
"1998-04-03","4250","4280","4250","4270","0","4270","2371"
"1998-04-06","4260","4300","4250","4250","0","4250","2372"
"1998-04-07","4290","4300","4260","4290","0","4290","2373"
"1998-04-08","4290","4390","4280","4360","0","4360","2374"
"1998-04-09","4360","4390","4300","4390","0","4390","2375"
"1998-04-10","4360","4380","4360","4380","0","4380","2376"
"1998-04-13","4380","4390","4370","4390","0","4390","2377"
"1998-04-14","4390","4400","4380","4400","0","4400","2378"
"1998-04-15","4390","4400","4390","4400","0","4400","2379"
"1998-04-16","4400","4400","4370","4390","0","4390","2380"
"1998-04-17","4390","4470","4380","4470","0","4470","2381"
"1998-04-20","4460","4500","4410","4500","0","4500","2382"
"1998-04-21","4490","4520","4460","4520","0","4520","2383"
"1998-04-22","4520","4540","4500","4520","0","4520","2384"
"1998-04-23","4500","4520","4460","4470","0","4470","2385"
"1998-04-24","4480","4510","4470","4470","0","4470","2386"
"1998-04-27","4480","4520","4480","4500","0","4500","2387"
"1998-04-28","4500","4530","4500","4500","349000","4500","2388"
"1998-04-30","4500","4540","4500","4540","145699","4540","2390"
"1998-05-01","4540","4540","4500","4510","187000","4510","2391"
"1998-05-06","4490","4500","4400","4480","82599","4480","2394"
"1998-05-07","4480","4490","4470","4480","110200","4480","2395"
"1998-05-08","4500","4520","4490","4520","198100","4520","2396"
"1998-05-11","4500","4510","4480","4500","57299","4500","2397"
"1998-05-12","4500","4540","4500","4520","152900","4520","2398"
"1998-05-13","4520","4600","4520","4580","328500","4580","2399"
"1998-05-14","4580","4630","4580","4630","251800","4630","2400"
"1998-05-15","4630","4680","4600","4660","206900","4660","2401"
"1998-05-18","4610","4680","4610","4670","84000","4670","2402"
"1998-05-19","4680","4680","4610","4680","188400","4680","2403"
"1998-05-20","4680","4730","4670","4710","192500","4710","2404"
"1998-05-21","4730","4780","4710","4740","155199","4740","2405"
"1998-05-22","4760","4820","4750","4820","313000","4820","2406"
"1998-05-25","4860","4960","4860","4940","473800","4940","2407"
"1998-05-26","4990","5000","4970","4970","714900","4970","2408"
"1998-05-27","4980","5000","4980","4990","365899","4990","2409"
"1998-05-28","5000","5040","5000","5020","320200","5020","2410"
"1998-05-29","5020","5090","5020","5080","335500","5080","2411"
"1998-06-01","5080","5110","5000","5000","406000","5000","2412"
"1998-06-02","5000","5020","4950","4990","154400","4990","2413"
"1998-06-03","5000","5000","4960","4990","69599","4990","2414"
"1998-06-04","5000","5040","4980","5000","142000","5000","2415"
"1998-06-05","5000","5010","4980","5000","134100","5000","2416"
"1998-06-08","4990","5050","4990","5040","213199","5040","2417"
"1998-06-09","5010","5050","5000","5050","203900","5050","2418"
"1998-06-10","5050","5090","5040","5080","244300","5080","2419"
"1998-06-11","5070","5070","5030","5040","239100","5040","2420"
"1998-06-12","5040","5040","4930","5020","546200","5020","2421"
"1998-06-15","5020","5050","5000","5050","274200","5050","2422"
"1998-06-16","4990","5010","4950","4990","184199","4990","2423"
"1998-06-17","5020","5050","5000","5020","369600","5020","2424"
"1998-06-18","5080","5090","5000","5050","243699","5050","2425"
"1998-06-19","5010","5050","5000","5050","127599","5050","2426"
"1998-06-22","5050","5060","5040","5040","92599","5040","2427"
"1998-06-23","5040","5060","5030","5040","137199","5040","2428"
"1998-06-24","5050","5100","5040","5090","292300","5090","2429"
"1998-06-25","5100","5110","5080","5080","461700","5080","2430"
"1998-06-26","5080","5080","4990","5000","110200","5000","2431"
"1998-06-29","5000","5080","5000","5080","42100","5080","2432"
"1998-06-30","5090","5130","5090","5130","229100","5130","2433"
"1998-07-01","5140","5180","5120","5180","340200","5180","2434"
"1998-07-02","5220","5300","5220","5280","327500","5280","2435"
"1998-07-03","5280","5320","5240","5290","167199","5290","2436"
"1998-07-06","5290","5300","5250","5270","50400","5270","2437"
"1998-07-07","5260","5290","5260","5280","45500","5280","2438"
"1998-07-08","5280","5300","5250","5280","66900","5280","2439"
"1998-07-09","5250","5290","5250","5290","75599","5290","2440"
"1998-07-10","5270","5290","5260","5260","84599","5260","2441"
